digression	kb. penyimpangan.
dingy	ks. 1 kumal, kotor, renyuk dan kotor. d. room kamar yang kumal. 2 suram.
dinky	ks. inf.: kecil. d. house rumah yang kecil.
dinner	kb. makan malam. d. dance jamuan makan malam diikuti dengan dansa. d. hour waktu makan malam.
dinnerware	kb. serpis makan.
dinosaur	kb. dinosauria.
dint	kb. d. of berkat, hanya dengan, akibat. by d. of hard work berkat kerja keras.
diocese	kb. keuskupan.
dioxide	kb. dioksida.
dip	kb. 1 mandi, masuk kedalam air. 2 desinfleksi. 3 lobang, tempat yang menurun (di jalan). 4 food : keju untuk pesta. -kkt. (dipped) 1 memasukkan. 2 mencedok. 3 menurunkan dan menaikkan (the flag). -kki. 1 menukik. 2 turun.
diphtheria	kb. difteri, depteri.
diphthong	kb. diftong, harakat/bunyi rangkap.
diploma	kb. diploma, ijazah.
diplomacy	kb. diplomasi.
diplomat	kb. diplomat.
diplomatic	ks. 1 diplomatik. d. corps korps diplomatik. 2 pandai. d. in o's relations with his colleagues pandai berhubungan dengan teman-teman sejawatnya.
dipper	kb. pencedok, gayung. the big d. bintang biduk/jung (ursa mayor). the little d. bintang beruang kecil (ursa minor).
dipsomania	kb. sifat mencandu terhadap minuman keras.
dire	ks. yang mengerikan/menakutkan.
direct	ks. 1 langsung. 2 sebenarnya. -kkt. 1 menunjukkan. 2 mengatur (traffic). 3 menyutradarai (a play or movie). 4 menujukan. 5 memerintah. -kki. memimpin. -directly kk. 1 (dengan) langsung, tepat. 2 dengan segera.
direction	kb. 1 pimpinan (of orchestra, play, movie). 2 petunjuk. 3 arah. 4 bimbingan. 5 jurusan.
directional	ks. yang berhubungan dengan arah. d. signal tanda jurusan.
directive	kb. petunjuk, instruksi, perintah.
director	kb. 1 mus.: pemimpin. 2 adm.: direktur. d. general direktur jenderal. 3 sutradara (of a movie, play).
directorate	kb. badan/dewan pimpinan.
directory	kb. (j. -ries) 1 petunjuk. telephone d. buku petunjuk telephone. 2 buku alamat dagang.
diretorship	kb. jabatan direktur.
dirge	kb. lagu/nyanyian penguburan.
dirigible	kb. kapal seplin, balon berkemudi.
dirt	kb. 1 kotoran. 2 sl.: desas-desus. 3 tanah, lumpur, kotoran. dirt-cheap ks. sangat murah. dirt-poor sangat miskin.
dirtiness	kb. 1 kekotoran, kecemaran. 2 kelicikan.
dirty	ks. 1 kotor, dekil. 2 kotor, cabul. 3 busuk, serong. 4 tidak murni -kkt. (dirtied) mengotorkan. -kki. menjadi kotor.
disability	kb. (j. -ties) 1 cacat. physical d. cacat jasmaniah. 2 ketidak mampuan.
disable	kkt. mencacatkan, melumpuhkan. -disabled ks. cacat. d. veteran veteran cacat.
disabuse	kkt. membebaskan dari kesalahan/penipuan. to d. s.o. of his feeling of superiority membebaskan seseorang dari perasaan unggul.
disadvantage	kb. keadaan merugikan. to be at a d. berada dalam keadaan merugikan.
disadvantageous	ks. yang tak menguntungkan, bersifat merugikan. in a d. position didalam keadaan yang merugikan.
disaffect	kkt. tidak senang, tidak setia. -disaffected ks. yang tak senang, yang tak setia/puas.
disaffection	kb. ketidaksenangan, ketidakpuasan, ketidaksetiaan.
disagree	kki. 1 membantah. 2 berselisih. 3 tidak cocok. some foods d. with me ada makanan yang tak cocok untuk saya.
disagreeable	ks. 1 yang tak enak. 2 marah-marah. 3 tidak menyenangkan.
disagreement	ks. 1 pertentangan, percekcokan, perselisihan pendapat. 2 kegagalan menyetujui.
disallow	kkt. menolak. to d. a request menolak permohonan.
disappear	kki. hilang, menghilang. the child disappeared anak itu hilang. the snow disappeared salju sudah menghilang.
disappearance	kb. 1 hilangnya. the child's d. caused concern hilangnya anak itu menimbulkan kekhawatiran. 2 kehilangan. news of the d. kabar tentang kehilangan itu.
disappoint	kkt. mengecewakan. -disappointed ks. kecewa. -disappointing ks. mengecewakan. d. performance pertunjukan yang mengecewakan.
disappointment	kb. kekecewaan, ketidakpuasan. to be a d. for merupakan kekecewaan bagi.
disapproval	kb. (pen)celaan.
disapprove	kki. mencela, tidak menyetujui. -disapproving ks. tidak menyetujui. -disapprovingly kk. dengan mencela. she looked at me d. ia memandang saya dengan sikap menyalahkan / mencela/tidak menyetujui.
disarm	kkt. , kki. melucuti senjata. -disarming ks. bersifat yang memenangkan orang lain, yang memperdayakan. orang. -disarmingly kk. dengan mudah memperdayakan orang.
disarmament	kb. 1 perlucutan senjata. 2 pengurangan/pembatasan angkatan bersenjata dan persenjataannya.
disarrange	kkt. mengusutkan, mengacaukan. the wind disarranged her hair angin mengusutkan rambutnya
disarray	kb. kekacauan. in d. 1 berantakan. the room was in d. kamar itu berantakan. 2 tidak rapi. he clothes were in d. pakaiannya tidak rapi.
disassemble	kkt. membongkar (a motor).
disaster	kb. 1 bencana. 2 kemalangan, mala petaka.
disastrous	ks. yang membawa atau mendatangkan malapetaka. d. flood banjir yang mendatangkan malapetaka. -disastrously kk. dengan mendapat malapetaka.
