subjectivity	kb. kesubyektipan, subyektivitas.
subjugate	kkt. menaklukkan, menunjukkan.
subjugation	kb. penaklukan, penundukan.
subjugator	kb. penakluk, penunduk, penindas.
subjunctive	kb. gram.: bentuk pengandaian.
sublease	kkt. menyewakan lagi.
sublet	kkt. menyewakan lagi. to s. a contract to another firm memberikan lagi sebuah kontrak pada perusahaan lain.
sublimate	kkt. menghaluskan.
sublime	kb. yang mahamulia, luhur. from the s. to the ridiculous dari yang mahamulia sampai ke yang rendah. -ks. agung, indah. -sublimely kk. samasekali.
sublimity	kb. (j. -ties) keagungan, keindahan.
submachine	s. gun mitralyur ringan.
submarine	kb. kapal selam. s. chaser pemburu kapal selam. -ks. yang berhubungan dengan dasar laut. s. geology geology dasar laut.
submerge	kkt. menyelam kedalam air, merendamkan. -kki. menyelam (of a submarine). -submerged ks. dibawah permukaan air. s. rock batu karang dibawah permukaan air.
submersion	kb. 1 penyelaman (of sub, diver). 2 perendaman (of s.t.).
submission	kb. 1 ketundukan. to starve s.o. into s. membiarkan orang lapar supaya tunduk. 2 kepatuhan.
submissive	ks. bersikap tunduk, berkhidmat, bersikap patuh (to terhadap).
submit	kkt. (submitted) 1 mengajukan (a request, petition) (to kepada). 2 menyampaikan, menyerahkan (s.t.) -kki. tunduk, menyerah. to s. to punishment menerima/tunduk kepada hukuman.
subnormal	ks. dibawah normal.
subordinate	kb. seorang bawahan. -ks. gram.: berpangkat lebih rendah. -kkt. mengebawahkan, menempatkan lebih rendah, mengemudiankan, menangguhkan.
subpoena	kb. panggilan tertulis untuk menghadap sidang pengadilan. -kkt. memberi panggilan untuk menghadap sidang pengadilan.
subscribe	kkt. berjanji akan membayar. -kki. to s. to 1 berlangganan, berabonemen (a magazine). 2 menyumbang kepada (a fund). 3 menganut (an idea).
subscriber	kb. langganan.
subscript	kb. tulisan dibawah garis.
subscription	kb. 1 abonemen, langganan. s. ticket karcis langganan. 2 tandatangan. 3 sumbangan.
subsequent	ks. yang berikut. s. programs acara-acara berikutnya. s. to karena, akibat. -subsequently kk. kemudian, sesudah itu.
subservience	kb. 1 sikap tunduk/takluk. 2 sikap mengundi.
subservient	ks. bersikap tunduk/patuh (to kepada).
subside	kki. 1 surut (of flood waters). 2 turun 9of fever). 3 reda. 4 terduduk, terhenyak. to s. on to a sofa terduduk diatas dipan.
subsidiary	kb. (j. -ries) cabang, tambahan. -ks. tambahan. s. activity kegiatan tambahan.
subsidize	kkt. memberi subsidi/tunjangan.
subsidy	kb. (j. -dies) subsidi, tunjangan.
subsist	kki. hidup, mendapatkan nafkah (on dari).
subsistence	kb. nafkah hidup/penghidupan. bare s. wage upah sekedar untuk penyambung hidup. s. farming pertanian untuk penyambung hidup.
subsoil	kb. lapisan tanah sebelah bawah.
subsonic	ks. dibawah kecepatan suara.
subspecies	kb. bagian jenis.
substance	kb. 1 zat. chemical s. zat kimia. 2 isi pokok (of a paper). 3 hakekat. 4 bahan.
substandard	ks. tidak memenuhi syarat, bermutu dibawah standar/baku.
substantial	ks. 1 kokoh, kuat building). 2 besar (contribution, gun). 3 banyak (meal). 4 besar (difference). 5 penting (reasons). -substantially kk. 1 pada pokoknya. 2 banyak sekali.
substantiate	kkt. 1 memperkuat, menyokong. 2 membenarkan.
substantive	kb. gram.: katabenda. -ks. substantip, riil, yang sesungguhnya (issue). -substantively sebenarnya, sebetulnya, dalam kenyataannya.
substation	kb. cabang, post office s. kantor pos tambahan.
substitute	kb. 1 pengganti. 2 sport.: pemain cadangan. 3 tiruan. -kkt. mengganti. -kki. menggantikan guru, menjadi guru pengganti.
substitution	kb. penggantian (for dengan).
substratum	kb. (j. -rata) 1 lapisan bawah (of rock). 2 dasar (of truth).
subsume	kkt. menggolongkan, memasukkan. what is subsumed under the term "politics" ? apakah yang termasuk dalam pengertian "politik ?
subsurface	ks. dibawah permukaan tanah (water).
subteen	kb. anak dibawah umur, anak yang hampir berumur tigabelas tahun.
subterfuge	kb. dalih, alasan, akal. to resort to s. memakai dalih.
subterranean	ks. dibawah tanah.
subtitle	kb. 1 judul tambahan, anak judul. 2 film.: teks bawah pada film.
