glamorous	ks. sangat menarik dan mempesonakan.
growl	kb. belasut. to utter a g. at s.o. menggeramkan kepada seseorang. -kki. 1 menggeram. 2 berkata dengan marah, membelasut. 3 terkelik (of the stomach). his stomach is growling perutnya berbunyi.
grown	lih. grow.
growth	kb. 1 pertumbuhan. 2 pertumbuhan, perkembangan. 3 kutil.
grub	kb. 1 tempayak. 2 inf,: makanan. -kkt. (grubbed). to g. up mencungkil, membongkar.
grubby	ks. kotor.
grudge	kb. dendam. -kkt. iri hati. to g. a friend any profit iri hati akan tiap-tiap keuntungan temannya. -grudgingly kk. dengan enggan/segan. she g. accepted the invitation dengan enggan dia menerima undangan itu.
grueling	ks. sangat meletihkan. g. race perlombaan yang sangat meletihkan.
gruesome	ks. yang mengerikan. g. sight pemandangan yang mengerikan.
gruff	ks. keras, kasar. g. voice suara yang keras/kasar. -gruffly kk. dengan keras. to speak g. bercakap dengan keras pedas.
grumble	kb. keluhan, omelan. -kki. menggerutu, mengeluh. to g. about s.t. menggerutu tentang sesuatu. -grumbling kb. pengomelan, pengeluhan. ks. yang menggerutu. in a g. tone of voice dengan suara menggerutu.
grumbler	kb. penggerutu, pengeluh.
grumpy	ks. galak, marah-marahan.
grunt	kb. 1 dengkur (of hogs). 2 bunyi ngorok. -kkt. to g. o's assent memberikan persetujuan dengan menggerutu. -kki. mendengkur, mengorok.
gsa	[general service administration] jawatan pelayanan umum.
gt. br., gt. brit	[great britain] britannia/inggris raya.
guano	kb. pupuk dari tahi burung atau kelelawar.
guar.	[guaranteed] dijamin.
guarantee	kb. jaminan, garansi. -kkt. 1 menjamin. 2 memberi garansi. -guaranteed ks. dijamin, terjamin.
guarantor	kb. penjamin. to act/stand as g. for his debt bertindak sebagai penjamin utangnya.
guaranty	kb. (j. -ties) penjaminan.
guard	kb. 1 pengawal, penjaga. 2 penjagaan. 3 kunci. -kkt. 1 menjaga. 2 berhati-hati, berjaga-jaga. 3 melindungi. -kki. to g. against berhati-hati terhadap. -guarded ks. berhati-hati. -guardedly kk. dengan berhati-hati.
guardhouse	kb. gardu, rumah jaga, rumah monyet.
guardian	kb. wali. g. angel malaikat pelindung.
guardianship	kb. perwalian.
guardrail	kb. pagar.
guardsman	kb. (j. -men) 1 pengawal. 2 tentara as.
guava	kb. jambu biji/lutuk, biawas.
gubernatorial	ks. yang berhubungan dengan gubernur. g. contest perebutan kedudukan gubernur.
guer(r)illa	kb. gerilya. g. fighter gerilyawan. g. warfare perang gerilya. (fem.) gerilyawati.
guess	kb. 1 perkiraan, taksiran. 2 terkaan. 3 dugaan. -kkt. menerka. -kki. kira. guessing game tebak-tebakan, teka -teki.
guesstimate	kb. sl.: (angka) kira-kira, angka perkiraan.
guesswork	kb. cara kira-kira, terkaan, tebakan. the new machine takes the g. out of the problem mesin baru itu menghilangkan cara kira-kira dari soal itu.
guest	kb. tamu. g. list daftar tamu. g. towel handuk tamu. g. room kamar tamu.
guesthouse	kb. pasanggrahan,pondok/wisma tamu.
guff	kb. sl.: bantahan, sangkalan, protes, sanggahan.
guffaw	kb. tertawa terbahak-bahak.
guidance	kb. 1 pimpinan, bimbingan. 2 pedoman, petunjuk. g. counselor penasihat (di s.m.a.). g. system sistim pengendalian.
guide	kb. 1 buku pedoman. 2 pandu, pemandu. -kkt. 1 mengemudikan (a car, boat). 2 menuntun. 3 menjadi penunjuk jalan. 4 mempedomani. g. word kata penunjuk. -guided ks. kendali. -guiding ks. yang menuntun. g. principle asas/prinsip sebagai pedoman/penuntun.
guidebook	kb. buku pedoman/tuntunan/penuntun.
guideline	kb. garis pedoman.
guidepost	kb. tonggak penunjuk jalan.
guild	kb. serikat sekerja.
guilder	kb. rupiah (belanda).
guile	kb. akal bulus, tipu muslihat.
guileless	ks. tanpa akal bulus, terus-terang.
guillotine	kb. alat pemenggal kepala. -kkt. menghukum dengan pemenggalan kepala.
guilt	kb. kesalahan. g. by association kesalahan disebabkan perhubungan.
guilty	ks. bersalah. to plead g. mengaku bersalah.
guinea	kb. guinea. g. fowl ayam mutiara. g. pig a) marmot. b) orang atau binatang yang dipakai dalam percobaan, orang coba.
guise	kb. samaran. to come in the g. of a policeman datang menyamar sebagai polisi. under the g. of dengan berkedok sebagai.
guitar	kb. gitar. g. player pemain gitar.
guitarist	kb. pemain gitar, gitaris.
gulch	kb. ngarai yang sempit, jurang yang terjal.
gulf	kb. 1 teluk. g. of mexico teluk meksiko. g. stream arus teluk. 2 jurang pemisah.
gull	kb. burung camar (laut).
gullet	kb. kerongkongan.
gullible	ks. mudah tertipu.
gully	kb. (j. -lies) selokan.
gulp	kb. teguk. a g. of water seteguk air. -kkt. menelan, meneguk. -kki. he gulped ia menahan napasnya.
gum	kb. 1 gusi. i bit my g. gusi saya tergigit. 2 permen karet. 3 getah. -kkt. (gummed) sl.: to g. up the works mengacaukan semuanya. g. arabic getah arab. g. tree pohon para/getah. gummed label etiket yang ditempelkan.
gumdrop	kb. gula-gula permen karet.
gummy	ks. bergetah.
gumption	kb. inf.: enersi, inisiatif.
gun	kb. senapan, bedil, meriam. -kkt. (gunned) 1 mempercepat. 2 menambah gas mesin. to g. down 1 memberondong, menembak rubuh. 2 menembak mati. to g. for 1 memburu. 2 mulai berkampanye.
gunboat	kb. kapal meriam.
gunfight	kb. tembak-menembak.
gunfire	kb. tembakan.
gunk	kb. segala macam sampah/kotoran.
gunman	kb. (j. -men). 1 perampok bersenjata api. 2 ahli senjata api. 3 jago tembak.
gunner	kb. tentara/pelayan meriam, penembak.
gunnery	kb. keahlian membuat dan memakai meriam. g. officer perwira meriam.
gunny	kb. g. sack karung goni.
gunplay	kb. tembak-menembak, perkelahian senapan.
gunpoint	kb. ujung laras senapan. at g. dengan todongan pistol.
gunpowder	kb. serbuk mesiu.
gunrunner	kb. penyelundup senjata api dan amunisi.
gunrunning	kb. penyelundupan senjata api dan amunisi.
gunshot	kb. suara tembakan. g. wounds luka-luka kena tembakan.
gunshy	ks. takut akan bunyi tembakan.
gunsight	kb. pemitar, butir-butir.
gunsmith	kb. pandai senjata ringan, tukang senapan.
gunstock	kb. batang/popor senapan bedil.
gunwale	kb. bibir perahu, pinggiran lambung perahu.
gurgle	kki. berdeguk, mendeguk. the baby gurgled happily bayi itu mendeguk dengan gembira.
gush	kb. pancaran (of blood, water) -kki. memancar, mencurat, menyembur. -gushing ks. 1 yang memancar/menyembur. 2 dengan perasaan yang tak terkendalikan.
gusher	kb. pancuran/semburan minyak.
gushy	ks. cengeng, mudah tersinggung perasaannya.
gust	kb. hembusan yang keras. g. of wind hembusan angin.
gusto	kb. nafsu, semangat. to eat with g. makan dengan bernafsu. to do s.t. with g. melakukan sesuatu dengan penuh semangat.
gusty	ks. berangin ribut.
gut	kb. 1 anat.: 2 tali yang dibuat dari usus binatang. -guts j. 1 sl.: anat.: usus. 2 sl.: keberanian, ketekunan. -kkt. (gutted) 1 memusnahkan. 2 mengeluarkan isi perut.
gutsy	ks. sl.: berani, gagah.
guttapercha	kb. getah perca.
gutter	kb. 1 got, pancuran atap. 2 selokan.to be raised in the g. dibesarkan sebagai anak gelandangan. language of the g. bahasa pasaran.
guttersnipe	kb. anak jembel.
guttural	kb. suara tekak/garau.
guy	kb. sl.: orang. good g. orang yang baik. 1 orang yang jahat. 2 then.: peranan penjahat/bandit. g.-wire tali bubut, bubutan.
guzzle	kkt. minum dengan rakus.
gym	inf.: = gymnasium.
gymnasium	kb. ruang/gedung olah raga.
gymnast	kb. pesenam, ahli senam.
gymnastics	kb. olahraga senam.
gynecologist	kb. dokter ahli yang mengobati wanita.
gynecology	kb. ilmu bidanan. ilmu penyakit wanita, ginekologi.
gyp	1 kb. sl.: tipuan. 2 sl.: penipu. -kkt. (gypped) sl.: menipu.
gypsum	kb. gips, batu tahu.
gypsy	kb. (j. -sies) orang jipsi.
gyrate	kki. berputar.
gyration	kb. gerakan berputar, putaran.
gyrocompass	kb. kompas giro, pedoman gasing.
gyroscope	kb. giroskop.
h, h	kb. 1 huruf yang kedelapan dari abjad inggris. 2 setiap bunyi yang digambarkan dengan huruf ini. h-bomb bom zat air.
h.i.	[hawaiian island] kepulauan hawaii.
h.p. hp	[housepower] daya kuda.
h.q., hq	(headquarters) markas besar.
h.r., h. res., hr	[house of reprensetatives] dewan perwakilan rakyat a.s.
h.r.h.	[his or her royal highness] p.j.m. [paduka yang mulia].
ha	kseru. ha ! (menyatakan keheranan, kecurigaan, keriangan).
habeas corpus	kb. hak untuk diperiksa dimuka hakim.
haberdasher	kb. penjual pakaian laki-laki.
haberdashery	kb. (j. -ries) toko pakaian laki-laki.
habit	kb. 1 kebiasaan. i'm in the h. of getting up early kebiasaan saya bangun pagi-pagi benar. 2 pakaian. riding h. pakaian naik kuda. habit-forming ks. yang mencandukan.
habitat	kb. tempat kediaman/tinggal.
habitation	kb. tempat tinggal. fit for h. cocok/layak untuk dijadikan tempat tinggal.
habitual	ks. yang dilakukan karena kebiasaan. he's a h. criminal dia sudah biasa menjadi pejahat. a h. reader seorang yang sudah membiasakan diri membaca.
habitue	kb. penggemar, pencandu.
hack	kb. 1 orang yang diupah untuk mengerjakan kerja-kerja kesusasteraan. 2 inf.: taksi. -kkt. 1 menetak. memakuk, memarang. 2 melukai seseorang dengan kasar. sl.: to h. around ngeluyur. hacking cough batuk pendek.
hackles	kb., j. kecurigaan, kemarahan/kegusaran. inf.: to raise s.o's hackles menimbulkan/membangkitkan kegusaran seseorang.
hackneyed	ks. sudah usang, sudah basi. h. phrase kalimat yang sudah usang.
hacksaw	kb. gergaji logam/besi.
hackwork	kb. pekerjaan yang bermutu rendah, karangan picisan, pekerjaan yang bersifat buru-buru.
had	lih have.
haddock	kb. semacam ikan di atlantik utara.
hades	kb. alam barzach, neraka.
hadn't	[had not] lih have.
hag	kb. seorang wanita tua yang rupanya sangat jelek (dan hatinya biasanya busuk).
haggard	ks. kurus dan cekung.
haggle	kki. tawar-menawar. to h. over prices tawar-menawar mengenai harga.
hagridden	ks. kemasukan setan, suka ngawur.
hail	kb. 1 hujan batu es. 2 hujan (of bullets). -kkt. 1 berteriak kepada. 2 mengelu-elukan (the winner). 3 memanggil(kan) (a cab). 4 menerima, menyambut. 5 menghujani. -kki. hujan (batu) es. to h. from berasal dari. sl.: h. columbia teguran, celaan.
hailstone	kb. batu hujan es.
hailstorm	kb. hujan es disertai angin ribut.
hair	kb. rambut, bulu. to do o's hair merias rambut. hair -raising ks. mengerikan, menakutkan. h. shirt kemeja kasar terbikin dari bulu kuda. h. restorer obat menumbuhkan rambut. h. stylist ahli penata/rias rambut.
hairbreadth	kb nyaris, sangat sempit. to have a h. escape from death nyaris mati.
hairbrush	kb. sikat rambut.
haircut	kb. potong/pangkas rambut. to get a h. memotong rambut, berpangkas.
hairdo	kb. cara susunan rambut, tata/rias rambut.
hairdresser	kb. ahli rias rambut wanita, penata rambut.
hairiness	kb. keadaan berbulu.
hairline	kb. batas tumbuh rambut di kepala.
hairpiece	kb. rambut palsu.
hairpin	kb. jepit rambut. 2 tusuk konde, pasak sanggul. h. curve tikungan tajam.
hairsplitting	kb. amat/terlampau teliti.
hairy	ks. berbulu. hair-chested ks. berbulu dada.
halcyon	ks. tenang dan damai, bahagia. h. day hari-hari yang tenang dan damai.
hale	ks. kuat dan sehat. h. and hearty sehat dan segar, sehat wal'afiat. -kkt. memaksa pergi.
half	kb. (j.halves). 1 paruhan, separuh. 2 tengah. 3 separuh. 4 sport : babak. -ks., kk setengah. half-and-half ks. campuran. inf.: half-baked ks. setengah matang. half-blooded ks. peranakan. half-hearted ks. ragu-ragu, tanggung-tanggung.
halfback	ksb. gelandang tengah (soccer).
halfway	kk. separuh jalan. we are h. there kita sudah separuh jalan kesana.
halibut	kb. semacam ikan perak.
halitosis	kb. nafas berbau, mulut busuk.
hall	kb. 1 ruang(an) the front h. ruang depan. 2 aula/ruang. 3 gang. h. of justice gedung pengadilan.
hallelujah	ks. 1 pujian kepada tuhan (kristen). 2 nyanyian pujaan untuk tuhan.
hallmark	kb. tanda (resmi). politeness is the h. of a gentleman kesopanan adalah tanda orang yang berbudi.
hallow	kkt. menyucikan, mempersucikan. hallowed be thy name sucikan namamu. -hallowed ks. keramat. h. ground tanah keramat, tanah yang suci.
hallowe'en	kb. malam 31 oktober.
hallucination	kb. (peng)khayalan, minyak, maya.
hallway	kb. 1 gang. 2 (entrance) ruang masuk.
halo	kb. 1 lingkaran cahaya, pagar bulan. (around moon). 2 lingkaran kekeramatan. she seems to wear a h. dia seakan-akan memakai mahkota keagungan.
halt	kb. penghentian, perhentian. to call a h. memberhentikan.-kkt. memberhentikan. -kki. berhenti. -halting ks. terhenti-henti, tertegun-tegun his speech is h. dia berbicara terputus-putus.
halter	kb. tali leher kuda. 2 oto, pakaian penutup dada, diikatkan pada belakang leher dan punggung.
halve	kkt. membagi dua. i'll h. this candy bar with you saya akan membagi dua batang gula-gula ini dengan kau.
halves	lih half.
ham	kb. 1 daging (paha) babi (yang biasanya diasinkan). 2 sl.: pemain sandiwara yang jelek. 3 sl.: pelayan radio amatir. -kkt. (hammed) sl.: to h. it up bermain berlebih-lebihan.
hamburger	kb. 1 perkedel daging. 2 (sandwich) roti pakai perkedel daging.
hamlet	kb. dusun kecil.
hammer	kb. palu, martil. -kkt. memalukan, memukul. -kki. to h. at menekankan kepada. -hammered ks. tempaan, yang sudah ditempa. h. metal logam yang sudah ditempa. -hammering kb. pukulan palu.
hammock	kb. tempat tidur gantung, buaian.
hamper	kb. keranjang. clothes h. keranjang pakaian. -kkt. 1 menghambat (progress). to be hampered without a car terhambat karena tidak ada mobil. 2 merintangi. heavy rains hampered rescue efforts hujan-hujan lebat merintangi usaha-usaha pertolongan.
hamster	kb. semacam tupai.
hamstring	kb. urat-urat lutut. -kkt. (hamstrung) 1 melumpuhkan, memotong.
hand	kb. 1 tangan. 2 agri.: buruh tani. 3 nau.: anak kapal. 4 bridge : susunan kartu. 5 sisi. 6 (measure) empat inci (lebar tangan). 7 jarum (of watch, clock). 8 tulisan tangan. 9 (applause) tepukan tangan. 10 sisir, tandan.
handbag	kb. tas (tangan).
handball	kb. bola tangan.
handbill	kb. surat sebaran/edaran.
handbook	kb. buku penuntun, pedoman.
handclasp	kb. jabatan tangan (yang hangat).
handcuff	kb. belenggu, borgol, gari. -kkt. membelenggu, memborgol.
handful	kb. 1 segenggam. by the h. segenggam/bergenggam-genggam. 2 orang yang sukar diurus. 3 sedikit. only a h. attended the rally hanya sedikit orang menghadiri rapat itu.
handicap	kb. 1 rintangn, sesuatu yang merugikan. 2 golf : handikap. -kkt. (handicapped) menghalangi, merintangi. -the physically handicapped orang-orang yang cacat jasmaniah. ks. cacat. h. child anak cacat.
handicraft	kb. pertukangan/kerajinan/ keprigelan/ketrampilan tangan.
handily	lih handy.
handiness	kb. ketangkasan, kecekatan, ketrampilan.
handiwork	kb. 1 pekerjaan tangan. 2 hasil perbuatan.
handkerchief	kb. saputangan.
handle	kb. 1 tangkai (of a broom, spoon). 2 pegangan (of a bag, basket). 3 gagang (of a knife, tennis racket). 4 sl.: nama, gelar, pangkat. -kki. dikemudikan. -handling kb. 1 pemeliharaan, perawatan, perlakuan. 2 penanganan (of a case).
handmade	ks. buatan/karya tangan. that tablecloth is h. taplak meja itu dibuat dengan tangan.
handout	kb. inf.: 1 sedekah, pemberian. 2 (news story) berita surat selebaran.
handrail	kb. susuran tangan/tangga.
handsaw	kb. gergaji tangan.
handshake	kb. jabatan tangan.
handsome	ks. 1 ganteng, gagah, tampan, rupawan. 2 bagus, banyak. 3 cantik.
handspring	kb. jengkelit, jengkolet, jempalit. to do a h. menjengkelit.
handstand	kb. jungkir. to do a h. menjungkir, berdiri diatas tangan.
handwringer	kb. orang putus asa.
handwriting	kb. tulisan tangan. h. on the wall alamat buruk.
handy	ks. 1 cekatan, ringan tangan. 2 berguna. 3 dekat. -handily kk. dengan mudah.
handyman	kb. (j. -men) tukang.
hang	kb. cara bergantung.-kkt. (hung;hanged kalau dihukum mati). 1 menggantung. 2 menggantungkan 3 menundukkan (o's head). 4 melekatkan, menempelkan. (wallpaper). -hanging kb. 1 mati di gantungan, hukuman gantung. 2 hiasan yang digantungkan.
hangar	kb. (h) anggar.
hangdog	ks. malu, hina. he has a h. look mukanya suram.
hanger	kb. gantungan. hanger-on kb. (j. hangers-on) pengikut-pengikut.
hangker	kki. ingin sekali, rindu. to h. after ingin sekali, menginginkan sangat, rindu sekali. -hangkering kb. keinginan yang sangat.
hangman	kb. (j. -men) algojo, tukang gantung.
hangnail	kb. bintil kuku.
hangout	kb. sl.: 1 tempat diam, tempat yang sering dikunjungi. 2 tempat berkumpul, markas (sering untuk penjahat).
hangover	kb. s.: perasaan sakit pada waktu bangun pagi setelah minum minuman keras terlalu banyak.
hank	kb. gulung(an), gumpal(an). a h. of hair segumpal/segulung rambut. a h. of yarn segulung benang.
hanky-panky	kb. inf.: tipu daya, sikut-menyikut.
haphazard	ks. sembarangan, serampangan, sembrono. -haphazardly kk. dengan sembrono.
happen	kki. 1 terjadi. 2 kebetulan saja. to h. (up)on menemukan. -happening kb. kejadian, peristiwa.
happenstance	kb. kejadian dengan/secara kebetulan.
happily	lih happy.
happiness	kb. kebahagiaan. we wish you h. kami doakan semoga kau berbahagia.
happy	ks. gembira, senang, bahagia. happy-go-lucky ks. yang tak kenal susah, suka bersenang-senang. -happily kk. dengan gembira, dengan riang.
harangue	kb. pidato (yang panjang dan penuh gembar-gembor). -kkt. berpidato panjang-lebar kepada.
harass	kkt. menggoda, menggangu, mengusik. to be harassed da[pat godaan, tergoda.
harassment	kb. gangguan, godaan, usikan.
harbinger	kb. pertanda, alamat.
harbor	kb. pelabuhan. -kkt. 1 mempunyai. 2 mengandung. 3 menyembunyikan.
hard	ks. 1 keras. 2 sukar, susah. -kk. 1 keras. 2 lebat. 3 dalam-dalam, baik-baik. 4 dengan tajam. hard-driving ks. gesit dan suka bekerja keras. -hardly kk. hampir tidak.
harden	kkt. mengeraskan, memperkeras. -kki. mengeras, menjadi keras. -hardened ks. dijadikan keras. -hardening kb. 1 pengerasan (of metal, attitude). 2 pembekuan. h. of the artery pembekuan/penyempitan pembuluh nadi.
hardiness	kb. ketahanan, ketabahan hati, daya tahan.
hardness	kb. kekerasan.
hardship	kb. kesukaran, penderitaan. to work a h. upon s.o. menimpakan kesulitan pada seseorang.
hardtop	kb. mobil yang kapnya dibuat dari logam yang kelihatannya dapat dilipat.
hardware	kb. 1 barang-barang dari logam/besi. 2 mil.: senjata atau perlengkapan seperti tank-tank, meriam-meriam dll. 3 setiap mesin atau komponennya yang lengkap.
hardwood	kb. kayu keras.
hardy	ks. tahan, tabah. h. pioneer pelopor yang tahan. h. plants tanaman-tanaman yang tahan.
hare	kb. kelinci, terwelu. mad as a march h. gila betul.
harebrained	ks. bodoh, kurang pikiran (of a plan).
harelip	kb. (bibir) sumbing.
harem	kb. harem, tempat kediaman selir-selir sultan.
hark	kki. mendengar. to h. back to berhubungan dengan, memperingatkan kepada.
harlot	kb. perempuan sundal, wanita wts.
harm	kb. kerugian, kejahatan, kerusakan, kesalahan. -kkt. 1 merugikan, mengganggu. 2 membahayakan akan. 3 melukai, mencelakakan.
harmful	ks. berbahaya. h. to the teeth berbahaya terhadap gigi, merusak gigi. 2 membahayakan. this medicine is h. obat ini membahayakan.
harmless	ks. tak berbahaya.
harmonica	kb. harmonika (mulut).
harmonious	ks. rukun, seia-sekata. h. relationship hubungan yang rukun.
harmonize	kki. berpadanan, seimbang, cocok, berpadu. these colors h. beautifully warna-warna ini berpadanan secara indah.
harmony	kb. (j.-nies) keselarasan, keserasian, kesesuaian, kecocokan, kerukunan.
harness	kb. pakaian kuda. to die in h. mati dalam pekerjaannya. -kkt. 1 memasang pakaian kuda. 2 mempergunakan, memanfaatkan, mengekang (a river). to h. the ocean's power memanfaatkan tenaga samudera.
harp	kb. semacam kecapi. -kki. to h. on berbicara berulang-ulang tentang.
harpoon	kb. seruit. -kkt. menyeruit.
harries	lih harry.
harrow	kb. sisir tanah, garu, penggaruk. -kkt. menyisir tanah, menggaru, menggaruk. -harrowing ks. yang mengerikan/menyiksa. h. experience pengalaman yang mengerikan.
harry	kkt. (harried) mengganggu, merusakkan, menggarong. to h. shipping mengganggu pelayaran.
harsh	ks. 1 kasar (towel, expression, statement). 2 keras. 3 parau (of voice). 4 tajam. h. coast pantai yang gundul dan berbukit. -harshy dengan kasar. to treat h. memperlakukan dengan kasar.
harshness	kb. kekerasan (of a verdict, weather)
harum-scarum	ks. inf.: 1 sembrono. 2 lupa daratan.
harvest	kb. 1 hasil panen. 2 pemungutan, panen. -kkt., kki. memungut hasil panen. to h. rice memotong/memanen padi.
has	lih have.
has-been	kb. inf.: seorang tokoh yang pernah dulu/penting.
hash	kb. 1 campuran daging dan kentang yang dicencang halus dan digoreng/dipanggang. 2 membunuh. -kkt. inf.: to h. out membicarakan, mendiskusikan, memperbincangkan (problems, matters). inf.: to h. over mengobrol (tentang masa lampau).
hashish	kb. ganja.
hasn't	[has not] lih have.
hasp	kb. sangkutan, kaitan, pengait.
hassle	kb. perkelahian, percekcokan. legal h. pertengkaran secara hukum.
hassock	kb. bantal lutut/kaki.
haste	kb. kegopohan. in h. dengan tergesa-gesa, terburu-buru, tergopoh-gopoh.
hasten	kkt. mempercepat. to h. the fall of the cabinet mempercepat jatuhnya kabinet. -kki. bersegera, cepat-cepat. i h. to reply to your letter saya cepat-cepat menjawab suratmu
hasty	ks. 1 terburu-buru, tergesa-gesa. 2 sebentar, singkat.3 gegabah. -hastily kk. dengan tergesa-gesa.
hat	kb. topi. h.in hand 1 dengan rendah hati. 2 dengan hormat. to take off o's h. to 1 mengangkat topi terhadap. 2 menghormati.
hatband	kb. pita/sekeliling topi.
hatbox	kb. kotak/tempat topi.
hatch	kb. lubang palka. down the h.! selamat! -kkt. 1 menetaskan (chickens). 2 merencanakan. (a scheme). -kki. menetas.
hatchery	kb. (j. -ries) kb. tempat/perusahaan penetasan.
hatchet	kb. kapak kayu, beliung, kampak. to bury the h. melupakan yang sudah-sudah (berdamai), hidup damai.
hate	kb. rasa benci, kebencian. -kkt. membenci. -kki. 1 segan, tidak suka. 2 tidak senang.
hateful	ks. penuh/merasa benci. 2 membangkitkan benci.
hatpin	kb. jepitan/tusuk topi.
hatrack	kb. rak topi.
hatred	kb. kebencian, rasa benci.
haughtiness	kb. kesombongan, keangkuhan, kecongkakan, kekibiran.
haughty	ks. sombong, angkuh, kibir, congkak, tinggi hati, tekebur. -haughtily kk. dengan tinggi hati.
haul	kb. 1 hasil tangkapan (of fish, robbery). 2 muatan (of trucks, etc). -kkt. 1 menarik, menyeret, menghela (by/with horses, elephants). 2 mengangkut.
haulage	kb. daya tarik/seret/angkut, ongkos/biaya penarikan/penyeretan/pengangkutan.
haunch	kb. pangkal paha, (daerah) pinggang.
haunt	kb. tempat yang sering dikunjungi. -kkt. 1 terbayang, sering membayang. 2 sering mendatangi. -haunted ks. berhantu, angker. -haunting ks. yang sering timbul
have	kb. haves j. the haves and the have-nots si-kaya dan si-miskin. -kkt. (had) 1 mempunyai. 2 memiliki 3 memegang. 4 memperoleh. 5 mengizinkan. 6mengalami. 7 ada, punya. 8 merasa. 9 mendapat. 10 ingin.11 ber-. 12 memberi. 13 menyuruh. 14 menyimpan, memegan
haven	kb. 1 tempat berlindung/berteduh. 2 tempat singgah.
haven't	[have not] lih have.
havoc	kb. kerusakan, malapetaka. to play/raise/wreak h. with merusakkan.
haw-haw	kb., kseru, tertawaan terbahak-bahak.
hawk	kb. burung elang. he has eyes like a h. matanya tajam. penglihatannya tajam. hawk-eyed ks. bermata-tajam. -kkt. menjajakan. to h. up mengeluarkan.
hawker	kb. penjaja.
hawsepipe	kb. ulup, lubang rantai jangkar, ungkak.
hawser	kb. kabel/tambang kapal.
hay	kb. 1 rumput kering, jerami. sl.: to hit the h. pergi tidur. 2 inf.: pal.: keuntungan. 3 sl.: sedikit uang. to make h. menarik keuntungan, mengambil manfaat. to make h. while the sun shines mempergunakan kesempatan sebaik-baiknya.
hayfield	kb. padang rumput.
hayloft	kb. loteng jerami.
hayseed	kb. sl.: petani, kampungan, orang udik/desa.
haystack	kb. timbunan rumput kering. like looking for a needle in a h. sama dengan mencari jarum dalam timbunan rumput kering, mengerjaklan pekerjaan yang sia-sia.
haywire	ks. sl.: to go h. 1 menjadi rusak (of machinery). 2 menjadi gila, rusak ingatan (of people).
hazard	kb. bahaya, risiko. -kkt. mengambil risiko. to h. a guess coba-coba menebak. to h. an opinion berani mengemukakan pendapat.
hazardous	ks. berbahaya, penuh risiko. risiko.
haze	kb. kabur. -kkt. memperlakukan mahasiswa-mahasiswa baru sewenang-sewenang, memperplonco. -hazing kb. perlakuan sewenang-wenang terhadap mahasiswa baru, perpeloncoan, pemapraman.
hazelnut	kb. semacam buah kemiri.
haziness	kb. kekaburan.
hazy	ks. 1 berkabut, kabur. the view is h. pemandangan berkabut. 2 tidak jelas. i'm h. about last night tidak jelas bagi saya apa yang terjadi semalam.
hdbk.	[handbook]buku pedoman/ penuntun.
hdqrs.	[headquarters] markas besar.
he	kg. dia, ia. inf.: he-man jantan betul.
he'd	[1 he had 2 he would]. 1 ia telah. 2 ia akan.
he'll	[1 he will 2 he shall]. 1ia akan. 2 ia hendak.
he's	[1 he is. 2 he has]. 1 ia adalah. 2 ia ada.
head	kb. 1 kepala. 2 bungkul, bongkol.4 ujung kepala. 5 ekor. 6 busa. 7 bagian depan.head-to-toe ks. dari kepala sampai ke kaki. heads up ks. berhati-hati, waspada.-heading kb. kepala, bagian atas.
headache	kb. 1 sakit kepala. 2 inf.: soal. if he throws his money away, that's not my h. jika ia menghamburkan uangnya, itu bukan soal saya.
headband	kb. destar, ikat kepala.
headboard	kb. papan di ujung kepala tempat tidur.
headdress	kb. hiasan kepala.
header	kb. inf.: to take a h. jatuh tersungkur.
headfirst	kk. dengan kepala lebih dahulu, dengan kepala kebawah.
headgear	kb. tutup kepala.
headland	kb. tanjung.
headlight	kb. lampu besar.
headline	kb. pokok/kepala berita. -kkt. 1 menempatkan sebuah cerita di halaman muka. 2 membintangi (a show, revue).
headlong	kk. segera, tidak pikir panjang lagi, langsung. to fall h. jatuh dengan kepalanya dahulu.
headman	kb. (j. -men), penghulu, lurah, kepala kampung.
headmaster	kb. kepala sekolah.
headphone	kb. telepon kepala.
headquarters	kb. markas besar. police h. markas besar polisi.
headstone	kb. 1 batu kubur, nisan. 2 batu pertama.
headstrong	ks. keras kepala, degil, kepala batu.
headwaiter	kb. kepala pelayan, pelayan kepala.
headwaters	kb., j. daerah hulu. h. of the amazon huku sungai amazon.
headway	kb. kemajuan. to make h. (bergerak) maju.
heady	ks. 1 keras, lekas memabukkan. a h. wine anggur keras. 2 sengit lekas panas hati, gegabah. h. talk percakapan yang sengit. 3 gegabah. h. speculation spekulasi yang gegabah.
heal	kkt. menyembuhkan. -kki. menjadi sembuh. -healing kb. penyembuhan.
healer	kb. pengobat, dukun, penyembuh.
health	kb. kesehatan. to be in poor h. sakit -sakitan, keadaan kesehatannya. jelek, penyakitan. h. resort tempat tetirah/peristirahatan.
healthful	ks. sehat. h. climate iklim yang sehat.
healthwise	kk. inf.: dari sudut kesehatan.
healthy	ks. sehat. h. appetite nafsu makan yang baik. that's not a h. situation itu bukan keadaan yang sehat.
heap	kb. tumpukan, timbunan. h. of wood tumpukan kayu. -kkt. menumpuk, menghimpun.
hear	kkt. (heard) 1 mendengar. 2 mendengarkan.-kki. mendengar. -hearing kb. 1 pendengaran. 2 law : pemeriksaan.
heard	lih hear.
hearer	kb. pendengar.
hearken	kki. to h. to mendengarkan.
hearsay	kb. kabar orang/angin, desas-desus, sas-sus.
