tempter	kb. penggoda.
testy	ks. bengkeng, tidak sabar, mudah tersinggung.
tetanus	kb. tetanus, kekejangan otot.
tete-a-tete	kk. berdua saja, pembicaraan/pertemuan antara dua orang saja.
tether	kb. (tali) tambatan. to be at the end of o's t. kehilangan kesabaran, tak sabar lagi. -kkt. menambatkan.
tetralogy	kb. (j. -gies) serangkaian dari empat buah cerita sandiwara yang saling berhubungan.
teutonic	teutonic
tex.	[texas] negarabagian as.
text	kb. 1 tes, ayat,wejangan (of a sermon, from a holy scripture). 2 isi, bunyi (of a telegram, cable). 3 buku pelajaran. 4 teks. 5 naskah.
textbook	kb. buku pelajaran. an economics t. sebuah buku pelajaran ilmu ekonomi.
textile	kb. tekstil. t. industry industri tekstil, pertekstilan t. mill paberik tekstil. -textiles j. bahan tekstil.
texture	kb. 1 susunan, tekstur. t. of cloth susunan kain. 2 jaringan.
texual	ks. yang berkaitan dengan isi karangan. t. emendation perbaikan dalam teks. t. error kesalahan mengenai isi.
th.	1 [thursday] hari kamis. 2 [thomas] thomas.
th.d	[doctor of theology] doktor ilmu agama.
thai	kb. orang thai. 2 bahasa thai. -ks. (muang) thai.
thailand	kb. thailand, muang thai.
than	ksam. dari, daripada. she is older t. i ia lebih tua dari aku. i have more t. you sya mempunyai lebih banyak daipada kamu.
thank	kb. thanks j. terima kasih. -kkt. menyatakan terimakasih. to t. s.o. for s.t. menyatakan terimakasih kepada seseorang untuk sesuatu. thank-you ks. pernyataan terimakasih.
thankful	thankful
thankfulness	kb. rasa syukur.
thankless	ks. tak tahu rasa terima kasih (of a person). 2 yang menyusahkan (of a task). 3 yang tak dihargai. (of an act).
thanksgiving	kb. rasa syukur. t. (day) hari pernyataan terrima kasih.
that	( j. those) ks. itu. t. book buku itu. t. way begitu. t. very day hari itu juga. -kk. (se) begitu. kg. 1 itu. 2 yang satu itu. -ksam. 1 bahwa. 2 mana. 3 supaya, agar.
thataway	kk. inf.: ke arah itu. he went t. ia pergi ke arah itu.
thatch	kb. lalang, jerami, daun-daunan. t. roof atap lalang. -kkt. membuat/memberi atap dari jerami, daun kelapa dsb.
thaw	kb. 1 cair, pencairan (of snow, ice). 2 perbaikan (in relations). -kkt. melunakkan yang beku (of meat). -kki. 1 menjadi cair (of snow, ice). 2 menjadi lebih lincah/luwes (of a person).
the	kst. itu. t. elephant is an animal gajah adalah seekor binatang. t. show pertunjukan itu. -kk. if both of you come so much t. better kalau kamu berdua datang, tiu lebih baik lagi.
theater	kb. 1 gedung bioskop. movie t. (gedung) bioskop. 2 dunia sandiwara. 3 mil.: medan perang, mandala. 4 panggung sandiwara. theater-in-the-round teater ditengah-tengah gedung. med.: operating t. kamar bedah.
theatergoer	kb. pengunjung sandiwara/bioskop.
theatre	= theater.
theatrical	kb. theatricals j. pertunjukan drama khususnya oleh amatir. -ks. 1 yang berkaitan dengan sandiwara. 2 yang dibuat-buat. to assume a t. manner bertingkah-laku yang dibuat-buat.
thee	kg. kamu, anda (dipakai oleh quaker).
theft	kb. pencurian, kemalingan.
their	kg. mereka (punya). t. attitude sikap mereka.
theirs	kg. punya mereka. is this boat t. ? apakah perahu ini kepunyaan mereka ?
theism	kb. aliran ketuhanan.
them	kg. 1 mereka. i haven't seen t. aku tidak melihat mereka. 2 -nya. one of t. is broken salah satu diantaranya rusak.
theme	kb. 1 tema, pokok, motif (of a story, music, play). 2 karangan (pendek). t. song nyanyian utama. 3 suara-dasar.
then	kb. waktu itu. the knew by t. that... waktu itu mereka sudah tahu bahwa... -ks. waktu itu. -kk. 1 lalu, kemudian. 2 maka. if you do wrong, t. you must admit it kalau kau berbuat salah, maka kau harus mengakuinya. what t.? lalu bagaimana ?
thence	kk. kemudian. a. few years t. beberapa tahun kemudian.
thenceforth	kb. sejak itu.
theocracy	kb. (j. -cies) teokrasi.
theologian	kb. ahli ilmu agama.
theological	ks. yang mengenai agama. t. school sekolah agama/teologi. t. seminary seminari teologi.
theology	kb. (j. -gies) teologi, ilmu agama.
theorem	kb. dalil.
theoretical	ks. teoritis. t. physics ilmu fisika teoritis. -theoretically kk. secara teoretis.
theoretician	kb. teoretikus. -theoreticians j. teoritis.
theorist	kb. teoretikus.
theory	kb. (j. -ries) teori. t. of relativity teori relativitas. in t. dalam teori.
theosophy	kb. teosofi.
therapeutic	ks. yang mengandung unsur-unsur atau nilai pengobatan. rest is t. istirahat mengandung nilai pengobatan.
therapeutics	kb. ilmu pemeriksaan dan pengobatan.
therapy	kb. (j. -pies) terapi, pengobatan. physical t. pengobatan jasmani.
there	kb. sana. -kk. 1 disana, disitu. 2 kesana, kesitu. 3 (memanggil perhatian).4 sekian. 5 (tanpa tekanan). -kseru. nah ! who's in t. ? siapakah yang didalam itu.
thereabouts	kk. kira-kira, kurang lebih. five miles or t. kira-kira lima mil.
thereafter	kk. sesudah itu, kemudian.
thereby	kk. dengan (cara) demikian.
therefor	kk. untuk itu.
therefore	kk. oleh karena itu.
therein	kk. disitulah, disanalah.
thereof	kk. daripadanya, dari itu. i bought a cake and ate a slice t. aku membeli kue, lalu memakannya sepotong.
thereto	kk. kesitu, kesana. to affix o's signature t. membubuhi tanda tangan kepadanya.
theretofore	kk. sampai saat itu.
thereunder	kk. yang dibawah.
thereupon	kk. 1 lalu, setelah itu. she t. canceled her flight lalu ia membatalkan penerbangannya. 2 oleh sebab itu.
therewith	kk. beserta, bersamaan dengan itu.
thermal	ks. yang berkaitan dengan panas. t. current arus panas.
thermodynamics	kb. ilmu (pergerakan) panas.
thermometer	kb. termometer, alat pengukur panas. what does the t. read ? berapa panasnya pada ukuran panas itu ?
thermonuclear	ks. termonuklir.
thermos	kb. termos. t. bottle botol termos.
thermostat	kb. alat pengatur/pengimbang panas.
thesaurus	kb. kamus, ensiklopedi atau buku lain yang berisi keterangan.
these	lih this.
theses	lih thesis.
thesis	kb. (j. theses) 1 acod.: tesis, sasterakanta, disertasi. 2 tesis.
they	kg., j. mereka. they are going mereka pergi. here t. come itu mereka telah datang.
they'd	1 [they had] mereka telah. 2 [they would] mereka akan.
they'll	[1 they shall 2 they will] mereka akan.
they're	[they are] mereka ada(lah).
they've	[they have] mereka telah.
thick	kb. in the t. of ditengah-tengah. ks. 1 tebal. 2 kental. 3 berkabut. 4 serak, parau 5 dungu, tolol. -kk. amat berlebih-lebihan. -thickly kk. padat, rapat.
thicken	kkt. 1 mengentalkan (gravy). 2 mempertebal (a wall). -kki. menjadi rumit (of a plot). -thinckening kb. bahan pengental.
thicket	kb. belukar, semak-semak.
thief	kb. (j. thieves) pencuri, maling, pencoleng, tikus. -thieves j. kaum tangan-panjang.
thieve	kkt. mencuri. -thieving kb. pencurian.
thievery	kb. (j. -ries) pencurian.
thieves	lih thief.
thievish	ks. tangan-panjang.
thigh	kb. paha.
thighbone	kb. tulang paha.
thimble	kb. tudung/sarung jari, bidal.
thimbleful	kb. sedikit sekali, sejumlah kecil sekali.
thin	kb. lih thick. -ks. 1 tipis (of book, wall, paper). 2 encer (of liquids). 3 lemah (of voice, excuse). 4 kurus (of a person). 5 jarang (of hair, foliage). 6 renggang, tipis (of air). 7 yang sedikit jumlahnya (of an audience).
thine	kg. kepunyaan atau milik kamu/anda. t. eyes matamu.
thing	kb. 1 benda. what is this t.? benda apa itu ? 2 barang. 3 alat-alat, peralatan. 4 orang, makhluk. 5 mantel, pakaian luar.
thingumajig	kb. inf.: anu, apa itu.
think	kb. inf.: he has another t. coming sekarang ia telah lain pikirannya. -kkt. (thought) memikirkan (evil thoughts). -kki. 1 pikir. 2 kira, pikir. 3 berpikir, merenung. 4 menganggap (well of a.s.). 5 menduga, menyangka.
thinkable	ks. masuk akal (untuk mengira).
thinker	kb. ahli pikir, pemikir.
thinking	kb. berpikir. thought-out ks. yang telah dipikirkan masak-masak.
thinner	kb. bahan pengencer/pencair, tener.
thinness	kb. 1 kejarangan (of hair). 2 ketipisan (of paper). 3 keenceran (of liquid). 4 permintaan maaf yang tidak sungguh-sungguh (of an excuse).
thinning	kb. penjarangan (of plants). ks. menipis, menjadi jarang (hair). -kkt. (thinned) 1 mengencerkan (a liquid). 2 memperjarang (plants). thin-skinned ks. 1 mudah tersinggung (of a person). 2 berkulit tipis (of fruit). -thinly kk. tipis.
third	kb. 1 pertiga. 2 persneling ketiga. 3 tiga. -ks. ketiga. third-rate ks. bermutu rendah, kelas kambing. -thirdly kk. (yang) ketiga.
thirst	kb. dahaga, kehausan. to quench o's t. menghilangkan/melepaskan dahaganya. -kki. to t. for 1 haus akan (knowledge). 2 ingin sekali (a coke).
thirsty	ks. haus. i'm t. aku haus. that makes me t. itu membuat saya haus.
thirteeenth	kb. 1 ketigabelas. the t. tanggal tigabelas. 2 pertigabelas. -ks. yang ketigabelas.
thirteen	kb. tigabelas.
thirtieth	kb. 1 tigapuluh. the t. tanggal tigapuluh. 2 pertigapuluh. -ks. yang ketigapuluh.
thirtty	kb. (j. -ties) tigapuluh. thirty-first kb. tigapuluh satu. ks. yang ketigapuluh satu. thirty-second ks. yang ketigapuluh dua. thirty-two kb. tigapuluh dua.
this	(j. these) ks. ini. these books buku-buku ini. -kk. t. far sejauh ini. t. much sebanyak ini. -kg. 1 ini. t. is wrong ini salah. 2 yang ini. i prefer t. aku lebih suka yang ini.
thistle	kb. semacam widuri, semacam tumbuhan berduri.
thither	kk. kesana, kesitu.
tho, tho'	kk., ksam. = though.
thong	kb. tali kulit.
thoracic	ks. yang berkaitan dengan dada. t. cavity rongga dada.
thorn	kb. duri, onak. i have a t. in my finger ada duri didalam jariku. to be a t. in o's flesh or side duri (di) dalam daging, suka menyusahkan orang.
thorny	ks. 1 berduri (of a plant). 2 sulit, menjengkelkan (of a problem).
thorough	ks. 1 seksama, teliti (examination). 2 cermat, teliti (person). 3 yang tidak bertanggung jawab. -thoroughly kk. 1 sepenuhnya. 2 bukan kepalang.
thoroughbred	kb. 1 yang berdarah/berketurunan murni (of dog, horse). 2 seorang yang halus budi bahasanya. -ks. berdarah/berketurunan murni.
thoroughfare	kb. jalan. main t. jalan utama. not t. bukan jalan untuk umum. public t. jalan umum. busy t. tempat lalu-lintas yang sibuk/ramai.
thoroughgoing	ks. seksama, sempurna. the car received a t. overhaul mobil itu diperiksa secara seksama.
those	kg. lih that.
thou	kg. engkau, dikau, kau.
thou.	[thousand] se(ribu).
though	kk. lebih dulu. i hit him but he hit me first t. aku memukulnya, tapi ia memukul aku lebih dulu. -ksam. mesdkipun, walaupun. t. he knew better, he... meskipun ia tahu itu salah, ia.....
thought	kb. 1 pikiran, gagasan, ide. i have a good t. aku mempunyai pikiran yang baik. 2 pemikiran. 3 perhatian. thought-provoking ks. yang menimbulkan pikiran (data). -kk. sedikit. be a t. more polite agak lebih sopanlah sedikit.
thoughtful	ks. 1 tenggang hati, bijaksana (of others). 2 berpikir. he was t. for a while ia berpikir sejenak. 3 dalam (of a book).
thoughtfulness	kb. perhatian, keprihatinan.
thoughtless	ks. tak dipikirkan. to make a t. remark mengucapkan sesuatu tanpa pemikiran.
thoughtlessness	kb. ketidakbijasanaan, kesembronoan.
thousand	kb. ribu. i pay two t. for it saya membayar duaribu untuk itu. -ks. seribu. a t. men seribu orang.
thousandth	kb. perseribu. one t. of an inch seperseribu inci. -ks. keseribu.
thrash	kkt. lih thresh. 1 menebah, mengirik (grain). 2 memukul, membanat, membedal, merangket (s.o.). to t. about in the water menggelepar-gelepar didalam air. -thrashing kb. 1 pemukulan, laberakan, dera(an). 2 menebah, mengirik of grain).
thread	kb. 1 benang. 2 urutan. to pick up the threads again a) meneruskan kehidupan. b) meneruskan cerita lagi. 3 galur, ulir drat (of a screw) 4 berkas. -kkt. 1 memasang benang. 2 membuat galur. 3 menyusup.
threadbare	ks. 1 using sekali,tipis menerawang (of clothes). 2 tua (of a joke).
threat	kb. ancaman. there's the t. of snow ada ancaman (turunnya/jatuhnya) salju. t. on o's life ancaman akan dibunuh.
threaten	kkt. mengancam. to t. s.o's life mengancam jiwa seseorang. -threatening ks. yang mengancam. t. letter surat ancaman.
three	kb. 1 tiga. the big t. (negara) tiga besar. 2 tiga orang. only t. came hanya tiga orang yang datang. -ks. tiga. t. books tiga buku.
threefold	ks., kk. lipat tiga. t. increase kenaikan lipat tiga.
