tempter	kb. penggoda.
timber	kb. 1 kayu. to make a fortune in t. menjadi kaya dalam berdagang kayu. 2 kayu-kayuan, pohon - pohonan. much of his land is in t. sebagian besar tanahnya ditumbuhi kayu-kayuan.
timberland	kb. tanah hutan.
timbre	kb. warnanada.
time	kb. 1 waktu, tempo. to learn to tell t. belajar mengenal waktu (pada jam). 2 jaman, zaman. 3 kali. 4 jam, pukul. 5 musim. 6 masa, waktu. 7 irama. -times j. waktu, zaman. -kkt. 1 mengukur waktu. 2 mengatur, memilih waktu. -timing kb. pemilihan waktu.
timecard	kb. kartu waktu/hadir.
timekeeper	kb. pencatat/penjaga waktu.
timeless	ks. tanpa prhitungan waktu, tanpa batas waktu, tak habis-habis, abadi.
timeliness	kb. berketepan waktu, waktu yang tepat.
timely	ksd. tepat pada waktunya. the meeting was t. rapat itu diadakan pada waktunya. t. departure kepergian yang tepat pada waktunya.
timepiece	kb. jam, lonceng.
timer	kb. alat pengatur waktu.
timesaver	kb. penghemat waktu.
timesaving	ks. yang menghemat waktu. t. appliance alat yang menghemat waktu.
timetable	kb. daftar jam/perjalanan.
timeworn	ks. aus, usang (theory, floor).
timid	ks. 1 takut-takutan, malu-malu (of a person). 2 takut. to make a t. approach to o's boss mendekati majikannya dengan takut. -timidly kk. takut, malu-malu.
timidity	kb. sifat takut-takut/malu-malu.
timorous	ks. takut-takut(an).
timpani	kb., j. semacam drum., tambur, genderang.
tin	kb. timah. made of t. terbuat dari timah. 2 kaleng. pie t. panci pastel dari kaleng. 3 blek. t. can kaleng, blek. -kkt. (tinned) melapisi dengan timah, mengalengkan, menempatkan di kaleng.
tincture	kb. larutan obat dalam alkohol
tinder	kb. rabuk, kawul.
tinderbox	kb. 1 sesuatu yang mudah terbakar (said of a house). 2 seorang yang sangat mudah marah.
tine	kb. gigi (sebuah garpu).
tinfoil	kb. kertas/daun timah.
ting-a-ling	kb. bunyi nyaring dari genta kecil.
tinge	kb. (sedikit) warna. she has a t. of gray in her hair rambutnya telah beruban sedikit. 2 nada (of sadness, reproach in o's voice). -kkt. 1 mencat, mewarnai (hair, water). 2 membubuhi, memberi nada pada.
tingle	kb. gelenyar. -kki. 1 menggelnyar (with excitement, stage fright). 2 terasa gatal. -tingling kb. perasaan geli. t. sensation sensasi/kehebohan yang menggelikan.
tinhorn	kb. sl.: pelagak, sok berlagak, t. soldier serdadu pilihan.
tinker	kb. tukang pateri. not to care a tinkers dam what... sedikitpun tak perduli akan.... -kkt. to t. at menggerupis/menggerumit. to t. with bekerja sembarangan dengan menggerumit. -tinkering kb. mengerjakan sesuatu tanpa keahlian, main-main dengan sesuatu.
tinkle	kb. bunyi dering, kerincing (of bells). -kki. berdering, berkerincing. -tinkling kb. bunyi gemerincing.
tinny	ks. seperti timah.
tinsel	kb. perada kertas-kertas perak ,mas dan timah.
tint	kb. warna. -kkt. memberi warna, mewarnai.
tinware	kb. barang-barang dari timah.
tiny	ks. kecil sekali. she had a t. income penghasilannya kecil.
tip	kb. 1 ujung (of a finger, island, iceberg). 2 uang perten/rokok. 3 petunjuk. 4 nasehat, petuah. 5 info, kabar rahasia. -kkt. (tipped) 1 memberikan uang persen (kepada). 2 (to touch) menyinggung, mengenai. 3 merebahkan, merobohkan.
tipoff	kb. inf.: 1 peringatan. 2 petunjuk (rahasia).
tipper	kb. pemberi (uang) persen, orang yang memberi persen.
tipple	kb. alat untuk memiringkan gerobak batu bara.
tipsy	ks. agak mabuk.
tiptop	ks. inf.: sangat baik. in t. shape dalam keadaan jasmani yang sangat baik.
tirade	kb. semburan kata-kata marah yang berlangsung lama.
tire	kb. ban. -kkt. meletihkan, melelahkan. -kki. menjadi lelah. she tires easily ia lekas lelah. -tired ks. lelah, letih, payah. i feel t. aku merasa lelah. -tiring ks. 1 melelahkan, meletihkan (work). 2 membosankan, menjemukan.
tiredness	kb. kelelahan, keletihan.
tireless	ks. 1 tak kunjung letih, tak mengenal lelah (of a person). 2 tak henti-hentinya (of efforts). -tirelessly kk. tanpa keletihan/kelelahan, terus-menerus.
tiresome	ks. membosankan, menjemukan.
tissue	kb. 1 jaringan. muscular t. jaringan otot. 2 lap/serbet kertas. t. paper kertas yang tipis dan lunak. 3 urat daging. he strained the t. in his leg urat daging kakinya terkilir.
tit	kb. pentil. t. for tat pukulan dibalas dengan pukulan. to give s.o. t. for tat membalas seseorang dengan setimpal.
tithe	kb. semacam zakat, sepersepuluh dari penghasilan (yang diberi gereja). -kki. berzakat.
titillate	kkt. menggairahkan, merangsang.
title	kb. 1 gelar. what's his t. ? apa gelarnya? 2 judul (of a book). 3 hak. 4 sport : kejuaraan. -kkt. memberi judul. t. deed surat bukti hak (milik), sertifikat tanah. -titled ks. bergelar bangsawan.
titleholder	kb. pemegang (gelar) kejuaraan.
titter	titter
tittle-tattle	kb. kabar angin, buah mulut.
titular	ks. tituler, sebagai gelar (saja).
tizzy	kb. sl.: keadaan amat gelisah. to be in a t. over merasa gelisah menghadapi.
tko	[technical knokout] lih technical
tnt	kb. semacam bahan peledak.
to	ks. 1 ke. to go to the bank pergi kebank. 2 kepada. bring the book to me bawakan buku itu (ke)padaku. 3 dengan. did you talk to him ? apakah kau telah berbicara dengan dia. 4 untuk. to drink to the king. minum untuk kehormatan raja. 5 kurang.
toad	kb. katak, kodok.
toadies	lih toady.
toadstool	kb. jamur payung.
toady	kki. (toadied) menjilat, berminyak air (to kepada).
toast	kb. roti panggang. to drink a t. to s.o. minum untuk memberi selamat kepada seseorang. -kkt. memanggang (bread).
toaster	kb. pemanggang roti.
toastmaster	kb. pemimpin (up)acara.
tobacco	kb. tembakau. t. can kaleng tembakau. t. pouch kantong tembakau.
toboggan	kb. sejenis kereta peluncur.
today	kb. hari ini, harini. t. is friday hari ini hari jum'at. -kk. hari ini. they will return t. mereka akan kembali hari ini.
toddle	kki. berlatih, bertatah (of a baby).
toddler	kb. anak kecil yang baru belajar berjalan.
toddy	kb. (j. -dies) minuman keras berbumbu, semacam minuman tuak.
toe	kb. 1 jari kaki. he broke his t. tulang jari kakinya patah. 2 ujung (of shoe, stocking). -kki. to t. in whwn walking berjalan dengan kakinya menghadap kedalam. t. hold tumpuan kaki.
toenail	kb. kuku jari kaki.
toga	kb. jubah.
together	kk. bersama-sama. to study t. belajar bersama-sama. they're always t. mereka selalu bersama-sama.
togetherness	kb. kebersamaan, kekompakan.
togs	kb., j. pakaian.
toil	kb. kerja keras. -kki. bekerja keras, bekerja membanting tulang. to t. up a slope berusaha keras naik tanjakan.
toiler	kb. pekerja.
toilet	kb. 1 kamar kecil, wc, kloset, kakus, toilet. 2 lubang kakus. 3 dandanan, rias. t. articles alat-alat kecantikan/rias. t. paper kertas kloset/kakus. t. soap sabun mandi.
toilsome	ks. berat, melelahkan.
token	kb. 1 tanda. black is a t. of mourning warna hitam adalah tanda berkabung. 2 mata uang, ketipan, dsb. (dipakai untuk telpon otomat, mesin materai dsb). 3 bukti. 4 (tanda) penghargaan. 5 kenang-kenangan.
told	lih tell.
tolerable	ks. 1 dapat ditahankan. 2 lumayan. -tolerably kk. dengan lumayan. t. well lumayan/boleh juga.
tolerance	kb. 1 toleransi, kesabaran, kelapangan dada. to show great t. memperlihatkan sifat sabar. 2 daya tahan. heat t. dayatahan panas. 3 tahan terhadap, dapat menerima (to medicine, drugs).
tolerant	ks. bersikap toleran, sabar. to be t. of bersikap toleran terhadap.
tolerate	kkt. 1 sabar menghadapi (abuse). i won't t. any stubbornness aku tak sabar melihat kedegilan. 2 tahan terhadap (an antibiotic).
toll	kb. 1 bea (cukai). t. charge on a bridge bea untuk melalui jembatan. 2 korban. the disaster took a heavy t. bencana itu meminta banyak korban. 3 bunyi (of bell). -kkt. membunyikan (bell). -kki. berbunyi (of a bell).
tollbooth	kb. pabean.
tollgate	kb. pos cukai/bea.
tom	kb. nama julukan thomas. t., dick and harry orang banyak.
tom-tom	kb. semacam gendang.
tomahawk	kb. kampak orang indian (senjata).
tomato	kb. buah tomat. t. catsup saus tomat. t. juice air/sari tomat.
tomb	kb. kuburan, makam, pusara.
tomboy	tomboy
tombstone	kb. batu nisan.
tomcat	kb. kucing jantan.
tome	kb. buku yang besar dan berat.
tomfoolery	kb. (j. -ries) tindakan gila-gilaan.
tommyrot	kb. sl.: omong/bual kosong.
tomorrow	kb. besok. tomottow's paper suratkabar besok. t. evening besok malam. -kk. besok. i'll see you t. sampai besok.
ton	kb. ton. a t. of coal se-ton batu bara. inf.: he has tons of money uangnya banyak sekali.
tonal	ks. yang mempergunakan gaya suara.
tone	kb. 1 nada. i like the t. of her voice aku senang pada nada suaranya. 2 sifat. colors with soft tones warna-warna yang bersifat lembut. 3 bunyi. 4 kesehatan. -kkt. to t. down berbicara lebih pelan. tone-deaf ks. pekak nada.
tongs	kb., j. jepitan, tang.
tongue	kb. lidah. 2 bahasa. 3 batang/kayu penarik (on a wagon). 4 jazirah (of land). 5 lidah, tutup (in shoes). tongue-lashing kb. cacian yang pedas, dampratan, makian. -tongue-tied ks. kaku lidah, lidah seakan-akan lumpuh.
tonic	kb. 1 med.: obat penguat. t. water air penguat/tonikum. 2 obat kuat. the seashore is a t. to many pantai laut itu merupakan obat kuat bagi banyak orang.
tonight	kb. malam ini. the t. show pertunjukan malam ini. -kk. nanti malam, malam ini. what are you doing t. ? apa kerjamu nanti malam ?
tonnage	kb. tonasi.
tonsil	kb. amandel
tonsillectomy	kb. (j. -mies) pembedahan/operasi amandel.
tonsillitis	kb. radang amandel.
too	kk. terlalu. t. many terlalu banyak. 2 sekali. 3 juga.she's hungry t. dia juga lapar. 4 -pun. we t. are going kamipun akan pergi.
took	lih take.
tool	kb. 1 alat. useful t. alat yang berguna. 2 perkakas, alat. t. box peti perkakas. 3 kakitangan, alat (of gangsters). -kki. to t. up menyesuaikan peralatan. -tooling kb. hiasan yang dibuat dengan alat. leather t. penghiasan kulit dengan alat.
toolmaker	kb. pembuat perkakas.
toot	kb. lengkingan (of a whistle). -kkt. membunyikan. to t. the horn membunyikan klakson. -kki. berbunyi "tutut".
tooth	kb. (j. teeth) gigi. which t. hurts ? gigi mana yang sakit ? -teeth j. gigi. to show o's teeth 1 menunjukkan gigi. 2 bersikap mengancam.
toothache	kb. sakit gigi.
toothbrush	kb. sikat gigi.
toothless	ks. ompong.
toothpick	kb. tusuk/ (pen) cungkil gigi.
toothpowder	kb. tepung gosok gigi.
toothsome	ks. 1 lezat, enak (of food). 2 menggiurkan, menyenangkan (of a girl).
toothy	ks. memeperlihatkan (banyak gigi).
tootsy	kb. (j. -sies) inf.: 1 kaki bayi/kecil. 2 jari kaki.
top	kb. 1 puncak (of a mountain, tree). 2 juara yang terpandai (in a group, class). 3 kap (of car). 4 bubungan (of a roof). 5 tutup. 6 daun-daun. 7 gasing. -ks. 1 paling atas, teratas. 2 tertinggi, paling tinggi. 3 maksimum, paling tinggi. 4 utama.
topaz	kb. ratna cempaka.
topcoat	kb. mantel, jas luar.
topic	kb. 1 pokok (pembicaraan). topics of the day pokok pembicaraan/soal yang hangat hari ini. 2 yang ramai dibaicarakan, buah mulut/bibir.
topknot	kb. jambul (rambut atau bulu).
topless	ks. tanpa penutup dada, dengan dada terbuka.
topmost	ks. (yang paling atas).
topnotch	ks. inf.: ulung, nomor wahid, jempolan.
topographic(al)	ks. yang berkaitan dengan topografi. t. map peta topografi.
topography	kb. (j. -phies) topografi.
topology	kb. topologi.
toponymy	kb. ilmu nama-nama tempat-tempat.
topped	kkt. 1 mengalahkan, melebihi. 2 mengatasi. 3 memangkas puncak (a tree). top-drawer ks. yang paling penting. top-grade ks. bermutu paling baik. top-seeded ks. digolongkan di kelas tertinggi. -topping kb. lapisan diatas (of a cake).
topple	kkt. merobohkan, menjatuhkan (a ruler or government, tree). -kki. tumbang, rebah. the tree toppled to the ground pohon itu rebah di tanah.
topside	kb. geladak/dek atas. to be t. ada di dek atas.
topsoil	kb. bunga tanah (humus).
topsy-turvy	ks. 1 tunggang balik. 2 kacau-balau, kucar-kacir. to turn everything t. membuat semuanya menjadi kacau-balau.
torch	kb. obor, suluh. sl.: to carry a t. for s.o. mencintai seseorang (tapi tidak dibalas).
torchbearer	kb. pembawa obor.
torchlight	kb. cahaya obor. t. procession pawai obor.
tore	lih tear/taer/kkt.
torement	kb. 1 siksaan. 2 kesakitan. 3 kesengsaraan. -kkt. menyiksa.
tormentor	kb. penyiksa.
torn	lih tear/taer/kkt.
tornado	kb. angin taufan.
torpedo	kb. 1 torpedo. t. kapal torpedo. 2 semacam petasan, periuk api. -kkt. 1 mentorpedir (a ship). 2 menggagalkan (a meeting, conference).
torpid	ks. lamban, tumpul.
torpor	kb. kelambanan, ketumpulan.
torque	kb. tenaga putaran.
torrent	kb. 1 aliran air yang deras. the rain came down in torrents hujan turun dengan derasnya. 2 semburan. t. of words semburan kata-kata.
torrential	ks. amat deras, sangat lebat. t. rains hujan-hujan yang amat lebat.
torrid	ks. 1 panas sekali, terik (of weather). t. zone daerah panas/tropis. 2 penuh berahi, bernafsu (of a love scene).
torsion	kb. pilinan, puntiran.
torso	kb. batang tubuh.
tort	kb. law : kesalahan, kerugian.
tortoise	kb. kura-kura darat.
tortuous	ks. 1 berliku-liku (of a road). 2 berbelit-belit (of a line of reasoning).
torture	kb. 1 siksaan. 2 penyiksaan. 3 penderitaan, siksaan. -kkt. menyiksa, penganiaya.
torturer	kb. penyiksa, penganiaya.
toss	kb. 1 lemparan. 2 lenggokan. -kkt. 1 melemparkan, melontarkan (a ball). 2 melambungkan.. 3 menegakkan. 4 melantunkan, memantulkan. 5 menggoyangkan selada supaya kuahnya merata (a salad).
tossup	kb. 1 inf.: kemungkinan yang sama. 2 (peng) undian.
tot	kb. anak kecil.
tot.	[total] jumlah, total.
total	kb. jumlah, total. -ks. 1 total, semesta. 2 mutlak. 3 jumlah. -kkt. 1 berjumlah. 2 menjumlahkan. 3 sl.: menghancurkan samasekali (a car). t.eclipse gerhana sempurna. -totally kk. sama sekali. he is t. blind ia buta samasekali..
totalitarian	ks. totaliter. t. state negara totaliter.
totalitarianisme	kb. totaliterisme.
totality	kb. (j. -ties) 1 keseluruhan. 2 kemutlakan (of an eclipse).
tote	kkt. inf.: menggendong, memikul.
totem	kb. gambar atau patung ukiran yang merupakan lambang suku. t. pole tiang totem.
totter	kki. berjalan terhuyung-huyung. -tottering ks. yang berjalan terhuyung-huyung (of old person).
touch	kb. 1 sentuhan. 2 sedikit. 3 suasana. 4 ketrampilan, kemahiran, kecekatan (of a surgeon). 5 agak. 6 tekanan. 7 sentuhan, goresan (of a brush).
touch-and-go	ks. tak menentu. -touched ks. inf.: sinting, edan. -touching ks. mengharukan.
touchdown	kb. 1 sport : pembuatan, pencetakan, gol. 2 av.: pendaratan.
touchiness	kb. keadaan sangat perasa, keadaan lekas tersinggung.
touchstone	kb. batu ujian.
touchy	ks. tipis telinga, bengkeng.
tough	kb. penjahat. -ks. 1 keras, liat (of meat). 2 kuat (of animals). 3 buruk (of an area). 4 kasar. 5 berat, sulit, sukar (of a job). 6 kuat (of an athlete). -kk. keras. tough-minded ks. keras hati.
toughen	kkt. menguatkan. -kki. menjadi kuat.
toughness	kb. kekerasan.
toupee	kb. rambut palsu.
tour	kb. 1 perjalanan (keliling). 2 tamasya. -kkt. mengelilingi/berkeliling di (europe). t. guide 1 buku petunjuk pariwisata. 2 pengantar tamasya, pengantar perjalanan keliling. t. of duty 1 perpindahan dalam rangka dinas. 2 mil.: pergiliran tugas.
tourism	kb. turisme, kepariwisataan.
tourist	kb. 1 kepariwisataan, turis, orang pelancongan. 2 lih motel.
tournament	kb. turnamen, pertandingan. golf t. turnamen golf.
tourniquet	kb. turniket, alat guna menghentikan perdarahan.
tousle	kkt. mengusutkan. tousled hair rambut kusut.
tout	kkt. memuji, menggebar-gemborkan. he was highly touted for... ia sangat dipuji-puji untuk...
tow	kb. 1 eretan, gandengan, tarikan. a t. of barges seeretan perahu-perahu muatan. 2 tali pengeret (for skiers). -kkt. menyeret, menunda (boat, stalled car). -towing kb. gandengan, eretan, tarikan. t. car/truck mobil penyeret/penarik.
toward(s)	ks. 1 terhadap. 2 ke arah. 3 untuk. 4 menjelang, hampir. 5 kepada.
towel	kb. 1 (h)anduk, tuala. bath t. anduk mandi. 2 lap. 3 serbet. -kki. mengeringkan badan dengan handuk.
tower	kb. menara. observation t. menara pengintai. -kki. menjulang tinggi. -towering ks. tinggi, meluap-luap.
towhead	kb. seorang yang warna rambutnya kuning pucat.
towline	kb. tali/kabel penyeret.
town	kb. kota. country t. kota kecil di pedalaman. to go into t. pergi ke kota.
townsfolk	kb. orang-orang kota.
township	kb. kotapraja.
townsman	kb. (j. -men) orang kota.
townspeople	kb., j. warga-warga kota.
towny	towny
towrope	kb. tali penyeret.
toxic	ks. mengandung racun.
toxicologist	kb. ahli (tentang racun).
toxicology	kb. toksikologi, ilmu tentang racun.
toy	kb. mainan, main-main. t. car mobil-mobilan. t. dog anjing-anjingan. -kki. memepermainkan (beads).
toyshop	kb. toko mainan.
tpk(e)	[turnpike] jalan raya lintas.
tr.	1 [transitive] transitip. 2 [translation] terjemahan.
trace	kb. 1 bekas. 2 jejak (of animals). 3 sedikit. 4 tali-temali. -kkt. mencari (a lost package). 2 menjiplak, meniru (s.t. on paper). 3 mengikuti jejak (animals). 4 menyusut. 5 mengikuti asal (a phone call). 6 menemukan. 7 mencatat. -tracing kb. jiplakan.
tracer	kb. pengusutan (for a missing person, letter). t. bullet peluru bercahaya/(ber)api.
trachea	kb. batang tenggorokan.
trachoma	kb. trakhom(a).
track	kb. 1 rel. to jum the t. keluar rel. 2 jejak, bekas (animal, human). 3 jalan (of a hurricane). 4 olahraga lari. 5 jurusan. -kkt. 1 mengikuti jalan (a satellite). 2 membawa. -tracking kb. pekerjaan mengikuti jalan (hurricanes, satellites).
tracker	kb. 1 pemburu binatang (of animals). 2 alat untuk mengikuti jejak (of satellite).
tract	kb. 1 bidang. t. of land bidang tanah. 2 brosur, buku kecil, risalat. 3 sistim. respiratory t. sistim pernapasan. digestive t. alat pencerna makanan.
tractable	ks. 1 penurut, ta'at (of a child or dog). 2 mudah dikerjakan (of metals).
traction	kb. 1 daya tarik. 2 tenaga tarik. electrik t. tenaga tarik listerik.
tractor	kb. traktor. tracktor-trailer mobil gandeng(an) yang ditarik traktor.
trade	kb. 1 perdagangan. 2 kejuruan, ketrampilan. 3 pembeli, langganan. 4 tukar-menukar. trade-in kb. penukar-tambah. -trading kb. perdagangan.
trademark	kb. cap/merek dagang.
trader	kb. pedagang.
tradesman	kb. (j. -men) pedagang, saudagar.
tradition	kb. tradisi.
traditional	ks. tradisionil.
traffic	kb. 1 lalu-lintas. t. is heavy lalu-lintas sangat ramai. 2 perdagangan. -kki. to t. in berdagang/menjual-beli.
tragedian	kb. 1 pelaku lakon sedih. 2 penulis cerita sedih.
tragedienne	kb. pelaku wanita lakon sedih.
tragedy	kb. (j. -dies) 1 tragedi, lakon sedih, cerita sedih. 2 tragedi, kejadian yang menyedihkan, peristiwa yang sedih.
tragic	ks. tragis.
trailblazer	kb. pelopor, perintis, pembuka jalan.
trailer	kb. 1 rumah gandengan. 2 (kereta) gandengan. 3 pilem yang memperkenalkan pilem yang akan datang.
train	kb. 1 kereta api. 2 pancung (of a dress). 3 deretan. 4 gerombolan. 5 ekor (of a come). 6 jalan. 7 rentetan. -trained ks. terlatih. -training kb. 1 latihan. 2 pendidikan.
trainee	kb. siswa/pengikut latihan.
traineeship	kb. kedudukan sebagai siswa latihan.
trainer	kb. 1 sport : pelatih (of animal). 2 penggembleng. the army is a t. men angkatan darat merupakan penggembeleng bagi orang-orang lelaki.
trainload	kb. sekereta-api penuh.
trainman	kb. (j. -men) 1 pegawai kereta api. 2 pekerja/karyawan kereta-api.
traintime	kb. waktu berangkat kereta api.
traipse	kki. inf.: berjalan kesana-kesini tak tentu arah. to t. through a yard berjalan-jalan tanpa tujuan/tanpa maksud tertentu melewati halaman.
trait	kb. ciri, sifat. character t. ciri pembawaan.
traitor	kb. penghianat. to turn t. menjadi penghianat.
traitorous	ks. bersifat khianat. t. deed perbuatan penghianatan.
trajectory	kb. (j. -ries) jalan/lintasan peluru.
tram	kb. trem (listrik).
trammel	kkt. mengungkung, mengekang.
tramp	kb. 1 orang gelandangan, petualang. 2 derap langkah, celam-celum (of marchers). 3 inf.: wanita "p", pelacur. 4 perjalanan kaki (through the woods). -kkt.,kki berjalan kaki.
trample	kkt. menginjak-injak. to t. s.o. to death menginjak-injak seseorang sampai mati.
trampoline	kb. kain layar yang direntang diatas tanah untuk menampung jatuhnya akrobat-akrobat.
trance	kb. keadaan tak sadarkan diri. she went iinto a t. ia kerasukan, ia tak sadarkan diri. he was like a man in a t. ia seperti seorang yang lupa daratan.
tranguility	kb. kesentosaan, ketenangan.
tranguilize	kkt. menenangkan, meredakan.
tranguilizer	kb. obat penenang.
tranquil	ks. tenang, hening, sentosa.
trans.	1 [transitive] transitip. 2 [translation] terjemahan. 3 [translated] diterjemahkan.
transact	kkt. mengadakan/melakukan transaksi (business).
transaction	kb. 1 transaksi (of business). 2 notulen, catatan.
transatlantic	ks. melintasi samudera atlantik, transatlantik.
transcend	kkt. melebihi, lebih penting dari. national interests t. personal feelings kepentingan-kepentingan nasional lebih penting daripada perasaan-perasaan pribadi.
transcendent	ks. sangat, teramat. of t. importance sangat penting.
transcendental	ks. 1 sangat, teramat. 2 sukar dipahamkan, diluar pengertian dan pengalaman manusia biasa.
transcontinental	ks. antar-benua, melintasi benua.
transcribe	kkt. 1 menulis catatan dengan tulisan biasa. 2 merekam. 3 menuliskan. to t. a word phonemically menuliskan sebuah kata secara fonemis.
transcript	kb. catatan (kata demi kata). academic t. turunan angka-angka akademis.
transcription	kb. rekaman, turunan, tulisan. to make a t. membuat rekaman. phonetic t. tulisan fonetik.
transfer	kb. pergantian (replacement). 2 karcis untuk ganti trem atau bis. 3 serah-terima (of command). 4 pemindahan. 5 pemindahan/pengiriman (of funds). -kkt. (transferred) 1 memindahkan . 2 memindah-tangankan. 3 menyerah-terimakan (command,power) 4 memindahkan.
transferable	ks. dapat dioperkan. "not t." tidak dapat dioperkan.
transference	kb. pemindahan (of power).
transfiguration	kb. perubahan rupa atau bentuk.
transfigure	kkt. merubah rupa atau roman.
transfix	kkt. 1 menombak, menusuk (dengan tombak). 2 memancangkan, menancapkan. to t. s.o. with a spear memancangkan tombak kepada seseorang. 3 membuat terpaku (from terror).
transform	kb. perubahan/pergantian bentuk. -kkt. 1 mengubah (bentuk), menjelmakan. 2 merobah. to t. heat into energy merobah panas menjadi tenaga.
transformation	kb. perubahan (bentuk), transformasi (into menjadi).
transformer	kb. transformator, trafo.
transfusion	kb. transfusi, pemindahan. blood t. transfusi/pemindahan darah.
transgress	kkt. melewati, melampaui. to t. the accepted bounds melanggar batas-batas yang diterima.
transgression	kb. pelanggaran (hukum).
transgressor	kb. pelanggar, orang yang berdosa.
transient	kb. orang pemondok sementara. t. hotel hotel yang didiami untuk sementara waktu saja.
transistor	kb. transistor. t. radio radio transistor.
transistorize	kkt. memperlengkapi dengan transistor. transistorized radio yang memakai transistor.
transit	kb. 1 teodolit. 2 transito, dalam perjalanan. 3 pengangkutan. -kkt. melintasi.
transition	kb. peralihan, transisi. period of t. masa peralihan, pancaroba.
transitive	kb. katakerja transitip. -ks. transitip, berlengkap.
transitory	ks. fana, tidak kekal.
transl.	1 [translated] diterjemahkan. 2 [translation] terjemahan.
translatable	ks. dapat diterjemahkan.
translate	kkt. 1 menterjemahkan, mengalihbasakan (a book). 2 mewujudkan.
translation	kb. 1 terjemahan (of book). 2 (translating) penterjemahan.
translator	kb. penterjemah, alihbahasa.
transliterate	kkt. menyalin huruf dari satu abjad ke huruf abjad lain.
transliteration	kb. penyalinan huruf dari satu abjad ke huruf abjad lainnya.
translucent	ks. tembus cahaya.
transmigrant	kb. transmigran.
transmigrate	kki. berpindah (to ke). to t. into berpindah kedalam (of a soul).
transmigration	kb. transmigrasi, perpindahan, pemboyongan.
transmission	kb. 1 pengiriman (of a message). 2 penularan, penyebaran, penjangkitan (of a disease). 3 auto.: persneling. t. belt pita/tali mesin.
transmit	kkt. (transmitted) 1 mengirimkan (a message, money). 2 menjangkitkan, menularkan, menyebarkan (disease). 3 meneruskan, membawa.
transmittal	kb. pengiriman.
transmitter	kb. pemancar.
transmutation	kb. perubahan.
transmute	kkt. mengubah.
transoceanic	ks. melintasi samudera. t. crossing penyebrangan samudera.
transom	kb. jendela (kecil) diatas pintu.
transparency	kb. (j. -cies) 1 sifat tembus (of material). 2 kelemahan (of an argument).
transparent	ks. 1 jernih, tembus cahaya (of glass). 2 nyata, jelas (of a lie).
transpire	kki. terjadi, berlangsung.
transplant	kb. pencangkokan, cangkok. heart t. pencangkokan/cangkok jantung. -kkt. 1 memindahkan (flowers, a family). 2 mencangkok (an organ, skin).
transplantation	kb. pencangkokan, transplantasi.
transport	kb. 1 pengangkutan. t. company perusahaan pengangkutan. 2 angkutan. 3 kapal pengangkut. -kkt. 1 mengangkut (s.t.). 2 membuat sangat gembira. t. plane pesawat pengangkut.
transportation	kb. 1 pengangkutan. 2 kendaraan.
transpose	kkt. 1 mengubah urutan. 2 mus.: mengubah nada.
transposition	kb. perubahan.
transship	kkt. memindahkan dari satu alat pengangkut ke alat pengangkut lain.
transshipment	kb. pemindahan dari satu alat pengangkut ke alat pengangkut lain.
transverse	kb. garis melintang/potong.
transvestite	kb. orang banci, wadam, orang papak.
trap	kb. perangkap. to lay/set a t. memasang perangkap. 2 lekukan (in a pipe). 3 sl.: mulut. -kkt. (trapped) 1 menjerat, menangkap dengan perangkap (animals). 2 menjebak.
trapeze	kb. rekstok gantung.
trapezoid	kb. segi-empat yang dua sisinya sejalan.
trapper	kb. penjebak, pemasang perangkap/jerat.
trappings	kb., j. hiasan-hiasan.
trash	kb. 1 sampah. the t. is collected today sampah diangkut hari ini. 2 barang rosokan, barang yang tidak berharga. 3 rosokan (of a book, magazine).
trashy	ks. tak bermutu, rosokan.
trauma	kb. luka berat.
traumatic	ks. yang berhubungan dengan luka. t. experience pengalaman menggoncangkan jiwa, pengalaman yang dahsyat.
travel	kb. perjalanan. t. book buku (kisah) perjalanan. -travels j. perjalanan-perjalanan. -kkt. melalui. -kki. 1 mengadakan perjalanan. 2 bepergian. 3 berjaja, berkeliling (for a film). 4 berjalan. 5 pergi. 6 melintas. 7 menempuh.
traveler	kb. 1 orang bepergian, pelancong. 2 wisatawan. 3 (moslem) musafir. traveler's check cek perjalanan/turis.
travelogue	kb. ceramah tentang perjalanan.
traverse	kb. garis melintang. -kkt. melintasi, melewati.
travesty	kb. (j. -ties) 1 parodi, karikatur. 2 ejekan. t. of justice ejekan terhadap keadilan.
trawl	kb. pukat, jaring ikan. -kki. memukat, menjaring.
trawler	kb. kapal pemukat, kapal penarik pukat, kapal pukat ikan.
tray	kb. baki, talam, dulang, penampan.
treacherous	ks. 1 khianat, curang (of a person). 2 berbahaya. t. shoals beting-beting yang berbahaya.
treachery	kb. (j. -ries) penghianatan.
tread	kb. 1 tapak, telapak(an) (on a tire). 2 langkah-langkah (of feet). 3 anak-anak tangga (on stairs). 4 telapak (on rubbers shoes). -kkt. (trod, trodden atau trod) 1 menempuh (a path). 2 menginjak-injak (grapes, water). -kki. to t. on menginjak.
treadle	kb. pedal, tempat injakan kaki.
treadmill	kb. 1 semacam alat jentera yang dijalankan dengan menginjak-injaknya. 2 pekerjaan yang membosankan.
treas.	1 [treasurer] bendahara. 2 [treasury] perbendaharaan.
treason	kb. penghianatan.
treasonable	ks. berkhianat, bersifat khianat.
treasonous	ks. berkhianat.
