reben	o.-way glass.
rukaat	see rakaat.
rukah	turn over.
rukhani	see rohani.
rukhsah	(islam) dispensation (for elderly, ill, etc.) from observing fast : such a person must donate a day's food to poor.
rukiat	1. magic. 2 see rukyat.
ruku	1. sound of cooing. 2. see rukuk.
ruku-ruku	k.o. basil.
rukuh	(islam) prayer robe for women.
rukuk	(islam) deep bow from the waist during prayer ritual.
rukun	1. harmonious. 2. (islam) pillar, essential principle.
rukyat	(islam) determining date by sighting of moon (not by system of hisab), esp. to fix beginning and end of fasting period.
rulet	see rolet.
rum	1. rum. 2. sound of humming (like that of engine). 3. see rom.
rum-rum	see rungrum.
rumah	1 house, dwelling. 2 (coll.) public building. 3 housing (for machinery, etc.).
rumawi	roman.
rumba	the rumba.
rumbah	leaves or salad eaten with rice.
rumbai	tuft, tassel.
rumbang	see rombang-rambing.
rumbia	sago palm.
rumbing	somewhat damaged.
rumet,rumit	1 hard, difficult. 2 complex, intricate, knotty.
rumi	see rumawi.
rumpang	1 have gaps. 2 discontinuous (of time).
rumpik	1 wicked, having bad intentions. 2 (sl.) shit ! (interjection used in jest or admiration).
rumpun	clump (of herbaceous plants). rumpun-bambu bamboo cluster. rumpun-bahasa (ling.) language family.
rumput	1 grass. 2 weeds.
rumuhun	(sunda) ancestor.
rumun	see kerumun.
rumus	1 (chem., etc.) formula. 2 abbreviation.
runcing	pointed (of pencil, arrowhead, etc.).
runcit	see roncet.
runding	confer, discuss.
rundu-randa	(jakarta) come and go (whit a burden).
runduk	stoop, bend, bow.
rundung	afflict.
runggas	pull out.
rungguh	1. squat. 2. pledge, guarantee, security.
runggut	see renggut.
rungkai	see ungkai.
rungkau	hang down like hair over the face or like willow branches.
rungkuh	worn-out, decrepit, aged.
rungkup	1 cover up. 2 spread over.
rungrum	fondle, pet.
rungsing	see rongseng.
rungus	(m) grumble.
rungut	grumble, gripe.
runjak	see lonjak.
runjam	/runjang/ thrust, stab.
runjung	cone-shaped. hantu-runjung k.o. ghost that grows bigger bit by bit.
runtai	me-runtai dangle, hang loosely. se-runtai bunch, cluster.
runtuh	1 collapse. 2 fall out.
runtuk	see rontog.
runtun	1. o. after the other, in a row. 2. pull out.
runtunan	series (of inoculations, regulations, etc.).
runtut	1. in harmony, harmonious. 2. see runtun 1.
runut	trace, groove, furrow.
runyam	(coll.) be in difficulties.
rupa	1 form, shape, appearance. 2 sort, kind.
rupa-rupa	various, diverse, all sorts.
rupa-rupanya	probably, seemingly.
rupawan	good-looking person.
rupek	closed in, stuffy.
rupiah	indonesian monetary unit.
rurubai	hurried.
rurut	1 fall down. 2 slip off.
rus	/ruslan, rusland/ russia.
rusa	deer.
rusak	1 damaged, broken, out of order. 2 depraved.
rusbang	see resbang.
rusia	see rahasia.
rusuh	restless, disturbed.
rusuk	1 side, flank. tulang-iga (anat.) rib. 2 margin, side.
rutan	[rumah tahanan] detention center.
rute	route (of bus line, parade, etc.).
rutin	routine.
rutuk	grumble, cuss.
rutukan	curse, grumbling.
rutup	sound of bubbling.
ruu	(rencana undang-undang] (pol.) draft of a law.
ruwah	see ruah.
ruwat	see ruat 2.
ruwet	complicated, complex, knotty.
ruyak	see royak.
ruyung	1. hard exterior of a palm trunk. 2. k.o. clublike weapon.
ruyup	1 heavy-eyed, sleepy. 2 setting.
rw	1. (rukun warga] administrative unit at the next-to-lowest level in city, consisting of several rts. 2. a euphemism for cooked dog meat (from tombulu minahassan rintek wuuk "fine hair" because dog meat is a specialty of the area).
s	the 19th letter of the alphabet.
s'baya.	[surabaya] surabaya.
s'pura	[singapura] singapore.
s-0	[stratrum nol] nonuniversity degree or program.
s-1	[stratum satu] undergraduate program.
s-2	[stratum dua] master's program.
s-3	[stratum tiga] doctorate program.
s.	1. [sungai] river. 2. [santa, santo] st.
s.psi.	[sarjana psikologi] bachelor's degree in psychology.
s.th.	[sarjana theologi] master of theology.
s/d.s.d.	[sampai dengan] up to and including.
sa	(china) tree, used in bidding and commercial transactions. sa-ban 30,000. sa-ban go 35,000. sa-cap 30. sa-cap go 35. sa-ceng 3,000. sa-ceng-go 3,500. sa-pek 300. sa-pek ceng 300,000. sa-pek go 350. sa-pek go ceng 350,000. sa-tiau 3,000,000.
saadah	/saadat/ bliss.
saal	/sal/ see sal 1.
saat	/sa'at/ 1 moment. 2 instant. 3 at the moment that, when.
saba	(java) frequent a place.
sabak	1. 1) sulking, pouting. 2) dull. 2. (java) slate for school.
saban	1. each, every. saban-saban 1) time and time again, frequently. 2) at some time or another. 3) whenever. 4) (med.) k.o. disease involving incontinence or dribbling of urine. 2. see sya'ban.
sabana	savannah.
sabang	(geog.) the name of the port on the northernmost island off sumatra.
sabar	patient, calm.
sabat	see sabet.
sabda	utterance (of god, muh., jesus, or exalted personage).
sabdaillah	(islam) divine words.
sabel	sabre.
saben	see saban 1.
sabet	1 whip. 2 snatch, grab.
sabetan	1a strike (with a whip), a slash with a whipping motion, action of striking. 2 what is gotten by grabbing.
sabil	(islam) the way.
sabilillah	/sabilullah/ (islam) the way of god.
sabit	1. sickle. bulan-sabit crescent moon (symbol of islam).
sableng	(jakarta) slightly crazy, silly.
sablon	silk-screening.
sabot	sabotage.
sabotage	sabotage.
sabotir	sabotage.
sabrang	see seberang.
sabtu	saturday.
sabuk	belt, sash. sabuk-pengaman/penyelamat seatbelt, safety belt.
sabun	1. soap. 2. white, pale, albino.
sabung	1. (sport) competitive fight between two animals (us. with gambling). 2. flash.
sabur	1 dim, vague. 2 confused.
sabut	husk, fibrous shell. sabut-kelapa coconut fiber.
sadah	betel lime.
sadai	lay on o.'s back with legs extended.
sadak	1. betel lime. 2. slanting.
sadap	1. 1) make incisions in a tree to obtain sap. 2) sample blood. 3) tap, bug (telephone, information, room, etc.). 2. see sedap.
sadaqah	see sedekah.
sadar	1 aware. 2 conscious.
sadarulkalam	(lit.) opening words.
sadel	bicycle or motorcycle seat.
saderek	(java) relation, relative.
sadik	honest, straightforward.
sadir	ammonium chloride.
sadis	1 sadist, sadistic. 2 (coll.) terrific, great.
sadisme	sadism.
