reben	o.-way glass.
rempeyek	k.o. crisp, thin chip made of flour and peanuts, shrimp or small fish.
remplas	1 fig tree. 2 sandpaper s.t. to scour with.
rempu	see remuk.
rempuh	see tempuh.
remujung	k.o. java tea.
remuk	crushed, shattered.
remukan	smashing, crushing.
remunai	see rembunai.
renai	see renyai.
renang	swim. renang-kodok breaststroke. renang-melentang backstroke.
rencah	1. 1) wade through, slough through. 2) face s.t. difficult. 2. mixed, various.
rencana	1 program, plan, schedule. 2 report, account, article. 3 draft.
rencang	sound of clanging.
renceh	see uang.
rencek	(jakarta) clean tree trunk of branches.
renceng	1 slender. 2 a string of s.t.
rencet	1. little by little. 2. see rentet.
rencik	see renik.
rencis	see renjis.
rencong	achenese dagger with curved handle.
renda	lace.
rendabel	economically sound.
rendah	low.
rendahan	subordinate, of lower rank.
rendam	1 submerged. 2 remain in o. place.
rendang	meat simmered in spices and coconut milk.
rendefu	rendezvous.
rendem	see rendam.
rendemen	sucrose content of sugar cane crop or sample.
rendeng	(java) rainy season.
rendengan	pertaining to the rainy season.
rendet	1 slow. 2 stall, get fouled up.
renegosiasi	renegotiation.
renek	vibrate.
reng	(java, sunda) laths used to support or press down roof tiles.
rengas	1. varnish. 2. dried up (of plants).
rengat	1. crack, split. rengat-hati furious. 2. k.o. insect that eats paper.
rengeh	a neigh, whinny.
rengek	mosquito. /re`nge`k/ whine, whimper.
rengekan	whimper, nagging.
rengeng-rengeng	soft singing voice, hum.
renggang	1 distantly spaced, wide apart. 2 loose (of knot).
renggat	ring, concentric grain (in horns, wood).
renggek	see rengek.
rengginang	k.o. crisp cracker made of glutinous rice.
renggut	1 tug at, yank out. 2 obtain s.t. with great endeavor.
renggutan	a jerk, tug.
rengit	(sunda) mosquito.
rengkah	see rekah.
rengkam	k.o. seaweed that grows on sea bottom.
rengkeh	bent (under burden).
rengket	very tightly spaced, cramped (of writting).
rengkiang	elevated rice barn.
rengkuh	(lit.) me-rengkuh tear, pull at.
rengkuhan	pulling.
rengrengan	(java) blueprint.
rengsa	beaten, apathetic.
rengsek	see ringsek.
rengus	sullen, unhappy.
rengut	see rungut.
renik	fine (of rain, rice, etc.).
renjam	see runjam.
renjana	1 emotion. 2 in love, longing.
renjis	spot, stain.
renjul	1 bumpy. 2 crazy, incoherent.
renovasi	renovation.
renta	1. speak in a loud voice, raise o.'s voice (in anger). 2. /re`nta/ worn-out.
rentabilitas	potential for producing a profit, remunerativeness.
rentak	1. 1) all at once, suddenly. 2) together, in a body. 2. stamp o.'s foot. 3. rhythm, beat.
rentan	susceptible (to illness, tantrums, etc.).
rentang	a distance, part of the way.
rentas	see retas.
rente	/renten/ (fin.) interest.
renteng	see renceng.
rentenir	creditor, usurer.
rentet	in line, o. after the other.
rentetan	series, sequence.
renung	1 muse, be wistful. 2 daydream.
renungan	1 meditation, reflection. 2 musing.
