percis	see persis.
permias	[persatuan mahasiswa indonesia di amerika serikat] indonesian students' association in america.
permiintaan	1 request. 2 demand.
permil	per thousand.
permili	permili
perminyakan	petroleum or refinery affairs.
permisi	1 ask permission. 2 ask to be exused (to leave).
permohonan	1 request, appeal, petition. 2 application.
permukaan	surface.
pernafasan	breathing, respiration.
pernah	1. once, ever. 2. (java) be related in a certain way.
pernak-pernik	needless complications, complexities.
pernama	see purnama.
pernel	see pelanel.
pernik	1 small beads. 2 little things.
pernilaian	1.judgment 2.evalution,appraisal.
pernis	varnish.
pernyataan	1 declaration, pronouncement. 2 expression.
perocot	see procot.
perogol	see rogol.
peroi	crumbly.
perokok	smoker, habitual smoker.
peroksida	peroxide.
perolehan	result, achievement, gain, acquisition.
perombakan	1 reorganizing, making radical changes. 2 destroying and rebuilding. 3 renovation.
peron	railroad platform.
peronyok	crushed, crumpled.
perop	see prop 1.
perosok	sink in, slip into.
perosot	see rosot.
perotes	see protes.
perotian	1 matters concerning bread. 2 bakery.
perpaduan	1 merger, unification. 2 blend, synthesis.
perpanjangan	extension, prolongation.
perpati	see merpati.
perpautan	relation, connection.
perpelancongan	see lancong.
perpisahan	1 discord. 2 leave-taking, parting.
perpres	[peraturan presiden] presidential regulation.
perpu	1. [peraturan pemerintah pengganti undang-undang] gvt. regulation to raplace law number... 2. [peraturan pemilihan umum] regulations for the general elections.
perpustakaan	library.
perron	see peron.
pers	press.
persabungan	1 cock (kite, etc.) fight. 2 conflict. 3 pit for cockfighting.
persada	homeland, group of nation that have a connection.
persahabatan	friendship.
persajakan	1 poetry. 2 rhyme
persamaan	1 similarity, agreement. 2 comparison. 3 equality. 4 (math.) equation.
persasat	like, as if.
persawangan	(m) wasteland, dangerous wilderness.
persebaran	the spread, dissemination.
persediaan	1 stock, supply. 2 preparations.
persegi	(math.) 1 sided. 2 square.
persekot	cash advance.
persekotin	1 (coll.) give an advance to. 2 (sl.) make pregnant before marriage.
persekutuan	1 federation. 2 partnership. 3 league, alliance.
perselah	see perslah.
perselisihan	disagreement, quarrel, dispute.
perselokan	drainage system.
persemaian	seedbed, nursery.
persemakmuran	commonwealth.
persemayaman	1 throne. 2 residence.
persembahan	1 tribute, gift. 2 dedication.
persembunyian	shelter, hiding place, hide-away.
persen	1 percent. 2 tip. 3 present to a subordinate.
persenan	percentage or tip given.
persendian	1 pivot, base. 2 the body joints.
persenggamaan	coital act..
persengketaan	contention, dispute, conflict.
persenjataan	armament, arms, weaponry.
persentage	/persentase/ percentage, rate.
persepak-bolaan	soccer affairs.
persepatuan	matters pertaining to shoes and shoemaking.
persepsi	perception.
persepuluhan	decimal.
perserikatan	organization, association, union.
persero	1 share. 2 shareholder, partner. persero-terbatas limited liability company, ltd., inc. see sero.
perseroan	company.
persesaran	faulting, faulting system.
persesuaian	agreement, concurrence, compatibility.
persetan	to hell with.
persetruan	enmity, hostility.
persetubuhan	copulation.
persetujuan	1 treaty, agreement. 2 approval, agreement.
persewaan	rental.
persiapan	1 preparations. 2 set-up, arrangement. 3 supply, equipment, etc., prepared for some purpose.
persidangan	1 meeting, assembly. 2 court session (over several days).
persih	see bersih.
persik	peach.
persil	lot, plot. te-persil protrude, bulge.
persilangan	1 crossing. 2 contradiction, conflict.
persilatan	matters pertaining to systems of self-defense.
persimpang-siuran	1 crisscrossing. 2 confusion, mix-up.
persimpangan	intersection, branching off.
persinggahan	1 stop-over, transit. 2 port of call.
persiraman	(lit.) bathing place.
persis	exactly, precisely.
persit	[persatuan isteri tentara] army wives' organization.
perslah	report, account.
persneling	gear, transmission.
persoalan	1 problem, matter, issue. 2 discussion, debate.
persona	see pesona.
persona-non-grata	persons non grata.
personalia	personnel.
personawi	personal.
personifikasi	personification.
personil	staff, personnel.
perspektif	perspective.
perstatistikan	matters pertaining to statistics.
persuasi	persuasion.
persuasif	persuasive.
persubakan	matter pertaining to this water-control system.
persundalan	1 prostitution. 2 fornication.
persurat-kabaran	press.
persuratan	1 matters pertaining to correspondence. 2 (lit.) literature.
persutraan	matters pertaining to silk.
persyaratan	rules and regulations.
pertadbiran	administration, management.
pertahanan	1 defense. 2 stronghold, fortress.
pertaksian	taxi matters.
pertal	mem-pertal translate. pertal-an translation.
pertalian	1 relation, relationship. 2 connection.
pertama	first, the first.
pertamanan	1 gardens. 2 horticulture, garden affairs.
pertambahan	increase, growth, accretion.
pertambangan	mining, mine workings.
pertambatan	1 ship moorings. 2 connection, relationship.
pertanahan	land affairs, land matters.
pertanda	1 sign, indication, augury. 2 landmark.
pertandaan	indication.
pertandang	(m) visitor.
pertandingan	1 contest, competition. 2 comparison.
pertanggungan	1 responsibility. 2 guarantee, security. 3 insurance.
pertanggungjawaban	pertanggungjawaban
pertanian	agriculture.
pertanyaan	question, query.
pertapa	hermit, ascetic.
pertapaan	1 hermit's abode, retreat. 2 asceticism. 3 penance.
pertapaian	matters pertaining to fermentation.
pertarakan	abstinence.
pertaruhan	1 s.t. placed s.w. 2 bet. 3 savings. 4 articles entrusted to s.o.
pertarungan	fight, struggle.
pertautan	1 contact, bond. 2 joining, uniting. 3 (chem.) linkage.
pertebalan	thickening.
pertebaran	(phys.) dispersion.
pertekstilan	matters pertaining to textiles or textile industry.
pertelaan	proceedings, report.
perteleponan	pertaining to telecommunication.
pertelevisian	matters pertaining to television.
pertembakauan	tobacco affairs.
pertempuran	battle, combat.
pertemuan	1 meeting. 2 companionship.
pertengahan	1 the middle. 2 the average.
pertengkaran	dispute, fracas.
pertenisan	matters pertaining to tennis. dunia-pertenisan world of tennis.
pertentangan	1 conflict, controversy. 2 contradiction, contrast. 3 opposition, resistance.
pertentaraan	1 military barracks. 2 army base.
pertenunan	1 textile mill. 2 textiles.
pertenungan	fortune-telling, soothsaying.
pertepatan	coincidence.
perteraan	print office.
pertigaan	t-intersection.
pertikaian	conflic, controversy, disagreement.
pertikaman	a fight with daggers or similar weapons.
pertimbangan	1 judgment, opinion. 2 consideration. 3 review (of books, etc.).
pertindihan	overlapping.
pertinjuan	1 matters pertaining to fist fighting. 2 fist fight.
pertionghoaan	chinese affairs.
pertiwi	earth.
pertokoan	1 shop matters. 2 shopping complex.
pertolongan	help, aid.
pertopangan	1 contradiction. 2 conflict, dispute.
pertuanan	1 sovereignty, suzerainty. 2 ruling class, upper class. 3 rule, gvt.
pertubuhan	organization.
pertukangan	1 trade. 2 handicraft, craftsmanship. 3 craft, guild, association.
pertukaran	1 exchange. 2 change.
pertulisan	inscription.
pertumbangan	collapse.
pertumbuhan	growth, development.
pertumpahan	spillage.
pertunaian	matters pertaining to cash.
pertunangan	engagement.
pertunjukan	1 show, exhibition. 2 performance.
perturutan	1 continuation. 2 repetitiveness.
pertusis	/pertussis/ (med.) whooping cough.
pertuturan	1 conversation. 2 word, phrase. 3 pronunciation. 4 (ling.) speech act.
peruan	(naut.) yardarm. peruan-gema sonic depth finder.
peruangan	monetary affairs.
perubah	variable.
perubahan	change, alteration.
perugul	see rogol.
peruk	put s.t. in a place.
perukupan	censer.
perulangan	repetition, recurrence.
perum	(naut.) sounding lead.
perumisasi	conversion of state into public corporations.
perumnas	[perusahaan nasional] national housing authority.
perumpamaan	parable.
perumtel	[perusahaan umum telekomunikasi] national telephone and telegraph corporation.
perumuman	1 generalizing. 2 generalization.
perun	1 heap of dried plants for burning. 2 trash, garbage heap.
perundang-undangan	legislation.
perundingan	1 negotiation, deliberation. 2 discussion.
perunggasan	poultry husbandry.
perunggu	bronze.
perungus	1. fiery, hot-tempered. 2. hothead, spitfire.
peruntukan	allotment, allocation.
peruntungan	fortune, luck.
perupahan	wage matters.
peruraian	disentanglement.
peruri	[percetakan uang republik indonesia] the indonesian national mint.
perus	stern, grim.
perusa	1 violate, rape. 2 force, compel. 3 annoy, disturb.
perusahaan	business, enterprise, undertaking, concern.
perusi	see prusi.
perusuh	1 rioter. 2 terrorist (in the 1950s).
perut	(anat.) 1 stomach, belly. 2 womb.
perutusan	delegation, deputation.
perwakilan	1 delegation. 2 agency. 3 representation. 4 (mil.) liaison unit.
perwalian	1 guardianship. 2 custody (of child), trusteeship. 3 protectorate.
perwara	1 (lit.) ladies-in-waiting of queen. 2 ancillary.
perwari	[persatuan wanita republik indonesia] organization of indonesian women, a social and charitable woman's club.
perwarisan	matters pertaining to inheritance.
perwasitan	matters pertaining to referees.
perwatakan	characterization.
perwatasan	(ling.) modification.
perwilayahan	matters relating to districts.
perwira	1 (mil.) officer. 2 brave, courageous.
perwujudan	1 shape, form. 2 realization, materialization. 3 phenomenon.
perzinahan	sexual acts outside of marriage.
pes	bubonic plague.
pes.	[pesawat] (tel.) telephone extention.
pesagi	(coll.) see persegi.
pesai	fall to pieces.
pesak	gusset, patch sewu between sleeves and main part of garment or pants legs and main part of trousers.
pesaka	see pusaka.
pesalin	new suit of clothes.
pesam	lukewarm (of water).
pesan	1 order. 2 order, instruction, command. 3 message.
pesan-pesan	k.o. poisonous centipede.
pesanggerahan	traveler's rest house.
pesanggrahan	see pasanggrahan.
pesangon	separation pay.
pesantren	(islam) school of koranic studies for children and young people, most of whom are boarders.
pesara	see pusara.
pesarean	see pasarean.
pesasir	see pasasir.
pesat	quick, speedy, rapid.
pesawat	1 instrument, machiine. 2 telephone instrument. 3 telephone extension. 4 plane.
peseban	see paseban.
pesek	flat-nosed.
pesenam	gymnast.
peser	half cent of colonial period.
pesero	1. shareholder. 2. see persero.
peserta	participant.
pesiar	1 trip, journey. 2 take a trip, go for a ride, excursion. pesiar-pengantin baru honeymoon.
pesimis	pessimist, pessimistic.
pesimisme	pessimism.
pesimistis	pessimistic.
pesinden	(java) woman singer with gamelan orchestra.
pesing	stench of urine.
pesirah	village chief in s. sumatra.
pesisir	1. beach, coastal area. 2. see pasasir.
pesok	dented.
pesolek	1 o. who uses makeup. 2 a woman who likes to dress up.
pesona	1 enchantment, spell. 2 magic formula.
pesong	crooked.
pesta	party, festivity.
pestaka	1 divining manual. 2 magic formula. 3 magic power investing a weapon or s.t. else.
pestipal	festival.
pestisida	pesticide.
pestol	see pistol.
pesuk	hole.
pesuruh	messenger.
pesut	1. porpoise. 2. cleaning rag.
pet	cap with a visor.
peta	1 map. 2 chart. 3 picture.
petah	petah-lidah 1 eloquent. 2 witty.
petai	k.o. tree that produces beans with pungent odor, widely eaten raw and cooked. peta-cina k.o. tree planted to shade coffee or other plants, the leaves of which serve as fodder and green manure and beans of which are edible.
