percis	see persis.
plester	1 plaster. 2 adhesive plaster. plester-an covered with plaster. /pleste`r/ cement. plester-an cement floor.
pletat-pletot	not neat, not straight, not round.
pletik	onomatopoetic word for s.t. small ejected.
pletikan	a small thing ejected .
pliket	see peliket.
plin-plan	/plintat-plintut/ now this way now that, swaying with the wind, following whatever opinion is dominant.
plin-planisme	tendency to follow whatever idea is dominant.
plintir	see pelintir.
plisir	see pelisir.
plm	[perahu layar motor] k.o. sailboat equipped with auxiliary engines.
pln	[perusahaan listrik negara] state electricity enterprise.
ploi	pleat.
ploksok	connecting pipe socket with two different sizes.
plombir	1 fill (tooth). 2 stop, plug up.
plonci	see pelonci.
plonco	see pelonco.
plong	1 freed of cares, relieved. 2 hole.
plp	[pendidikan latihan pertempuran] (mil.) combat training.
pluit	see peluit.
pluk	sound of splashing water.
plung	sound of splashing water.
plus	1 (math.) plus. 2 having a surplus.
plutokrasi	plutocracy.
plutokrat	plutocrat.
pm	1. [perdana menteri] prime minister. 2. [polisi militer] military police.
pma	[penanaman modal asing] foreign investment.
pmdk	[penelusuran minat dan kemampuan] talent scouting for admission to state university system.
pmdn	[penanaman modal dalam negeri] domestic investment.
pmi	[palang merah indonesia] indonesian red cross.
pmk	[pasukan mencegah kebakaran] fire department.
pn	[perusahaan negara] state enterprise.
pneumonia	/pnemonia/ pneumonia.
png	[papua-nugini] papua-new guinea.
pni	[partai national indonesia] indonesian nationalist party.
po	(china) k.o. card game.
poatang	(jakarta, china) get caught, get found out.
poci	teapot.
pocok	(java) fill a certain position temporarily.
pocokan	/poco'an/ fill-in.
pocong	(java) wrap in a shroud. pocong-an (java) shroud.
podak	see pudak.
podeng	/poding/ pudding.
pof	puffed (of sleeves).
pohbor	see popor.
pohon	1. 1) tree. 2) origin, cause. 2. see mohon.
pojok	1 corner. 2 k.o. newpaper column containing pithy comments on the news.
pojokan	street corner.
pok	see mpok.
pokal	ruse.
pokat	see advokat 2.
poket	(mil.) pocket of uniform.
pokok	1 main, principal, basic, fundamental, base. 2 beginning. 3 capital, stake. 4 subject. 5 reason, central theme. 7 main or lower part of s.t.
pokrol	atorney, lawyer.
pokrol-prokrolan	pettifoggery.
pol	1. 1) complete, fully done. 2) to the fullest extent. 3) filled up. 2. see volt.
pola	1 pattern. 2 system, model of how s.t. is done.
polah	polah-tingkah behavior.
polan	mr. so-and-so, mr. what's-his-name.
polandia	poland.
polang-paling	whirl.
polang-poleng	checkered or camouflage pattern.
polantas	[polisi lau lintas] traffic police.
polarisasi	polarization.
polas-poles	paint, smear s.t.
poldan	1 paid up. 2 finished ! all done ! (in card games, etc.).
polemik	polemic.
poleng	see polang-poleng.
polenter	volunteer.
poles	polish.
polgas	at full speed.
poli	[poliklinik] polyclinic.
poliandri	polyandry.
poligami	polygamy.
poligamis	polygamist.
poligon	polygon.
poliklinik	polyclinic.
polio	1. polio. 2. see folio.
polip	(med.) polyp.
polis	(insurance) policy.
polisi	policeman.
polisionil	having to do with the police.
politeis	polytheist.
politeisme	polytheism.
politeknik	polytechnic.
politik	1 politics, political. 2 policy.
politikus	politican.
politis	political.
politisasi	politicization.
politisi	politicians.
politur	see pelitur.
polmah	(leg.) power of attorney.
polo	(sports) polo.
polok	swallow, bolt down.
polong	1. ghost evil spirit. 2. pod. polong-polong-an legumes of various sorts.
polongan	outlet, drainpipe.
polos	1 smooth. 2 plain (material, paper, etc.). 3 straightforward, without guile.
polowijo	see palawija.
polri	[polisi republik indonesia] indonesian police.
polsus	[polisi khusus] special police.
polsuska	[polisi khusus kereta api] railway police.
polusi	pollution.
polutan	pollutant.
polwan	[polisi wanita] policewoman.
polwil	[polisi wilayah] local police.
pom	[polisi militer] military police.
pomade	pomade.
pombensin	gas station.
pomg	[persatuan orang tua murid dan guru] parent-teacher's association.
pompa	pump.
pompanisasi	provision of water pumps in an area.
pompen	push-ups.
pompong	see kepompong.
pon	[pekan olahraga nasional] national games.
ponakan	see keponakan.
ponco	poncho.
pondamen.	see fondamen.
pondik	arrogant, conceited.
pondoh	edible pith of coconut palm trunk.
pondok	1 cottage, hut, cabin. 2 (islam) muslim boarding school. pondok-an lodgings, rooming house.
pondong	carry in o.'s arms.
ponem	see fonem.
pongah	conceited, stuck up.
ponggang	see siponggang.
ponggawa	see punggawa.
pongo	(java) be open-mouthed from surprise or bewilderment.
poni	bangs.
ponim	see fonem.
ponis	see vonis.
ponok	camel's hump.
ponokawan	see punakawan.
pontang-panting	run helter skelter, in any direction.
ponten	1 marks, grades. 2 points in a game. /ponte`n/ 1 fountain. 2 public bath and toilet.
ponton	pontoon.
ponyard	dagger used by naval cadets.
pop	pop culture.
popi	doll.
popok	diaper.
popokan	ghost. see momok.
popor	rifle butt.
popularitas	popularity.
populasi	population (in a study).
populer	popular.
populis	of popular culture.
popure	(china) talisman.
pora	see pedang, pesta.
porak-poranda	/porak-parik, porak-peranda/ a mess, in disorder.
pordeo	see prodeo.
porek	see porok.
pori	pore.
porkas	[pekan olahraga untuk kesejahteraan sosial] weekly lottery based on soccer scores.
pormil	see formil.
pormulir	see formulir.
porno	pornography.
porok	fork.
poros	axis, pivot, shaft.
porot	1 gnaw at, bite into. 2 steal.
porsekot	see persekot.
porselen	china, porcelain.
porsi	portion.
porstel	proposal, suggestion.
portal	gate (blocking entrance, r.r. crossing, etc.).
portepel	portfolio.
portir	1 ticket collector at gate. 2 porter.
porto	cost of sending s.t. porto-udara air freight costs. bebas-porto sent free of postage.
portret	see potret.
portuges	portuguese.
pos	1 mail. 2 item, entry. 3 post, situation.
pose	pose (in photo).
posing	see pusing.
posisi	position.
