gae, gaek	(coll.) old.
gempul-gempul	panting, out of breath.
gempur	1 attack and destroy. 2 demolish (an argument, idea, etc.). 3 demolish.
gempuran	attack, assault, charge, onslaught.
gemuk	1 fat, corpulent, obese. 2 fat, grease. 3 rich (of oil). 4 fertilizer.
gemulai	1 supple, pliant. 2 swaying (of leaves in wind, etc.).
gemulung	rolling (of waves).
gemuruh	1 thundering, cannonading. 2 camorous, tumultuous.
genah	(java) 1 proper. 2 straightened out, settled.
genang	ber-, meng-, ter- filling a place and not flowing (water). meng-genangi inundate, whelm s.t. genang-an puddle, flooded area (caused by water backup, etc.).
genap	1exactly enough, whole. 2 even (numbers). se-genap all, entire.
gencar	unceasing, incessant, unbroken.
gencat	1 stopped, suspended. 2 stunted (in growth). ter-gencat 1 halted, stopped. 2 oppressed. gencat-an cessation.
gencer	see gencar.
gencet	meng-gencet 1 (jakarta) squeeze, press. 2 urge, press. 3 (jakarta) crush. 4 suppress, crush.
gencetan	1 physical or psychological pressure. 2 suppression.
gendak	(jakarta, java) mistress, concubine.
gendala	hindrance, obstacle.
gendang	1. 1) k.o. drum. 2) mosque drum. 2. a roll (of paper).
gendeng	(java) dumb, stupid.
gender	k.o. metallophone with keys suspended on thongs or cords over sounding tubes, a gamelan instrument.
genderang	k.o. large drum.
genderuwo	see gendruwo.
gendi	see kendi.
gending	(java) musical composition for gamelan.
gendir	see gender.
gendong	meng-gendong carry (esp. children) on the small of the back or the hip, supported by the waist and o. arm, often with the help of a cloth sling, carry (a child) astraddle.
gendruwo	(java) malevolent (male) spirit.
genduk	(java) 1 girl. 2 term of address for girls, esp. as nduk for little girls or for waitress or maid.
gendut	1 corpulent, potbellied. 2 (coll.) pregnant. 3 (coll.) very profitable.
gene	gene.
genealogi	genealogy.
genealogisasi	generalization.
genelalogis	genealogistical.
generalisir	meng-generalize.
generasi	generation.
generatif	(ling.) generative.
generator	generator.
genetika	genetics.
genggam	handful. meng-genggam clutch, hold in o.'s grasp. genggam-an 1 s.t. held in the hand, a handful. 2 grasp, grip, clutch.
genggang	1. 1) ajar, slightly open. 2) fissure, split. ber-, ter- be ajar (of a door, etc.). 2. gingham.
genggong	1. 1) bamboo jew's harp. 2) harmonica. 2. (small) house surrounded by water.
gengsi	1. (lit.) collateral relative. 2. 1) prestige .2) (sl.) put on airs.
gengsot	k.o. dance. ng-gengsot dance such a dance.
genial	genial.
genialitas	geniality.
genit	firtatious, vain.
genitif,genitip	(ling.) genitive.
genjah	early-ripening (of certain rice or fruit varieties).
genjang	1 askew. 2 (math.) rhomboid, parallelogram.
genjer	k.o. edible riverine plant.
genjer-genjer	song associated with indonesian communist party.
genjik	(vul.) an imprecation : you pig !
genjot	meng-genjot 1 operate a pedal or treadle. 2 do s.t. all at once, push s.t. to the limits. 3 (mil.) attack (en masse).
genjur	stiff (of hair).
gensi	see gengsi 2.
genta	bell (in churches, worn by cattle, etc.). ber-genta ring out.
gentar	1 vibrate (of plucked string), quiver. 2 tremble (with fear), fear.
gentas	1 pinched off (with thumbnail), broken off (of stem of flower). 2 finished.
gentat	(lit.) dented.
gentayangan	meander, roam, ramble.
gentel	pill, pellet.
genteng	roof-tile. per-gentengan-an imbrication, overlapping.
gentik	see getik.
genting	1. (lit.) 1) narrow, thin, slender in the middle. 2) frayed, worn thin. 3) critical, tense. 2. see genteng.
gentong	large earthenware bowl for water.
gentus	(jakarta) surly, offensive (of speech, words).
genyot	awry, askew.
geodesi	geodesy.
geofisik	geophysical.
geofisika	geophysics.
geofisikawan	geophysicist.
geografi	geography.
geografis	geographycal.
geokimia	geochemistry.
geol	(sunda) ber-, meng-geol sway, swing.
geologi	geology.
geologis	geological.
geologiwan	geologist.
geometri,geometrika	geometry.
geometris	geometrical.
geopolitik	geopolitics.
geopolitis	geopolitical.
geotermis	geothermic.
gepak,gepak	1. see kepak 1. 2.(jakarta) kick.
gepar	see gelepar.
gepeng	flat and rather thin, us. of s.t. not flat (a cake that fails to rise, a malformed head, a plate rather than a soup bowl, etc.).
geplak	1. (java, jakarta) k.o. sweet cake. 2. meng-geplak strike with the back of the hand.
gepok	bundle, sheaf. gepok-an bundle, sheaf, wad.
geprak	meng-geprak hit with banging sound (us. the head).
gepuk	1. (m) fat, obese. 2. meng-gepuk 1) beat, pound. 2) crack (with hammer).
ger	see also entries with gr- ger.
ger-ger	1 sound of boisterous laughter. 2 sound of snoring.
gera	meng-gera frighten, threaten (by starling actions).
gerabah	earthenware vessels.
gerabak	meng-gerabak trickle, flow (of tears).
gerabak-gerubuk	1 sound of repeated, various thumping noises (of heavy footsteps, falling chairs, futniture being moved). 2 do s.t. hurriedly or without care or regard for others.
gerabang	1 large rip. 2 gaping hole (in wall).
geradakan	1 uneven, coarse (surface, etc.). 2 rough (action, handling, etc.).
geragai	k.o. hook for catching crocodiles.
geragap	meng-geragap be nervous and uncontrolled (of speech). geragap-an hace difficulty speaking (from nervousness, fear, atc.).
geragas	(java) ng-geragas gluttonous.
geragau	1. meng-gerafgau claw at. 2. see udang.
geragot	meng-geragot damage s.t. slightly by nibbling or gnawing at it.
gerah	1. 1) stifflingly hot, sultry. 2) (coll.) sick. 2. see geruh 1.
geraham	molar.
gerai	meng-gerai dig, excavate. 2. (lit.) small stand or platform. 3. meng-, ter be loose (of hair).
gerak	1 movement. 2 twitch, jerk (of eyelid, shoulder, etc., often regarded as an omen). peng-gerakan activation.
geram	1. 1) infuriated. 2 (lit.) passionate.
geramang	k.o. long-legged ant.
gerami	see gurami.
geranat	see granat.
gerang	tooth blackener.
gerang-an	can it be ?, an expression of wondering or double.
geranggang	(java) bamboo spear.
gerantam	sound of cannon, explosion, etc.
gerantang	1 tumult, din, racket. 2 snarl, growl.
geranyam	1. meng-geranyam have a tingling sensation (from striking o.'s funny bone, etc.). 2. (m) meng-geranyang come up in waves (e.g. heat off a tin roof).
gerapai	meng-gerapai grope.
gerasakan	rough (of a surface).
gerat	meng0gerat-kan gnash.
geratak	(jakarta) meng-geratak search, look for (everywhere).
geratih	(m) canter.
gerayang	1. meng-gerayang 1) craw (of insects, snakes, etc.). 2) scratch the head). 2. (jakarta) meng-gerayang grope, esp. probe stealthily (in order to steal).
gerbak	meng-gerbak pervade (of odors).
gerbang	1. disheveled (of hair). 2. gate, esp. ceremonial arches.
gerbangkertasusila	[gersik-jombang-kertosono- surabaya-sidoarjo-lamgongan] metropolitan surabaya area.
gerbas-gerbus	sound of rustling.
gerbong	railway coach.
gercik	see gemericik.
gerdak	sound of s.t. hard falling suddenly.
gerdam	sound of loud slamming. meng-gerdam fall with loud noise (as of heavy object hitting floor).
gerdum	sound of loud thud.
gerebak-gerebek	1 come up (in large number) on s.o. unawares. 2 raid s.t. 3 (jakarta) gang up on s.o.
gerecak	sound of fizzing.
gerecok	meng-gerecok annoy, bother, nag.
gereformeers,gereformir	reformed (church), calvinist protestant sect.
geregetan	tense from restraining pent-up emotions.
gereh	(java) dried salted fish of any kind except enchovy.
gereja	1 church. 2 (coll.) church services.
gerejani	ecclesiastical.
gerejawan	churchman, an ecclesiastical.
gerejawi	ecclesiastical.
gerek	drill. meng-gerek 1 drill (a hole), perforate. 2 bore (of a rodent).
gerelap	see gelap.
geremeng	vibration.
gerendel	(m) see gerendel.
gerendeng	meng-gerendeng strike a threatening posture (e.g. bull about to attack).
gerentang	see gerantam.
gerenyam	see geranyam.
gerenyau	impertinent, saucy.
gerenyeng,gerenying	1 display the teeth (of dog, mongkey, etc.). 2 grin broadly.
gerenyet,gerenyit	1 muscle spasm, twitching (of mucles). 2 sound of squeaking.
gerenyot,gerenyut	1 with the corners of the mouth pulled up or down. 2 sneering, grimacing
gerepes	1. meng-gerepes fidget, fiddle (with o.'s fingers). 2. bergerepes uneven, rough (of a surface, etc.).
gereseh-peseh	see kareseh-peseh.
geresek	sound of rustling.
geret	meng-geret 1 scratch, scrape. 2 screech, squeak. geret-an matches, lighter.
geretak,geretek	meng-geretek 1crackle. 2 gnash o.'s teeth.
geretang	(m) meng-geretang adopt a fighting posture.
gergaji	saw.
gergajul	(jakarta) scoundrel, blackguard.
gergasi	giant.
gerham	see geraham.
gerhana	1. eclipse. 2. in difficulty.
geriap	meng-geriap become small (of drooping eyelids, fading lamps).
geriatri	/geriatria/ geriatrics.
geriatrik	geriatric.
gericau	sound of repetitive twittering or chattering (e.g. birds, geese, monkeys, etc.).
geridik	meng-geridik-kan (bulu roma) make the hair stand on end.
geridip	meng-geridip blink.
gerigi	serration, a serries of notches.
gerigik	k.o. bamboo water-scoop, with a handle.
gerigis	ber-gerigis serrated, cogged (file, etc.).
gerigit	meng-gerigit gnaw at.
gerik	see gerak.
gerilya	guerrilla. ber-gerilya wage guerrilla warfare.
gerilyawan	male guerrilla fighter.
gerilyawati	female guerrilla fighter.
gerim	k.o. coarse flannel.
gerimis	drizzle.
gerincing	sound of thinkling. meng-gerincing-kan jingle s.t. (keys, etc.).
gerinda	grindstone, emery wheel. meng-gerinda hone s.t.
gerindin	(m) suffer from shivers (esp. a horse disease).
gerinding	k.o. jew's harp.
gering	1 (java, jakarta) ill, esp. of animals. 2 (lit.) ill (of royalty). peng-gering 1 sickly. 2 potion to cause illness.
geringsing	1. k.o. batik pattern. 2. see gerising.
gerinjal	see ginjal.
gerinjam	1. whetstone for filling teeth. 2. ear scoop (for clearing outer earduct).
gerinting	k.o. grass.
gerinyau	meng-gerinyau feel itchy.
gerinyit	see gerenyot.
gerip	slate pencil.
geripir	(coll.) court clerk.
gerisik	sound of rustling.
gerising	distort o.'s face (from pain).
gerit	1. sound of scratch (e.g. chalk across black-board). ber-, meng- gerit screech (from scraping), squeak (of chair on floor). 2. meng-gerit nibble, gnaw.
gerit-gerit	k.o. vine yielding k.o. latex.
gerita	see gurita 1.
gerlap	see kerlip 1.
gerlip	see kerlip 1.
germo	1 pimp, procurer, panderer. 2 brothel keeper. per-germo-an matters pertaining to pandering.
germut	meng-germut-i crowd, swarm around.
gero-gero	(java) wail.
geroak	have a large, gaping tear, esp. in clothing.
gerobak	1 cart, wagon. 2 (r.r.) car.
gerobok	1. 1) (jakarta) k.o. bamboo cupboard for food storage. 2) (lit.) large clothes wardrobe. 2. meng-gerobok bubble, gurgle.
gerocok	sound of falling water. ber-gerocok-an foam (of fountain).
gerodak	sound of clattering (stone rolling on floor, stamping of feet, etc.).
gerogi	1 somewhat afraid. 2 embarrassed. 3 dazed, dizzy.
gerogoh	meng-gerogoh(i) grab at, grope.
gerogol	(lit.) palisades.
gerogot	meng-gerogot-i 1 (jakarta) gnaw on (of rats, etc.), chew at. 2 undermine (a plan or duty). 3 embezzle, steal little by little.
gerohok	hollow, empty.
gerombol	assemble, collect.
gerombolan	1 group, bunch, cluster. 2 gang, band (of thieves, etc.).
gerong	1 (jakarta) hole or cavity in the earth. 2 (java) sunken (of eyes).
geronggang	1. k.o. tree yielding house timber. 2. geronggang, geronggong 1) cavity (in tree, etc.), 2) be hollow.
gerontang	sound of erratic chattering or clattering (falling cans, etc.).
gerontologi	/gerontologia/ gerontology.
geronyot	1 throb with pain. 2 twitch.
geropes	see gerupis.
geropyak	(java) sound of a crash. ber-geropyak thump, thud (of tree falling, etc.).
geropyok	meng-geropyok (java) 1 stage a raid, give chase. 2 round up.
geros	1. (jakarta) meng-geros snore. 2. see gros 1.
gerosok	1. sound of rustling (e.g. dry leaves when walked over). 2. meng-gerosok-gerosok wade.
gerowot	see gerogot.
gerpol	[gerilya politik] political guerrilla.
gerr	sound of laughter, snoring, purring of a cat.
gersah,gersak	sound of crackling (e.g. dried twigs, leaves, etc.).
gersang	1 dry, barren (of hair, land, etc.). 2 coarse (of hair).
gersik	k.o. coarse sand.
gertak	1 snarl, snapping. 2 threaten.
gertakan	1 snarling,snapping 2 threat , intimidation 3 spurring (of a horse).
gertap	sound of repeated tapping.
gertik	meng-gertik make a grating noise.
geru	(lit.) meng-geru roar (of tiger, etc.).
gerubuk	see gerabak.
geruduk	(java) meng-geruduk attack en masse.
gerugul	see gerogol.
gerugut	grooved, corrugated.
geruh	misfortune, bad luck .
geruit	see keruit.
geruk	sound of object scraping scross hard surface.
gerumbul	density. meng-gerumbul be gathered in a place.
gerumit	meng-gerumit perform fine, meticulous work.
gerumpung	mutilated, deformed (nose).
gerumuk	meng-gerumuk sit hunched up.
gerumut	swarm.
gerun	overwhelming fear (on seeing a serious car accident, etc.).
gerundang	(m) tadpole.
gerundel	meng-gerundel complain, pout.
gerung	sound of roaring.
gerunggung	k.o. tree.
gerunjal	meng-gerunjal 1 jolt. 2 appear suddenly. 3 cause jolts.
gerup	the portion of the loom in which the comb is fixed.
gerupis	tinker at, putter at (o.'s work).
gerus	shell used to polish cloth.
gerut	1 sound of scratching. 2 scraping, scratching.
gerutan	1 scratch. 2 claw.
gerutu	1. rough, coarse (of texture). 2. say s.t. in complaint.
gerutuan	complain, gripe.
gerutup,gerutus	sound of rattling explosion (of machine gun, firecrackers, etc.).
geruyak	meng-geruyak shake, make s.t. turbulent.
gesa	ber-, (ber)gesa-gesa in a hurry, in haste.
gesek	rub, scrape.
gesekan	1 rubbing, friction. 2 stringed instrument.
gesel,geser	(ling.) fricative.
gesit	1 nimble, adroit, agile. 2 skillful.
gesper	clasp, buckle. meng-gesper-kan buckle (belt, etc.).
gestapu	[gerakan september tiga puluh] september 30th movement, the 1965 attemp to seize control of the gvt.
getah	1 sap, latex, resin. 2 (biol.) gland secretion.
getak-getuk	sound of knocking or pounding (e.g. butcher's cleaver on cutting block).
getang	cover of rthin material (paper, cloth, skin) tightly drawn over an opening.
getap	1. broken. meng-getap grate, crunch. 2. getap ,getapan 1 quick-tempereted. 2 easily shocked.
getar	1 tremble. 2 (ling.) trill.
getaran	1 vibration, quiver, shiver. 2 (ling.) trill. 3 (med.) pulsation. 4 frequency.
getas	1. 1) brittle (of wood, etc.). 2) easily heartbroken, oversensitive. 2. (jakarta) clear, distinct (change, etc.).
getek	1. (jakarta) small raft. 2. see gitik.
getik	meng-getik 1 tap lightly, flick (with finger). 2 nip between o,'s fingers. getik-an a pinch, a nip.
getil	se-getil a pinch of s.t.
getir	1. bitter. 2. see getil.
getis	1 brittle. 2 frail (of health).
getok	sound of pounding.
getokan	stick to hit with.
getol	diligent, industrious, harworking.
getrok	sound of flailing (e.g. palm fronds). meng-getrok strike repeatedly (to remove contenst of can, jar, etc.).
getu	meng-getu crush with fingernail.
getuk	1. (java) k.o. sweet steamed loaf of pounded cassava. 2. see getok.
getun	ke-getun-an surprise, astonishment.
geulis	/gelis/ see gelis.
gewang	1. mother-of-pearl. 2. see giwang.
geyong	(jakarta) large-buttocked.
geyong-geyong	(java) dangle.
gh-	see also entries with g-.
ghaib	see sembahyang, gaib.
gi	(coll.) see pergi.
gia	[garuda indonesian airways] the indonesian national airline.
giam	k.o. hardwood tree.
giat	energetic, active.
gibas	1. see kibas. 2. see kambing.
gidig,gidik	ber-gidig shudder, shiver (e.g. due to gruesome situation).
gigau	see igau.
gigi	1 tooth. 2. toothlike object. 3 cog, gear. 4 edge or extremity.
gigih	1. persevering. 2. half-cooked rice. 3. see gigil.
gigil,gigir	meng-gigir shiver, tremble.
gigir-gunung	(java) mountain ridge, range of hills.
gigis	(java) see kikis.
gigit	bite s.t.
gila	1. 1) insane, crazy. 2) obsessed, infatuated. 2. meng-i, meng-kan (m) look after, take care for s.o.
gila - gilaan	1) foolhardy, foolish. 2) frantic, like mad. 3) exessive, beyond reason.
gilang-cemerlang	glittering and bright.
gilang-gemilang	bright and brilliant.
gilap	meng-gilap lustrous, shining (of s.t. polished).
gilas	meng-gilas 1 crush, pulverize. 2 run over. 3 overrun, cross over.
giles	see gilas.
gili	(m) meng-gili-gili 1 tickle. 2 incite, egg on, needle.
gili-gili	1 bund, earthen dike. 2 sidewalk.
gilik	1. meng-gilik roll over s.t. to crush it. 2. see gili.
giling	meng-giling 1 roll (cigarette, steel). 2 mill, grind (wheat, coffee, pepper, etc.). 3 flatten (s.t. with a roller).
gilir	1 alternate, pass through cycles. 2 take turns.
giliran	1 turn, shift. 2 serve (in tennis).
gim	1. gold thread. 2. 1) the gymnasium of colonial period offering latin and greek courses. 2) attend such a school. 3. see game. (coll.).
gimana	(coll.) see bagaimana.
gimnastik	gymnastics.
gimpal	locket, pendant.
gin	gin.
ginang-ginang	sticky rice sweetmeat.
gincu	lipstick.
ginekolog	gynecologist.
ginekologi	gynecology.
gingsir	see gelingsir.
gini	(coll.) see begini. se-gini this much.
ginjal,ginjel	kidney.
giok	(china0 jade.
gips	1 gypsum. 2 plaster cast (on sprain or fracture).
gir	gear wheel, cogwheel (of car, bicycle, etc.).
girang	glad, happy.
giras	k.o. coarse linen.
girik	1 id card. 2 chit, voucher. 3 title of land ownership (containing land measurements). 4 schedule of rounds by guards.
girik-girik	areca nut crusher.
giring	see temu 1.
giring-giring	1. bell (on bicycle, clothing, etc.). 2. plants used for fertilizer.
giringan	giringan
giris	(java) fel fear and horror.
giro	(fin.) 1 clearing, clearing account. 2 credit transfer. 3 check for deposit only.
giro-pos	1 postal money transfer. 2 postal clearing.
giroskop	gyroscope.
gisar	1. see kisar. 2. see gesel.
gisik	(java) beach.
gisil	see gesel.
gita	(java) hymn, song.
gitar	guitar. ber-gitar play the guitar.
gitaris	guitarist.
gites	(java) meng-gites crush lice between tips of a.'s fingernails.
gitik	(vul., sl.) meng-gitik have sex with a woman.
gitu	(coll.) see begitu. gitu-gitu so-so, all the same. se-gitu that much. gitu-an that sort of (bad, dirty) thing.
giuk	(naut.) guy.
giur	meng-giur-kan 1 arouse sexual excitement. 2 arouse interest, temp.
giwang	ear stud.
gizi	nutrient.
gk	[gaya kuda] horsepower.
gl-	see also entries with gel-.
gl.	[gelar] title.
gladi	rehearsal.
gladiol	/gladiole/ gladiolus.
glasiasi	(geol.) glaciation.
glasir	see glazur.
glaukoma	glaucoma.
glazur	1 glazing (of tile, etc.). 2 tooth enamel. 3 cake frosting.
glek-glek-glek	sound of gulping down liquids.
glendem	/glenggem/ 1. sound of s.t. heavy rolling slowly (wheels of train, etc.). 2. glenggem (java) eat s.t. or put s.t. in o.'s pocket quietly without letting anyone know to avoid sharing it.
gletser	glacier.
glikosa	see glukosa.
gliserin	glycerine.
global	1 global, overall. 2 broad.
glondongan	(coll.) unprocessed timber.
