gae, gaek	(coll.) old.
ganggu	meng-ganggu 1 disturb. 2 disturb, intrude on, interfere with. 3 annoy, molest.
ganggut	meng-ganggut pull, tug.
gangsa	1. brass. 2. k.o. meat dish. meng-gangsa fry with little oil. 3. see angsa.
gangsal	see gasal.
gangsang	see gasang.
gangsar	see gangsir.
gangsing	see gasing.
gangsir	(java) mole cricket. meng-gangsir undermine, dig a tunnel, furrow. peng-gangsir s.t. that burrows.
ganja	1 hemp plant. 2 hashish, marijuana. peng-ganja drug addict.
ganjak	ber-ganjak budge, move a bit.
ganjal	1 a wedge. 2 a prop, support.
ganjar	reward.
ganjaran	1 reward. 2 just deserts, punishment, retribution.
ganjat	1 have a cramp (in muscles, etc.). 2 tangled (of thread, etc.).
ganjel	see ganjal.
ganjen	(coll.) coquettish.
ganjil	1 uneven, odd (of numbers). 2 queer, odd, abnormal.
ganjur	1. k.o. lance or pike. meng-ganjur-i spear s.t. 2. k.o. rice borer. 3. ber-ganjur withdraw, pull back.
gantang	measure of rice equivalent to 3.125 kg, around o. quart.
gantar	stake, post.
gantel	1. (java) meng-gantel-i hang from. 2. stick.
ganteng	handsome, dashing.
gantet	(java, jakarta) stick.
ganthol	see gantol.
ganti	1 substitute, replacement. 2 change (name, clothes, etc.). 3 over (of radio operators).
gantol	(java) meng-gantol catch with a large hook. gantol-an good-sized hook to sieze with.
gantole	hang glider.
gantung	meng-gantung 1 hang (a person) 2 hang up (clothes). 3 adjourn, suspend (a legal case) 4 be suspended.
ganyah	meng-ganyah 1 polish (with sandpaper, etc.). 2 rub or massage vigorously, scrub. 3 strike hard (with a fist).
ganyang	meng-ganyang 1 eat raw, devour. 2 smash, crush. 3 eliminate, wipe out.
ganyar	hard (of uncooked tubers).
ganyong	(java, sunda) k.o. edible tuber.
ganyut	see ganyar.
gaok	(java) 1 k.o. bird, crow. 2 cawing sound. meng-gaok caw.
gap	1 sound of slapping on a table. 2 sound of heartbeat.
gapa,gapah	1. skillful, adroit, agile. 2. gapah see gopoh.
gapai	ber-an, meng-(2) 1 reach for, extend the hand for,grasp after. 2 wave (o.'s hand) to. 3 achieve, attain.
gapak	see gapa.
gapik	see gopoh.
gapil	meng-gapil interfere in.
gapit	pincers, tweezers, clamp.
gaple	dominoes.
gaplek	dried cassava.
gaplok	(java) meng-gaplok slap s.o. on the back.
gapmni	[gabubgab pengusaha makanan - minuman] association of food and drink producers.
gapu	meng-gapu reach, extend to.
gapura	gate, gateway, portal.
gara-gara	1 (java) scene in traditional wayang depicting turbulence and war. 2 turbulence, commotion (in war or of nature). 3 natural phenomenon (earthquake, typhoon, etc.). regarded as an omen (us, bad). 4 just be cause (of).
garage	[garase] see garasi.
garah	1. frighten away, chase away (birds, etc.). 2. garah-garah joking, jesting.
garam	1 salt. 2 a mineral salt. 3 experience, effectiveness (in idioms).
garan	(java) handle.
garandir	meng-garandir guarantee.
garang	1) fierce, cruel, ferocious. 2) vivid (of colors). 3) very strong. 4) angry.
garangan	mongoose.
garansi	guarantee, warrant.
garap	meng-garap work on.
garas	1. shin. 2. meng-garas eat, gobble up.
garasi	garage.
garau	hoarse.
garba, garbha	(biol.) embryo.
garbis	(java) k.o. round, yellow and black melon.
garda	guard.
gardan	(auto.) differential gear.
garden,gardin	see gorden.
gardu	1 guardhouse. 2 bus shelter. 3 (mil.) depot, dump, magazine. 4 (tech.). relay station.
garebek	(java) o. of the three major muslim religious festivals.
gareng	(java) k.o. cicada that appears at end of rainy season. gareng son of semar in java shadow play.
gari	handcuffs. meng-gari handcuff, shackle, manacle.
garib	strange, peculiar, exotic.
garing	1 dry and crispy, crunchy. 2 cool (of a relationship).
garis	1 line. 2 (sport) finish line. 3 frontier, border. 4 (sport) boundaries, bounds.
garisah	instinct.
garit	1. scratch. 2. meng-garit move.
garneren,garnering	[harneren,harnering] (coll.0 cake icing or decoration.
garnisun	(mil.) garrison.
garong	robber.
garpu	fork.
garu	1. harrow. 2. see gaharu.
garuda	1 mythical bird, mounted by god vishnu. 2 bird in official seal of rerpublic of indonesia.
garuk	round up.
garung	1. meng-garung 1 grow, roar. 2 cry or weep loudly. 2 see garong.
garut	meng-garut abrade, chafe.
garwa	/garwo/ (honorific, java) spouse.
gas	1 gas. 2 vapor from gasoline.
gasak	1 fight. 2 hit.
gasal	(math.) uneven, odd (of a number).
gasang	lustful, lecherous, lascivious.
gasing	a top. ber-gasing spin a top.
gasket	gasket.
gasolin	gasoline.
gasung	sandbar.
gatal	1 itch. 2 eager for s.t. (money, etc., but esp. sex). 1 itchiness. 2 irritation.
gatot	(java) sliced dried cassava boiled with coconut milk.
gatra	phrase (in a sentence or in music).
gatuk	(java) match, meet, coincide.
gatutkaca	son of bima, o. of the pendawa brothers in the java wayang.
gaul	ber-gaul associate.
gaun	gown, wedding dress.
gaung	1. echo, reverberation. 2. hole, ravine.
gawai	see gawe.
gawal	mistake, error.
gawang	1 gate. 2 (sport) goal posts. 3 (sport) hurdles. gawang-gawang-an wicket.
gawar	warning sign (us. by means of ropes).
gawat	1 critical, serious, grave. 2 dangerous, risky. 3 bad, terrible.
gawe	(jakarta, java) work.
gawir	(sunda) escarpment.
gaya	1 energy, force. 2 style, form, manner. 3 musical note, melody.
gayal	1 elastic. 2 tough of meat.
gayam	k.o. semicultivated inocarpus tree with pulpy fruits eaten cooked.
gayang	staggering, reeling (from dizziness, drunkenness, etc.).
gayang-gayang	a rack.
gayem	(java) meng-gayem(i) chew the cud.
gayeng	(java) 1 pleasant, warm, cordial (attitude). 2 cheerful, interesting (conversation).
gayuh	1. hang low (of fruit on tree or bush). 2. aspiration, ideal, objective. meng-gayuh achieve.
gayung	1 water dipper, scoop. 2. attack(with sword or blow).
gayut	ber-gayut hang, swing.
gb.	(gambar) illustration.
gbhn	[garis-garis besar haluan negara] (pol.0 broad outlines of the nation's direction.
gbr.	see gb.
gebah	meng-gebah chase away, chase out.
gebang	(java) tall thornless jungle palm with large leaves.
gebar	see kain.
geber	1. meng-geber vibrate (of an engine). 2. meng-geber give too much of s.t.
gebes	meng-gebes-kan move s.t.
geblak	(java) ng-geblak fall backward.
geblas	(java) meng-geblas go away hurriedly.
geblek	see goblok.
geblok	(java) 1 bolt of cloth. 2 wad of money.
gebok	bolt of cloth.
gebos	1. meng-gebos scold, snap at, sanarl at. 2. (java) meng-gebos suddenly let off smoke.
gebrak	sound of a door slamming, board crashing to floor, etc.
gebrakan	1 (karate) blow, chop. 2 blow, slap (on table, etc.).
gebres	(java) sneeze.
gebu	meng-gebu-gebu 1 flare up (of fire, revolt). 2 rage. 3 be tense and excited with enthusiasm, worked up for action.
gebuk	meng-gebuk beat (a drum). meng-gebuk-i pummel, beat up.
gebyah	(java) meng-gebyah-uyah consider all to be the same, make no distinction.
gebyak	(java) meng-gebyak perform, stage.
gebyar	(java) sparkle, shine, glitter.
gebyur	(java) meng-gebyur splash a large amount of water on s.o. or s.t. gebyur-an water splashed out.
gecak	see gecek.
gecar	trembling, fright. meng-gecar shudder, tremle (from fear).
gecek	(java) meng-gecek 1 crush, smash (i.e. food to soften it, etc.). 2 catch, seize, grasp.
gedabah	triangle-shaped gold hair ornament.
gedang	1. large, big. meng-gedang-kan enlarge, increase, expand. 2. (sunda) papaya.
gede	(coll.) big, large. ke-gede-an too big. peng-gede (sl.) big shot.
gedebak	gedebak-gedebuk/gedebur 1 sound of s.t. heavy having fallen. 2 sound of footsteps on a floor. meng-gedebuk-kan stamp s.t. down hard.
gedebar-gedebur	sound of beating or throbbing, beat or throb.
gedeblak-gedebluk	sound of wrestling and fighting.
gedebok	1. (java) trunk of a banana plant, esp. as a place to arrange wayang puppets. 2. see gedebuk.
gedebrak-gedebruk	loud sound of s.t. heavy falling, very loud stamping of the feet.
gedebuk	sound of heavy footsteps. ber-gedebuk with a thud. (ber)-gedebuk-an make a pounding or thudding noise.
gedebum	see gedebuk.
gedebung	square of cloth formed into a pouch often for betel leaves and tobacco.
gedebur	see gedebar-gedebur.
gedek	panel of woven or plaited bamboo (for house walls, etc.).
gedempak	tambourine.
gedempol	fat, obese.
gedeng	(java) sheaf (of rice).
gedobros	(java) ng- talk nonsense.
gedok	meng-gedok weave. gedok-an primitive handloom.
gedombrongan	(coll.) too large (of clothes).
gedoncak	ber-gedoncak beat (of heart).
gedong	fancy house, mansion.
gedongan	having or living in a large, stone house.
gedor	meng-gedor 1 pound on. 2 break in to plunder.
gedruk	(java) meng-gedruk stamp. gedruk-an stamping (of feet).
gedubrak	(java) meng-gedubrak make a sudden popping or crashing noise.
gedubrang	see gedubrak.
gedumbreng	sound of jangling or clanking (e.g. of cans banging against e.o.). gedubrang-an keep making this sound.
gedumel	see kedumel.
gedung	building (us. of brick concrete), edifice. gedung-bertingkat multistoried building. gedung-instansi 1 public building. 2 building owned by a firm.
geduyut	ber-geduyut droop, bend (from heavy branches, etc.).
gegabah	rash, reckless, hasty.
gegak	see gegap 1.
gegaman	hand weapon.
gegaokan	(java) caw.
gegap	gegap-gempita uproarious, noisy, clamorous.
gegar	shaking, swaying. ber-gegar-an tremble, shake, rumble (plurally).
gegares	stuff, gorge o.s.
gegas	lots of movement and activity. ber-gegas-an hurry.
gegat	1. k.o. insect, silverfish. 2 see kegat.
gegau	ter-gegau starled, wake up with a start.
gegep	pliers, tweezers.
geger	1 commotion, tumult. 2 be in a tumult.
gegetuk	see getuk 1.
gegetun	surprised, dumbfounded.
geguyon	joke, make a joke.
gejala	1 symptom, indication. 2 tendency. peng-gejala-an process of be coming conspicuous.
gejolak	1 flaming, fire. 2 fluctuation (in prices).
gejos	sound of sizzling (when water is poured over hot coals, etc.).
gejug	(java) meng-gejug kick in fighting (in martial arts, dance). gejug-an kick, blow with the feet.
gejuju	meng-gejuju build up, pile up (of clouds).
gelabak	see geletak.
gelabur	meng-gelabur plunge into water.
geladah	see geledah.
geladak	1. (naut.) deck. 2. 1) mongrel dog. 2) criminal.
geladi	rehearsal.
geladir	1 mucus, phlegm. 2 slime.
gelagah	wild sugarcane.
gelagak	see gelegak.
gelagapan	1 stutter, stammer. 2 confused, flustered, upsed. 3 losing direction. 4 make gasping noises when drowning.
gelagar	ber-gelagar-an thunder (of cannons).
gelagat	1 sign, indication. 2 symptom. 3 attitude. 4 habits.
gelagepan	see gelagapan.
gelak	1 laughter. 2 laugh, chortle.
gelakak	hearty laugh.
gelam	k.o.melaleuca tree and its bark which is used for caulking.
gelama	1. k.o. sea fish. 2. mucus, phlegm.
gelamai	sweet made of pounded sticky rice, coconut, and sugar. meng-gelamai prepare this sweet.
gelambir	wattle of fowl, jowls, or other watterlike skinfold in animals. ber-(an), meng-gelambir hang down like jowls.
gelandang	(sport) halfback.
gelandangan	vagrant, homeless drifter.
gelang	bracelet. gelang-gelang tapeworm. per-gelang-an circle.
gelanggang	1 circular area in which an event takes place : arena, forum, pit, ring. 2 a round area which forms the backround for s.t.
gelangsar	meng-gelangsar slide, slip up.
gelantar	meng-gelantar bleach, dry in the sun.
gelanting,gelantung	ber-gelantung hang down, dangle, steady o.s. by holding onto s.t. above.
gelantur	meng-gelantur flow forth, come forth.
gelap	1 dark. 2 unclear, obscure. 3 secret, illicit, clandestine(organization). peng-gelap embezzler.
gelapai	meng-gelapai fight feebly (of cocks).
gelar	1. 1) title. 2) academic title, degree. 3) alias. 2. meng-gelar spread out. gelar-an carpet, mat to sit on.
gelas	glass (for drinking). meng-gelas coat kite string with ground glass.
gelatak	1. meng-gelatak tickle. 2. meng-gelatak-i hunt or search through (pockets, drawers, etc.0.
gelatik	k.o. bird that eats rice crops, java finch.
gelayaran	stagger.
gelayut	see gayut.
gelebap	sound of an object falling, plop.
gelebar	ber-, ter flap (of sail, shirt, tail, etc.). meng-gelebar plop o.s. down.
geleber,geleberan	hang loosely, hang in folds (of skin, clothing).
gelebuk	sound of an object falling.
gelebur	meng-gelebur plunge, jump into (a fire, etc.).
gelebyar	ber-fly around.
gelecek,gelecik	meng-gelecek skid, slip, slide.
geledah	meng-geledah search (a building), frisk (a person), ransack.
geledang	meng-geledang extend the arms (as if to ward or hold off s.t. or s.o.).
geledek	thunder, lightning.
geleding	meng-geleding twist, warp (of wood, etc.).
geledur	have folds (of fat around the abdomen).
gelegak	ber-, meng- 1 buble, effervesce, fizz, seethe. 2 wheeze. meng-gelegak-kan bring to a boil, make s.t. seethe or wheeze.
gelegapan	see gelagapan.
gelegar	1. (floor) beam, girder, joint. 2. thundering, rumbling, sound of cannon.
gelegata	itchy rash, prickly heat.
gelek	1. meng-gelek 1 roll over. 2 roll. 3 run over, crush as in mortar. 4 dodge, get out of the way. 2. (sl.) marijuana.
gelekak	meng-peel (of paint, scabs, etc.).
gelekek	meng-gelekek giggle, snicker.
gelemat	(naut.) forecastle.
gelemberan	wattle of fowl.
gelembung	1 bubble. 2 (anat.) vesicle. 3 swollen. ber-, meng-gelembung be inflated.
gelembur	ripple.
gelempang	see gelimpah.
gelemprang	ber-gelemprang high-pitched, piercing (of sound).
gelendong	s.t. to wind s.t. around : bobbin, spool, coil, reel.
gelendot	meng-gelendot pull to attract attention.
geleng	move from side to side (of o.'s head) geleng-an a shake of the head.
gelenggang	see gelinggang.
gelentang	ber-gelentang roll over.
gelentar	see geletar.
gelenyar	meng-gelenyar tingle.
gelepak	sag, collapse (of bridge, etc.).
gelepar	fluttering.
gelepek	hang loosely, hang limply (of flag, etc.).
gelepok	/gelepot/ muddy, muddied.
gelepung	sound of heavy object hitting water.
gelepur	flapping, fluttering (of dying or fighting fowl).
geler	see gilir.
geleser	meng-geleser 1 begin to turn, begin movement. 2 flutter, move agitatedly.
geleta	long-necked jug.
geletak	flounder, flutter. meng-geletak sprawl.
geletar	ber-, meng-geletar 1 shiver, tremble. 2 beat (of o.'s heart).
geletik	meng-geletik 1 move agitatedly, twitch, squirm. 2 make tick-tock sound (of watch or clock). 3 throb, beat (of o.'s heart).
geleting	meng-tinkle (as of ice in a glass).
geletis	meng-geletis twitch, squirm.
geletuk	chattering (of teeth).
geli	1. 1) amused, tickled. 2) ticklish. 3) set o.'s teeth on edge, give o. the creeps. 2. see buah.
geliang,geliang-geliut	writhe, wriggle. ber-geliang wriggle, squirm.
geliat	geliat-geliut writhe, wriggle.
gelibir	see gelimbir.
gelicik	meng-gelicik-kan avoid, evade. ter-gelicik skid, slip.
geliga	see guliga.
geligi	see gigi.
geligir	geligir-hidung bridge of nose.
geligis	meng-geligis 1 tremble, quiver, shudder, shake. 2 chatter (of teeth).
geligit	meng-geligit bite repeatedly.
gelimang	ber-gelimang be soiled, smeared, covered with s.t. wet. gelimang-an shallow pools of liquid, mud, etc.
gelimbir	hang loosely, hang in folds. meng-gelimbir dangle, be pendulous. gelimbir-an sagging.
gelimpah, gelimpang	ber-gelimpah-an be sprawled face up all over.
gelinang	meng-gelinang form in the corners of the eyes (of tears).
gelincir	meng-gelincir slip, skid.
gelincuh	ter-gelincuh stumble.
gelinding	wheel.
gelindingan	caster.
gelinggam	1 red lead. 2 red dye, red paint.
gelinggaman	shudder, get the creeps.
gelinggang	k.o. shrub, used to treat ringworm.
gelingsir	ber-, meng-gelingsir 1 slide or slip down while revolving. 2 descend, go down (of the sun). 3 shift or move downward or forward.
gelinjang	meng-gelinjang 1 jump up and down. 2 wriggle with pleasure.
gelintang	ter-gelintang sprawled.
gelintin	ber-gelinting 1 sticky. 2 thick, concentrated.
gelinting	meng-gelinting 1 roll (cigarette, etc.). 2 writhe, squirm.
gelintir	1 pellet. 2 counter used with small pelletlike objects. 3 counter used with persons. 4 a general all-purpose counter.
gelis	(sunda) lovely, pretty.
gelisah	1 nervous, on edge, restless. 2 worried, concerned.
gelisir	meng-gelisir slide s.t. a short distance.
gelita	see gulita.
gelitar	meng-gelitar struggle, move about to free o.s.
gelitik	1 tickle, tickling. 2 stimulus, incitement, inducement.
geliut	ber-geliut writhe, squirm.
gelo	(java) be disappointed and therefore be hurt and angry.
gelo,gelok	1 out of o.'s mind, crzy. 2 unmannered, foolish.
gelobok	meng-gelobok make a sound like a bottle being filled with water.
gelocak	see gelojak.
gelodar	1. meng-gelodar squirm, writhe. 2. turbid from mud.
gelogok	1. swig (of whiskey), gulp (of water). meng-gelogok 1) gulp down. 2) seethe, boil. 3) spill a large quantity. 2. a threat.
gelohok	ter-gelohok opened wide.
gelojak	ber-, ter-gelojak slap, wash against (of waves against side of boat).
gelojoh	1 gluttonous. 2 greedy.
gelokak	see gelopak.
gelomang	see gelumang.
gelombang	1 a long unbroken wave or swell. 2 phase, facet.
gelompar	meng-gelombar leap or jump up.
gelondang	(ber)-gelondang-an make a resounding sound (e.g. an empty can).
gelondong	roll, bunch.
geloneng	small gong.
gelonggong	ber-gelonggong eat through, nibble at.
gelongsor	see gelosor.
gelonjak	jumping up and down. meng-gelonjang arise.
gelontor	meng-gelontor 1 spray with water in order to remove s.t. 2 drink a great deal.
gelopak	meng-gelopak peel off (of bark, paint, etc.).
gelora	1. 1) seething, tempestuousness, turbulence. 2) enthusiasm, violent passion. ber-, 2. [gelanggang olahraga] sport stadium.
gelosang	meng-gelosang hurry up, speed s.o. up.
gelosok	meng-gelosok rub hard, scrub vigorously.
gelosor	ber-gelosor slip. meng-gelosor slide down.
