senior	1 senior, o. who has more authority, o. with more experience, etc. 2 sr. (after a name). 3 (coll.) male university seniors. 4 (coll.) hazing of incoming freshmen.
senioren	(coll.) hazing of incoming freshmen.
seniorita	(coll.) female university seniors.
senirupa	plastic arts, fine arts.
senirupawan	artist.
seniwati	female artist.
senja	twilight, dusk.
senjak	see sejak 1.
senjang	1. 1) asymmetrical, imbalanced. 2) differing, unlike. 2. see senja.
senjata	1.1) weapon. 2) rifle, gun. senjata-makan tuan 1) s.t. that back-fires, turns against o. 2) evil done to others comes back to the perpetrator. 2. (lit.) a vowel sign in arabic script.
senjolong	see ikan.
senonoh	proper, polite.
senopati	see senapati.
sensasi	sensation, sensational news.
sensasional	/sensasionil/ sensational.
sense	see sinse.
sensitif	sensitive.
sensitivitas	sensitivity.
sensor	/sensur/ censor.
sensus	census.
senta	wooden beam attached lengthwise to the ribs of a boat to support the dect.
sentadu	see belalang 1.
sentak	1. (java) snap at s.o., verbally abuse s.o., tongue-lash. 2. pull, pull out.
sentakan	a jerk, jolt.
sental	see sintal.
sentana	1. (lit.) possible. 2. (java) relative by birth or adoption. 3 (java) cemetery. 4 see sentana 1.
sentap	see sentak 1.
sentara	see sementara 1.
sentausa	see sentosa.
senteng	1. in short supply, fall short, insufficient. 2. see sinting.
senter	1. flaslight, spotlight. 2. (sport) center.
senterhaf	(sport) center half-back.
senteri	see santri.
senterpor	(sport) center forward.
senti	centimeter.
sentiasa	see senantiasa.
sentilan	scolding, criticism.
sentimen	1 grudge, have ill feeling, bias. 2 have or hold a grudge, have ill feelings.
sentimental	sentimental.
sentimentalitas	/sentimentalitet/ sentimentality.
sentimentil	see sentimental.
sentimeter	centimeter.
senting	1. k.o. shrub used for fences or fertilizer. 2. (m) difficult.
sentiong	(jakarta) china graveyard.
sentolop	flashlight.
sentong	(java) small inner room of a house (traditionally used for family ceremonies or as a storage room).
sentosa	1 quiet, tranquil. 2 safe.
sentral	1 central. 2 center.
sentralisasi	centralization.
sentralisme	centralism.
sentralistis	centralistic.
sentrap-sentrup	(java) nasal, esp. of s.o. speaking while weeping or suffering from a cold.
sentrifugal	centrifugal.
sentrifuse	centrifuge.
sentris	centrally (located).
sentrum	1 center. 2 (geol.) centrum.
sentuh	touch.
sentuhan	touch, contact.
sentul	k.o. tall, tree bearing yellow fruit similar to the mangosteen but sour.
sentung-pelalai	a charm which prevents a woman from obtaining a husband.
senuh	full feeling from overeating.
senut-senut	feeling of gnawing pain.
senyak	see nyenyak.
senyampang	1 supposing that, if. 2 (lit.) although.
senyap	1. 1) very quiet, deserted. 2) silent, quiet. 3) sound asleep. 2. see lenyap.
senyar	funny bone, numb sensation from bumping the ulnar nerve in o.'s elbow.
senyawa	1 of o. soul, completely agreed. 2 (chem.) compound.
senyawaan	union, complete mixture.
senyum	smile. senyuman-hambar 1 expressionless smile. 2 forced smile. senyum-kecut a grim smile.
senyuman	a smile.
senyur	1. see sinyo. 2. see insinyur.
seok-seok	/seot-seot/ sound of s.t. dragged.
seorang	1 somebody, someone. 2 alone. 3 one (of persons).
sep	1. (coll.) o. in charge (of an office, railway station, etc.). 2. see sip.
sep-	see also entries with sp-.
sepa	(java, jakarta) flat, uninteresting, with no spices.
sepada	(coll.) anybody in ? (said when entering shop or home).
sepadan	1. 1) suit, match. 2) match, correspond with. 2. having a common border.
sepah	a chew of s.t., remain of s.t. already chewed or sucked on.
sepaham	like-minded.
sepak	a kick. sepak-bola soccer.
sepakan	1 kicking. 2 kick.
sepakat	1 agreed. 2 unanimously, in harmony.
sepakbor	see spatbor.
sepala-pala	if so and so has already gotten started, been done to a certain extent (o. might as well go ahead and finish it, do it the whole way).
sepalek	see spalek.
sepan	tightly, tight.
sepancaran	homologous.
sepandri	private first class (in the colonial army).
sepanduk	see spanduk.
sepang	k.o. tree the wood of which produces a red dye.
sepanjang	see panjang.
sepantar	/sepantaran/ being of the same age as.
sepantun	a little o., a little bit.
sepanyol	spain, spanish.
separasi	separation.
separatis	separatist.
separatisme	separatism.
separuh	/separoh, separo/ see paro.
sepasan	see sepesan.
sepasar	a week.
sepasi	see spasi.
sepat	1. astringent to the taste. 2. k.o. fresh water fish found in flooded rice fields.
sepatah-kata	1 one word. 2 a few words.
sepatbor	see spatbor.
sepatu	shoe, footwear.
sepeda	bicycle. sepeda-balap racing bicycle. sepeda-jengki k.o. old-fashioned bicycle with a v-shaped bar connecting the seat and rear wheel with the handle-bars and front wheel. sepeda-kumbang/motor motorcycle. sepeda-tandem tandem bicycle.
sepekan	one week.
sepekerjaan	colleague.
sepel	(coll.) spell.
sepelan	spelling.
sepele	unimportant and trivial.
sepeling	see speling.
sepelontaran	a stone's throw away.
sepemakaian	complete set of clothes.
sepemeluk	of such circumference that it can just be embraced by a man's arms.
sepen	1 storage cupboard. 2 series of rooms in back used for storage, servants quarters, etc.
sepenanakan	the time needed to boil rice, about 20 minutes.
sepenggalah	see galah 1.
sepeninggal	1 upon or after the departure of. 2 after o.'s death.
seperah	see sufrah
seperai	/seperei/ see seprai.
sepercik	a splatter of.
seperjuangan	sharing in the same struggle.
sepersekian	such-and-such a percent.
seperti	like, as.
sepertiga	a third
sepertinya	1 as it should be, fittingly. 2 it seems that, it is as if.
sepesan	centipede.
sepesial	see spesial.
sepesusuan	of those who have suckled at the same breast.
sepet	see sepat 1.
sepetak	a piece of land.
sepi	1 quiet, still. 2 desolate, .onely. 3 slack (business market).
sepidol	see spidol.
sepih	see serpih.
sepihak	unilateral.
sepintar	as smart as.
sepintas	a second (of time).
sepion	see spion.
sepir	see sipir, spir.
sepit	1 pincer (of lobster, crab, etc.). 2 tongs, tweezers.
sepitan	tongs, pincers, etc.
sepoa	see sempoa.
sepoi	(lit.) sepoy, indian mercenary soldier of colonial period.
sepoi-sepoi	blow softly (of breeze).
sepon	see spon.
sepor	see sepur.
seporos	see poros.
seprai	/sepre, seprei/ 1 bedsheet. 2 coverlet.
seprit	see kue.
sept.	[september] september.
september	september.
sepuh	1. plating material. 2. 1) (java) old. 2) older person.
sepuhan	1. gilt. 2. (coll.) old.
sepulang	upon returning.
sepuluh	ten.
sepur	(r.r.) 1 rail, railroad. 2 train. 3 railway platform.
sepuran	(java) railway fare.
seput	(coll.) fast, quick.
seputar	1 around. 2 in the vicinity. 3 on the subject of.
ser-	see also entries with sr-.
serabi	/serabai/ k.o. rice flour pancake.
serabut	1 fiber. 2 fibrous, coarse.
serabutan	1 fibrous, coarse. 2 chaotic, mixed.
seragam	uniform, of one kind.
serah	(m) bright red.
