alto	kb. 1 penyanyi dengan suara alto. 2 nada suara wanita yang terendah.
apiece	ks. 1 sebuah, sepotong, dsb. the apples are ten cent a. apel itu sepuluh sen sebuah. 2 masing-masing. you may have one cookie a. ambillah kuenya masing-masing satu
aplenty	kk. banyak sekali. he had money a. uangnya banyak sekali.
aplomb	kk. kepercayaan pada diri sendiri. he possessed considerable a. ia mempunyai kepercayaan yang besar pada dirinya.
apocalypse	kb. wahyu, penyingkapan.
apocope	kb. apokope, penghilangan bunyi, huruf, atau suku pada satu perkataan, mis.: tho dari though.
apocryphal	ks. 1 yang sebenarnya diragukan. an a, story cerita yang sebenarnya diragukan. 2 tidak asli. an a. part of the bible bagian injl yang tidak sah.
apogee	kb. 1 titik terjauh dari bumi dalam peredaran suatu satelit. 2 puncak. the majapahit era reached its a. at the time of gajah mada zaman mojopahit mencapai puncaknya pada waktu gajah mada.
apolitical	ks. buta politik, tanpa sifat/hubungan politik.
apologetic(al)	ks. bersifat minta maaf. he sent me an a. letter ia mengirimkan surat minta maaf. kepada saya. he was a. about calling so late ia meminta maaf karena menelpon begitu malam.
apologist	kb. orang yang membela atau mempertahankan suatu pendirian, keyakinan dsb., pembela.
apologize	kki. minta maaf. i apologized to her for coming late saya minta maaf kepadanya karena terlambat datang. i apologized for my appearance saya minta maaf karena pakaian saya kurang pantas.
apology	kb. (j. -gies) 1 permintaan maaf. please accept my apologies terimalah permintaan maaf saya. 2 pengganti yang tidak seimbang. one cup of coffee is only an a. for breakfast semangkok kopi hanyalah pengganti yg tidak seimbang untuk makan pagi.
apoplectic	ks. bersifat, yang berhubungan dengan atau menyebabkan, penyakit apoplexia. a. stroke sawan bangkai.
apoplexy	kb. apoplexia, penyakit pitam , sawan bangkai, ayan.
apostasy	kb. (j. -sies) ridat, kemurtadan.
apostate	kb. orang yang ingkar terhadap agama atau partai.
apostle	kb. rasul.
apostolic	ks. kerasulan, apostolik. a. vicar vikaris apostolik
apostrophe	kb. tanda', tanda apostrof/penghilangan.
apothecary	kb. (j. -ries) ahli obat.
apotheosis	kb. (j. -ses) 1 pendewaan. 2 perwujudan yang sempurna.
appall	kkt. 1 mengerikan, menggemparkan. 2 mengejutkan.
appalling	ks. 1 mengejutkan, mengerikan, menggemparkan. 2 menjijikkan.
apparatus	kb. (j. -ratus atau ratuses) aparat, peralatan, alat, perlengkapan.
apparel	kb. pakaian.
apparent	ks. nyata,jelas kelihatan. the a. size ukuran menurut penglihatan.
apparently	kk. rupanya. a he's not coming today rupanya ia tidak akan datang hari ini.
apparition	kb. 1 hantu. 2 sesuatu yang aneh dan muncul dengan tiba-tiba. the dark a. made the child scream anak itu menjerit ketika melihat bayangan hitam.
appeal	kb. 1 seruan. 2 permohonan (dari hati ke hati) . 3 banding, apel, pertimbangan. 4 daya penarik. kki. to a. a case naik banding (dalam suatu perkara.). --kki. 1 menarik 2 memohon kepada (dari hati ke hati) 3 naik banding.
appealing	ks. menarik.
appear	kki 1 kelihatan. 2 menghadap. 3 muncul 4 terbit. 5 bermain. 6 nampak, tampak, kelihatan. 7 tampil, muncul.
appearance	kb. 1 rupa. 2 kelihatan, penampilan. 3 pertunjukan. 4 keluar dimuka umum. 5 muncul. --appearances j. yang kelihatan. from all appearances kelihatannya, dipandang dari segala segi. to all appearances dalam segala keadaan.
appease	kkt. menenangkan, menentramkan, meredakan. she appreased her mother by making promises ia menenangkan ibunya dengan memberikan janji-janji.2 memenuhi tuntutan. to a. certain countries memenuhi tuntutan-tuntutan negara-negara yang tertentu.
appeasement	kb. 1 penenangan, peredaan, penenteraman. 2 ketenangan, keredaan, ketenteraman.
appellate	ks. yang berhubungan dengan berwewenang dalam naik banding. a. court pengadilan yang berwewenang untuk meninjau kembali putusan hakim.
appellation	kb.sebutan, panggilan, gelar seseorang sebagaimana ia dikenal umum.
append	kkt. membubuhkan. melampirkan, menambahkan. to a. a signature to a document membubuhkan tandatangan pada dokumen. appended to this document is a letter pada dokumen ini dilampirkan sebuah surat.
appendage	kb. 1 anggauta badan. legs are appendages kaki adalah anggauta badan. 2 tambahan, embel-embel.
appendectomy	kb. (j. -mies) pembedahan usus buntu.
appendices	lih appendix
appendictis	kb. radang usus buntu.
appendix	kb. (j. -xes, -dices) 1 med.: usus buntu. 2 tambahan, lampiran. there is an a. to this book buku ini mempunyai tambahan didalamnya.
appertizer	kb. perangsang/pembangkit selera. pickles make good appettizers acar adalah perangsang selera yang baik.
appetite	kb. 1 nafsu makan, selera. a growing boy has a big a. anak laki-laki yang sedang tumbuh mempunyai nafsu makan yang besar. 2 keinginan besar, nafsu, hasrat. he has an a. for research work ia menaruh keinginan besar terhadap pekerjaan penelitian/riset.
appetizing	ks. yang merangsang selera. the food looks a. makanan itu merangsang selera.
applaud	kkt. menghargai/menyambut dengan tepuk-tangan. --kki. bertepuk tangan.
applause	kb. tepuk-tangan, tepukan, sorakan.
apple	kb. buah apel. she's the a. of her father's eye ia kasihsayang ayahnya. a. butter semacam selei apel. a. pie kue tar apel. inf.: as easy as a. pie dengan mudah. to apple-polish inf.: menggula, menjilat, memuji-muji supaya disayangi..
applecart	kb. gerobak memuat aperl inf.: i don't want to do anything to upset the a. cart saya tidak mau melakukan sesuatu untuk mengacaukan usaha itu.
applesauce	kb. saus apel. sl.: that's all a. itu semuanya omong kosong.
appliance	kb. alat-alat. household a. alat-alat rumahtangga.
applicable	ks dapat dipakai. use whatever is a. pergunakanlah apa saja yang dapat dipakai.
applicant	kb. pelamar.
application	kb. 1 (surat) lamaran/permintaan. 2 penggunaaan, pent(e)rapan.3 ketekunan.
applicator	kb. alat pemakai, kwas.
applied	lih apply.
applies	lih apply.
apply	kkt. (applied) 1 memakai, mempergunakan. 2 menginjak. 3 mempergunakan, mengerahkan. 4 memakai, mempergunakan. --kki. 1 berlaku. 2 melamar.
appoint	kkt. 1 mengangkat. 2 menunjuk. 3 menentukan. --appointed ks. ditetapkan.
appointee	kb. orang yang diangkat. he's a political a. ia adalah orang yang diangkat berdasarkan politik.
appointment	kb. 1 pengangkatan, penunjukan. the a. is for two years pengangkatan itu adalah untuk dua tahun. 2 janji. i have an a. with the teacher saya ada janji dengan guru.
apportion	kkt. membagi secara adil. to a. property membagi harta secara adil.
apportionment	kb. pembagian secara adil.
apposite	ks. tepat, pantas. that was an a. remark itu adalah komentar yang tepat.
apposition	kb. keterangan tambahan, (seperti "my sister dalam kalimat "sue, my sister, was married last week" "sue, adik perempuan saya, kawin minggu yang lalu").
appraisal	kb. penilaian, penaksiran, pengharapan.
appraise	kkt. 1 menilai, menghargai. an employer must a. the ability of his employees seorang majikan harus menilai kesanggupan pegawai - pegawainya. 2 menaksir. please a. this diamond for me cobalah taksir intan ini untuk saya.
appraiser	kb. juru taksir.
appreciable	ks. cukup besar, lumayan. the difference in cost was a. selisih biaya itu cukup besar.
appreciate	kkt. 1 menghargai. 2 menilai, menghargai. 3 menyadari, mengerti. to a. the fact memahami.
appreciation	kb. 1 penghargaan, apresiasi. he doesn't show any a. ia tidak memperlihatkan penghargaan sedikitpun. 2 pengertian, pengetahuan, apresiasi. he has no a. for music ia tidak dapat menghargai musik.
appreciative	ks. senang, menghargai, memperlihatkan bahwa ia menghargai. she seemed so a. of our coming ia kelihatannya sangat senang dengan kedatangan kami.
apprehend	kkt. 1 menahan, menawan (a thief). 2 memahami. it impossible to a. what he was saying tak mungkin untuk memahami apa yang dikatakannya. 3 melihat. the thief apprehends danger in every sound maling itu melihat bahaya dalam tiap bunyi.
apprehensible	ks. dapat dipahami/dimengerti. what he said was fully a. apa yang dikatakannya dapat dipahami sepenuhnya.
apprehension	kb. 1 keprihatinan, katakutan pada sesuatu yang akan terjadi. 2 penangkapan, penahanan. 3 kepandaian, pengertian.
apprehensive	ks. kuatir, takut, prihatin, gelisah. he's quite a. about the future ia sangat kuatir pada masa depan
apprentice	apprentice
apprenticeship	kb. pekerjaan sebagai magang, masa belajar suatu keahlian.
apprise	kkt. memberitahukan, memberi kabar. we were appraised of the accident kami diberitahukan tentang kecelakaan itu.
approach	kb. 1 mendekatnya, datangnya, menjelang, tibanya. 2 jalan. 3 perdekatan, pendekatan.
approachable	ks. 1 dapat didatangi. his house is easily a. rumahnya mudah didatangi. 2 mudah ditemui. he's an a. chap ia dapat mudah ditemui.
approaches	kkt. 1 mendekati, mendatangi. 2 berbicara dengan. 3 menemui. 4 hampir. 5 menjelang.
approaching	approaching
approbation	kb. penerimaan dengan baik. everything he did met with a. semua yang dikerjakannya diterima dengan baik.
appropriate	ks. 1 tepat. he came at the a. moment ia datang pada waktu yang tepat. 2 cocok, pantas, kena.. --kkt. 1 menyediakan. 2 mengambil untuk diri sendiri.
appropriateness	kb. kepatutan, kelayakan,kepantasan.
appropriation	kb. derma, pemberian. the school received an a. of $200,00 sekolah itu menerima derma sebanyak $200,000. state a. derma/pemberian oleh negara bagian.
approval	kb. izin, restu, persetujuan. you have my a. to go on the trip saudara mendapat izin saya untuk perjalanan itu. on a. sebagai percobaan. she took the typewriter on a. ia mengambil mesin tik sebagai percobaan.
approve	kkt., kki. menyetujui, setuju.
approved	ks. diakui. an a. college perguruan tinggi yang diakui.
approving	ks. mengakui, menyetujui. she gave him an a. nod ia memberi anggukan yang menyetujuinya.
approvingly	kk. dengan rasa senang/gembira/bangga.
approximate	kkt./ks. kira-kira, kurang lebih. --kkt. 1 berjumlah kira-kira.2 mengira-ngirakan.
approximately	kk. kira-kira. a. how much is it? kira-kira berapa harganya.
approximation	kb. perkiraan, penaksiran, taksiran.
appurtenance	kb. perlengkapan, alat-alat. tvs, radios and other appurtenance of modern life televisi , radio dan lain-lain perlengkapan (tambahan) kehidupan modern.
apr.	april.
apricot	kb. aberikos, aprikot.
april	kb. april. a. fool's day hari pertama bulan april (hari untuk berolok-olok).
apron.	kb. 1 cloth: rok kerja. he is tied to his mother's a. string ia dikuasai oleh ibunya (= selamanya berada dibawah perintah ibunya). 2 pinggir. the plane is parked on the a. kapal terbang itu diparkir di pinggir depan bangsalnya.
apropos	ks. tepat. an a. remark ucapan tepat. a. of mengenai. a. of that, i... mengenai hal itu saya...
apse	kb. sebagian gereja yang menonjol dan berbentuk setengah bundar.
apt	ks. 1 tepat, cocok, kena. 2 tangkas, cerdas. 3 mungkin. 4 suka, condong, mudah. --aptly kk. kena, tepat, jitu. what you have just said is a. put apa yang saudara katakan itu kena sekali.
apt.	(apartement) flat, flet.
aptitude	kb. bakat, kecerdasan, ketangkasan. i have no a. for music saya tak berbakat untuk musik.
aptness	kb. 1 kecocokan. 2 kecerdasan, ketangkasan. 3 kemungkinan. 4 kecondongan.
aquacade	kb. demonstrasi kecakapan-kecakapan olahraga air seperti lompat indah, renang, menyelam, dsb.
aqualung	kb. alat paru-paru air, alat bernafas untuk menyelam (biasanya semacam tengki kecil diikat kepada punggung penyelam).
aquamarine	ks. 1 biru laut. 2 hijau biru.
aquaplane	kb. papan dipakai untuk orang berdiri yang ditarik oleh kapal motor cepat.
aquarium	kb. 1 palung ikan, kolam kaca. 2 gedung untuk memperlihatkan ikan hidup dan tanam-tanaman air.
aquarius	kb. kumba.
aquatic	ks. yang bertautan dengan air. a. plants tanaman-tanaman air. a. sports olahraga air.
aqueduct	kb. saluran/pipa besar untuk jalan air dari jauh, terowongan air.
aqueous	ks. encer.
aquiline	ks. 1 seperti rajawali. 2 (of a nose) bengkok seperti paruh rajawali.
aquiver	kk. gemetar, menggigil. she's all a. with excitement ia samasekali gemetar karena kegembiraan.
arab	kb. orang arab. --ks. arab.
arabian	kb. = arab. --ks. arab. a. horse kuda arab.
arabic	kb. bahasa arab. --ks. arab. a. language bahasa arab. a. numeral angka arab.
arable	ks. baik untuk ditanami. a. land tanah yang dapat/baik untuk ditanami.
arak	kb. arak.
arbiter	kb. juru pisah, wasit.
arbitrary	ks. 1 sewenang-wenang. a. decision keputusan sewenang-wenang. 2 berubah-ubah. an a. character tabiat yang berubah-ubah.
arbitrate	kkt.,kkt mengadili, mengambil keputusan sesudah mendengar kedua belah pihak. to a. alabor dispute memutus/menimbang percekcokan buruh.
arbitration	kb. perwasitan, arbitrasi.
arbitrator	kb. wasit, juru pisah.
arbor	kb.1 punjung, anjang-anjang. 2 rumah kecil (di halaman) yang dinaungi oleh tanam-tanaman yang menjalar.
arc	kb. busar. --kki. (arced /arkt) memancarkan (bunga api listrik). the wires arced when they touched kawat-kawat itu memancarkan bunga api listrik ketika bersentuhan.
arcade	kb. 1 gang beratap. 2 gedung yang mempunyai gang yang beratap biasanya ditempati toko-toko.
arch	kb. lengkungan. a. of the instep bagian telapak kaki yang melengkung..-- arches j. tapak, telapak. fallen arches kaki dengan tapak yang rata, tapak rata. --kkt. 1 melengkungkan. 2 membuat jalan masuk dengan pedang-pedang terangkat.
archaeological	ks. kepurbakalaan. a. service dinas purbakala.
archaeologist	kb. ahli (ilmu) purbakala.
archaeology	kb. ilmu purbakala.
archaic	ks. tidak dipakai lagi, kuno, kolot, lama. an a. expression perkataan yang tidak dipakai lagi
archaism	kb. perkataan kuno/kolot, arkhaisme.
archangel	kb. malaekat yang terpenting.
archbishop	kb. uskup besar.
archbishopric	kb. keuskupan agung.
archdiocese	kb. keuskupan agung.
archduke	kb. pengeran dari kerajaan austria dan beberapa negara lain zaman dahulu.
archenemy	kb. (j. -mies) musuh utama/terbesar.
archeologist	= archaeologist
archeology	= archaeology
archer	kb. pemanah.
archery	kb. panahan, (seni) pemanahan.
archetype	kb. pola dasar. that old model-t is the a. of the ford model-t yang kuno itu merupakan pola dasar bagi ford tahun 1968.
archipelago	kb. nusantara.
architect	kb. ahli bangunan, arsitek.
architectural	ks. yang bertautan dengan arsitektur. a. engineer insinyur bangun-bangunan.
architecture	kb. ilmu bangunan, arsitektur.
archives	kb., j. 1 arsip. 2 tempat penyimpanan dokumen-dokumen.
archivist	kb. petugas/juru arsip, arkhivaris.
archrival	kb. lawan utama, saingan yang paling besar. the two high schools are archrivals kedua sma itu lawan utama.
archway	kb. bagian terbuka/jalan dibawah atap yang melengkung.
arctic	kb., ks. 1 arktik, (kutub) utara. a. circle lingkaran daerah kutub utara. 2 sangat dingin. a. weather hawa yang sangat dingin. --arctics j. sepatu panas yang tahan air meliputi sepatu biasa. (dipakai di daerah dingin).
ardent	ks. sangat rajin. she's an a. student of languages ia seorang pelajar bahasa-bahasa yang sangat rajin. 2 birahi, bergairah bernafsu. he is an a. lover. ia pencinta yang birahi. ia pencumbu yang berapi-api. ia kekasih/perayu yang bergairah.
ardor	kb. 1 semangat. patriotic a. semangat yang patriotik. 2 hasrat, keinginan. his a. overwhelmed her kegairahannya menundukkan hati wanita itu
arduous	ks. sukar, sulit. an a. task tugas yang sulit. an a. path jalan kecil yang sukar.
are	lih be
area	kb. 1 daerah, tempat. this a. is roped off daerah ini ditutup. 2 luas (daerah). what is the a. of this park? berapakah luas taman ini? 3 bidang. the a. of physics bidang fisika.
areca	kb. pinang. a. nut buah pinang.
aren't	(are not) a. you coming? apakah kau tidak datang? lih be.
arena	kb. 1 gelanggang. 2 tempat pertandingan. boxing a. tempat pertandingan/gelanggang tinju.
argot	kb. bahasa/dialek sesuatu golongan political a. dialek politik.
arguable	ks. dapat didebat/disangkal. an a. point pasal yang dapat didebat.
argue	kkt. 1 memperdebatkan, menentang, membantah. 2 mendesak, menganjurkan (dengan kuat).3 membuktikan, memperlihatkan. --kki membantah. to a. against menentang, membantah. to a. for mengusulkan, mendesak.
argument	kb. 1 perbedaan pendapat, percekcokan. 2 alasan, penyanggahan. 3 uraian, penjelasan.
argumentation	kb. argumentasi, uraian, pembuktian.
argumentative	ks. suka menentang/mendebat. an a. person seorang yang suka menentang.
argus-eyed	ks. sangat awas, bermata tajam.
aria	kb. nyanyian tunggal.
arid	ks. 1 gersang, kering. a. land tanah gersang. 2 membosankan, tak menarik, memualkan. an a. field of study lapangan studi yang membosankan
aries	kb. burjamhal.
arise	kki. (arose,arisen) 1 bangun. we a. each morning at 7 kami bangun tiap hari jam 7. 2 timbul. a storm arose angin ribut timbul. 3 berdiri. he arose from the chair ia berdiri dari kursi.
arisen	lih arise.
aristocracy	kb. (j. -cies) 1 aristrokrasi, keningratan. 2 kaum ningrat
aristocrat	kb. anggauta golongan bangsawan, orang ningrat.
aristocratic	ks. 1 aristokratis. he has an a. attitude ia sikapnya aristokratis. 2 bangsawan. he is of an a. family ia berasal keluarga bangsawan.
arithmetic	kb. ilmu hitung/hisab.
arithmetical	ks. mengenai/berhubungan dengan ilmu hitung. an a. problem persoalan mengenai ilmu hitung
ariz.	(arizona) negara bagian di as.
ark	kb. tabut, jung (bahtera nabi nuh), perahu, bahtera.
ark.	(arkansas) negara bagian di as.
arm	kb. 1 lengan. 2 tangan. 3 kekuasaan wewenang. --arms j. senjata, persenjataan. -- kkt. 1 mempersenjatai. 2 memperlengkapi. -armed ks. bersenjata.
armada	kb kesatuan kapal - kapal perang.
armament	kb alat perang . (s) j alat - alat perang.
armature	kb. 1 angker dinamo. 2 perlindungan (of an animal).
armband	kb. ban lengan.
armchair	kb. kursi tangan. a. general jenderal (yang hanya duduk dibelakang meja)
armful	kb. serangkul(an). an a. of books serangkul(an) buku.
armistice	kb. gencatan senjata.
armless	ks. tanpa lengan.
armload	kb. sepemuatan/sepenuh kedua belah tangan. an a. of books buku sepemuatan kedua belah tangan.
armor	kb. baju baja (biasanya dipakai waktu perang zaman dulu). a. plate lapis baja. untuk pelindung kapal perang, teng, mobil dsb.
armored	ks. berlapis baja. an a. car mobil berlapis baja. a. cruiser kapal penjelajah berlapis baja.
armory	kb. (j. -ries) 1 gudang persenjataan. 2 pabrik senjata.
armpit	kb. ketiak, kelek.
armrest	kb. 1 tangan kursi. 2 tangan-tangan di mobil dsb. untuk meletakkan lengan.
army	kb. (j. mies) 1 tentara, bala tentara, lasykar, asykar. to join, enter or go into, the a. masuk tentara. a. surplus barang-barang kelebihan tentara. 2 (ground forces) angkatan darat. a.cadet teruna, taruna, pelonco. a. corps korps ketentaraan. .
aroma	kb. bau harum. the a. of coffy bau harum kopi.
aromatic	ks. berbau sedap/harum. a. flower. rasa yang harum.
arose	lih arise.
around	kd. 1 keliling, sekitar. 2 inf.: dekat-dekat. 3 inf.: terserak-serak sekeliling --kk. 1 inf.: kira-kira. 2 disekitarnya.
arouse	kkt. 1 membangunkan. she tried to a. her mother ia mencoba membangunkan ibu. 2 menimbulkan her actions aroused my suspicion tingkah lakunya menimbulkan kecurigaanku. 3 menggetarkan., menggerakkan.
arrack	= arak.
arraign	kki. 1 mendakwa, menuduh, menyalakan. to a. s.o. on a charge of manslaughter mendakwa seseorang atas tuduhan pembunuhan. 2 menghadapkan (in court).
arraignment	kb. tuduhan, dakwaan.
arrange	kkt. 1 menyusun, menata. 2 mengadakan. 3 mengatur. 4 menyusun, mengubah. 5 menetapkan
arrangement	kb. 1 rencana 2 susunan, rencana. 3 aransemen, susunan musik. 4 persiapan. 5 penetapan.
array	kb. 1 kesatuan tempur/perang, susunan, aturan. 2 perhiasan, dandanan. 3 pertunjukan, pameran. --kkt. mengatur, mempersiapkan, menyusun.
arrears	kb. tunggakan. our rent was in a. for several monts sewa kami tertunggak beberapa bulan.
arrest	kb. penangkapan, penahanan. --kkt. 1 menangkap, menahan. 2 menawan. 3 menahan (pertumbuhannya, penyebarannya,dsb). under a. ditahan, ditangkap.
arresting	ks. yang menawan, yang menarik hati.
arrival	kb. 1 kedatangan, sampainya, tibanya. a. time waktu tiba. 2 yang baru datang. the new arrivals pendatang-pendatang baru itu. on a. setibanya. he was dead on a. at the hospital setibanya di rumah sakit, ia meninggal.
arrive	kki. 1 tiba, sampai. 2 datang. 3 mencapai (hasil). to a. at 1 mengambil, mencapai. 2 tiba di (a place).
arrogance	kb. kecongkakan, kesombongan, keangkuhan.
arrogant	ks. congkak, sombong, angkuh.
arrogate	kki. merebut. he has arrogated to himself the authority formely held by his chief ia merebut kekuasaanya yang dulu di pegang oleh majikannya untuk diri sendiri.
arrow	kb. 1 (anak) panah. 2 tanda panah. the a. points to utica (tanda) panah itu menunjuk ke utica.
arrowhead	kb. kepala/mata/ujung panah.
arrowroot	kb. ararut.
arrt	kb. 1 seni. a. of teaching seni mendidik. 2 kesenian, seni. art and crafts seni dan kerajinan tangan.. 3 lih be. --arts j.ilmu-ilmu sastra.. arts college, faculty of arts fakultas sastra.
arsenal	kb. 1 gudang senjata. 2 penyimpanan alat senjata.
arsenic	kb. warangan, berangan.
arson	kb. pembakaran rumah dengan sengaja.
arsonist	kb. pembakar rumah (dengan sengaja), tukang sundut. penunu.
arterial	ks. yang bertautan dengan urat nadi. a. highway jalan raya yang terpenting, pusat lalu lintas yang berhubungan dengan jalan-jalan lain.
arteriosclerosis	kb. penyempitan pembuluh nadi, pengerasan nadi.
artery	kb. (j. -ries) pembuluh/buluh nadi, urat nadi/denyut. main a. of traffict urat nadi lalulintas jalan raya.
artful	ks. licik, licin. a. schemes rencana - rencana yang licik.
arthritic	kb. he's an a. ia menderita encok. --ks. yang bertautan dengan encok. a. pains sakitnya encok.
arthritis	kb. radang sendi.
arthropod	kb. arthropoda.
artichoke	kb. semacam tumbuhan yang bunganya dimakan sebagai sayur.
article	kb. 1 karangan, tulisan ( dalam suratkabar, majalah). 2 barang, benda. 3 pasal.
articulate	kkt./ ks. pandai berbicara, pandai mengeluarkan pikirannya. --kkt. mengucapkan kata-kata dengan jelas. --kki. bersambung.
articulation	kb. 1 artikulasi, pengucapan. a. of the words artikulasi kata-kata. 2 sambungan. a. of the bones sambungan/persendian tulang-tulang.
artifact	kb. benda, barang-barang hasil kecerdasan manusia seperti perkakas, senjata dsb.
artifice	kb. kelicikan, kecerdasan. she used every a. to gain her end ia mempergunakan segala macam kelicikannya untuk mencapai tujuannya.
artificial	ks. 1 buatan, bikinan. a.fertilizer pupuk buatan. 2 tiruan, palsu. a. flowers bunga-bunga tiruan/kertas. 3 dibuat-buat. her smile is a. senyumannya dibuat-buat.
artificiality	kb. (. -ties) kepalsuan, sifat/corak tiruan. the a. of her smile kepalsuan senyumannya.
artikulatory	ks. yang berhubungan dengan artikulasi. a. position kedudukan (alat-alat bicara) pada waktu mengucapkan.
artillery	kb. artileri, pasukan bagian meriam.
artisan	kb. pekerja tangan yang ahli, mis.: tukang batu, tukang kayu.
artist	kb. 1 seniman, artis. 2 (female) seniwati.
artistic	ks. artistik.
artistry	kb. (j. -ries) ketrampilan seniman.
artless	ks. 1 tanpa seni/keahlian. 2 naif, bersahaja. a. questions pertanyaan-pertanyaan yang naif. alamiah. a. beauty keindahan alamiah.
arty	ks. inf.: sok seniman. he is a member of the a. set ia anggota golongan sok seniman.
as	kk. 1 sebagai. 2 seperti. 3 selama, sambil, seraya. as far as 1 sampai, sejauh. 2 sepanjang, setahu. 3 bagi. as for 1 kalau. 2 mengenai, tentang. as good as praktis, boleh dikatakan. as long as selama, mumpung. as much sebanyak itu..
asbestos	kb. asbes.
ascend	kkt 1 naik. 2 mendaki. --kki . naik.
ascendancy	kb.kb. kekuasaan, pengaruh yang menguasai.
ascendant	kb. kekuasaan, pengawasan. the authority of the crown is in the a. wewenang raja terletak didalam kekuasaan.
ascending	ascending
ascension	kb. 1 rel.: mi'raj. 2 kenaikan.
ascent	kb. pendakian, kenaikan.
ascertain	kkt. mengetahui (dengan pasti). menegaskan, memastikan. he finally ascertained what his boss wanted akhirnya diketahuinya dengan pasti apa yang diinginkan atasannya.
ascertainable	ks. dapat diketahui. his views are readily a. pandangannya dapat segera diketahui.
ascetic	kb. pertapa. he is a. by nature ia sifatnya seperti orang pertapa.
asceticism	kb. pertapaan, tapabrata.
aschan	kb. tempat sampah/abu.
ascribe	kkt. menganggap berasal. the article was ascribe to young writer tulisan itu dianggap berasal dari seorang pengarang muda.
aseptic	ks. suci hama. these surgical instrument are a. alat-alat operasi adalah suci hama.
asexual	ks. 1 tdk berkelamin. 2 tanpa hubungan kelamin. some lower forms of life have a. reproduction beberapa bentuk hidup tingkat rendah berkembang biak tanpa hubungan kelamin.
ash	kb. 1 abu. there are too many ashes in the stove terlalu banyak abu dalam kompor.2 pohon. a wednesday rebo ketujuh sblm paskah, hari pertama puasa masehi
ashamed	ks. malu. i am a. of his behavior saya malu karena perbuatannya.
ashen	ks. kelabu, abu-abu. his face was a. mukanya menjadi kelabu.
ashore	kk. di/ke darat we wanted to go a. kami ingin turun/naik ke darat. the ship ran a. kapal itu kandas di pantai.
ashtray	kb. tempat abu, asbak.
asia	kb. asia. a. minor asia kecil.
asian	kb. orang asia. --ks. asia. a. countries negeri-negeri asia. a. flu flu/demam asia.
aside	kb. suara rendah, bisikan. the actor delivered an a. aktor itu berbicara dalam suara rendah. --kk. disamping. a. from 1 selain/terlepas dari. 2 disamping.
asinine	ks. (sangat) bodoh, tolol. an a. remark ucapan yang sangat bodoh.
ask	1 menanyakan kepada 2 menanyakan. 3 minta . 4 meminta. 5 mengundang.
askance	kb. dengan rasa tidak setuju, dengan rasa curiga. he looked a. at the low offer ia kelihatannya tidak setuju dengan tawaran yang rendah itu.
askew	kk. miring, serong. his hat is a. topinya miring.
asking	kb. cuma-cuma, tinggal minta.
aslant	kk. miring, serong, condong.
asleep	ks. 1 (sedang, lagi) tidur. she was a. when i called i lagi tidur ketika saya telpon. 2 semutan. my foot is a. kaki saya semutan. 3 tidak sadar. fortunately, she was a. to the danger untungnya, ia tidak sadar akan bahaya itu. 4 macet, tidak jalan.
asocial	ks. asosial, tidak suka bergaul dengan orang lain. his attitude is a. sikapnya asosial.
asp	kb.sejenis ular kecil yang berbisa.
asparagus	kb. asperges, aspersi, asperjis.
aspect	kb. 1 segi, aspek. consider every a. of the situation pertimbangkanlah setiap segi dari keadaan itu. 2 pemandangan (of a city, setting). 3 roman, muka (of a person).
aspen	kb. semacam pohon yang daunnya ringan.
aspersion	kb. (kata-kata) yang menjelek-jelekkan, fitnah(an). he cast aspersions upon my character ia menjelek-jelekkan tabiat saya.
asphalt	kb.aspal. kkt. mengaspal (a. road).
asphyxia	kb. keadaan sesak dada.
asphyxiate	kkt. sesak dada/napas. he was asphyxiated by carbon monoxide ia sesak napas karena zat karbon
asphyxiation	kb. sesak napas karena kurang zat asam di darah.
aspic	kb. aspik, semacam agar dibuat dari daging, tomat dsb.
aspirant	kb. calon.
aspirate	kb. bunyi aspirasi. --kkt. mengucapkan bunyi dengan bunyi h (seprti pin, what dsb).
aspirated	ks. "p" in english "pin" is an a. sound "p" dalam bahasa inggris "pin" mengandung bunyi aspirasi.
aspiration	kb. 1 aspirasi, cita-cita. he has no aspirations ia mempunyai cita-cita. 2 aspirasi. english "p" has a. dalam bahasa inggris mengandung aspirasi.
aspire	kki. bercita-cita, menginginkan. he aspires to be president some day ia bercita-cita menjadi presiden pada suatu ketika.
aspirin	kb. aspirin.
aspiring	aspiring
ass	kb. 1 (animal) keledai. 2 orang yang bodoh. don't be a silly a. janganlah sebodoh itu. 3 vlug.: pantat.
assail	kkt. 1 membantah, menyerang. she assailed the speaker with questions ia membantah pembicara itu dengan pertanyaan-pertanyaan. 2 menyerang, menyerbu. the enemy assailed the fortress musuh menyerang benteng itu.
assailant	kb. penyerang, pemerkosa.
assassin	kb. pembunuh.
assassinate	kkt. membunuh.
assassination	kb. pembunuhan.
assault	kb. penyerangan, serangan. --kkt. 1 menyerang. 2 memperkosa.
assay	kb. (peng)ujian kadar logam. --kkt. menguji kadar logam. to a. are menguji kadar logam dari bijih.
assemblage	kb. orang-orang yang berkumpul. the entire a. stood and gave the speaker an ovation semua orang yang berkumpul berdiri dan memberikan sambutan yang hangat kepada pembicara itu.
assemble	kkt. memasang. these cars are assembled by... mobil-mobil ini dipasang oleh... --kki berkumpul. will the group please a. here? rombongan dipersilahkan berkumpul disini.
