alto	kb. 1 penyanyi dengan suara alto. 2 nada suara wanita yang terendah.
among	kd. diantara. to wander a. the ruins berjalan-jalan diantara puing-puing. a. other things antara lain, diantaranya. a. other things, she sings in the choir antara lain dia menyanyi di paduan suara. a. ourselves antara kita..
amongst	= among.
amoral	ks. a-susila, tak sopan.
amorous	ks. berisi/bersifat cinta-kasih. an a. note surat cinta-kasih.
amorphous	ks. tak berbentuk. some objects are a. beberapa benda tak berbentuk.
amortization	kb. amortisasi.
amortize	kkt. melunasi (dengan angsuran). to a. a loan melunasi hutang dengan angsuran.
amount	kb. 1 jumlah, kwantitas. 2 banyak. 3 penuh. --kki. 1 berjumlah. 2 sama dengan.
amour	kb. asmara, cinta (kasih; teristimewa percintaan yang dirahasiakan/klandestin.
amp	sl.: = ampere.
ampere	kb. amper.
ampersand	= &.
amphibian	kb. amphibi. a toad is an a. katak adalah amphibi. --ks. yang berhubungan dengan amphibi. an a. tank tank amphibi.
amphibious	ks. bersifat amphibi. a. troops pasukan amphibi. a. attack serangan dari darat dan laut.
amphitheater	kb. amphiteater.
ample	ks. 1 banyak, luas .a.parking banyak tempat parkir. there's a. room in this car banyak tempat di mobil ini. 2 cukup. do you have an a. supply of food? adakah cukup persediaan makanan?
amplifes	lih amplify
amplification	kb. 1 pengerasan. a. of his speach is difficultin this hall sukar untuk mengeraskan pidatonya didalam ruangan ini. 2 penjelasan tambahan. this statement requires some a. keterangan ini memerlukan penjelasan tambahan.
amplified	lih amplify
amplifier	kb. (pesawat) pengeras. sound a. pengeras suara.
amplify	kkt. (amplified) 1 menjelaskan. i shall a. my statement at a press conference saya akan menjelaskan penegasan saya di konperensi pers. 2 memperkuat, menguatkan, memperkeras. the loudspeaker amplifies the sound pengeras suara memperkuat suara.
amplitude	kb. luas/lebar ayunan.
amputate	kkt. memotong, mengamputasi.
amputation	kb. amputasi, pemotongan.
amputee	kb. invalide, orang cacad, orang yang dipotong sebagian atau seluruh lengan atau kakinya.
amuck	= amok.
amulet	kb. azimat, jimat.
amuse	kkt. 1 membuat orang tertawa, menggelikan hati. 2 memikat, menawan, menarik perhatian. 3 geli. --amused ks. girang, terhibur, senang hati. --amusing ks. lucu.
amusement	kb.1 hiburan. i went there only for a. saya kesana hanya untuk hiburan saja. a. center tempat hiburan. 2 kegirangan, kesenangan, the clown's antics coused a great deal of a. kejenakaan pelawak itu mendatangkan banyak kegirangan.
an	ksst. 1 sebuah, satu, dsb. may i have an orange, please? bolehkah saya ambil sebuah jeruk? 2 per, tiap. he gets a dollar an hour ia mendapat satu dolar per jam. lih a.
anachistic	ks. anarkhistis.
anachronism	kb. anakhronisme, penempatan kejadian pada waktu yang salah.
anachronistic	ks. yg bertentangan ttg zaman, menyalahi zaman, mengandung anakhronisme.
anaemia	=anemia.
anaemic	=anemic.
anaesthesia	anaesthesia
anagram	kb. anagram, penukaran huruf dlm kata-kata sehingga kata itu mempunyai arti lain , seperti lived menjadi devil.
anal	ks. yang bertautan dengan dubur.
analgesia	kb. tahan/tanpa sakit.
analgesic	kb. obat atau cara lain yang menyebabkan tahan sakit.
analistic(al)	ks. analistis, analitik. a. geometry ilmu ukur analitis.
analog	= analogue
analogical	ks. analogis, bertautan dengan analogi, berdasar mengandung/menunjukkan persamaan.
analogize	kkt. memperlihatkan/mempertunjukkan berdasar analogi/persamaan.
analogous	ks. 1 sekilas, sejalan. 2 dapat disamakan. the wings of a plane are a. to those of a bird sayap kapal terbang dapat disamakan dengan sayap burung.
analogue	kb. analog.
analogy	kb. (j. -gies) analogi, persamaan, kias. one can see the a. between an ant colony and human society orang dapat melihat persamaan antara masyarakat semut dan masyarakat manusia. by a. secara perbandingan.
analysis	kb. (j. -ses) 1 analisa, pemisahan. 2 pemeriksaan yang teliti. in the final a. pada hakekatnya. in the final a. it is the performance that counts pada hakekatnya yang terpenting ialah penyelenggaraan.
analyzable	ks. dapat diselidiki (dalam bagian-bagiannya), dapat dipisah/dipecah. this problem is easily a. soal ini dapat dipisah dengan mudah.
analyze	kkt. 1 menganalisa, menganalisir. 2 mengurai(kan), mencerai. 3 memisah.
anarchism	kb. anarkhisme.
anarchist	kb. anarkhis, anarsis.
anarchy	kb. anarki, anarsi.
anathema	kb. laknat, haram, kutuk. drinking is a. to many people miinum minuman keras adalah laknat bagi banyak orang.
anatomical	ks. anatomis. a. specimen contoh anatomi.
anatomist	kb. ahli pengurai tubuh manusia.
anatomy	kb. (j. -mies) anatomi, ilmu urai tubuh.
ancestor	kb.datuk, nenek moyang, leluhur. a. worship penyembahan nenekmoyang.
ancestral	ks. keturunan leluhur/nenekmoyang, berasal leluhur. a. home rumah keturunan/pusaka.
ancestry	kb. (j. -ries) keturunan, asal, leluhur. he can trase his a. back to george washington ia dapat menyusut leluhurnya hingga george washington. of noble a. keturunan bangsawan.
anchor	kb. jangkar, sauh . --kkt. berlabuh, menjangkarkan, membuang sauh.. --kki. berlabuh the boat anchored to the dock kapal berlabuh di dermaga.
anchorage	kb. pe(r)labuhan. to leave a. meninggalkan bersauh.
anchovy	kb. (j. -vies) ikan kecil ( semacam haring).
ancient	ks. 1 kuno. this is an a. piece of furniture ini adalah perabot yang kuno. a. bali bali kuno. 2 purbakala. a. history sejarah purbakala. 3 purba. a. man manusia purba.
ancillary	ks. tambahan, penyokong. a. subject of study mata pelajaran tambahan.
and	ksam. 1 dan. you a. i kau dan aku. 2 tambah. two a. two make four dua tambah dua menjadi empat. his indonesian is getting better a. better bahasa indonesianya makin lama makin baik.
andiron	kb. besi penupang kayu bakar di perapian.
anecdotal	ks. bersifat anekdot. this book is a. in nature buku ini berisi cerita-cerita yang bersifat anekdot.
anecdote	kb. anekdot.
anemia	kb. anemi(a).
anemic	ks. yang menderita kurang darah.
anemometer	kb. alat pengukur jurusan dan kekuatan angin.
anesthesia	kb. matirasa.
anesthesiologist	kb. ahli ilmu bius.
anesthesiology	kb. ilmu pemakaian obat bius.
anesthetic	kb. obat bius (eter, chloroform, dsb).
anesthetist	kb. ahli (pemakaian) obat bius.
anesthtize	kkt. membiuskan, menghilangkan kesadaran.
aneurysm	kb. pembengkakan buluh darah, gondok nadi.
anew	kk. (sekali) lagi, dari semula. he had to begin a. after the accident ia harus mulai sekali lagi sesudah kecelakaan itu.
angel	kb. 1 bidadari. 2 malaikat. a. of death malaikat maut. 3 sl.: penyokong keuangan. who is the a. of this musical? siapa penyokong keuangan sandiwara? be an a. and set the table for me tolong persiapkan meja (makan) untuk saya. a. food cake semacam kue.
anger	kb. marah, kemarahan, amarah, murka, keberangan, kegusaran. his a. showed on his face marahnya tampak pada (air) mukanya. --kkt. memarahkan, membuat marah. his reply angered the traffic cop. jawabnya memarahkan polisi lalulintas.
angina pectoris	kb. kejang jantung.
angle	kb. 1 sudut. 2 segi. 3 inf.: segi (pandangan). --kki. 1 memancing. 2 membelok.
angler	kb. 1 memancing. 2 seorang yang licik, seorang yang pandai memakai tipu muslihat untuk mencapai sesuatu tujuan.
anglicism	kb. anglisisme, keinggris-inggrisan. " jolly good ! is an a. " jolly good" adalah perkataan inggris yang khas.
anglicize	kkt. menginggriskan kata, ungkapan, atau kebiasaan, memberi corak inggris.
angling	angling
anglo-saxon	kb., ks. anglo-saxon. a) bahasa inggris kuno. b) seorang turunan inggris, anglo-saxon.
anglophile	kb. pencinta inggris atau pencinta semua hal yang bersifat inggris.
anglophobe	kb. orang yang sangat membeci atau mencurigai segala yang berbau inggris.
angry	ks. 1 marah, gusar, naik darah. why are you so a.? mengapa kau begitu marah? a. at/with marah pada/dgn. 2 besar. that's an a. sore you have on your thigh itu luka besar yang ada di pahamu. 3 bergejolak. the a. sea laut yang besar ombaknya.
anguish	kb. 1 kesedihan yang mendalam. he was filled with a. ia sangat sedih. 2 derita, penderitaan yang berat.he was in a. until given a shot ia sangat menderita sebelum ia mendapat suntikan. 3 penderitaan. mental a. penderitaan batin.
angular	ks. 1 kaku. he walked with a. movements gerak jalannya kaku. 2 bersiku-siku. 3 kurus, tulangnya kelihatan. he was tall and a. ia tinggi kurus.
angularity	kb. (j. -ties) kekakuan karena kekurusan. the a. of his body was pronounced kakakuan badanya sangat menonjol.
