cuka	vinegar.
dalang	1 narrator and puppeteer of traditional shadow plays. 2 matermind, power behind the scenes.
dalem	1. (java) 1) residence of high official, palace of king. 2) tittle for person who possesses such a residence. 2. see dalam.
dalfin	dolphin.
dalih	excuse, pretext.
dalil	1 (islam) argumentation. 2 proposition, theorem.
dalu	(java, sunda, jakarta) ripe.
daluwarsa	1 overdue, expired.
dam	1. 1) checkers. 2) checkered (design) 2. sound of thump of drum. 3. (china) greedy. 4. dam.
damai	peace, tranquillity.
damak	blowpipe dart.
daman	(naut.) sheet (of large sail).
damar	1 resin of certain trees collected as an article of trade. 2 resin torch.3 oil lamp.
damast	damask.
damba	long , yearn.
damban	see lamban.
dambin	sound of thud, plop, or thump.
dambun	sound of sonorous thud.
dame	see damai.
damen	(java) rice straw.
dami	see damai.
damir	symbol in arabic script to indicate closed syllable.
dampak	impact. bump into, collid with.
dampar	men-dampar 1 cast s.t. ashore. 2 break (of nerves).
damping	close, near. contiguous, side by side.
damprat	abuse, scolding.
damsyik	damascus.
dan	1. and. 2. particle requesting confirmation, right ? 3. (sort) ranking.
dana	1 donation. 2 fund.
danau	lake.
danawa	ogre.
dandan	1. grooming, personal embellishment. 2. (lit.) additional platform on a ship's deck.
dandang	1. large metal vessel for steaming rice. 2. (lit.) cormorant.
dandi	1 (lit.) k.o. drum. 2 (bib.) k.o. lyre.
dang	(lit.) title for female nobility.
dang dang dut, dangdut	1 beating of drums (in indian movies). 2 popular music with strong beat reminiscent of hindi and arabic music. 3 dance to such music.
dangai	k.o. cake.
dangau	1. loom up. 2. small temporary hut in agricultural fields.
dangir	(java) men-dangir (i) hoe before planting.
dangkal	1 shallow. 2 superficial (of knowlwdge, etc.).
dangkung	k.o. leprosy.
dangsa	see dansa.
danguk	ber-, men-, ter- sit with chin in hands and stare.
danramil	(komandan rayon militer) commander of the army administrative unit at the level of the camat.
dansa	western-style dance.
dansanak	(m) relative, kin.
dansi	see dansa.
danta	(lit.) elephant tusk, ivory.
danu	/danuh/ (zod.) sagittarius.
dapat	1 can, be able. 2 may. 3 get, obtain. be obtained. 5 be found.
daptar	see daftar.
dapur	1 kitchen, galley. 2 stove, kiln. 3 firebox (in furnace, locomotive). 4 (coll.) place where s.t. other than food is cooked up.
dar	sound of loud crash or explosion.
dara	1. virgin, young girl. 2. see burung.
darab	(math.) multiplication.
darah	blood.
darajat	see derajah.
daras	men-daras 1 (islam) recite the koran. 2 study, investigate deeply.
darat	1 land, shore. 2 upland, hinterland.
dari	1 from. 2 (coll.) of. 3 out of (a series). 4 starting at or from. 5 than.
daripada	1 (lit.) from. 2 than. 3 better than.
darma	(lit.) 1 duty, obligation. 2 service, good deed.
darmabakti	volunteer work, service of value to the state.
darmasiswa	(lit.) student scholarship, fellowship.
darmatamu	(lit.) leadership grant.
darmawisata	1 excursion, outing. 2 field trip.
darmawisatawan	excursionist.
darsana, darsono	see jambu.
daru-daru	k.o. tree used for commercial timber.
darulbaka	(islam) the hereafter.
darulfana	(islam) present transitory world.
darun	se-darun in unison.
darurat	emergency.
darus	see daras.
darusalam	1 jerusalem. 2 (lit.) abode of happiness.
darwis	dervish, fakir.
das	boom (of gun), bang (of gun).
dasa	(lit.) inintervals of 10.
dasadarma	the 10 duties of indonesian boy scouts.
dasalomba	decathlon.
dasar	1 base, foundation. 2 basis. 3 nature. 4 (so-and-so) is like that because that is the way people of his or her type are. 5 background.
dasariah	basic.
dasasila	the ten commandments.
dasawarsa	decade, decennial.
dasi	necktie.
daster	1 house dress, lounging grown. 2 doctor's lab coat.
dasun	(lit.). k.o. garlic.
daswati	(daerah swatantra tingkat) autonomous administrative region (pre-1970s).
data	data. men-data encode for processing (on computer).
datang	1 come. 2 arrive.
datar	1 flat, level, smooth. 2 superficial.
dati	(daerah swantantra tingkat) autonomous administrative region.
datu	(in some region only) title of headman.
datuk	1 oldest male of family clan, headman. 2 grandfather (in some parts of indonesia and malaysia). 3 honorific term of reference and address (for strangers, dangerous animals). 4 term of adress to persons in high positions, us. as tuk or to.
dauk	1 gray. 2 roan.
daulat	(lit.) 1 good fortune. 2 expression of deference to nobility.
daun	1 leaf. 2 playing card. 3 balade or other flat thing.
daur	1 cycle (of years). 2 rotation.
dawai	fine wire. dawai-dawai strings (for musical instruments).
dawat, dawet	1. ink. 2. cold drink made from rice or arrowroot flour, coconut milk and palm sugar.
dawuh	(java) order, command.
daya	1. 1) power, energy, capacity. 2) effort. 2. trick, ruse. 3. see barat.
dayah	1 foster mother. 2 wet nurse.
dayak	1 native ethnic groups of kalimantan. 2 (coll.) american indian.
dayang	(lit.) lady-in-waiting.
dayu	men-dayu rumble like distant thunder.
dayung	1 oar. 2 pedal (bicycle).
db	(drum band) marching band.
db.	(di bawah) below, under, beneath.
dbb	(daerah bebas becak) area in which pedicabs are not allowed to operate.
dbp.	(di bawah pimpinan) under the direction of (referring to bands).
de facto, de fakto	de facto.
debak	sound of thud, esp. blow hitting the mark.
debam	sound of heavy object falling with resonant thud (such as coconut falling to ground).
debap	sound of object hitting ground.
debar	sensation of pulse beat.
debarkasi	debarkation.
debas	sound of exhaling.
debat	debate, discussion.
debet	debit.
debik	sound of a goat bleat.
debil	mentally retarded, psychologically unstable.
debing	sound of light object falling.
debirokratisasi	debureaucratization.
debit	rate of flow, discharge (of water).
debitor	debtor.
deboasasi	deforestation.
debos	(coll.) nge-debos boasting.
debu	dust, grit.
debuk	sound of thud.
debum	sound of muffled blow (such as when striking mattress).
debung	sound of resonant blow such as drum beat.
debup	sound of light object falling.
debur	1 sound of splashing (object falling into water, surf, etc). 2 pounding of heart.
debus	1. sound whistling, sound of howling wind. 2. ritual display of invulnerability in west java.
debut	sound of light popping (e.g. breaking wind).
decak	sound of click, esp. of tongue to express astonishment, enjoyment, etc.
decap	sound of smacking o.'s lips.
deceh, decih	sound of clicking with tongue and teeth to express disapproval, tsk tsk.
decing	sound of light metallic ringing.
decit	sound of chirp (of chicks, etc.).
decur	sound of water spraying.
dedah	exposed, uncovered.
dedak	mixture of rice and bran, by-product of milling used as animal feed.
dedangkot	see dedengkot.
dedas	sound of crackling of small arms.
dedau	men-dedau cry out loudly, scream.
dedaunan	foliage, leaves.
dede	see dideh.
dedek	(java, jakarta) see dedak.
dedel	ripped. rip out (a seam, etc.).
dedemenan	(jakarta) o.'s favorite thing or person.
dedemitan	1 ghost, apparition. 2 (java) do s.t. secretly.
dedengkot	(coll.) prominent figure, big shot.
dedes	1. 1) civet cat. 2) musk. 2. men-dedes slice thinly.
dedikasi	dedication.
dedolarisasi	(fin.) removal of dollar as standard of currency valuation.
deduksi	deduction.
deduktif	deductive.
deeskalasi	de-escalation.
