cuka	vinegar.
dines	see dinas.
ding	(coll.). particle that contradicts o.'s own statement.
dingdong	arcade games, esp. pinball and video.
dingin	cold.
dingkik	men-dingkik watch, spy on.
dingklik	stool, seat with no back.
dini	early.
diniyah	religious (in school names).
dioksid,dioksida	dioxide.
diorama	diorama.
diosis	diocese.
dip	(daftar isisan proyek) budget proposal for a project.
dipan	divan, sofa.
dipati	see adipati.
dipisi	see divisi.
diploma	diploma, certificate.
diplomasi	diplomacy.
diplomat	diplomat.
diplomatik	/diplomatis/ diplomatic.
direksi	management, administration.
direksi, direktris	1 directress, headmistress. 2 catholic mother superior.
direktif,direktip	directive.
direktorat	1 directorate. 2 department, division.
direktori	directory.
direktur	director, headmaster.
dirgahayu	long live ! long life.
dirgantara	sky, upper atmosphere.
diri	1. self. 2.
dirigen	musical director, conductor.
dirigir	men-dirigir direct (an orchestra).
diris	men-diris water (plants).
dirjen	(direktor jenderal) director general.
dirus	men-dirus flush with water.
dirut	(direktor utama) managing director.
dis	1. (dinas) service, agency. 2 (diskualifikasi) disqualification.
disain	design, pattern.
disainer	fashion designer.
disel	see diesel.
disembarkasi	disembarkation.
disen	see disain.
disenteri,disentri	dysentery.
disersi	see desersi.
disertasi	dissertation.
disertir	see desertir.
disharmoni	disharmony.
disiden	dissident.
disintegrasi	organizational disintegration (of parties, cabinets,etc).
disipasi	dissipation.
disipel	disciple.
disiplin	discipline.
disipliner	disciplinary.
disjoki	(coll.) disc jockey.
disket	floppy disc.
disko	discotheque. dance to disco music.
diskontinuitas	discontinuity.
diskonto	(fin.) discount.
diskotek	/diskotik/ 1 discotheque. 2 collection of phonograph records. 3 producer of music cassettes.
diskredit	discredit.
diskrepansi	discrepancy.
diskridit	see diskredit.
diskriminasi	discrimination.
diskriminatif	discriminatory.
diskualifikasi	disqualification.
diskualifisir	men-diskualifisir disqualify.
diskusi	discussion.
dislokasi	1 (med.) dislocation. 2 disturbance.
disonan	dissonant.
disonansi	dissonance.
disorganisasi	disorganization.
disparitas	disparity.
dispensasi	1 (rel.) dispensation. 2 exemption (from tax, official responsibility, etc.).
dispersi	men-dispersi-kan disperse.
disposisi	authorizing signature.
disproporsi	disproportion.
disproporsional	disproportionate.
distilasi	distillation.
distilat	distillate.
distilir	men-distilir distill.
distorsi	distortion.
distribusi	distribution.
distrik	administrative district.
ditangsel	(jakarta) stuffed to the gills.
diteksi	see deteksi.
ditektif	see detektif.
ditel	see detel.
diter.	(diterjemahkan) translated.
ditjen	(direktorat jendral) directorate general.
dito	ditto.
diunggulkan	1 be considered or proposed as superior. 2 (sport) seeded.
div.	(divisi) division.
divan	see dipan.
diversifikasi	diversification.
divide-et-impera	divide and rule.
dividen	dividend.
divisi	1 (mil.) division. 2 (bio.) phylum.
diy	(daerah istimewa yogyakarta) special district of yogyakarta.
dk	(daya kuda) horsepower.
dki	(jaya) (daerah khusus ibukota) special capital district (of jakarta).
dkk.	(dengan kawan-kawan) et al.
dl.	(dalam) in.
dleweran	(java) ooze and trickle down slowly.
dll.	(dan lain-lain) and others, etc.
dlm.	(dalam) in.
dls.,dlsh.	(dan lain sebagainya) and so forth.
dn	[ (departemen) dalam negeri ] (department) of internal affairs.
dng.	(dengan) with, by means of.
doa	(do'a) prayer.
doane	see duane.
doang,doangan	(jakarta) only, no more than.
dobel	1 double. 2 (sport) doubles.
dobelop	double-barreled rifle.
dobi	(lit.) laundryman.
dobis	caps (for toy guns).
doble	gold-plated.
dobol	1. perforated, torn. men-dobol-kan pierce, puncture. 2. see dobel.
dobrak	smashed, broken open (of door, gate, fence, etc.).
dodet	(sl.) men-dodet rip open the belly.
dodok	1. (java) squat, kneel sitting on the hams. 2. men-dodok smooth out a metal sheet by hammering.
dodol	k.o. taffy made of sticky rice, coconut milk, and palm sugar (often with durian).
dodor	ke-dodor-an loose and ill-fitting (of clothing).
dodos	plane s.t.
dodot	(java) k.o. batik wraparound worn by courtiers and bridgrooms.
dogdog	1 sound of repeated knocking (at door, etc.). 2 make such a sound. 3 (sunda) small drum.
doger	(sunda) k.o. folk dance performed by women.
dogma	dogma.
dogmatika	(rel.) dogmatics.
dogmatis	dogmatic.
dogol	1 without horns (of horned animals). 2 without combs(of fowl). 3 stupid.
doha	(islam) nonobligatory prayertime around 10 a.m.
doi	(do'i) (sl.) he or she (of o.'s lover).
dok	1. (navy) dock. 2. see dokter.
dokar	horse-drawn buggy.
doking	docking (of ship, etc.).
doklonyo	(coll.) collogne.
dokoh	1. pendant for a necklace. 2. see dukuh.
dokok-dokok	see kue.
dokter	doctor, physician, esp.
doktor	holder of doctorate.
doktoral	doctoral studies.
doktoranda	1 female holder of postgraduate degree in humanities below doctoral rank. 2 female college graduate (post-1980).
doktorandus	1 s.o. with postgraduate degree in humanities below doctoral rank (pre-1980). 2 academic degree in humanitiesequivalent to baccalaureate (post-1980).
doktrin	doctrine.
doktriner	doctrinaire.
doku	(sl.) money.
dokumen	document.
dokumentalis	documentalist.
dokumentasi	documentation.
dol	1 damaged or worn because of overuse. 2 (coll.) crazy, mad.
dolak-dalik	constantly changing, vacillating.
dolan	(java) 1 make a visit for pleasire. 2 play.
dolar	1 dollar, esp. the us currency. 2 (coll.) any gold coin. 3 k.o. round, sweet wafer.
dolarsen	(coll.) cent of us currency.
dolfin	dolphin.
dolim	see lalim.
dollar	see dolar.
dolle-mina	radical feminist.
dolog	(depot logistik) warehouse for foodstuff.
dolok	(batak) mountain.
dom	(coll.) compass.
domba	1 sheep. 2 (rel.) the congregation.
domblong	(java) open-mouthed due to surprise.
dombrong	ke-dombrong-an baggy, fitting too loose (of clothes).
domein	domain (of authority).
domestik	domestic.
domina	term of reference for female protestant minister.
dominan	dominant.
dominasi	domination.
domine	term of reference for protestant minister.
dominir	men-dominir dominate.
domino	dominoes.
domisili	(leg.) domicile.
dompak	1 ber-dompak 1) leap, jump (in fighting). 2) prance (of horses). 2. densely packed (of houses, etc.).
dompet	1 wallet. 2 relief fund (often organized by a publication).
domplang	see-saw.
dompleng	men-dompleng join, double up. pen-dompleng non paying passenger.
dompol	bunch.
don-juan	see don-yuan.
don-yuan	womanizer.
donasi	donation.
donat	doughnut.
donatir,donatur	donor, benefactor.
donau	danube river.
doncang	men-doncang jump, leap.
dondang	cradle.
donder	(coll.) scolding.
dong	1. (coll.) partical asserting that interlocutor should already know or do what o. is asserting. 2. (e. indonesia) they.
dongak	men-,ter- 1 pointed upward (of head, rifle muzzle, etc.). 2 gaze up(ward).
dongeng	1 fairy tale, legend. 2 nonsense.
dongkak	leap up.
dongkel	lever, jack.
dongkol	1. 1) resentful, acrimonious. 2) irked, vexed. 2. ex-, former.
dongkrak	(auto.) jack.
dongkrok	(java) n- dongkrok remain motionless.
dongok	1 ponderous, hulking. 2 stupid.
dongong	men-dongong stare open-mouthed.
donor	donor.
doorslag	see dorslag.
dop	1. 1) hubcap. 2) caps (for toy guns). 2. (coll.) baptism. 3. lightbulb.
dopercis,doperten	(coll.) canned sweet peas.
dopis	see dumpis.
dor	sound of gunshot.
doraka	see durhaka.
dorang	1. k.o. fish. 2. (e. indonesia) they.
doreng	(coll.) striped.
dorna	see durna.
dorong	men-dorong 1 push. 2 motivate, provide the impetus. 3 urge.
dorslag,dorslah	onionskin paper.
dortrap	k.o. bicycle with pedal brakes.
dos	1 small box. 2 carton, case.
dosa	sin.
dosen	university-level instructor.
dosin	see lusin.
dosir	dossier.
dosis	(med.) dose. men-dosos-kan determine the dosage.
dot	1. 1) nipple. 2) pacifier. 2. sound of a car horn.
dower	(java) having a drooping lower lip.
