tutuh	lop off, trim.
wib	(waktu indonesia bagian barat) west indonesia time (zone).
wibawa	authority, power.
wicara	(ling.) speech.
widara	see bidara.
widuri	(java) k.o. shrub.
widyakarya	(lit.) university-level work-study.
widyawisata	(lit.) study tour,
wiena	see wina.
wih	(coll.) exclamation to show surprise or call attention to s.t.
wihara	buddhist monastery or nunnery.
wijaya	(lit.) victory.
wijayakusuma	see bunga.
wijen	(java) see bijen.
wiku	see biksu.
wiladah	confinement, childbirth.
wilayah	1 region, district (below the province but larger than a county in size). 2 zone. wilayah-industri industrial estate. wilayah-pinggiran peripheral area, frontier estate.
wildop	hubcap.
wilis	see burung.
wina	vienna.
windu	cycle of eight years in java calendrical reckoning.
wing	1 (mil.) decoration (for those who have flown or parachuted a certain number of times). 2 wing in air formation.
wiper	/waiper/ windshield wiper.
wira	(lit.) man, hero. wira-tamtama a low military rank.
wiracarita	/wiracerita/ (lit.) epic.
wirama	see irama.
wiraniaga	salesperson.
wiraswasta	1 entrepreneur. 2 run a private enterprise.
wiraswastawan	entrepreneur.
wirausaha	businessman.
wirawan	hero, heroic.
wirid	(islam) passage of koran,.
wiron	(java) pleats in a batik wraparound.
wiru	pleat.
wiryaan	see hal 1.
wisata	a tour.
wisatawan	tourist.
wisel	see wesel 1.
wisik	(java) inspiration.
wiski	whisky.
wisma	public building. wisma-budaya art galery. wisma-werdha/wreda (lit.) old people's home.
wisuda	graduation ceremony.
wisudawan	male graduate at commencement.
wisudawati	female graduate at commencement.
wit	(waktu indonesia bagian timur) east indonesia time (zone).
wita	(waktu indonesia bagian tengah) central indonesian time (zone).
wiyaga	(java) gamelan player.
wiyata	(lit.) education. wiyata-bhakti practice teaching.
wk(l).	(wakil) vice-, deputy, assistant.
wkt.	(waktu) time.
wmp	see wampa.
wn	(warga negara) citizen.
wna	(warga negara asing) foreign citizen, us. refering to chinese.
wni	(warga negara indoneasia) 1 (leg.) citizen of indonesia. 2 naturalized indonesian citizen, esp. of china descent.
woki-toki	walki-talki.
wol	wool.
wolanda	see belanda.
wong	1. (java) person). 2. (java) because. 3. (java) what are you talking about ! (expression of disagreement).
wortel	carrot.
wr.(wb.)	(warakhmatullahi (wabarakatuh) ) may god be merciful (and bless you) (for formal conclusions to letter and speeches).
wreda	see wisma.
wredatama	(lit.) retired person.
wts	(wanita tuna susila) prostitute.
wudhu	/wudlu, wudu/ (islam) ritual ablution before prayers.
wuduk	see nasi 1.
wujud	shape into which s.t. has been formed.
wuku	(java) o. of the 30 seven-day periods which make up the 210-day calendar cycle.
wukuf	(islam) ceremony of gathering on the field of arafah during the hajj.
wuluh	1. (zod.0 pleiades. 2. see belimbing. 3. (java) see buluh.
wungkul	(java) whole, unbroken.
wungu	(java) see ungu.
wutuh	see utuh.
wuwu	(java) see bubu.
wuwung	(java) see bubung.
x	there are not any x words in bahasa indonesia.
y	y, the 25th letter of the alphabet.
ya	1. 1) yes. 2) what? (a response to s.o.'s call). 3) ok?, will you? (particle indicating a softened command). 4) right? isn't it? (question tag word). 5) let us see now...what? how? who? etc. 6) hmm (hesitation particle). 7) as for (topic marker) 2. oh.
yad.	(yang akan datang) the future, coming.
yah	1. well.... (particle of resignation, exasperation, etc.). 2 see ayah.
yahud	(sl.) ok, excellent, great.
yahuddah	judaic.
yahudi	jew, jewish.
yahudiah	jewish.
yahut	see yahud.
yahya	1 male name. 2 (bib.) the gospel of john.
yaini	see yakni.
yais	menopause.
yaitu	that is, i.e., viz.
yak	1 (coll.) yes. 2 (sport) catch (i.e. a ball).
yakin	sure, certain, convinced.
yakis	baboon.
yakni	that is, namely, viz.
yakut	hyacinth.
yalah	see ialah.
yaman	yemen.
yang	1. 1) nominalizing particle: the o. who, the thing which, etc. 2) particle forming a specific adjective clause : "which is, who are," etc. 3) with numerals or demonstrative:the o. or the two, etc. (as opposed to others). 2. see sayang.
yapon	1 bathrobe (for women). 2 western-style women's dress.
yareh	/yarig, yareh/ coll.) have o.'s birthday.
yasan	k.o. rice field that is cultivated individually.
yasin	(islam) chapter 37 of the koran often read while s.o. is dying.
yasmin	jasmine.
yassin	see yasin.
yatim	fatherless child. yatim-piatu orphan.
yaumuddin	(islam) doomsday.
yaumulkiamah	(islam) day of judgment.
yayasan	foundation, institute.
yayi	(java) younger brother or sister.
yb.	(yang berikut) next, following.
ybl.	(yang baru lalu) last.
ybs.	(yang bersangkutan) the person concerned.
yeksi	see injeksi.
yel	yell (in demonstration, etc.).
yellowpaper	/yelo peper/ sensation-oriented newspaper.
yeremiah	(bib.) jeremiah.
yesuit	(rel.) jesuit.
yet	see jet.
yg.	(yang) which, who.
yi.	(yaitu) that is, namely, viz, i.e.
yl.	1. (yang lain) the other. 2. (yang lalu) past, last.
yme	(yang maha esa) the one god.
ymj.	(yang menjalankan jabatan) acting, holding office temporarily.
yo	see ayo.
yodium	iodine.
yodiumisasi	program for providing iodized salt.
yoga	meditation.
yogia	/yogya/ proper, fitting.
yohanes	/yohannes/ 1 male name. 2 (bib.) the gospel of john.
yojana	distance, field of vision.
yok	see ayo.
yoker	(crd.) joker.
yon.	(batalyon) battalion.
yongenskop	short haircut (for women).
yongker	see yoker.
yongtahu	(china) tofu filled with meat.
you	/yu/ you (distant but informal).
yth.	(yang terhormat) the honorable (on letter addresses and salutations).
yts.	(yang tersebut) mentioned.
yu	1. see mbak. 2. see hiu. 3 see you. 4 see ayo.
yubilaris	o. who celebrates his or her jubilee (wedding, ordination, etc.).
yubileum	jubilee.
yuda	/yudha/ (lit.) war.
yudisium	1 latinate citation on a diploma (cum laude, etc.). 2 graduation exercise (at divisional level).
yudo	yudo.
yugo	yugoslav, yugoslavia.
yuh	/yuk/ see ayo.
yuli	see juli.
yunani	greek, greece.
yuncto	/yungkto/ (leg.) in connection with.
yunior	1 (sport) junior, pertaining to or concerning youth. 2 son of.
yuniorat	k.o. college preparatory school emphasizing classics (esp. in colonial period and formerly in jesuit training).
yuran	1 contribution. 2 dues.
yuridiksi	jurisdiction, competency of a certain court.
yuridis	juridical.
yuris	1 juris, lawyer. 2 law student.
yurisprudensi	legal administration, jurisdiction.
yurk	/yurek/ dress, frok, shirt.
yusak	(bib.) joshua.
yuta	see juta.
yuwelir	jeweler.
yuyu	k.o. small soft-shelled crab.
z	/zet, set, jet/ z, the 26th letter of the alphabet.
zaal	/sal/ see sal 1.
zabarjad	topaz.
zabib	(lit.) raisins.
zabur	psalm. kitab-zabur (bib.) book of psalms.
zadah	see jadah.
zadat	(phys.) solid.
zadir	(chem.) sal ammoniac.
zahid	ascetic.
zahir	see lahir 1.
zair	(phys.) liquid.
zaitun	/zait/ olive tree and its fruit.
zak	/sak see sak 1.
zakar	penis. batang-zakar shaft of the penis, penis. buah-zakar testicles.
zakat	(islam) tithe. zakat-fitrah (islam) tithe in rice or money paid on last day of fasting month. zakat-maal tithe paid by rich people.
zakelijk	/sakelek/ (coll.) businesslike.
zakiah	sincere, pure.
zalf	/salep/ see salep.
zalim	see lalim.
zalir	fluid.
zaman	see jaman.
zamrud	emerald.
zamzam	1 a sacred well in mecca's mosque, haggar's well. 2 water from mecca's sacred well.
zanggi	see janggi.
zantara	(phys.) medium.
zarafah	see jerapah.
zarah	/zarrah/ 1 particle, crumb, matter. 2 atom.
zat	(chem.) essence, substance. zat-air hydrogen. zat-asam oxygen. zat-cair liquid. zat-hijau cholorophyl. zat-lemas nitrogen. zat-makanan vitamin. zat-telur protein, albumen. zat-yang maha tinggi the supreme substance (god).
zebra	zebra.
zending	(rel.) /sending/ protestant missionary or mission.
zeni	1. (mil.) detachment of army engineers. 2. (coll.) genius.
zenit	zenith.
zero	(ling.) zero allomorph.
zet	/set/meng-set type
ziadah	addition, excess.
ziarah	make a devotional visit to a sacred place.
zib	1. (lit.) k.o. wolf. 2. see jib.
zig-zag	zig-zag.
zikir	see dikir.
zina	/zinah/ any sexual act outside of marriage.
zindik	heretic.
zinkwit	/singkwit/ zinc-white.
zirafah	see jerapah.
zirah	(lit.) coat of chain-mail.
zirnikh	/sirnikh/ arsenic.
zitje	/sice/ see sice.
zohal	(astr.) saturn.
zohrah	(astr.) venus.
zolim	see lalim.
zonder	/sonder/ see sonder.
zoologi	/sologi/ zoology.
zuadah	see juadah.
zuhal	see zohal.
zuhrah	/zuhrat/ see zohrah.
zuhur	see lohor.
zulhijah	12th month of arabic calendar.
zulkaedah	11th month of arabic calendar.
zunub	see junub.
zurafah	see jerapah.
zuriat	1 (biol.) seed. 2 descendant, posterity.
zus	/sus, ses/ 1 term of address for christian or westernized adult women. 2 term of address for female nurses and midwives.
