tutuh	lop off, trim.
umak-umik	(java) silently mouth words.
umang-umang	1 hermit crab. 2 o. who likes to dress in fine, but borrowed, clothes.
umaro	(islam) gvt.
umat	the members of a religious community.
umbai	tassle, fringe. umbai-cacing (anat.) appendix.
umban	sling.
umbang	float.
umbang-ambing	see ombang-ambing.
umbar	free s.t., let loose.
umbi	tuber, root.
umbi-umbian	1 all k.o. tubers. 2 belonging to the tuber group.
umbuk	1 swindle. 2 persuade. 3 appease, talk in a friendly way to s.o.
umbul	1. bubble up, rise rapidly. 2 (java) children's game played with picture cards which are tossed in the air.
umbul-umbul	1 (java, bali) banner. 2 (java, bali) pennants or palm fronds decorating doorways on feast days. 3 tassle (of hat etc.).
umbun	see ubun.
umbut	edible topmost and innermost frond of a palm, palm-cabbage.
ummat	see umat.
ummi	1. illiterate. 2. term of address for mother in families of arab descent.
umpak	1 foot, step. 2 pedestal, fundament, base.
umpak-umpakan	praise, flattery.
umpama	1 example. 2 like, as.
umpan	bait, food. umpan-pancing fish bait. umpan-balik feed back. umpan-keris/pisau doomed to death (at the end of weapon).
umpat	curse, swearword.
umpatan	curse, verbal abuse.
umpel-umpelan	(java) crowded.
umpet	(coll.) go hide, lie low.
umpet-umpetan	1 in secret, on the sly. 2 hide-and-seek.
umpil	1 lift, raise. 2 row, scull.
umpuk	heap, pile, stack.
umroh	(islam) perform a pilgrimage to mecca (us. not during the hajj season) omitting some of the ritual (e.g. the visit to the fields of arafah).
umuk	(java) brag, boast.
umum	1 general, common. 2 the public. umum-nya us., by and large.
umur	1 age. 2 lifespan. 3 at the age of.
unam	k.o. sea mollusc.
uncang	bag (for traveling, etc.).
uncang-uncit	restless, unsettled.
unclik	(java, jakarta) walk without looking left or right.
uncue	/uncui/ see huncue.
unda-unda	being in tow o. behind the other.
undak	(java) 1 step. 2 terrace.
undak-undakan	stairs, steps.
undan	1. level. 2. pelican.
undang	invite, summon.
undang-undang	law, ordinance, act.
undangan	undangan
undat	undat
undi	a lot (in a drawing).
undian	1 lottery. 2 lottery prize.
unduh	(java) pick (fruit from tree).
undung-undung	veil over the head.
undur	1 go back, withdraw. 2 be out of circulation or publicity, out of trend.
undur-undur	(java) ant-lion.
uneg-uneg	/unek-unek/ (java) grudges.
ungap	gasp for breath.
unggah-ungguh	(java) etiquette.
unggang-unggit	go up and down (seesaw, rocking chair, etc.).
unggas	bird, fowl, esp. as scientific term.
unggat-unggit	see unggang-unggit
unggis	nibble, gnaw at.
ungguk	see onggok.
unggul	superior, excellent.
unggulan	s.o. or s.t. considered superior.
unggun	1 woodpile. 2 campfire.
unggunan	1 campfire. 2 heap, pile.
unggut	tug a rope, play tug of war.
ungka	k.o. gibbon.
ungkai	come undone, come off (of clothing).
ungkak	(naut.) post for fastening the hawser.
ungkang-ungkang	see ongkang-ongkang.
ungkang-ungkit	see unggang-unggit.
ungkap	1 express (with words, face or gestures). 2 reveal, uncover.
ungkapan	1 expression. 2 idiom.
ungkat-ungkit	repeated oscillating motions.
ungkil	pry up.
ungkir	see mungkir.
ungkit-ungkit	bob up and down.
ungku	see engku.
ungsi	evacuate.
ungu	purple.
uni	1. (m) older sister. 2. union, esp. in names of political entities. 3. see huni.
unifikasi	unification.
uniform	1 standardized. 2 a uniform.
uniformisasi	uniformization.
uniformitas	uniformity.
unik	unique.
unit	/yunit, unit/ unit.
universal	/universil/ universal.
universitas	university.
universiter	concering universities.
universitet	see universitas.
unjam	see hunjam.
unjuan	see unjukan.
unjuk	show s.t.
unjukan	/unju'an/ (java) drinks offered to a respected person.
unjung	see kunjung 1.
unjur	extended, stretched out (of legs).
unjuran	foot of the bed.
unjut	small bag or bundle tied at the end with knots.
unsur	element, substance. unsur-kimia chemical element.
unsuriah	/unsuri/ 1 elementary, elemental. 2 elemental.
unta	camel. bururng-unta ostrich.
untai	1 string, lace. 2 numerical classifier for stringlike objects (garlands, rosaries, etc.).
untaian	1 series. 2 string, chain, garland. 3 strophe. 4 (ling.) string.
untal	1. 1) pellet. 2) pill, tablet. 2. 1) swallow a large quantity. 2) (vulg.) eat.
untang-anting	swinging to and fro.
until	1. dangle, hang down. 2. see untal 1.
unting	1 strand, skein. 2 numeral classifier for hanging objects, tied together (such as corn, etc.).
unting-unting	plumb.
untingan	untingan
untir	twist.
untuk	1 for, on behalf of. 2 to, in order to.
untung	1 luck, fortune. 2 good luck, have good luck. 3 advantage, profit. 4 gain profit.
untung-untung	it is lucky.
untung-untungan	undertake s.t. hoping for the best.
untut	elephantiasis.
unyai	(m) softly, gently.
up.	(untuk perhatian) for the attention of (used in letter addresses).
upacara	1 ceremony, ritual. upacara-ngruwet (java) ritual to ward off evil. upacara-pelantikan inaugural ceremony. 2 regalia.
upah	1 pay, wages. 2 fee, commission.
upahan	1 wages. 2 hired worker.
upam	polish, burnish.
upama	see umpama.
upaman	upaman
upas	1. k.o. toxin derived from the sap of certain plants. 2. 1) messenger, ettendant. 2) policeman.
upat	see umpat.
upaya	1 eforts (to atttain a certain aim). 2 means.
upet	(java) wick, fuse.
upeti	1 tribute paid by subjects. 2 (coll.) bribe to higher-ranking official.
upgrade	/apgred/ upgrade.
upgrading	/apgreding/ upgrading.
upih	(biol.) leaf-sheath.
upik	(m) term of address for a little girl.
upil	1 dried snot. 2 scab on a wound.
upleg	(java, jakarta) be extremely busy.
upleg-uplegan	rush about very busy.
urah	1. (m) demolish, tear down. 2.relate.
urai	apart, asunder.
urai-uraian	strands, pieces.
uraian	uraian
urakan	rowdy, unconventional.
urang-aring	k.o. herb used for the hair.
uranium	uranium.
urap	1. ointment, salve. 2. grated coconut with spices.
urap-urap	salad of mixed vegetables (cabbage, beansprouts, stringbeans) with coconut.
urapan	urapan
urat	1 tendon. urat-keting (anat.) achilles' tendon. 2 nerve. urat-saraf nerve. 3 vein. urat-nadi artery.
urban	o. who has moved to the city from the country.
urbanisasi	migration to the city.
urea	urea-based fertilizer.
uret	(java) larva, white grub.
urgen	urgent.
urgensi	urgency.
uri	see ori.
urik	(java) pick, pluck.
urine	(med.) urine.
uring	(m) groove between nose and upper lip.
uring-uringan	(java) grumble angrily, be angry.
uris	dash. uris-datar dash. uris-miring slant, virgule.
uro-uro	chant java poetry.
urolog	urologist.
urologi	urologi
urss	(uni republik sovyet sosialis) ussr.
uruk	1 bury. 2 fill (with soil, sand, etc.).
urukan	mound.
urunan	(java) 1 contribution. 2 contribute.
urung	1 failed, unsuccessful. 2 not take place, be canceled.
urup	1 barter, exchange. 2 change money.
urupan	1 the thing exchanged. 2 change (money).
urus-urus	purgative, laxative.
urusan	urusan
urut	1. massage. 2. (coll.) in a series, well organized.
urut-urutan	1 consecutively, in sequence. 2 (sport) seeded.
urutan	urutan
us	(uni sovyet) soviet union.
usah	it is not necessary, no need to.
usaha	1 effort, exertion. 2 labor, work, trade.
usahawan	1 entrepreneur. 2 industrialist.
usahkan	1 let alone, not to mention. 2 instead of.
usai	1 finished, ready. 2 dispersed.
usak	decrease, lessen.
usali	/usalli/ 1 (islam) firm intention to pray. 2 (islam) word uttered upon beginning a prayer. 3 intention.
usam	1. 1) dregs. 2) waste remaining after the oil has been pressed from coconut meat. 2. vague, dull (of color).
usang	1 worn out, decrepit. 2 obsolete. 3 dry, barren, withered.
usap	1 wipe. 2 caress, stroke.
usapan	stroke, caress.
usar	k.o. grass used to make fragrant oil.
usdek	the five guiding principles of sukarno's gvt. after 1960: the 1945 constitution; sosialism a la indonesia; guided democracy; guided economy; national identity.
usdekisme	politics on the basis of usdek.
ushuludin	see usuludin.
usia	age.
usik	1tease. 2 touch on. 3 (phys.) perturb.
usikan	1 annoyance, disturbance. 2 meddling, criticism. 3 (phys.) perturbance.
usil	annoying, bothering others doing s.t. not desired.
usilan	annoyance, bothering.
usiran	fugitive.
uskup	(rel.) bishop. uskup-agung archbishop.
usolli	see usali.
ustad	/ustadz, ustaz/ (islam) 1 term of address for islam teacher. 2 (lit.) lord, master.
ustadah	/ustadzah, ustazah/ (islam) term of address for a female islam teacher.
ustrali	(coll.) australia.
ustria	(coll.) austria.
usuk	(java) rafter.
usul	1. 1) proposal, suggestion. 2) motion. 2. nature, characteristic.
usulan	proposal, suggestion.
usuludin	(islam) o. of the branches of theology pertaining to law and philosophy.
usung	carry (together with others) on the shoulders.
usungan	stretcher, litter.
usur	see uzur.
usus	intestines. usus-besar large intestine. usus-buntu appendix. usus-duabelas jari duodenum. usus-halus small intestine.
usut	investigate.
utak-atik	/utak-utik/ tinker with s.t.
utama	1 prominent, eminent. 2 principal, prime.
utan	see hutan.
utang	see hutang.
utar-utar	small round shield.
utara	1. north. 2. explain.
utarid	utarid
utas	1. skilled, capable. 2. 1) cord, string, strand. 2 numeral classifier for long, thin, and supple things (such as ropes, straw, etc.).
utik-utik	touch with a finger, poke into s.t. to examine it.
utilitas	utility, usefulness.
utk.	(untuk) for, in order to.
utopi	/utopia/ utopia.
utopis	utopian
utuh	whole, intact.
utuhan	(math.) integer.
utus	delegate.
utusan	1 messenger. 2 envoy. 3 delegate.
uu	(undang-undang) law, decree.
uud	(undang-undang dasar) the constitution.
uuds	(undang-undang dasar sementara) provisional constitution.
uwar	see uar.
uyel-uyel	(java) justle.
uzur	enfeebled (from old age or illness).
v	/fe/ v, the 22d letter of the alphabet.
vademecum	comprehensive handbook (for medical students, etc.).
vagina	/fagina, fakhina/ (med.) vagina.
vak	/fak/ 1 subject of study. 2 discipline, field of study.
vakansi	vacation.
vakature	/fakatur/ vacancy.
vaksin	(med.0 vaccine.
vaksinasi	vaccination.
vaksinator	o. who vaccinates.
vakum	1. vacuum. 2. (med.) suction device to abort the fetus.
valensi	valence.
validasi	validation.
validitas	validity.
valuta	currency. valuta-asing foreign currency.
vandalisme	vandalism.
vandel	souvenir pennant.
varan	monitor lizard. varan-komodo komodo dragon.
varia	variety, varied.
variabel	1 subject to change. 2 statistical variable.
variabilitas	variability.
varian	variant.
variasi	variation.
varietas	variety, kind (of plants, etc.). varietas-unggul high-yielding variety.
varises	(med.) varicose veins.
varitas	see varietas.
varuna	see baruna.
vas	vase.
vaselin	vaseline.
vb	(vestiging besluit) permission to occupy a company house (in the colonial period).
veem	wharfage and transport business.
vegetaris	vegetarian.
vegetarisme	vegetarianism.
vektor	(math.) vector.
velar	(ling.) velar.
velbak	see pelbak.
veldbed	/felbet/ see felbet.
veldfles	/pelples, felfles/ water-bottle, canteen.
velg	see pelek.
ventilasi	ventilation.
ventilator	ventilator.
ver-	see also entries with per-.
verba	(ling.) verb.
verbal	1 verbal, oral. 2 (ling.) verbal.
verdah	suspected of having a disease.
verdieping	see perdiping.
vergunning	/verkhening/ see perkening.
verifikasi	verification.
verkeneng	/verkening/ reconnaisance, reconoitering.
vermaak	/permak/ see permak.
vernis	see pernis.
verpleegster	see verplehster.
verpleger	/verpleher/ male hospital attendant.
verplehster	nurse.
verpolitisir	politicize.
versi	version.
versneleng	/versneling/see persneling.
versus	versus.
vertikal	vertical.
vet	(coll.) grease, esp. engine lubricators.
veter	shoelaces.
veteran	veteran, esp. of the revolution of 1945.
veto	veto.
vetsin	monosodium glutamate.
via	via.
viaduk	/viadukt/ 1 viaduct. 2 fly-over, overpass.
vibrasi	vibration.
vide	refer to, see.
video	1 video cassette. 2 video performance.
vietsel	(vietnam selatan) south vietnam.
vietut	(vietnam utara) north vietnam.
vihara	see wihara.
vikariat	(rel.) vicariate.
vikaris-jenderal	(rel.) vicar general.
vila	/villa/ hous in country, us. for weekend use.
vilt	felt.
vinyet	vignette.
violet	violet in color.
violis	violinist.
vip	/fip/ s.t. reserved for vips.
virgo	(zodiac) virgo.
virulen	virulent.
virulensi	virulence.
virus	virus.
visa	visa.
visi	point of view, perspective.
visual	visual.
visualisasi	visualization.
visuil	see visual.
visum	1 visa. 2 any written document from relevant authorities stating that a certain matter has been considered and approved of.
vital	vital.
vitalitas	vitality.
vitrage	/fitrasye/ lace curtain.
vivere-periculoso	live dangerously (sukarno-era slogan).
vla	k.o. rich custrad us. used as a topping for cakes and puddings.
vlex	see plek.
voc	/fe o se/ (verenigde oostindische compagnie) dutch e. india company (a trading company that held a monopoly in indonesia 1602-1799).
voile	/foal/ k.o. cloth, voile.
vokabuler	1 vocabulary, wordlist. 2 o.'s verbal knowledge.
vokal	(ling.0 vowel.
vokalis	vocalist.
vol	se pol1.
vol.	(volume) volume.
voli	volleyball.
volt	volt.
volta-hulu	upper volta.
voltase	voltage.
volume	1 volume, amount of liquid content. 2 volume, loudness.
volunter	a volunteer.
vonis	verdict.
votum	vote.
vrij	/fre, pre/ see perai 1.
vs	/fe es/ (versus) versus.
vulakanik	/vulakanis/ volcanic.
vulgair	/fulkher/ vulgar.
vulgarisasi	vulgarization.
vulkan	vulkan
vulkanisasi	vulcanization.
vulkanisir	1 retread. 2 vilcanize.
vulkanisme	(geol.) volcanic activity.
vulkanolog	expert in vulcanology.
vulkanologi	study of volcanic activity.
vulpen	see pulpen.
vuring	lining of clothing.
vutw	(varitas unggul tahan wereng) a high-yielding pest-proof variety of rice (much used in the 1970s).
w	/we/ w. the 23d letter of the alphabet.
w.	(waktu) time (zone).
waad	/waadat/ (lit.) treaty, contract.
wabah	epidemic.
wabakdahu	/wabakdu/ (lit.) furthermore, then.
wacana	1 (lit.) word, expression. 2 (lit.) discourse.
wadag	body, bodily.
wadah	1 container. 2 coordinating institution, umbrella organization.
wadal	sacrifice (upon completion of a new building, to obtain magical powers, etc.).
wadam	(wanita adam) transvestite homosexual, transsexual.
wadas	stony ground.
wadat	1 celibacy. 2 live a celibate life.
wadduh	(java) see aduh.
wader	k.o. small freshwater fish.
wadi	wadi, a stream in desert.
wadon	(java) female.
waduh	(java) see aduh.
waduk	1 rumen. 2 (coll.) paunch. 3 basin, reservoir.
wadul	(java) tell on s.o., be a tattletale.
wadung	ax.
wae	1 (sunda) also, even. 2 (java) only.
wafat	pass away.
wage	fourth day of the java five-day week.
wagen	/wakhen/ carriage (of typewriter).
wagon	(r.r.) coach, car.
wagub	(wakil gubernur) vice-governor.
wah	well, hey ! (exclamation of surprise or exasperation).
waha	/wahah/ oasis.
wahadah	/wahadat/ (rel.) oneness (of god).
wahai	(lit.) 1 alas ! (particle to emphasize distress). 2 oh ! (particle to draw attention).
waham	suspicious, suspicion.
wahana	1 (lit.) mode, vehicle (for conveyingthoughts, ideas, or for realizing ideals). 2vehicle (in automotive workshop names).
wahid	1 one, unique (of god). 2 alone, without peer.
wahon	see wagon.
wahyu	(rel.) divine revelation, vision from god to man.
wai	1. river (in place names in lampong, ambon, and elsewhere). 2. see wahai.
waisak	/waisyak/ see wesak.
waja	see baja 1.
wajah	countenance, face. wajah-baru newcomer.
wajan	wok.
wajar	1. 1) natural, proper. 2) genuine, without deceit. 2. (wajib belajar) compulsory education.
wajib	1 (islam) obligatory (of certain pious acts, e.g. praying at the appointed times, etc.). 2 must. 3 duty, obligation.
wajik	1 rhomboid shape. 2 (crd.) diamond. 3 k.o. cake made of sticky rice and palm sugar, cut in rhomboid shapes.
wak	see ua.
waka	(wakil kepala) deputy head.
wakaf	1. (islam) 1) property donated for religious or community use. 2) religious foundation. 2. (islam) pause in reading the koran.
wakap	see wakaf 1.
wakhen	see wagen.
wakif	(islam) o. who donates property to the islam community.
wakil	1 representative. 2 vice, deputy. 3 agent (on behalf of a firm).
waktu	1 time. 2 when. 3 while. 4 time zone.
wakuncar	(wajib kunjung pacar) (coll.) have a date with o.'s lover.
