sitar	see siter.
swadesi	gandhian movement of swadeshi, the confining of consumption to goods of village production.
swak	(coll.) 1 sickly and weak, exhausted. 2 weak (of batteries).
swakarsa	o.'s own will.
swakarya	self-developing (of projects without gvt. funding).
swakelola	self-management (i.e. community construction of public buildings.
swalayan	self-service.
swapraja	autonomous area or region.
swara	see suara.
swarga	see surga.
swarnadipa	(lit.) the golden isle, sumatra.
swartepit	k.o. card game of dutch origin.
swasembada	self-supporting, self-sufficient.
swasiswa	an autodidact.
swasta	private.
swat.	[swatantra] autonomy.
swatantra	autonomy, autonomous.
swedia	sweden, swedish.
swembak	(coll.)swimming pool.
swempak	swimming suit.
swi	[sumbangan wajib istimewa] k.o. motor-vehicle tax levied in the 1960s.
swt.	1. [subhannahu wa taala] (islam) the almighty and most worthy of praise, written after god's name. 2. [swatantra] autonomy, autonomous. 3. [swasta] private (not public, of businedded, etc.).
sy-	see also entries with s-.
syaban	/sya'ban/ (islam) the eighth month of the arabic calendar.
syabas	[in some regions only] good! well done!.
syafaat	1 (rel.) mediation, intercession (in communication with god). 2 blessing.
syafakat	1. indness, sympathy. 2. see sepakat.
syah	1. (lit.) ruler. 2. see sah 1.
syahadat	1 confession, testimony. 2 (islam) the profession of faith : there is no god other than allah, and the prophet muh. is his massenger.
syahbandar	harbormaster, port officer.
syahdan	(lit.) so it happened, the next thing in the story.
syahdu	1 eminent, excellent. 2 serene, calm.
syahid	(islam) martyr or warrior killed while fighting for islam principles.
syahmat	see sekakmat.
syahwat	1 lust, voluptuous feeling. 2 orgasm.
syair	1 story related in verse form using o. -end-rhyme quatrains. 2 poem. 3 rhyme containing clues to the lottery.
syaitan	see setan.
syak	suspicion, doubt, distrust.
syakti	see sakti.
syal	shawl, muffler.
syalat	see solat.
syaleh	/syalih/ see saleh.
syalwat	see selawat.
syam	(lit.) syria.
syaman	shaman.
syamanisme	shamanism.
syampo	shampoo.
syaraf	see saraf 1.
syarahan	(lit.) edition.
syarak	(islam) canon law.
syarat	condition, prerequirement, requisite.
syariah	/syari'ah, syariat, syari'at/ islam law.
syarif	(islam) title of a male descendant of muh.
syarifah	1 title of a female descendant of muh. 2 (coll.) arab women.
syarikat	see serikat.
syasis	see sasis.
syatriya	see kesatria.
syawal	/syawwal/ (islam) the 10th month of the arabic calendar.
syekh	(islam) 1 sheikh. 2 title of a islam scholar.
syelawat	see selawat.
syeti	(in some regions only) moneylender of indian descent.
syiar	/syi'ar/ (islam) magnigicience, greatness (of god and religion).
syiir	see syair.
syinkek	see singkeh.
syirik	/syirk/ (islam) 1 belief in more than o. god, polytheism. 2 s.t. to be avoided on religious grounds.
syit	see sit.
symposion	/symposium, simposion, simposium/ see simposion.
syok	1. 1) very attractive. 2) very absorbed in s.t., interested and excited. 2. /syok/ (med.) shock. 3. see sok 1.
syolat	see solat.
syor	see syur 1.
syorga	see surga.
syubhat	s.t. dubious.
syuco	(japanese) administrator of a residency.
syuhada	1 (islam) persons who died for islam (martyrd, warriors in religious war, etc.). 2 heroic martyrs of a just cause.
syuk	see syok 1.
syukur	1 thank god, thanks be to god. 2 happily, fortunately.
syukuran	expression of gratitude to god.
syur	1. 1) exciting, absorbing. 2) sexually arousing. 2. (lit.) advice, suggestion.
syurga	see surga.
syuriah	advisory.
syuur	see syur 1.
t	/te/ t, the 20th letter of the alphabet.
t'hoa.	[tionghoa] chinese.
t.	[tanpa] without.
t.p.	[tanpa penerbit] no indication of publisher (in bibliographies, etc.).
t.s.	(teman sejawat) colleague (used in professional correspondence by doctors).
ta	1. see to 1. 2. see tak 1.
ta'lim	see takzim.
ta'rif	see takrif.
ta'zim	see takzim.
taajal	see takjal.
taajub	see takjub.
taala	see allah.
taalim	see takzim.
taart	see tart.
taassub	fanatical, dogmatic, bigoted.
taat	1 obedient. 2 loyal.
taawuz	(islam) prayer recited before reading the koran.
tabah	1. 1) determined, resolute. 2) able to endure (hardship, etc.). 2. see tebah.
tabak	k.o. tray used to present s.t.
tabal	1. k.o. drum used at royal installations. 2 formal installation ceremony.
taban	the gutta-percha tree.
tabanas	[tabungan pembangunan nasional] savings for national development, a gvt.-insured savings account program.
tabas	see tebas1.
tabe	see tabik.
tabeat	see tabiat.
tabek	see tabik.
tabel	table, list. tabel-tegakan (fin.) yield table.
tabernakel	(rel.) tabernacle.
tabiat	/tabi'at, tabiyat/ 1 character, nature. 2 behavior.
tabib	1 traditional healer. 2 (lit.) physician.
tabik	1 greeting, salute given in greeting. 2 hello, good morning (afternoon, etc.).
tabir	screen, partition. tabir-asap smoke screen. tabir-besi the iron curtain.
tablet	tablet, pill. tablet-hisap/isap lozenge.
tablig	/tabligh/ (islam) 1 sermon at a religious meeting. 2 such a religious meeting.
tablo	(thea.) pantomime.
tabokan	a slap.
tabrakan	collision.
tabu	1 taboo. 2 consider taboo, avoid doing.
tabuan	see tabuhan.
tabuh	1. s.t. used to strike percussion instruments, esp. a gong. 2. k.o. large mosque drum used to summon people to prayer.
tabuhan	1. k.o. percussion instrument. 2. (lit.) k.o. wasp.
tabulasi	tabulation.
tabunan	the heaping and burning of rubbish.
tabung	1 k.o. bamboo tube used for storage. 2 money box.
tabungan	1 money box. 2 savings.
taburan	sowing.
tabut	1 (bib.) ark. 2 (islam, m) effigy representing muh.'s steed, carried in procession on the 3d day of muharam. 3 (islam, m) procession on the 3d day of muharam.
taci	/tacik/ 1 (china) term of address or reference for o.'s elder sister. 2 (coll.) term of address or reference for china woman.
tada	see tiada.
tadah	1 storage receptacle. 2 cistern, reservoir.
tadahan	stolen goods bought by a fence.
tadarus	see tedarus.
tadbir	management.
tadi	1 a while ago, some time ago. 2 this (morning, evening, etc.) just past, last (night), this past (two, three, etc. o'clock). 3 the o. from a while ago, the aforementioned.
tadinya	formely, just befor.
tadrus	see tedarus.
taduh	see teduh.
taek	1 (java, vulg.) bullshit ! exclamation of surprise or disagreement. 2 see tahi.
tafahus	1 a search. 2 examination.
tafakur	/tafakkur, tafkur/ 1 contemplation. 2 reflective, contemplative.
tafakuran	1 meditation. 2 engage in meditation.
taferil	scene, picture.
tafsir	1 (islam) exclamation of passages of koran by supplying additional information. 2 exegesis (of christian scriptures).
tafsiran	1 interpretation, explanation. 2 commentary, exegesis.
taftan	taffeta.
tagal	pebble.
tagan	stake in gambling.
tagar	sound of thunder.
tagih	1 addicted to s.t. 2 habitually accustomed to s.t.
tagihan	a claim.
tah	1. (lit.) 1 wonder, particle in interrogative sentences, expressing reflectiveness. 2. see entah.
tah.	[tahun] year.
tahadi	see tadi.
tahajud	/tahajut/ see sembahyang.
tahak	a belch.
tahakik	see tahkik.
tahalil	see tahlil 2.
tahan	1 endure, put up with. 2 last, hold out.
tahanan	1 resistance, opposition, obstruction. 2 arrest, detention.
tahang	1 (lit.) ravine. 2. 1) barrel, cask, drum. 2) tank, reservoir.
tahap	/tahapan/ stage, phase.
tahayul	see takhyul.
tahbisan	tahbisan
tahdiriyah	(islam) kindergarten.
tahfidz	know by heart.
tahi	1 excrement, feces. 2 filth, dregs. tahi-binatang meteorite. tahi-besi iron rust. tahi-gergaji sawdust. tahi-gigi tartar on teeth. tahi-lalat small moles, freckles. tahi-kuping ear wax.
tahil	1 a measure of weight equal to 16 kati. 2 a measure of gold, silver, or opium.
tahir	(lit.) pure.
tahiti	k.o. rattan.
tahiyat	(islam) 1 prayer greeting god. 2 greetings.
tahkik	verification.
tahlil	1. 1) (islam) repeated recitation of the confession of faith : there is no god but god : (la ilaha illallah). 2) (rel.) songs of praise (protestant).
tahmid	(islam) devotional repetition of the ejaculation, "praise god," alhamdulillah, often as part of a mystic exercise.
tahsil	acquisition, esp. collection of rents, taxes, etc.
tahta	see takhta.
tahu	1. /tahu, tau/ 1) know, be cognizant of. 2) (coll.) i do not know (often accompanied by a shrug etc.). 3) you understand ? 2. /tau/ (coll.) ever, once. 3. /tahu/ tofu, soybean curd.
tahu-tahu	/tau-tau/ sudenly and unexpectedly.
tahua	/tahua, tawa/ (china) k.o. by-product of tofu, similar to yoghurt in consistency.
tahun	/tahun, taun/ year.
tahunan	tahunan
tahyul	see takhyul.
tai	see tahi.
taifun	see topan.
taik	1. see tahi. 2. see naik.
taiko	(china) leprosy.
taipak	1 (china) gambling. 2 financier in gambling.
taipun	see topan.
tais	dirty.
taisen	(china) 1 the other number in a fixed pair of numbers in a number game or lottery. 2 the beloved.
taiso	(japanese) group calisthenics.
