ecek	apparently, outwardly. ecek-ecek not be serious, just appear as.
ecek-ecek	k.o. legume.
eceng	k.o. water plant with red leaves and edible flowers.
ecer	retail. price of a single item.
eco	(java) tasty, delicious.
edah	see idah 1.
edan	1 wild, frantic. 2 (coll.) insane, mad, crazy.
edap	see idap.
edar	1turn, revolve. 2 circle (of flying plane) 3 circulate (of money, etc.).
edisi	edition (of book, etc.).
edit	edit (manuscript, etc.).
editor	/editur/ editor (of manuscript, etc.).
edukasi	education.
edukatif	/edukatip/ educative, instructive.
eem-eem	(child language) yummy, tasty.
efectivitas	effectiveness.
efek	1. effect. 2. efek, efekten (fin.) share, stock.
efektif	/efektip/ effective.
effekten	see efek 2.
efisien	efficient.
efisiensi	efficiency.
egah	glorious.
egois	egoist, egoistic.
egoisme	egoism.
egoistis	egoistic.
egol	meng-egol 1 pry up, lift with a lever in a jerky motion. 2 sway o's hips.
egos	meng-egos 1 evade. 2 evade, get around s.t., get out of the way of s.t.
egosentris	egocentric.
egosentrisme	egocentricity.
egrang	stilts.
egung	see gong 1.
eh	ugh, interjection expressing disgust.
ehm	1. whatsit (particle used to avoid saying actual word). 2. (coll.) uh-huh, yes.
ei	see e 2.
eit	exclamation used when trying to avoid physical or verbal attack.
eja	spell.
ejakulasi	ejaculation of semen.
ejan	meng-ejan strain abdominal muscles when defecating.
ejawantah	visible, manifest.
ejek	mock, ridicule, make fun of.
ek	1. meng-ek calibrate. 2. oak.
eka	one, single (in formal compounds and slogans).
ekabahasa	(ling.) monolingual.
ekabahasawan	/ekabasawan/ (lit.) monolingual person.
ekamarga	one-way (traffic, road).
ekamarta	unidimensional.
ekaprasetia-pancakarsa	title of 1978 speech by suharto, in which he gave his interpretation of the pancasila.
ekaristi	(rel.) eucharist.
ekasila	condensation of the pancasila into o. principle (1960s).
ekasuku	(ling.) monosyllabic.
ekawarna	monochromatic.
ekawarsa	o. year.
ekeh-ekeh	panting, out of breath.
ekivalen	see ekuivalen.
ekivalensi	see ekuivalensi.
eko	echo.
ekologi	ecology.
ekologis	ecological.
ekonom	economist.
ekonometri	econometrics.
ekonomi	1 economics. 2 economy. 3 household management.
ekonomis	economical.
ekor	1 tail (of animals). 2 classifier used for animals. 3 tail (end) (of kite, parade, train, etc.). 4 follower, adherent, hanger-on. 5 bad consequence, aftermath. 6 the last digits in a lottery number.
ekosistem	ecosystem.
eks	1. 1) (leg.) (cited from. 2) imported from. 2. eks-ex-, former.
eks.	(eksemplar) copy, issue, number.
eksak	/eksakta/ exact sciences (mathematics and physics).
eksamen	(acad.) examination.
eksaminator	(acad.) o. who administers an examination.
eksekusi	1 execution, carrying out. 2 execution, putting to death.
eksem	/eksema/ eczema.
eksemplar	copy (of book), issue (of periodical).
eksentrik	eccentric.
eksepsi	(leg.) demurrer,exception.
ekses	excess.
ekshibisi	/eksibisi/ exhibition.
eksim	see eksem.
eksistensi	existence.
eksistensialisme	existentialism.
eksit	exit permit from the immigration office.
ekskavasi	excavation.
eksklusif	1 exclusive, select. 2 excluded, without.
eksklusivisme	exclusivism.
ekskursi	excursion.
ekskutif	executive.
eksodus	exodus, mass migration out of a place.
eksogami	exogamy.
eksogen	exogenous.
eksotik	/eksotis/ exotic.
ekspansi	expansion (of territory, gas, etc.).
ekspansif	expansive.
ekspansionis	1 expansionist. 2 expansionistic.
ekspedisi	1. 1) shipping, forwarding. 2) mail room 9of large institution). 2. 1) expedition, jaunt, campaign. 2) (mil.) dispatching of troops.
ekspeditur	shipping agent.
eksperimen	experiment.
eksperimental	experimental.
eksperimentasi	experimentation.
eksperimentil	see experimental.
eksplisit	explicit.
eksploatasi	see eksploitasi.
eksploatir	see eksploitir.
eksploitasi	1 development, working. 2 exploitation, use, operation.
eksploitir	meng-eksploitir 1 work, use. 2 exploit.
eksplorasi	exploration.
eksplosi	explosion.
eksplosif	explosive.
eksplotasi	see eksploitasi.
ekspo	see eksposisi.
eksponen	1 (math.) exponent. 2 exponent (of idea, theory, etc.).
ekspor	export.
eksportir	exporter.
ekspos	meng-ekspos expose, reveal, uncover.
ekspose	expose.
eksposisi	1 exposition, fair. 2 exposition, explanation.
ekspres	1 express, fast (public transport). 2 special delivery.
ekspresi	1 expressiveness. 2 expression.
ekspresif	expressive.
ekspresionis	expressionist (art).
ekspresionisme	expressionism (art).
ekspresionistis	expressionistic (art).
ekstase	extasy.
ekstensif	extensive
ekstern	1 external. 2 not a resident.
ekstra	1. 1) extra, more. 2) extraordinary, in a special way. 3) previws or shorts shown in addition to the main filn. 2. outside of a certain institution.
ekstradisi	extradition.
ekstrak	extract.
ekstrakuliluler	extracurricular.
ekstrane	(acad.) outside participant in an examination.
ekstraparlementer	extraparliamentary.
ekstrapolasi	extrapolation.
ekstrauniversiter	outside of the university.
ekstrem	extreme.
ekstremis	extremist.
ekstremisme	extremism.
ekstremitas	extremity.
ekstrim	see ekstrem.
ekstrovert	extrovert.
ekuin	(ekonomi, keuangan dan industri) economy, finance, and industry.
ekuivalen	equivalent.
ekuivalensi	equivalency.
ekumis	ecumenical.
ekwivalen	see ekuivalen.
ekwivalensi	see ekuivalensi.
ela	unit of linear measure, 91,4 cm. or about o. yard.
elaborasi	elaboration.
elah	1 trick. 2 pretext, excuse.
elang	hawk, eagle or any large bird of prey.
elastik	/elastis/ elastic.
elastisitas	/elastisitet/ elasticity.
electroteknik	electrical engineering.
elegi	elegy.
elektrifikasi	electrification.
elektris	(coll.) electrical.
elektrisir	meng-elektrisir electrify.
elektro	1 concerning electrical matters. 2 electrical engineering.
