multifarious	ks. bermacam-ragam.
n.	1 [neuter] netral. 2 [nominative] nominatip. 3 [north(ern)] (sebelah) utara. 4 [noun] katabenda. 5 [number] nomor, kata bilangan. 6 [new] baru. 7 [note] catatan. 8 [normal] normal.
n.c.	[north carolina] nagarabagian a.s.
n.c.o.	[non commissioned officer] bintara.
n.d.	[no date] tak bertanggal.
n.e.	[northeast] timur laut.
n.e.i.	[netherlands east indies] hindia timur belanda.
n.f.	[newfoundland] nama pulau dekat pantai timur kanada.
n.g.	[no good] kb. tidak becus.
n.h.	[new hampshire] negarabagian a.s.
n.j.	[new jersey] negarabagian a.s.
n.m(ex).	[new mexico] negarabagian a.s.
n.r.o.t.c.	[naval reserve officer training corps] korp/kesatuan latihan cadangan angkatan laut.
n.s.	[nova scotia] nama propinsi di kanada selatan.
n.y.	[new york] 1 negarabagian a.s. 2 kota new york.
n.y.c.	[new york city] kota new york.
n.z.	[new zealand] selandia baru.
nab	kkt. sl.: (nabbed) menangkap (basah).
nadir	kb. titik terendah, nadir.
nag	kb. kuda tua. -kkt. (nagged) mengomeli, membengkengi. -kki. mengomel (at pada).
nail	kb. 1 paku. to hit the n. on the head tepat. to pay on the n. membayar kontan. 2 anat.: kuku. n. clippers gunting kuku. -kkt. 1 memaku. 2 mengajak. to n. down memakukan. to n. up 1 memakukan tutup (a box). 2 memasang (a picture, diploma).
naive	ks. naif, tak dibuat-buat.
naivete	kb. kenaifan.
naked	ks. 1 telanjang (of body). n. to the waist separuh telanjang. 2 yang sebenarnya (of truth). 3 terhunus (of sword). n. eye mata biasa.
nakedness	kb. ketelanjangan, keadaan telanjang.
namby-pamby	ks. (berlaku) lemah.
name	kb. 1 nama. first n. nama sebutan/kecil. 2 tokoh. 3 reputasi.4 istilah, sebutan. -kkt. 1 memberi nama (pada), menamai. 2 menyebut(kan). 3 mengatakan. -name-calling kb. saling mengata-ngatai.
nameless	ks. tak dikenal. n. grave kuburan tanpa nama. a lady who shall remain n. seorang wanita yang tak mau disebut namanya.
namely	kk. yaitu, yakni.
nameplate	kb. papan/pelat nama.
namesake	kb. senama (of dengan).
nanny	kb. (j. -nies). n. goat kambing betina.
nap	kb. 1 tidur sebentar (di siang hari). 2 bulu-bulu halus dan pendek pada permukaan kain. -kki. (napped) tidur sebentar. to catch s.o. napping menangkap seseorang selagi ia lengah.
napalm	kb. 1 bahan kimia untuk membuat bensin kental. 2 mil.: bensin kental untuk bom pembakar.
nape	kb. kuduk, tengkuk.
naphtha	kb. nafta.
napkin	kb. serbet (dari kain/kertas).
narcissism	kb. kecintaan pada diri sendiri.
narcissus	kb. semacam bunga bakung.
narcosis	kb. pembiusan, narkosis.
narcotic	kb. bahan-bahan pembina, obat bius. n. addict seorang yang ketagihan obat bius.
narrate	kkt. menceritakan.
narration	kb. 1 penceritaan, pengisahan. 2 cerita, kisah.
narrative	kb. cerita. n. style gaya cerita.
narrator	kb. 1 pembawa cerita. 2 orang yang bercerita.
narrow	kb. narrows j. bagian sempit (dari sungai, selat). -ks. 1 sempit (of a road, path, house, room). 2 terbatas. 3 seksama. 4 tipis. -kkt. 1 membatasi (a subject, time). 2 memperkecil (the number of s.t.). -kki. menyempit (of a road). -narrowly kk. nyaris.
nasa	[national aeronautics and space administration] kb. biro penerbangan dan ruang angkasa nasional.
nasal	kb. bunyi sengau. -ks. 1 sengau. his voice has a n. twang ia bersuara sengau. 2 yang berhubungan dengan hidung. n. cavity rongga hidung.
nasalization	kb. persengauan.
nascent	ks. mulai timbul/lahir.
nastiness	kb. 1 kemesuman (of o's mind). 2 keburukan, kejahatan.
nasty	ks. 1 buruk (of weather). 2 sangat tidak menyenangkan (of a situation). 3 mesum (of a thought). 4 keji (of remark). 5 yang menjijikkan (of medicine). 6 kotor (of a room). 7 parah.
nat.	1 [national] nasional. 2 [natural] alamiah.
natal	ks. yang berhubungan dengan kelahiran. n. home tempat kelahiran.
natch	kk. sl.: tentu saja.
nation	kb. bangsa. nation-state negara berbangsa tunggal.
national	kb. warganegara. -ks. 1 nasional. n. debt hutang nasional. 2 kebangsaan. n. anthem lagu kebangsaan. -nationally kk. mengenai seluruh negara.
nationalism	kb. nasionalisme.
nationalist	kb. seorang nasionalis. -ks. nasionalis. the n. party partai nasional (is). n. china tiongkok/cina kuomintang.
nationalistic	ks. kebangsaan.
nationality	kb. (j. -ties) kebangsaan.
nationalization	kb. nasionalisasi.
nationalize	kkt. menasionalisasikan.
nationhood	kb. kedudukan sebagai negara merdeka.
nationwide	ks. nasional, untuk seluruh negara.
