padri	see paderi.
pandai	1. 1) bright, smart. 2) capable. 3) know, know how. 2. goldsmith.
pandak	short.
pandan	pandanus.
pandang	a look.
pandangan	1 view, opinion. 2 s.t.o. sees.
pandega	1 employees on a fishing vessel. 2 boy or girl scouts of highest rank (aged 15-17 years).
pandemen	see fondamen.
pandir	stupid, naive.
pandita	1 (bali) hindu priest. 2 (lit.) title of a palace rank.
pandom	compass.
pandu	1 guide. 2 boy or girl scout (in former times).
panduan	1 escort. 2 pilot (project).
panekui	(m) see panekuk.
panekuk	crepe, pancake.
panel	1. panel (discussion). 2. panel of wood.
panelis	panelist.
panembrama	(java) song welcoming a celebrity opening an important event, etc.
panen	1 harvest. 2 reap a nice profit.
pang	sound of drum.
panga	wide open.
pangab	[panglima angkatan bersenjata] commanderin chief of the armed forces.
pangabekti	(java) homage.
pangad	[panglima angkatan darat] commander in chief of the ground forces.
pangah	open the mouth in astonishment.
pangalungan	(sunda) money thrown by spectators to actors or dancers.
pangan	food.
pangdam	[panglima daerah militer] territorial military commander.
pangeran	1 prince, lord. 2 (crd.) jack.
pangestu	(java) 1 blessing. 2 spiritual movement originating in central java.
panggak	proud of s.t. or s.o.
panggang	1 baked, roasted. 2 toasted.
panggar	raised framework, us. used for drying fish.
panggeng	(jakarta) constant, regular, unchanging.
panggih	(java) ritual meeting at the wedding of a couple being married.
panggil	1 call, summon, send fors.o. 2 name, call.
panggul	(anat.) hip, pelvis.
panggung	1 stage, raised platform. 2 grandstand. 3 scaffolding.
pangkal	1 base, beginning, starting point. 2 cause. 3 base point. 4 (elect.) pole.
pangkalan	1 place to start out from, bridgehead. 2 quay, anchorage. 3 (mil.) base (for armed forces).
pangkas	get a haircut.
pangkasan	haircut or other trim given.
pangkat	1 rank, position. 2 step, grade (in advancement). 3 floor, story. 4 platform. 5 (math.) degree, power.
pangkeng	/pangking/ raised area in room for sleeping.
pangkon	(java) wooden base of gamelan.
pangkopkamtib	[panglima komando pemulihan keamanan dan ketertiban] commander for the restoration of peace, security, and order.
pangku	lap.
pangkung	hit with a club.
pangkur	1 pickax. 2 mattock, hoe.
panglima	(mil.) commander.
pangling	(java) fail to recognize.
panglong	lumber mill.
pangon	shepherd.
pangonan	pasture.
pangreh-praja	civil service.
pangsa	segment, section (of fruit).
pangsan	see pingsan.
pangsi	1. reel, drum, shaft. 2. 1) k.o. collarless shirt. 2) (china) k.o. black silk.
pangsit	(china) k.o. wonton or ravioli.
pangsiun	see pensiun.
pangti	[panglima tertinggi] (mil.) commander in chief.
pangur	1 rasp, file. 2 tooth filing.
pangus	dashing, handsome.
panguyuban	see paguyuban.
panik	panic.
panil	see panel 2.
panili	vanilla.
panitera	1 clerk of court. 2 registrar.
paniteratama	chief secretary.
panitia	/panitya/ committee.
panjak	a player in gamelan.
panjang	long, length.
panjar	cash advance.
panjaran	down payment.
panjat	climb.
panji	/panji-panji standard, banner, pennant.
pano	see panau.
panorama	panorama.
panser	(mil.) armored vehicle.
pansiun	see pensiun.
pantai	beach, coast, seashore.
pantak	mem-pantak penetrate.
pantalon	(lit.) long trousers.
pantang	1 prohibition, forbidden by taboo. 2 avoidance of s.t. taboo.
pantar	being of the same age as.
pantas	1 proper, suitable. 2 reasonable, fair, proper. 3 alert, smart. 4 of course ! no wonder !.
pantat	1. 1) behind, bottom, buttock. 2) back part of s.t. 3) base. 2. mem-pantat getah gather rubber.
pantau	monitor s.t., observe.
pantek	see pantik 1.
pantekosta	(rel.) 1 whitsuntide, pentecost. 2 pentecostal sect.
pantes	see pantas.
panti	1 (lit.) house, residence. 2 institution, home.
panti-asuhan	orphanage.
pantik	1. 1) strike fire. 2) snap o.'s fingers. 2. drill (a well).
panting	1. fall away in numbers. 2. see pontang-panting.
pantis	mascara.
panto	(biol.) annual growth ring (on trees).
pantofel	/pantopel/ slippers (with closed toes).
pantok	the endmost, bottommost, furthest point.
pantomim	pantomime.
pantul	bounce back, bounce off.
pantulan	1 reflection. 2 rebound.
pantun	k.o. traditional poetry, each verse of which consists of two couplets: the first suggests the 2d by sound or other similarity. it is often sung in contests where a boy addresses a quatain to a girl who must answer with a quatrain of her own.
panu	(java) see panau.
panus	holder for candle or lamp.
panutan	s.t. to follow, guide, leader.
paohi	see pauhi.
pap	popping sound.
papa	1. poor, destitute. 2. father, esp in westernized families.
papah	supported. papah-an a support to lean on.
papak	1. flat, level, smooth. 2. ber-papak meet.
papakan	1 meeting. 2 welcome, reception. 3 run into, meet.
papan	1. 1) board, plank. 2 shelf. 3 (road) sign. 2. housing, shelter (as basic human need).
papar	flat, level.
paparan	1 shelf. 2 explanation.
papas	1. 1) remove, take off. 2) take everything away. 3) resist. 4) criticize. 2. meet without stopping.
papaya	papaya.
papeda	(ambon) sago porridge.
papi	(coll.) father.
papilyun	see pavilyun.
papirus	papyrus.
papras	trim, cut to even out.
papua-nugini	papua new guinea.
para	1. rubber. 2. collective marker referring to people who comprise a group. 3. (mil.) 1) paratrooper. 2 specially trained troops.
para-para	loft, shelf over the hearth.
parabola	(math.) parabola.
parabolis	(math.) parabolic.
paradam	see perdom.
parade	parade.
paradigma	paradigm.
paradoks	/paradoksal/ paradoxical.
paradom	see perdom.
paraf	initials.
parafin	paraffin.
parafrase	paraphrase.
paragraf	paragraph.
parah	in serious condition.
paraji	(sunda) midwife.
parak	1 difference. 2 partition. 3 interspace. 4 entering a time or era.
paralel	parallel.
paralelogram	(math.) parallelogram.
param	medicinal powder or ointment, or liquid to rub on body.
parama-arta	see ambeg-parama-arta.
paramanusia	human race.
paramasastera	grammar.
parameter	parameter.
paran	1 direction. 2 goal, aim. approach, go to.
parang	1. short machete, chopping knife. 2. k.o. fish, the wolf-herring.
parap	1. hammer, pound. 2. see paraf.
paraplegia	(med.) paraplegia.
paras	1 face, countenance. 2 looks, appearance. 3 smooth.
parasit	1. parasite. 2. see parasut.
parasitisme	parasitism.
parasitologi	(biol.) parasitology.
parasut	parachute.
parasutis	parachutis.
parau	hoarse.
pardon	clemency, pardon.
pare	bitter melon or momordica, a green bitter and warty squashlike vegetable which grows on vines.
parem	see param.
parewa	street-corner loafer.
parfum	perfume.
pari	1. rayfish, skate. 2. see bintang.
paria	pariah.
parik	in line, in a queue.
parikan	/pari'an/ (java) aphorism.
paripurna	1 perfect, pure. 2 complete. 3 plenary.
