padri	see paderi.
peliput	reporter.
pelir	penis.
pelisir	pleat, pleated.
pelit	stingy.
pelita	1 oil lamp. 2 light (in metaphorical sense).
pelitur	varnish, polish furniture.
pelni	[pelayaran nasional indonesia] national shipping lines.
pelo	1 lisp, bable. 2 have a speech defect.
pelog	(java) seven-tone gamelan scale.
pelojok	see pelosok.
peloksok	see ploksok.
pelolosan	escape.
pelomba	1 contestant, competitor. 2 athlete.
pelonci	freshman girl.
pelonco	o. who is about to get a new status (e.g. as member of entering class, fraternity, etc.), freshman, pledge.
pelonggaran	relaxing.
pelonjakan	rise, jump (in production, price, etc.).
pelontos	bald and shiny (head).
pelopor	1 pioner. 2 vanguard, forerunner. 3 (mil.) shock troops. 4 ranger, scout.
pelor	bullet.
pelosok	1 outlying place, remote spot. 2 corner.
pelosot	1 fall down. 2 go down in price.
pelota	jai-alai ball.
pelotaris	jai-alai player.
peloton	see peleton.
pelotot	m-(p)elotot be big (of eyes). mem-pelotot-i look at with big eyes.
pelpen	measurement used by bricklayer to straighten wall.
pelples	canteen, water container.
pelpolisi	rural constabulary.
pelu	see peluh 1.
peluang	1 opportunity. 2 quiet (of wind).
peluberan	overflowing (of water, etc.).
pelucu	wag, wit, jokester.
pelud	[pelabuhan udara] airport.
peluh	1. impotent. 2. perspiration, sweat.
peluit	1 a whistle (device). 2 whistle (sound).
peluk	1 embrace. peluk-cium a hug and a kiss. 2 measurement of length of approximately o. fathom.
pelumur	lubricant.
pelumuran	1 staining, smearing. 2 pollution.
peluntur	laxative.
pelupa	forgetful person, s.o. absent-minded.
pelupuk	cover, wrapper. kelopak-mata eyelid.
peluru	1 bullet. 2 projectile, missile. 3 (sport) shot-put.
peluruh	emetic.
pem-	see also entries with p-, m-.
pemabuk	drunkard, a drunk.
pemadah	religious person.
pemadam	s.t. that extinguishes.
pemadaman	extinguishing, putting out (of fire).
pemahaman	comprehension.
pemahatan	sculptor, carver.
pemain	player, actor.
pemakai	1 user, consumer. 2 wearer.
pemakaian	1 use, consumption. 2 application, usage.
pemakaman	funeral, burial, interment.
pemakan	1.eater 2.consumer.
pemalas	sluggard, lazy person
pemali	pemali
pemampas	compensation.
pemanah	archer.
pemanas	heater.
pemancar	1 fountain. 2 radio or tv transmitter. 3 radiator.
pemancaran	action of broadcasting, radiating, emitting.
pemandian	bathing place.
pemangkas	barber.
pemangku	1 manager. 2 functionary.
pemanis	1 sweetener. 2 cosmetics. 3 decoration.
pemantapan	stabilization, consolidation.
pemantik	pemantik
pemasaran	marketing.
pemasok	supplier.
pemasukan	1 registration, entering. 2 import. 3 introduction. 4 income.
pematah	see pepatah.
pematang	bund, dike between rice fields.
pemb-	see also entries with b-.
pembabaran	1 spread, development. 2 account, statement. 3 expose.
pembagian	1 distribution. 2 (math.) division. 3 allotment, division. 4 sharing, share.
pembalap	racer.
pembalasan	1.reply,replying,response,responding2.recompense 3.revenge, retribution,retaliation,reprisal.
pembangkitan	generation (of energy).
pembantu	1 helper, assistant. 2 (domestic) servant. 3 (leg.) accessory, accomplice. 4 stringer (in journalism).
pembatak	1 plunderer, pillager, robber . 2 soldier of fortune , adventurer .
pembatas	1 diveider, circuit breaker. 2 restraint (of trade).
pembatasan	1 restriction. 2 delimitation. 3 curtailment.
pembawaan	1 nature , character , temperament. 2 talent , gift 3 transporting , delivery 4 result , consequence .
pembayatan	hazing.
pembela	protector.
pembelaan	1 act of caring for s.o. 2 protection.
pembelanja	shopper.
pembelanjaan	financing.
pemberangkatan	sending off, dispatch.
pemberhentian	/pembrentian/ 1 discharge, disimissal. 2 stoppage.
pemberi	giver, donor, bestower.
pemberian	1 gift, present. 2 conferral, awarding, bestowal (of degree). 3 distiibution, act of distributing. 4 issue. 5 giving, extending.
pemblokiran	blockading.
pemda	[pemerintahan daerah] local gvt.
pemelihara	1 caretaker. 2 nurseryman.
pemeliharaan	1 care, maintenance.2 rearing, cultivation. 3 safeguarding.
pemenang	winner.
pemenggalan	cutting off the top or head.
pementasan	1 showing, presentation. 2 staging.
pemeo	see pameo.
pemeragaan	exhibit.
pemerah	1. milker. 2. reddening agent.
pemeras	1 press. 2 exploiter.
pemerasan	1 pressing, squeezing. 2 extortion. 3 exploitation.
pemerata	s.t. that causes even distribution.
pemerataan	even distribution.
pemerhati	observer (for the purpose of study, etc.).
pemeriksa	1 investigator, inspector. 2 ( leg.) cross-examiner.
pemeriksaan	1(leg.) investigation, inspection. 2 (leg.) cross-examination, interrogation. 3 checkup, examination.
pemerintahan	gvt, administration.
pemetaan	1 cartography. 2 mapping.
pemetik	1 picker. 2 switch, trigger.
pemetikan	picking, gathering.
pemikatan	s.t. that entices, decoy.
pemilah	sorter.
pemilahan	process of sorting.
pemilik	owner, proprietor.
pemilikan	ownership, possession.
pemilu	[pemilihan umum] general elections.
pemimpi	1 dreamer. 2 escapist.
peminat	devotee, interested person.
peminta-minta	begger.
pemintal	1 o. employed in making thread or twine. 2 spinning wheel.
pemintalan	1 spinning. 2 spinning wheel.
pemisah	1 arbiter. 2 referee. 3 s.t. that separates.
pemisahan	1 separation (of coiple). 2 isolation. 3 discrimination.
pemogok	striker.
pemogokan	strike.
pemondok	boarder, tenant.
pemondokan	lodgings.
pemotongan	1 butchering, slaughtering. 2 process of cutting, truncation.
pemotret	photographer.
pemotretan	photography.
pemp-	see also entries with p-.
pemrasaran	see prasaran.
pemuaian	expansion.
pemuda	see muda.
pemudah	1 easygoing. 2 o. who is easygoing.
pemudi	young woman, girl.
pemujaan	1 place of sacrifice, temple. 2 worship, veneration.
pemuka	leader, promoter.
pemukul	1 hammer, cudgel, beater. 2. o. who strikes.
pemula	1 initiator, originator. 2 beginner.
pemulangan	1 return, restitution. 2 repatriation.
pemunduran	pulling s.t. back.
pemungut	collector.
pemungutan	1.harvest 2.collection 3.adoption.
pen	1. 1) pin for holding s.t. together in surgery. 2) peg or dowel for joining wood or bamboo. 3) grenade pin. 2. pen-atom ballpoint pen.
pen-	see also entries with t-, n-.
pena	1 writing pen. 2 quill.
penabrak	s.o. who collides, esp. a driver.
penabuh	o. who strikes such a drum.
penabung	a depositor.
penabungan	1 savings. 2 process of saving money, setting aside s.t.
penabur	sower, spreader.
penaburan	diffusion, strewing.
penad	[penerangan angkatan darat] army information (office).
penadah	1 container, receptacle. 2 buyer of stolen goods. 3 (sport) catcher. 4 (sport) a bat.
penadahan	1 process of storing liquids, etc. 2 passing on or buying of stolen goods.
penadbir	manager.
penadbiran	administering, managing.
penaga	see kayu 1.
penagih	creditor, dunner.
penagihan	pressing a claim.
penahan	s.o. or s.t. that restrains or resists.
penahanan	1 restraint. 2 detention, arrest.
penajaman	1 sharpening. 2 exacerbation.
penak	see enak.
penaka	as, for instance.
penakaran	act of measuring out.
penakawan	see punakawan.
penakluk	conqueror, subjugator.
penaksir	appraiser.
penaksiran	appraising, evaluation.
penakut	coward, s.o. fainthearted.
penal	[penerangan angklatan laut] navy information (office).
penala	tuning fork.
penalaran	reasoning, intellectual activity.
penali	1 binder. 2 (lit.) conclusion.
penalti	(sport) penalty.
penambah	1 (math.) enumerator, counter. 2 addition, extra..
penambahan	increment, increasing.
penambal	1. o. who patches. 2 s.t. to patch with.
