menguntir	twist.
menjak	see semenjak.
menjalani	1 wolk on 2 undorge , endure ( an operation , military training ,punishment, etc ) 3 go through a period of o,s life . 4 travel trhough s.w .
menjalankan	1 drive ( car et ), operate ( machine) 2 start , put into operation ( a car etc ) 3 carry out , perform (o,s duty ) put into effect 4 serve ( prison sentence ) .
menjalar	1 creep, crawl (of snakes, plants). 2 spread (of fire, disease, etc.).
menjangan	(java, lit.) deer.
menjangat	1 skin, flay, fleece. 2 strip bark.
menjangkakan	1 measure (with calipers). 2 plan, work out.
menjangkau	1 reach. 2 reach to. 3 reach for. 4 reach out. 5 reach out, extend to.
menjaring	1 catch or pick up in a net. 2 encompass, embrace (a large area, etc.).
menjatuhkan	1 let fall , drop 2 drop , supply a lower level with money 3 toppley , overthrow , bring down ( the gvt,regime ) 4 ruin , topple , ruin a good name 5 (leg) pass (a sentence,judgement),hand down (a verdict,decision) .
menjauhi	1 avoid, keep away from. 2 be far from.
menjawikan	1 translate into malay. 2 put into the malay script.
menjayakan	glorify, extol.
menjebak	1 trap (animals, birds). 2 trap, frame s.o.
menjebloskan	1 throw s.t. into. 2 throw (into jail).
menjebol	1 break down (a door, etc.). 2 penetrate (enemy lines, etc.). 3 break through (a wall, etc.).
menjebrolkan	1 produce, bring forth, give birth to. 2 eject, expel s.t.
menjegali	interfere with, interrupt.
menjeglegkan	punch a hole in.
menjelajah	1 cruis over seas, cross land areas. 2 explore (an area, etc.). 3 examine.
menjelang	1 call on, pay o,'s respects to. 2 visit. 3. to (used to address mail). 4 around, toward. 5 approach, come close to.
menjelangak	look upward.
menjelempah	lie scattered about.
menjelirkan	stick out (o.'s tongue).
menjelmakan	1 create. 2 realize, bring about.3 transform s.o. or s.t.
menjelujur	1 baste (a hem). 2 tie or stitch together.
menjelujuri	1 stitch s.t. on. 2 hold s.t. together with a thread. 3 go over the lenght of s.t. 4 investigate.
menjemput	1 pick up (with fingertips). 2 pick up (figuratively). 3 call for, fetch.
menjemukan	1 bore s.o., boring. 2 tiresome, irksome.
menjemur	spread out in the sun to dry.
menjenguk	1 look or observe with head thrust forward. 2 pay a call, look in on.
menjentik	1 pinch, tweak, nip. 2 flick, rap with the fingers. 3 rap, scold, criticize s.o.
menjepitkan	1 squeeze, pinch s.t. 2 clip s.t., affix s.t. with clips.
menjepret	1 hit with a slingshot. 2 take a snapshot of.
menjerakan	1 teach s.o. a lesson. 2 frighten, intimidate. 3 be wary of, learn to avoid.
menjerat	1 snare. 2 trick, deceive, round up (criminals). 3 entice, inveigle (customers). 4 snarl, tangle.
menjeriau	install such joists.
menjering	chirp, cheep (of birds, etc.).
menjernihkan	1 make s.t. clear, clear up (a misunderstanding). 2 purify, cleanse
menjewang	snatch s.t. up.
menjidari	1 provide a line. 2 make a line with a ruler.
menjijikan	1 loathe, abhor, abominate. 2 nauseating, loathsome.
menjilat	1 lick. 2 flatter, curry (favor), apple polish.
menjinakan	curl the lower lip down (to tease).
menjiwai	menjiwai
menjojol	1 protrude (of eyes). 2 protrude upward (of palisades, etc.).
menjorokan	1 make s.t. protrude. 2 push or shunt aside.
menjotoskan	menjotoskan
menjuarai	win out, come up as champion.
menjublek	be silent, speechless (us. in bewilderment).
menjulur	1 stick outward. 2 panhandle, beg in street.
menjumpai	1 find. 2 go to meet. 3 meet with, encounter.
menjurus	1) point, lead (in certain direction, etc.). 2) go in a certain direction.
menkeh	[menteri kehakiman] minister of justice.
menkes	[menteri kesehatan] minister of public health.
menkesra	[menteri kesejahteraan rakyat] minister of public welfare.
menkeu	[menteri keuangan] minister of finance.
menko	[menteri koordinator] coordinating minister.
menkop	[menteri koperasi] minister of cooperatives.
menlu	[menteri luar negeri] minister of foreign affairs.
menmud	[menteri muda] undersecretary.
menobatkan	crown, install.
menodong	1 threaten s.o. by pointing a weapon. 2 commit armed robbery.
menodongkan	threaten by pointing with s.t.
menohok	stab downward.
menohokkan	use s.t. in a downward piercing motion.
menohorkan	dry s.t. up.
menojok	thrust (s.t. long) into s.t.
menojokkan	thrust s.t. (of long things).
menojor	hit with a fist.
menokoh	cheat, deceive.
menokohi	run, lead (a group).
menokohkan	feature s.t.
menokok	1. give or say s.t. extra. 2. tap, pound at.
menokong	shave.
menolak	1 push. 2 push aside, prevent. 3 repel. 4 reject. refuse. 5 (math.) subtract.
menolakkan	1 push away. 2 push off on to.
menoleh	1 turn o.'s head. 2 look toward by turning the head.
menolehkan	cause o.'s head or attention to turn somewhat.
menolok	compare.
menolong	help, aid, assist s.o.
menolongi	repeatedly help with s.t.
menombak	stab with a spear.
menombok	1 (jakarta) pay extra, pay an additional fee. 2 stake out money in gambling.
menomboki	1 add a sum of money to. 2 pay extra (of many persons). 3 bet on.
menonggak	1. make s.t. erecrt. 2. drink from a container by pouring its contens down o.'s throat.
menongkat	1 raise hight . 2 cane s.o.
menongkatkan	1 hold up with s.t. 2 raise.
menongkrongi	1 squat on s.t., hang out around at. 2 squat on land.
menongkrongkan	let s.t. remain idle.
menonjok	hit with the fist, fight.
menonjol	1 protrude, stick out. 2 conspicuous, prominent.
menonjol-nonjolkan	show s.t. off which is not worth showing off.
menonjolkan	menonjolkan
menonton	1 watch for entertainment, observe. 2 go to the movie.
menontoni	1 visit the family of o.'s future in-laws (to obtain information). 2 meet e.o. for mutual inspection (of future bridal pairs in arranged marriages).
menontonkan	1 show (off), exhibit. 2 play, perform.
menopang	1 prop up, shore up. 2 tidak-menopang contradict.
menopangkan	lean s.t. on.
menor	garish, gaudy in dress or make up.
menoreh	1 make a shallow cut. 2 slit open.
menpan	[menteri negara penertiban aparatur negara] state minister or control of machinery of the state.
menpen	[menteri penerangan] minister of information.
menpera	[menteri negara urusan perumahan rakayat] state minister of public housing.
menperdag	[menteri perdagangan] minister of trade.
menperhub	see menhub.
menpora	[menteri negara pemuda dan olah raga] state minister of youth and sports.
menpplh	[menteri negara pembinaan dan pelestarian lingkungan hidup] state minister of environmental affairs.
menristek	[menteri negara riset dan teknologi] state minister of research and technology.
mens	(coll.) menstruation, menstruate.
mensekneg	/mensesneg/ (menteri sekretaris negara] secretary of state.
menselkan	put into a prison cell.
mensentraliser	centralize.
menservis	service (of engines, etc.).
mensiang	k.o. rush.
mensinyalir	call attention to, point out.
mensinyalkan	give a signal.
mensistematikkan	systematization.
mensistematisasikan	systematize.
menskors	1 suspend s.o. 2 adjourn.
menslenger	crank, start a car with a crank.
menslogankan	utter s.t. as a slogan, make s.t. into a slogan.
mensolder	solder.
mensortir	sort (of mail, etc.).
mensos	[menteri sosial] minister for social affairs.
menstabilisasikan	stabilize.
menstabilo	mark a text with a highlighting pen.
menstarter	(coll.) start an angine.
mensteling	1 set up barricades around s.t. 2 (mil.) take up a position.
mensterilkan	sterilize.
menstimulasikan	stimulate.
menstimulir	stimulate.
menstruasi	menstruation.
mensublimir	sublimate.
mensubordinasikan	subordinate.
mensubstantifkan	make into a substantive.
mensubstitusikan	substitute.
mensucikan	1 purify, disinfect, clean. 2 sanctify.
mensugestikan	persuade s.o. to be of the same opinion.
mensyariahkan	/mensyariatkan/declare a certain deed to be islam law.
mensyukuri	1 be grateful to god to god about s.t. 2. (coll.) thank s.o.
mensyurkan	1.1) attract, absorb o.'s interest. 2) arouse, sexual desire. 2. advise, recommend.
ment-	see also entries with t-.
mentaati	1 ahere to, obey s.t. 2 be faithful to.
mentabukan	consider s.t. taboo.
