menguntir	twist.
menyelarkan	1 brand. 2 singe, sear. 3 fry (without oil).
menyelatkan	insert, thrust between.
menyelekehi	smear, stain.
menyeleksi	select.
menyelempangkan	worry about.
menyelendangkan	hang, carry on the shoulder.
menyelenggarakan	1 run s.t., take care of, operate. 2 organize. 3 execute, carry out, implement.
menyelengi	put money in a piggy bank.
menyelesaikan	1 finish s.t. 2 solve, settle, discharge (debt, etc.).
menyeleweng	1 deviate, digress. 2 engage in improper activity. 3 be unfaithful in an amorous relationship.
menyelewengkan	divert, deflect, s.t.
menyelidiki	1 investigate. 2 do research. 3 spy, pry into.
menyeligi	throw a javelin.
menyelimpang	deviate from the right path.
menyelimpat	stay clear of, wind s.t.
menyelimuti	1 cover s.t. with a blanket, 2 cover, hide s.t.
menyelimutkan	1 hide behind, use as a cover. 2 cover, blanket with s.t.
menyelinap	1 slitther, move stealthily. 2 get, slip away or into s.t.
menyelinapi	1 crawl, move stealthily into s.t. 2 get, slip into s.t.
menyelingi	intervening, go in between.
menyelip	slip into a place.
menyelipkan	insert s.t. in between.
menyeliputi	cover, envelope.
menyelisik	1 go through the hair to pick lice or nits. 2 investigate, get at the bottom of.
menyelisipkan	insert s.t.
menyelisir	go along the edge of s.t.
menyelit	be wedged or inserted in between.
menyelitkan	insert between two objects.
menyelobokkan	slip s.t. into s.t.
menyelomot	(java) fool, hoodwink.
menyelomoti	burn, touch fire to s.t.
menyelon	exile, deport.
menyelongkar	1 turn over, put in disorder. 2 rummage through.
menyelot	lock.
menyelubungi	cover with a veil or wrapper.
menyeluduk	crawl under s.t.
menyeluk	feel (around) for.
menyelundup	1 duck into, hide. 2 smuggle. 3 infiltrate.
menyelundupkan	smuggle s.t. in.
menyelungkup	cover, close.
menyelungkupkan	enclose, cover.
menyeluruh	1 spread all over. 2 comprehensive.
menyelusup	penetrate, infiltrate.
menyelusur	slide.
menyelusuri	1 go along, follow. 2 go through s.t. carefully.
menyemahkan	sacrifice s.t.
menyemaikan	raise seedlings, make seeds germinate.
menyemak	1 be like underbrush. 2 entangled. 3 confused. 4 worried.
menyemakkan	1 allow to become a wilderness, let (a garden, etc.) run wild. 2 confuse, worry.
menyemangati	inspire.
menyemarakkan	1 embellish, adorn. 2 cheer up, brighten.
menyematkan	fasten, pin, attach.
menyemayamkan	bury.
menyembah	1 pay homage. 2 worship.
menyembahkan	put (the hands or s.o.'s hands) in the position of respectful greeting.
menyembahyangkan	pray for, conduct services for.
menyembam	roast in hot ashes.
menyembat	1 whip up with a jerk. 2 grab while passing.
menyembilu	1 cut (with such a blade). 2 be cutting (of words)..
menyembir	deviate..
menyemboyankan	1 give a prearranged signal. 2 use s.t. as a slogan.
menyembuhkan	cure.
menyembul	1 appear partially, emerge. 2 swell, bulge, protrude.
menyembulkan	1 hold out or up. 2 make s.t. protrude, appear.
menyembunyikan	1 hide s.t. 2 conceal, suppress.
menyembur	1 squirt, spurt. 2 spray spit at.
menyemburatkan	sparkle.
menyemburiti	sodomize.
menyemburkan	spray or spout s.t. out.
menyeminarkan	hold a seminar on.
menyemir	1 to polish. 2 spread s.t. oily or greasy on, lubricate. 3 bribe, grease the palm.
menyempadani	delimit.
menyempal	/tersempal/ 1 stick. 2 gag.
menyempang	trip s.o.
menyempar	push, hurl s.t.
menyempatkan	1 make use of. 2 give o. time.
menyempil	/tersempil/ stick out so that a small part can be seen.
menyempit	tighten, narrow, constrict.
menyemprit	blow (a whistle).
menyemprot	1 spray. 2 scold.
menyemprotkan	1 squirt s.t. out. 2 inject, spray.
menyempurnakan	1 perfect. 2 complete s.t. 3 be given a proper ceremony.
menyemut	swarm, teem.
menyenakkan	oppress.
menyenandungkan	hum s.t.
menyenangkan	please, gratify.
menyendeng	lean, slant.
menyendengkan	tilt s.t.
menyendiri	1 be alone, apart, separated. 2 be aloof, isolate o.s.
menyendok	1 ladle up, ladle out, spoon. 2 scoop up, scoop out.
menyendoki	1 skim. 2 spoonfeed.
menyendokkan	spoon out on behalf on s.o.
menyengajakan	do s.t. on purpose.
menyengat	sting s.o. or s.t.
menyenget	slant, be at an angle.
menyengetkan	put s.t. on an angle.
menyenggangkan	free (time), allow (time) for.
menyenggol	1 snudge with the elbow, brush against. 2 brush against.
menyengguk	repeatedly nod (often from weariness).
menyengihkan	cause to open (the mouth).
menyengkak	massage the abdomen with an upward motion..
menyengkang	1 arrange a crossbar on s.t. 2 have a fish bone, etc.) caught in the throat.
menyengkelit	be worn in this way.
menyengkelitkan	attach to o.'s waist-belt.
menyengsarakan	torment s.o.
menyenguk	(java) sniff.
menyensus	take a census.
menyentak	1. pull at s.t. 2. (java) snap at s.o., verbally abuse s.o., tongue-lash.
menyentakkan	1 pull at, jerk at. 2 startle s.o.
menyental	rub hard, scour, scrub.
menyenter	1. shine, light. 2. 1) center (a ball). 2) play as a center.
menyenteri	1 light with a flashlight. 2 expose (in photography).
menyentil	1 (jakarta) snap o.'s fingers. 2 flick s.t. with o.'s finger, snap o.'s fingers at s.t. 3 criticize, reprimand.
menyentuh	touch s.t., nudge.
menyepak	kick.
menyepelekan	belittle, consider insignificant (of s.t. which is worth consideration).
menyepi	/nyepi/ 1 grow still, become desolate. 2 retire into seclusion.
menyerah	1 surrender. 2 give in, accede.
menyerahi	hand over to s.o., deliver to s.o., submit to s.o.
menyerahkan	hand s.t. over, transfer s.t.
menyerakahi	covet.
menyeramkan	1 cause o.'s hair to stand on end. 2 terrify.
menyerampang	harpoon a.t. with a trident.
menyerandang	support with a trestle.
menyeranikan	1 convert s.o. to christianity. 2 legally marry an indonesian wife (in the colonial period).
menyerap	1 absorb a fluid. 2 pervade.
menyerapahi	be abusive, curse.
menyerati	make tight
menyeraya	ask for help.
menyerbak	be perfumed, be good-smelling.
menyerbakkan	spread s.t. (fragnance, etc.).
menyerbeti	wipe off with a napkin.
menyerbu	attack or invade in a throng.
menyeret	1 drag s.t. or s.o. 2 cause s.t. to drag.
menyeretkan	make business sluggish, make sales slow.
menyergap	1 attack, ambush. 2 catch (in a raid, etc.). 3 snarl at
menyerimpung	(serimpung) (jakarta, jakarta) 1 tie or entangle another's feet. 2 block s.t., impede s.t. 3 make o. stumble (by hurling s.t. to entangle the feet).
menyering	plait or twine s.t.
menyeringai	1 grin, grimace. 2 curl into a grin or grimace.
menyerit	remove lice with this comb.
menyerkah	break or tear off.
menyerkai	1 wring out (wet clothes, etc.). 2 squeeze out liquid (from cheesecloth, etc.).
menyerkap	1 catch fish with such a fish trap. 2 cover with s.t. (us. cone-shaped).
menyerkup	seize or cover with a concave object (a cone, cupped hand, etc.).
menyerobot	1 get in front of. 2 interfere with or take arbitrarily.
menyerok	1 scoop up (food, etc.). 2 round up in a swoop.
menyerongkan	tilt s.t., slant s.t.
menyeropot	(jakarta) sip s.t. noisily.
menyerpih	1 splinter. 2 fragment.
menyertai	1 participate in. 2 accompany s.o. or s.t.
menyertakan	enclose.
menyertifikatkan	(leg.) formalize (ownership of land, etc.) with a certificate.
menyeruak	1 make o.'s way through a narrow passage or dense foliage or a crowd. 2 waft out through narrow spaces.
menyerudi	polish by grinding.
menyeruduk	1 go with the head lowered. 2 (java, jakarta) ram into. 3 go into a place unobstrusively.
menyeruit	1. harpoon s.t. 2. blow a whistle.
menyerukan	1 call, shout out s.t. 2 proclaim s.t.
menyerum	treat with serum.
menyerusuk	go through (bushes, crowds, etc).
menyerut	plane s.t.
menyesah	wash clothes by pounding them.
menyesakkan	oppress, tighten, constrict.
menyesal	see sesal.
menyesap	1 sip, lap up. 2 suck.
menyesarkan	move or push s.t. aside.
menyesatkan	lead astray, mislead.
menyeset	skin, peel.
menyesuaikan	adjust, adapt, bring into line.
menyetarafkan	1 make equal, make equivalent. 2 consider on a par with. 3 balance.
menyetel	1. match. 2. 1) tune up, adjust. 2) turn on.
menyetem	1. vote for s.o. or s.t. 2. tune up.
menyeterika	1 iron s.t. 2 (coll.) flatten, smash..
menyetir	1 drive, steer. 2 (coll.) control, wield control over.
menyetop	stop s.t.
menyetor	1 make a deposit. 2 pay a rental fee. 3 put in storage. 4 (sl.) defecate.
menyetrum	1 induce. 2 electrify, charge.
menyetubuhi	copulate with s.o.
menyetujui	agree to s.t., approve s.t.
menyetum	1 dry-clean with steam. 2 let steam off.
menyia-nyiakan	make s.t. useless, cause s.t. to have no result, neglect.
menyiagakan	alert s.o., prepare s.o. for action.
menyiangi	clear s.t. of weeds.
menyiapkan	1 prepare. 2 finish s.t.
menyiasati	pry into s.o.'s affairs or get the better of s.o. (by questioning, using certain tactics or approaches, etc.).
menyiasatkan	punish.
menyibak	1 separate s.t. 2 cleave s.t. apart.
menyibakkan	move s.t. aside.
menyibukkan	1 stir up, incite. 2 occupy, busy o.s. with.
menyidak	hang out to dry.
menyidangkan	1 convene on a matter. 2 (leg.) bring s.o. or s.t. to trial.
menyidik	investigate.
menyigai	climb up on such a ladder.
menyigar	part (hair).
menyigi	1 light with a torch. 2 investigate.
menyikat	1 brush s.t. 2 comb s.t. 3 rake out, harow s.t. 4 (coll.) take away. 5 (coll.) wipe out , clean out. 6 (sport) defeat completely.
menyiksa	1 torture s.o. 2 (coll.) annoy, irritate.
menyiku	1 nudge, elbow o.'s way. 2 form a rectangle. 3 curve or bend at a right angle.
menyikut	1 nudge with elbow. 2 (coll.) deceive, cheat.
menyilam	disappear.
menyilet	slice with a razor blade.
menyilih	1 change. 2 shed skin, molt.
menyilik	observe, note carefully.
menyimak	1. scrutinize, observe attentively. 2. gather, collect.
menyimbah	1 splash, bespatter. 2 break out, appear.
menyimpan	1 store, lay away. 2 have inside, keep s.t. in storage.
menyimpang	1 deviate, diverge. 2 take a side route.
menyimpul	1. 1) button clothing. 2) form a knot. 2. form an embarrassed smile.
menyimpulkan	1 form s.t. into a knot. 2 conclude, summarize.
menyinarkan	1 radiate, send off. 2 cause s.t. to shine.
menyindir	tease us. by insinuation and allusion.
menyinggat	divide, part.
menyinggung	1 touch, contact. 2 offend, insult, hurt (o.'s feelings). 3 touch on, treat (a subject, problem).
menyingkap	1 unveil, expose, open. 2 reveal. 3 be turned back and open a bit (sheets, skirts, etc.).
menyingkir	1 step aside, yield. 2 evacuate, move to.
menyingkirkan	1 evacuate s.t. 2 remove, put away, lay aside. 3 eliminate, purge, get rid of s.o. or s.t.
menyingkuri	turn o.'s back to s.o. or s.t., ignore.
menyingsatkan	1 tighten. 2 roll up. 3 shrink s.t.
menyingsing	rise, lift, break clear.
menyingsingkan	roll, tuck up.
menyingsring	blow o.'s nose.
menyintung	touch with the elbow.
menyipit	become squinted or narrowed (of eyes).
menyiram	pour (water) over s.t., flush.
menyirapkan	1 raise slightly. 2 scare s.o.
menyirat	make a knot.
menyiratkan	imply.
menyirepkan	1 cast a sleeping spell over s.o. 2 (java) calm s.o.
menyiring	scoop up carefully.
menyirnakan	1 make disappear. 2 abolish. 3 destroy, kill.
menyiru	use such a tray to winnow.
menyisakan	1 leave behind. 2 set aside (for later).
menyisi	1 move to the side. 2 go along the side of s.t.
menyisih	1 give way, get out of the way. 2 be separate, aloof from. 3 set s.t. aside, put s.t. to the side.
menyisihkan	1 set aside, separate out. 2 reject, ignore. 3 (sport) eliminate.
menyisikan	move s.t. to the side.
menyisipi	1 insert into s.t. 2 repair s.t. by putting s.t. flat in between, e.g. insert new parts in roof, etc.
menyisipkan	insert s.t. in.
menyisir	1 comb s.t. 2 harrow s.t.
menyisirkan	comb s.t. for s.o.
menyita	/mensita/ 1 seize, confiscate. 2 consume (o.'s time or attention).
menyiuk	groan, moan.
menyjelaskan	1 clarify, explain s.t. 2 resolve, settle, clean up (a debt, conflict, etc.).
menyjumlahkan	add or count up.
menyjunjung	1 carry s.t. on the head, shoulders, or high on the back. 2 respeck, hold in high esteem.
menylentik	1 snap s.o. or s.t. with o.'s index finger. 2 reprimand s.o.
menyobek	tear, rip.
menyodok	1. shovel, scoop up. 2. thrust, poke.
menyodorkan	1 thrust s.t. forward, stretch s.t. out. 2 put forth.
menyogok	bribe s.o.
menyohorkan	make s.o. or s.t. famous.
menyokong	1 prop up, support. 2 aid.
menyolok	see colok 2.
menyombol	cram food into the mouth.
menyondang	lift, raise on o.'s head or shoulders.
menyondol	1 charge by lowering the head, butt s.t. 2 (sport) hit the ball with the head.
menyondong	catch shrimp.
menyongel	protrude, jut out.
menyongsong	1. 1) welcome. 2) commemorate. 3) carry out (s.o.'s wishes, etc.). 2. go against.
menyontakkan	1. mutilate, disfigure. 2. tug at, give a (sudden) jerk at.
menyontek	1. push away. 2. copy, cheat in class, crib.
menyorakkan	yell out s.t.
menyorong	1 push, slide. 2 urge. 3 propose, suggest. 4 bribe s.o.
menyorongkan	1 slide s.t. forward. 2 shove, push forward, hand.
menyorot	1 shine, gleam, irradiate. 2 project (pictures). 3 gaze, look (of eyes). 4 draw attention to, highlight.
menyoroti	1 illuminate s.t., light up. 2 spotlight s.t. or s.o., give prime importance to.
menyosoh	1. whiten or clean rice. 2. 1) fight, engage in combat. 2) do s.t. with vigor.
menyosor	use the bill to scoop up or to peck at.
menyruduk	ram or butt with o.'s head.
menyuap	1 eat with the hand. 2 bribe s.o.
menyuapi	feed s.o., esp. by placing food in the mouth.
menyuarakan	1 give voice to s.t., express s.t. 2 utter.
menyubal	substitute with fake material.
menyuburkan	1 make s.t. fertile, make s.t. grow. 2 make s.t. prosper.
menyudet	(java) 1 make an incision (e.g. on a boil, ulcer). 2 make a connecting passage between canals.
menyudip	stir s.t.
menyudutkan	put s.t. into a corner.
menyuguhkan	serve (a guest, etc.). with s.t.
menyuhun	showgreat respect for s.o.
menyukabumikan	kill.
menyukai	like, love.
menyula	1 shear off coconut husks by exerting downward pressure on such a stake. 2 (lit.) impale s.o.
menyulam	1. embroider. 2. replace dead rice seedlings with new ones.
menyulap	1 conjure up s.t. 2 (coll.) cause s.t. to disappear (esp. in embezzlements, etc.).
menyuling	1. play the flute. 2. distill.
menyulingkan	turn s.t. upside down.
menyuluhi	1 light s.t. with a torch, cast a light upon s.t. 2 inform, instruct. 3 investigate.
menyulur	climb, creep.
menyulut	1 (java) kindle, ignite. 2 become heatedly angry
menyulutkan	ignite or light s.t. on s.o.'s. behalf.
menyumbang	1 contribute. 2 help, assist.
menyumbat	stop, close up, plug up.
menyumbi	repair the edge of s.t. damaged (e.g. crown a tooth, etc.).
menyumbur	1 protrude. 2 emerge.
menyumburkan	1 extend s.t. (hand, leg, tongue, etc.). 2 hang out or raise the flag.
menyumpal	1 plug s.t., fill a gap. 2 (vul.) feed.
menyumpalkan	plug up, with s.t.
menyumpit	shoot with a blowpipe.
menyumpitkan	use as a blowpipe.
menyunat	1 circumcise s.o. 2 skim money off the top of a budget to that the grantee gets only a portion.
menyunatkan	1. have s.o. circumcised. 2. 1) consider a deed meritorious. 2) prescribe for s.o. as a meritorious deed.
menyundak	1 (m) bump o.'s head. 2 rise.
menyundut	1.(m) carry. 2. (lit.) light, kindle.
menyungga	stick with a spike.
menyunggi	carry on the head.
menyungging	produced s.t. decorative with delicate details.
menyungkahkan	devour s.t. greedily.
menyungkal	plow, dig up.
menyungkit	embroider in such a way.
menyungkupi	cover with s.t.
menyungkur	1 root up, grub up (earth). 2 lower the head (as if to root up).
menyungkurkan	put down, lower.
menyungsang	1 be upside down. 2 go against the grain.
menyungsangkan	place s.t. upside down.
menyuntih	(m) cut into small pieces.
menyuntik	1 inject. 2 inoculate, vaccinate. 3 incite.
menyunting	1. 1) proofread and correct. 2) insert s.t., edit s.t. into. 2.marry s.o. (of men).
menyuntingkan	1. place behind the ear or in the hair. 2. have s.o. as a wife.
menyuplai	supply s.t.
menyurati	1 incribe. 2 write a letter to s.o.
menyuruh	order s.o. to do s.t.
menyuruk	1 duck the head. 2 hide.
menyurup	set, sink (of heavenly bodies).
menyurut	lessen, subside.
menyurutkan	1 withdraw s.t. 2 decrease, lessen.
menyusahkan	1 make s.t. difficult. 2 worry about.
menyusu	suckle on the breast.
menyusui	give suck.
menyusuk	1 magically insert s.t. subcutaneously to improve o.'s attraction. 2 (java) stab with a pin.
menyusukkan	stick s.t. in.
menyusul	1 follow, come afterward. 2 follow and catch up with.
menyusun	arrange s.t. in orderly fashion.
menyusunkan	arrange s.t. in an orderly fashion on s.o.'s behalf.
menyusup	1 move (below s.t.), pass in a low posture. 2 penetrate, infiltrate.
menyusupi	enter into s.t. stealthily.
menyusupkan	1 place s.t. below s.t. else. 2 smuggle, have infiltrate.
menyusur	1.1) go along the edge. 2) trace, follow. 2. chew tobacco.
menyusuri	1 go along the edge. 2 trace, follow.
menyusut	1 decrease in size, shrink (of cloth, etc.). 2 subside (of a wind, storm, swelling, etc.). 3 wipe off.
menyusuti	1 reduce, decrease. 2 wipe off (repeatedly).
menyusutkan	decrease s.t.'s size.
menyutradarai	direct a film or play.
menyuwir	shred.
menyuwuk	(java) heal magically by blowing on s.t.
menzakatkan	donate s.t.
menziarahi	visit (a sacred place).
