glos	(ling.) gloss.
grebeg, grebek	see garebeg.
gregatan	see geregetan.
gregel	(java) ng-gregel-i nervous to the point of quivering (and lossing grip of s.t.).
greges	(java) feverfish. ng-greges suffer or tremble from a fever.
greget	see geregetan.
grehon	greyhound.
gremet	(java) meng-gremet advance very slowly. meng-gremet-i crawl on s.t.
grendel	latch, door bolt.
grengseng	(java) feeling of excitement or anticipation.
grepe	see gerapai.
gres	(sl.) brand new (car, etc.).
grifir,gripir	see geripir.
grimis	see gerimis.
grobak	see gerobak.
grodok	sound of dragging or bumping (i.e. metal banging against metal, etc.).
grogi	see gerogi.
grogol	see gerogol.
grogot	see gerogot.
grojok	gush forth.
grojokan	flushing.
grombolan	see gerombol.
gros	1. gross, unit of measure. 2. (ambon) large.
grosir	wholesaler, distributor.
growak	having a hole or flaw.
grumbul	see gerombol.
grundel	see gerundel.
grup	group.
gua	1. cave, grotto. 2. (jakarta, china, coll.). i, familiar firts person pronoun.
gual-gail	loose, wobby (of teeth).
guam	theush (children's disease).
gub.	[gubernur] governor.
gubah	1. gubah-an 1) arrangement or composition (of music, flowers). 2) literary work. 2. see kubah.
gubal	1. clump, pile 9of stone, soil etc.). 2. cambium, soft wood between bark and xylem.
gubang	1. notch in tree for foothold when climbing. 2. ber-gubang roll over to clean itself (of animals). 3. see gobang.
gubel	meng-gubel coax, urge.
gubernemen	1 gvt. (colonial period). 2 residence of the governor.
gubernur	governor.
gubit	(m) meng-gubit beckon to.
gubris	meng-gubris heed, pay attention to (a request, etc.).
gubuk	1 hut, shack. 2 shelter in rice field.
guci	porcelain or earthenware jug.
gudang	1 warehouse, storehouse. 2 storeroom, pantry.
gudangan	(java) steamed mixed vegetables with grated coconut and chili peppers.
gudeg	(java) young jackfruit cocked in coconut milk with spices.
gudel	1. water buffalo calf. 2. plaque (on o.'s teeth).
gudik	1. scabies. gudik-an mangy. 2. ter-gudik-gudik flop about (of dog's tail, fish on land, etc.).
gue	see gua 2.
gugah	1. meng-gugah 1) waken, arouse. 2) move (s.o.'s heart, conscience). ter-gugah awakened, aroused. gugah-an the moving of s.t. 2. meng-gugah(kan) grouse, complain, grumble.
gugat	a shock, jerk, jolt. meng-gugat shake, rock s.t.
gugatan	1) accustion. 2) (leg.) suit. 3) claim. 4) criticism.
gugu	(java) meng-gugu listen to and obey s.o. ter-gugu trusted, relied on.
guguh	1. meng-guguh 1) beat (a drum). 2) knock on (a door). 2. (jakarta) very old.
guguk	1. hillock, knoll. 2. meng-, ter-guguk cry with gasping, boo-hoo sounds.
gugup	panickly, nervouse, jittery. ke-gugup-an nervousness, jumpiness. peng-gugup a nervous person.
gugur	1 fall (of leaves, hair, etc.) 2 fall prematurely (of fruit, fetus, etc.).
gugus	group, cluster.
guha	see gua 1.
guik	meng-guik-guik squeal (of pig).
guit	meng-guit 1 touch with the feet. 2 infringe on.
gul	see gol.
gula	sugar. gula-gula 1 sweets, candy. 2 mistress.
gulai	k.o. curry.
gulali	1 taffy. 2 k.o. syrupy sweet.
gulana	see gundah.
gulat	ber-gulat wrestle e.o. wrestler.
gulden	guilder (monettary unit in colonial times or the current dutch unit).
gule	see gulai.
gulet	1. see gulat. 2. see gelut.
guli	marbles.
guliga	bezoar, esp. when used as amulet.
guling	ber-guling 1 roll. 2 sleep with a bolster.
gulir	ber-gulir move, roll on, go.
gulita	dark.
gulma	weeds.
gulu-banyak	(auto.) curved part of exhaust pipe.
gulung	1 roll. 2 coil (of rope). peng-gulung roller.
gulut	ber-, ter- (gulut-gulut ) in hurry, hastily, in haste. meng-gulut hurry s.t. up, accelerate.
gum	sound of boom (cannon, etc.).
gumal	1 wrinkled, creased (of cloth). 2 rumpled, crumpled (of paper).
gumala	see gemala.
gumalai	see gemulai.
gumam	gumam-an a murmur.
gumpal	1 clod, clump (of earth, clay, clouds, etc.). 2 wad, ball.
gumuk	(java) knoll.
gumul	1 wrestle. 2 struggle.
gumulan	a tangle (of issues, boys wrestling, etc.).
gumun	(java) astonished, surprised.
gun	1 (china sleep. 2. fine-toothed comb in weaving machines to separate threads.
guna	1 use, purpose. 2 for, in order to.
guna-guna	magic, magical formulas.
gunapa	(coll.) what for ?
gunawan	1 (lit.) virtuous, noble. 2 useful (person).
guncang	see goncang.
gundah	depressed, dejected. gundah-gulana despondent.
gundal	1. 1) notch (in wood). 2) knot (in string) as indicator in counting. 2. see begundal.
gundar	coarse brush (for cleaning a horse, etc.). meng-gundar use such a brush.
gundi	see legundi.
gundik	concubine, mistress.
gundu	1 k.o. nut used as a marble. 2 marble. ber-gundu play marbles.
gunduk	ber-gunduk-gunduk be piled up in several heaps.
gundukan	heap, pile.
gundul	1 bald. 2 bare, barren (of land). 3 leafless.
gung	see gong 1.
gunggung	sum total. gunggung-an the total.
gungli	see gongli.
guni	see goni.
gunjai	tassel, tuft.
gunjing	gossip. ber-gunjing gossip with s.o. else. meng-gunjing-kan say s.t. bad about s.o. gunjing-an slanderous gossip.
guntai	1. owned by an absentee landlord. 2. see gontai.
guntak	rattling (e.g. of seeds in fruit). ber-guntak rattle.
gunting	1 scissors, shears, clippers. 2 (coll.) cut, clip, trim.
guntingan	1 clipping (from newspaper, etc.). 2 cut, style of cutting (a pattern, etc.).
guntung	1 flat, level, smooth. 2 short. 3 blunt, flat. meng-guntung top (a tree, pole, etc.).
guntur	thunder.
gunung	mountain .
gunungan	1 (java) mountainlike figure in the wayang play symbolizing the universe. 2 imitation mountain.
gup	sound of mutted thud.
gurah	ber-gurah gargle, rinse. meng-gurah rinse s.t. out (vat, o.'s mouth, bottle, etc.).
guram	1. dull, dim, hazy. 2. 1 chiken flea. 2 insignificant, inconsequential. 3. gums.
gurami	k.o. fish, gurami.
guras	see kuras 2.
gurat	1 scratch, line. 2 (jakarta, sl.) lines in the palm.
guratan	1 sketch, outline. 2 facial wrinkle.
gurau	1 a joke. 2 say jokingly. ber-gurau joke, jest. gurau-an joke, prank.
gurdi	drill, auger.
gurem	(jakarta, java) see guram 1,2.
guri	small earthen pot.
gurih	1 deliciously oily 9and salty) but causing thirst (of fried fish, etc.). 2 delicious in general. ke-gurih-an too salty and crisp.
gurinda	see gerinda.
gurindam	(lit.) 1 aphorism in two lines. 2 rhapsodical type of free verse.
guris	see gores.
gurit	1 philosophical verse. 2 simple verse in rhyme. meng-gurit poetize, versify, write poetry.
gurita	1. octopus. 2. baby's vest.
guru	teacher.
guruh	thunder. ber-, meng-guruh thunder, boom.
gurun	wasteland, desert.
gurung	(java) windpipe, esophagus, gullet. gurung-an water channel.
gus	1. (java) respectful term of address by adults to boys or youth. 2 see bagus.
gusah	(java) meng-gusah chase away.
gusar	angry.
gusi	gums.
gusti	1 the lord. 2 lord ! exclamation of hope. 3. aristocratic title.
gusur	gusur-an an area condemned for right of way or public use.
gutik	meng-gutik touch with tips of fingers.
gutural	guttural.
guyah	see goyah.
guyon	(java) ber-guyon joking. guyon-an joke, object of fun.
guyub	1. (java) friendly, close, mutually helpful. ke-guyub-an communality. per-guyub-an community organization based on ascribed status. 2. see kuyup.
guyur	ber-guyur bathed in (sweat, etc.).
guyuran	splash.
gwo-yeu	/kwo-i/ see kuoyu.
h	h, the 8th letter of the alphabet.
h.	1. [haji] (islam) title of o. who has made the pilgrimade to mecca. 2. [hijriah] year of the arabic calendar. 1406 in the year 1406 of the hijriah.
ha	1. huh (question marker) 2. 1) humph ! (exclamation of derision). 2) ah ! (exclamation of discovery). 3) ha ! (exclamation of disbelief).
ha.	[hektar] hectare.
haacih,haaciu	see hacih.
haah	see ha 2.
haak	see hak 3.
habelur	see hablur.
habib	respectful term of address for ethnic arabs who can trace their ancestry to muh.
habil	(bib.) abel, o. of adam's sons.
habis	1 finished, used up. 2 completed, through, concluded.
hablur	crystal.
habsyi	1 ethiopia, byssinia. 2 african.
hacih	/hacing, haciu, hacu / atchoo ! (sound of a sneeze).
had	boundary, limit.
hadang	see adang.
hadap	1 across (the street). 2 side. 3 facing in a certain direction.
hadapan	1 front. 2 future. 3 presence.
hadas	(islam) ritual impurity.
hadat	see adat 1.
hadiah	1 prize. 2 reward. 3 gift. with a gift. present s.t., donate.
hadir	be present.
hadirat	1 (rel.) presence (of god). 2 female members of the audience.
hadirin	those present, audience.
hadis	(islam) traditional collection of stories relating words or deeds of muhammad the chief source of guidance for understanding religious questions.
