glos	(ling.) gloss.
hipmi	[himpunan pengusaha muda indonesia] indonesian association of young businessmen.
hipnotis	hypnotic. meng-hipnotis hypnotize.
hipnotisir	meng-hipnotisir hypnotize.
hipnotisme	hypnotism.
hipokrasi	hypocrisy.
hipokrit	hypocrite.
hipotea	/hipotesis/ hypothesis.
hipotek	mortgage.
hipotenusa	(math.) hypotenuse.
hipuk	see ipuk.
hirap	disappear, vanish.
hirarki	hierarchy.
hirarkis	hierarchical.
hirau	meng-hirau-kan heed, note, pay attention to.
hiris	see iris.
hiru-biru	see haru-biru.
hiru-hara	see huru-hara.
hiruk	hiruk-pikuk/piruk tumult, hullabaloo, hurly-burly (of the crowd). ke-hiruk-pirukan racket, noise, din.
hirup	whiff, sniff.
his	1. 1) shame ! (exclamation of scorn). 2) shhh ! 2. (coll.) yeast.
hisab	computation, calculation, reckoning. meng-hisab (astr.) calculate, compute. ter-hisab counted.
hisak	see isak.
hisap	see isap.
hisit	(china) shark fin (for soup).
histeri	hysteria.
histeris	hysterical.
histologi	(med.) histology.
histologik	(med.) histological.
historikus	historian.
historiografi	historiography.
historis	historic, historical.
historisitas	historicity.
hit	extremely popular.
hitam	1 black. 2 dark, swarthy.
hitung	(coll.) arithmetic.
hiu	shark.
hiung	meng-hiung whistle.
hiur	see iur.
hiwan	see hikwan.
hkbp	(huria kristen batak protestan] the batak protestant church.
hla	see lha.
hlm.	[halaman] page (of book).
hlo	see lho.
hmi	[himpunan mahasiswa islam] muslim students' association.
ho	oh !
ho,ho.	[hongeroedeem] malnutrition.
hoakiau	/hoakiauw/ overseas chinese.
hobat	see obat.
hobi	1 hobby, s.t. o. likes. 2 like s.t.
hodeng	comportment, the way o. carries o.s.
hofmester	chief musician of a palace (colonial period).
hoho	sound of laughter.
hoi	hey ! (esp. when calling s.o. from afar).
hojat	see hujat.
hokah	hookah.
hoki	(china) good luck.
hokki	field hockey.
hol	(islam) annual, ritual feast to commemorate the dead.
holan	/hollan/ (coll.) netherlands.
holopis	(kuntul baris) yo-heave-ho (exclamation to summon up strength when lifting things).
homo	male homosexual.
homogen	homogeneous.
homonim	homonym.
homonimi	homonymy.
homoseksual	/homoseksuil, homoseks/ see homo.
homoseksualitas	homosexuality.
honar	see onar.
honda	(coll.) motorcycle.
hong	1. (sport) home base. 2. earthen pipe for drainage. 3. see burung.
hongaria	hungary.
hongeroedeem	/hongerudim/ malnutrition, undernourishment.
honggi	see hongi.
honghouw	(china) empress.
hongi	punitive 17th-century expeditions by dutch in the moluccas to extirpate spice trees.
hongsi	(cina) rheumatism.
honor	/honorarium/ 1 honorarium, stipend. 2 payment for services.
honorer	1 honorary. 2 not officially confirmed (in o.'s job) and so paid by stipends not salary.
honorifik	honorific.
hooi	see hoi.
hop	1. (coll.) head, chief. 2. stop ! whoah ! (exclamation only).
hopbiro	(coll.) central (gvt.) office.
hopeng	/hoping/ (china) close friend.
hopyes	hard coffee-flavored caramel.
horas	greetings ! long live ! (batak greeting).
horden	/hordeng/ curtains, drapery.
hore	hurrah ! hurray !
horison	horizon.
horisontal	horizontal.
hormat	1 honor, respect, esteem. 2 respectful.
hormon	hormone.
horn	/horen/ ice-cream cone.
horoskop	horoscope.
hortikultura	horticulture.
hortikulturis	horticulturist.
hoskut	houscoat, dressing gown.
hospes	(biol.) viral or bacterial host.
hospital	hospital.
hospitalisasi	hospitalization.
hostes	1 taxi dancer, bar waitress. 2 prostitute.
hosti	(rel.) host, consecrated wafer.
hot	(coll.) 1 sexy. 2 sexually aroused. very popular.
hotdog	sandwich in hot dog bun.
hotel	hotel.
houder	cartridge pouch or box on soldier's belt.
hower	k.o. artillery piece.
hoyak	see oyak 2.
hoyong	see huyung.
hph	[hak pengusahaan hutan] logging concession.
hr.	[harian] daily newspaper.
hrs.	[harus] must.
huap	see suap.
hubaya-hubaya	make sure that...., above all, by all means.
hubung	connect, related.
hubungan	1 connection, relationship. 2 contact. 3 context. 4 coupling (in poetry).
huduh	see odoh.
huh	ha ! (exclamation of derision, scorn, etc.).
hujah	proof, evidence. berhujah argue, adduce arguments.
hujan	rain.
hujat	blasphemy.
hujung	see ujung.
huk	1. (sport) hook. 2. (coll.) 1) corner (of room). 2) intersection.
huk-huk	1 sound of coughing. 2 coughing.
hukum	1 law. 2 verdict.
hukuman	1 punishment 2 prisoner .
hulam	see ulam.
huler	rice huller.
hulu	1. 1) upper course (of river). 2) beginning of s.t. (in set phrases). peng-hulu see penghulu. 2. 1) upper end (of a pole). 2) hilt. 3) top of head, head (in certain phrases only).
hulubalang	1 commander, war chief. 2 district chief (in aceh).
hulur	see ulur 1.
huma	1 field for dry rice cultivation. 2 newly cleared land for agriculture.
humaniora	the humanities.
humanisme	humanism.
humas	[hubungan masyarakat] public relations.
humbalang	see hembalang.
humor	joke.
humoris	humorist.
humoristis	humorous.
hun	(china) unit of measure for weight (1/10 tael) or lenght (1/12 inch).
huncue	(china) tobacco pipe.
huni	occupy, dwell or reside in.
hunjam	stuck, inserted.
hunjuk	see unjuk.
hunkwe	k.o. gelatin made from mung bean flour.
hunus	unsheathed (sword, dagger).
hunyi	see huni.
hup-hup	exclamation to encourage o. to jump.
hura	hooray ! (exclamation of pleasure, delight). ber-hura shout hurrah.
hura-hura	(sl.) not to be taken seriously.
huriah	(sumatra) district.
huru-hara	1 disturbance. 2 hurly-burly. 3 riot.
huruf	letter, characters.
hurufuah	see harfiah.
hurung	see urung.
hurup	see huruf.
hus	hush ! be quiet !
husap	see usap.
husaren-sla	k.o. vegetable and fruit salad with mayonnaise and sometimes bits of cold meats.
huse	hurrah !
hussain	(islam) grandson of muh. martyred in religious war. hussain's and his brother hassan's deaths are commemorated on asyura.
hustis	see hostes.
husuk	see khusyu.
husus	see khusus.
husy	see hus.
hut	(zod.) pisces.
hutan	woods, forest.
hutang	debt, obligation.
hutangan	having a debt.
huyung	ter-huyung-huyung stagger, falter.
hvs	[houstvrij schrijfpapier] bond paper of 60-100 gram thickness (lit., bondpaper free of wood).
hwa-hwe	(china) popular game of numbers for gambling.
hwee	(cina) association.
hyang	tittle of authochthonous or hindu deity. wisnu vishnu.
hydrolistrik	see hidrolistrik.
hygiene	see higiene.
hygienis	see higienis.
hyperbolis	hyperbolic.
hypertensi	see hipertensi.
hypnotisir	see hipnotisir.
i	i, the 9th letter of the alphabet.
i'gris.	[inggeris] england, english.
ia	1. (lit.) he, she, it. 2. yes.
iain	[insitut agama islam negeri] gvt. institute for islam studies.
ialah	is, are (in formal statements of equivalence).
iau	see ngiau.
ib	[irian barat] irian jaya (indonesian new guinea).
iba	1 pity, compassion. 2 moved, touched, compassionate.
ibadah,ibadat	1 act of devotion. 2 religious service.
ibah	see hibah.
ibarat	1 like. 2 simile, metaphor.
ibing	(sunda) meng-ibing dance a traditional dance with a woman who is a professional entertainer. peng-ibing female entertainer who dance with men in the audience.
iblis	devil, satan.
ibni,ibnu	see bin.
ibrani	(lit.) hebrew.
ibrit	see ngibrit.
ibtida	(lit.) beginning.
ibtidaiyah	(islam) primary school.
ibu	1 mother. 2 form of address to older woman or o. in higher position, i.e. teacher, employer, etc., esp. as bu. 3 lady, woman of high standing. 4 most important or main part of s.t. feminine, motherly. per-ibu-an matriarchal.
ibuk	see sibuk.
ibul	k.o. large thornless palm that yields poisonous fruit.
ibunda	(lit.) mother (used in letters).
ibus	k.o. palm whose leaves are used for plaiting mats, etc.
icak-cole	defaulter on payments.
icak-icak	1 pretend, act as if. 2 fake, spurious.
icip	icip-icip food sample. meng-icip(i) taste, try.
id	(islam) holiday (in the names of certain celebrations).
ida	(bali) title of nobility.
idah	1. gift to establish ties of love between men and women, love token. meng-idah-kan a gift as an introduction to courtship. 2. see iddah.
idam	1 craving. 2 craving of pregnant woman for special foods. 3 desire, aspiration.
idang	see hidang.
idap	meng-idap 1 ail, be ill over a long period. 2 contract (a disease).
idayat	see hidayah.
iddah	(islam) 100-day waiting period before a widow or divorced woman may remarry.
ide	idea.
ideal	ideal.
idealis	idealist.
idealisasi	idealization.
idealisir	meng-idealisir idealize.
idealisme	idealism.
idealistis	idealistic.
idem	idem, same as what went before.
identifikasi	identification.
identifisir	meng-identifisir identify.
identik	identical.
identitas	1 identity. 2 identification.
ideologi	ideology.
ideologis	ideological.
idep	eyelash.
idep-idep	better to do (so-and-so) than...
idi	[ikatan dokter indonesia] indonesian physicians association.
idih,idii	ugh !, exclamation expressing distaste.
idil	see idul.
idin	see izin.
idiom	idiom.
idiomatis	idiomatic.
idola	popular idol.
idul	(islam) idul adha/korban feast of the sacrifice, the day that commemorates the sacrifice of ismail by ibrahim, a holy day associated with the pilgrimage to mecca. idul-fitri feast celebrating the end of fasting period.
idung	see hidung.
idup	see hidup.
idzin	see izin.
ied	see id.
ifaf,iffah	(islam) sexual abstinence.
ifitah	(islam) opening prayer.
ifrit	evil spirit.
iftar	(islam) ending of fast.
iga	(java) rib.
igal	dancing.
igama	see agama.
igau	meng-igau 1 talk in o.'s sleep. 2 be delirious, rave.
igel	see igal.
ih	ugh, exclamation showing disgust.
ihlas	see ikhlas.
ihram	(islam) consecration for use in the pilgrimage to mecca.
ihsan	1 good deeds. 2 charity.
ihtiar	see ikhtiar.
ihtilam	nocturnal emission.
ihtimal	meng-ihtimal-kan 1 order s.o. to do. 2 assign a task to.
ihwal	see hal 1.
ii	see hii.
ijab	1 final offer. 2 agreement, consent. 3 answerto prayer.
ijabah,ijabat	approval.
ijajah	see ijasah.
ijajil	devil.
ijasah,ijazah	1 diploma. 2 certificate to practice a profession. ber-ijazah licensed, certified.
ijen,ijin	see izin.
ijma,ijmak	1 (islam) consensus of opinion among scholars. 2 unanimous agreement or approval.
ijmal	resume, summary.
ijo	1. 1) buy rice from a farmer by paying for in long before the harvest. 2) give a scholarship to o. who promises to work for the donor after graduation. 2. see hijau.
