experience	kb. pengalaman. -kkt. mengalami. -experienced ks. berpengalaman. he is e. in reporting ia sudah berpengalaman sebagai wartawan.
experiment	kb. percobaan, eksperimen. e. station balai percobaan/penyelidikan. -kki. mengadakan percobaan (on/with dengan).
experimental	ks. bersifat percobaan. e project proyek percobaan.
experimentation	kb. (pelaksanaan suatu) percobaan, pencobaan.
expert	kb. ahli. to call in an e. minta nasehat seorang ahli. -ks. ahli. e. advice nasehat seorang ahli.
expertise	kb. keahlian.
expiration	kb. 1 waktu berakhir. e. date on an insurance policy tanggal berakhirnya polis asuransi. 2 penghembusan nafas terakhir, mati, meninggal.
expire	kki. 1 berakhir, habis waktunya. the policy has expired polis itu telah berakhir. 2 (die) meninggal. -expired ks. daluwarsa (of a policy, treaty, contract).
expiry	kb. (j. -ries) waktu berakhir, habis waktu.
explain	kkt. menerangkan, menjelaskan. to e. away menghilangkan dengan memberi alasan.
explanation	kb. keterangan, penjelasan. we owe an e. for... kita perlu memberi keterangan tentang...
explanatory	ks. bersifat menjelaskan. to provide some e. remarks memberikan keterangan-keterangan yang bersifat mejelaskan.
expletive	kb. 1 kata seru/lontaran. 2 kata yang tak ada artinya, kata pengisi.
explicit	ks. 1 tegas, eksplisit. 2 jelas. -explicitly kk. dengan tegas, secara eksplisit.
explode	kkt. meledakkan, meletuskan (dynamite). -kki. 1 meledak, meletus. 2 marah sekali.
exploit	kb. perbuatan yang berani/luarbiasa. -kkt. 1 mengeksploitir (s.o.). 2 mengeksploitasi, memanfaatkan. to e. the mineral resources mengeksploitasi sumber-sumber mineral.
exploitation	kb. eksploitasi, pengharapan, pemerasan.
exploration	kb. eksplorasi, penjelajahan.
exploratory	kb. yang berhubungan dengan penyelidikan untuk suatu penemuan. e. talks pembicaraan mengenai usaha-usaha penyelidikan, pembicaraan bersifat penyelidikan.
explore	kkt. 1 menjelajahi (an island, cave). 2 menyelidiki (opportunies). 3 memeriksa (a wound). -kki. mengadakan penyelidikan. to e. for uranium mengadakan penyelidikan untuk menemukan uranium.
explorer	kb. penjelajah.
explosion	kb. letusan, ledakan, letupan. e. of anger kemarahan yang meledak.
explosive	kb. 1 bahan peledak. 2 phon.: bunyi eksplosif. -ks. bersifat meledak. e. temper sifat orang yang suka marah dengan tiba-tiba.
exponent	kb. 1 orang yang menerangkan/menguraikan. 2 eksponen, pangkat dalam aljabar. 3 contoh, lambang.
exponential	ks. yang berhubungan dengan eksponen aljabar. e. curve garis lengkung yang tergantung dari suatu fungsi eksponen.
export	kb. (bahan) ekspor. -kkt. mengekspor.
exporter	kb. eksportir.
expose	kkt. 1 membuka, menyingkapkan terhadap cahaya (film). 2 membongkar. -exposed ks. yang tidak tersembunyi/terlindung. e. to the air kena udara, terbuka terhadap udara.
expose`	kb. pembongkaran, pembeberan.
exposition	kb. 1 (exhibit) pameran, pertunjukan, eksposisi. 2 penjelasan yang terperinci. 3 karangan yang menjelaskan sesuatu proses atau gagasan, perawian.
expostulate	kki. 1 bertukar pikiran dengan sungguh-sungguh. 2 berbantah, membantah
expostulation	kb. 1 peringatan. 2 bujukan.
exposure	kb. 1 pembukaan. 2 kedapatan, pembongkaran. 3 pencahayaan (of film). e. meter meteran cahaya pada alat pemotret.
expound	kkt. menjelaskan/menguraikan secara terperinci.
express	kb. kereta api kilat. -ks. 1 kilat. 2 jelas, tegas, tepat. -kk. dengan ekspres. -kkt. 1 menyatakan, mengutarakan, mengungkapkan. 2 memperlihatkan. 3 menandakan. 4 mengirimkan dengan ekspres. 5 mengucapkan, menyatakan. 6 menyampaikan.
expression	kb. 1 ungkapan, ucapan. 2 pernyataan. 3 perasaan, ekspresi. 4 tanda, lambang.
expressive	ks. bersifat menyatakan perasaan. her face was e. of her feelings mukanyamembayangkan perasaan-perasaannya.
expressly	kk. 1 dengan jelas. 2 (dengan) sengaja.he went e. to avoid you ia sengaja pergi untuk menghindari kamu.
expressman	kb. (j. -men). petugas (cepat) pada perusahaan pengiriman barang-barang dengan cepat.
expressway	kb. jalan raya untuk lalu lintas kendaraan cepat.
expropriate	kkt. mengambil alih. the government expropriated the firm pemerintah mengambil alih perusahaan itu.
expropriation	kb. pengambilan alih.
expulsion	kb. 1 pengusiran (from school). 2 pengenyahan, pengeluaran dengan paksa (of undersirables).
expunge	kkt. menghapus, menghilangkan, mencoret. e. those remarks from the court record hapuslah pernyataan-pernyataan itu dari catatan pengadilan.
expurgate	kkt. menghilangkan bagian-bagian atau kata-kata yang tidak patut (dari buku, surat dsb). expurgated version versi yang telah banyak dihilangkan bagian-bagiannya yang tidak patut.
exquisite	ks. 1 indah sekali, sangat elok. 2 halus sekali. 3 hebat sekali. -exquisitely kk. dengan sangat indah, secara halus.
exsistent	ks. = existing.
ext.	1 [extension] sambungan. 2 [external] ekstern/luar. 3 [extra] ekstra/tambahan.
extant	ks. (masih) ada. his manuscripts are still e. naskah-naskahnya masih ada.
extemporaneous	ks. yang dilakukan tanpa persiapan. e. speech pidato yang diucapkan tanpa persiapan.
extend	kkt. 1 memperpanjang (a visa, ladder, vacation. 2 menyampaikan. 3 mengulurkan. 4 memberikan. 5 memperluas. -kki. sampai. extended ks. secara luas, diperpanjang.
extension	kb. 1 perpanjangan (time, visa). 2 perluasan. e. cord kawat sambungan, kabel penyambung.
extensive	ks. luas. e. search pencaharian yang luas.
extent	kb. 1 luas. e. of the plain luas dari dataran itu. 2 tingkat. the e. of the crime is still not known tingkat kejahatan itu belum lagi diketahui.
extenuate	kkt. memperlunak, memperingan. -extenuating ks. yang meringankan. e. circumstances keadaan-keadaan yang meringankan.
exterior	kb. 1 bagian luar. e. of a house bagian luar rumah. 2 lahirnya. he has a severe e. ia pada lahirnya seorang yang keras. -ks. (sebelah) luar.e. angle sudut luar.
exterminate	kkt. membasmi, memusnahkan. to e. mosquitoes membasmi nyamuk.
extermination	kb. pembasmian nyamuk, pemusnahan.
exterminator	kb. 1 pembasmi. 2 (instrument) alat pembasmi.
external	kb. externals j. rupa, keadaan luar. -ks. 1 luar. e. ear telinga luar. 2 luar negeri. e. affairs urusan-urusan luar negeri.
extinct	ks. 1 padam. the fire is e. api itu telah padam. 2 mati. the cigarette is e. rokok itu mati. 3 punah, hilang. an e. animal binatang yang punah.
extinction	kb. 1 pemadaman (of lights). 2 pematian (of cigarette). 3 kepunahan, punahnya (of species).
extinguish	kkt. 1 memadamkan. to e. a flame memadamkan api. 2 mematikan. to e. the lights mematikan lampu.
extinguisher	kb. alat pemadam. fire e. alat pemadam api.
extol	kkt. memuji. to e. her beauty to the skies memuji kecantikannya setinggi langit.
extort	kkt. memeras. to e. money from s.o. memeras uang dari seseorang.
extortion	kb. pemerasan, penghisapan.
extortioner	kb. pemeras.
extortionist	kb. pemeras.
extra	kb. 1 edisi tambahan (of a newspaper). 2 film : figuran. -extras j. pengeluaran-pengeluaran tambahan. -ks. ekstra, tambahan. kk. istimewa.
extract	kb. sari, kutipan. -kkt. 1 mencabut (a tooth). 2 menyadap (sap from trees). 3 menyuling. 4 mengeduk, menggali. 5 memeras, memaksakan. e. of vinegar biang cuka.
extraction	kb.1 pencabutan (of tooth). 2 keturunan. of polish e. keturunan polandia.
extractive	ks. yang dikeduk/digali. e. industries industri yang menghasilkan bahan-bahan baku.
extracurricular	ks. diluar rencana pelajaran. e. activities aktivitas ekstrakurikuler
extradite	kkt. menyerahkan. to e. a prisoner to a neighboring state menyerahkan seorang tawanan kepada negara bagian tetangga.
extradition	kb. penyerahan tawanan.
extramural	ks. diluar sekolah. e. sports olahraga diluar sekolah.
extraneous	ks. 1 yang tak ada hubungannya. e. remarks ucapan-ucapan yang tak ada hubungannya. 2 asing (matter).
extraordinary	ks. luarbiasa. he has an e. capacity for food ia luar biasa kuatnya makan. extraordinarily kk. secara luar biasa. his remarks proved to be effective pernyataannya ternyata luarbiasa tepatnya.
extrapolate	kkt. kki. memperhitungkan/meramalkan kemungkinan. to e. from the reactions received meramalkan kemungkinan atas dasar reaksi-reaksi yang diterima.
extrapolation	kb. ramalan, perhitungan.
extrasensory	ks. diluar jangkauan/tanggapan normal pencaindra. e. perception tanggapan diluar pancaindra.
extraterritoriality	kb.keadaan atau hal mempunyai hak-hak ekstraterritorial.
extravagance	kb. 1 keroyalan, pemborosan. 2 yang berlebih-lebihan. the e. of some advertising beberapa periklanan yang berlebih-lebihan.
extravagant	ks. ks. boros, royal. 2 luarbiasa. 3 yang berlebih-lebihan (praise). -extravagantly kk. secara mewah sekali.
extravaganza	kb. pertunjukan (musik) yang hebat sekali.
extreme	kb. perbedaan yang besar. in the e. sangat, sungguh-sungguh. -ks. 1 ekstrim, ekstrem. 2 hebat sekali, bukan main/buatan. 3 keras. 4 bukan main. 5 tertinggi. e. penalty hukum mati. -extremely kk. luarbiasa, sekali.
extremist	kb. ekstremis.
extremity	kb. (j. -ties) 1 kaki dan tangan. his lower extremisties were burned kakinya terbakar. 2 kebutuhan yang sangat.
extricate	kkt. melepaskan. to e. a child from a fence melepaskan anak dari pagar.
extrovert	kb. orang yang mementingkan hal-hal lahir.
exuberance	kb. 1 kegembiraan yang besar sekali. 2 kesuburan, kerimbunan. e. of foliage kesuburan daun-daunan.
exuberant	ks.1 gembira sekali. 2 banyak sekali. 3 subur, rimbun.
exude	kkt. 1 memancarkan (confidence, sweetness). 2 menetes (sweat).
exult	kki. bersuka-ria. to e. in o's good fortune bersuka-ria karena bernasib baik.
exultant	ks. gembira, yang menunjukkan kegembiraan. e. shout sorak/seruan/teriakan gembira.
exultation	kb. kegembiraan yang meluap-luap.
eye	kb. mata. without batting an e. tanpa memejamkan sebelah matapun. -kkt. 1 memandang. 2 mempertimbangkan. eye-catching ks. menyolok, menarik (perhatian). e. opener 1 sesuatu yang tidak disangka-sangka. 2 yang menakjubkan.
eyeball	kb. biji/bola mata, mata-bola.
eyebrow	kb. alis mata. to raise an e. at s.t. heran ketika melihat atau mendengar sesuatu.
eyedropper	kb. (pompa) penetes mata.
eyeful	kb. sebanyak yang dapat dilihat oleh mata pada satu ketika. she presented quite an e. in her new outfit dia sedap, dipandang dalam pakaian barunya.
eyeglasses	kb. j. kacamata, tesmak.
eyelash	kb. bulumata. our team lost by an e. regu kami kalah tipis.
eyelet	kb. lubang tali (seperti pada sepatu).
eyelid	kb. kelopak mata.
eyepatch	kb. tutup mata.
eyepiece	kb. lensa mata. e. on a microscope lensa mata pada mikroskop.
eyeshade	eyeshade
eyesight	kb. penglihatan. to have good e. mempunyai penglihatan yang baik.
eyesore	kb. yang merusak pemandangan. that house is an e. rumah itu merusak pemandangan.
eyestrain	kb. kelelahan/ketegangan mata.
eyetooth	kb. gigi taring disebelah atas. to cut o's e. yang tidak hijau lagi, melampaui masa kekanak-kanakan.
eyewash	kb. obat cuci mata. sl.: what he said was pure e. apa yang dikatakannya itu omong kosong belaka.
eyewitness	kb. saksi mata, saksi yang melihat dengan mata sendiri. to give on e. account memberi laporan pandangan mata.
f	1[fahrenheit] fahrenheit. 2 [february] pebruari. 3 [fryday] jum'at. 4 [france] perancis. 5 [french] bahasa perancis. 6 [fellow] anggouta (terhormat.
f, f	kb. 1 huruf keenam pada abjad inggris. 2 penghargaan angka kurang pada pekerjaan sekolah. 3 titinada, huruf musik.
f.	[feminine] perempuan. 2 [florin] rupiah belanda. 3 [fluid] cairan.
f.o.b., f.o.b.	[free on board] harga sampai diatas alat pengangkutan. to buy a car f.o.b membeli oto dengan harga sampai diatas tempat pengangkutan.
faa	[federal aviation agency] jawatan penerbangan federal.
fable	kb. 1 dongeng perumpamaan. 2 bohong. -fabled ks. 1 yang banyak diceritakan dalam dongeng. 2 yang dibuat-buat.
fabric	kb. 1 barang tenunan, kain. sheer f. kain tipis. 2 susunan, struktur (of society)
