cio	(congress of industrial organization) kongres organisasi industri
clasp	kb. jepitan, gesper. 2 anting-anting jepitan (on earings). 2 pegangan. -kkt. 1 menjabat, menggengam. 2 mendekap. -kki. mengunci.
class	kb. 1 kelas. 2 golongan. 3 pelajaran, kelas, sekolah. 4 jam. -kkt. menggolongkan. class-conscious ks. sadar berkelas, sadar tergolong kedalam suatu golongan. class-consciousness kb. kesadaran berkelas.
classic	kb. 1 klasik. 2 keunggulan. -the classics j. sastera yunani dan romawi kuno sebagai lapangan pelajaran juga termasuk bahasa-bahasa sastra itu. -ks. 1 (model) klasik. c. design motif model klasik. 2 terbaik. c. example contoh terbaik.
classical	ks. klasik. c. music musik klasik.
classicist	kb. ahli klasik, sarjana yang mempelajari sastra dan seni yunani-rom kuno.
classification	kb. 1 penggolongan (menurut jenis). klasifikasi. 2 pembagian.
classified	lih classify.
classifier	kb. 1 penggolong. 2 alat penggolong dalam kimia, alat pemisah. 3 gram.: penolong bilangan.
classifies	lih classify.
classify	kkt. (classified) membagi-bagi(kan), menggolongkan. -classified ks. 1 disusun menurut golongan. 2 rahasia. c. information bahan-bahan keterangan yang rahasia.
classmate	kb. teman sekelas.
classroom	kb. 1 ruangan kelas. 2 seluruh kelas. the c. will go to an assembly seluruh kelas akan pergi ke suatu pertemuan.
classy	ks. sl.: 1 mentereng, bagus sekali. that's a pretty c. car mobil itu benar mentereng. 2 tinggi nilainya/mutunya.
clatter	kb. berisik ramai, bising, gemerincing(an). -kki. bergerak atau jatuh dengan bunyi yang ramai.
clause	kb. 1 gram.: (anak) kalimat. 2 ketentuan, klausule. c. in a contract ketentuan didalam perjanjian.
claustrophobia	kb. penyakit rasa takut akan ruangan yang sempit-sempit dan tertutup.
clavicle	kb. tulang selangka.
clavicord	kb. semacam piano (model zaman dulu)
claw	kb. cakar, kuku. c. hammer palu cakar. -kkt., kki. mencakar. the tiger clowed the deer harimau itu mencakar rusa itu. the cat clowed at the chair kucing mencakar kursi itu.
clay	kb. tanah liat/pekat, lempung.
clean	ks. 1 bersih. 2 halal, tidak haram. 3 yang tidakmenimbulkan debu. 4 bentuk. 5 senonoh. sl.: sama sekali. -kkt. membersihkan. -cleanly kk. dengan rapi/tepat, baik, bagus. -cleaning kb. pembersihan, perapian.
cleaner	kb. 1 obat gosok. 2 tukang bersih-bersih di rumah, gedung dsb.). 3 (tukang) obat gosok, binatu.
cleanliness	kb. kebersihan. c. is next to godliness kebersihan adalah hal yang mulia.
cleanness	kb. kebersihan, kerapian.
cleanse	kkt. membersihkan, mencuci to be cleansed of o's sins disucikan dari dosa. -cleansing ks. yang membersihkan c. cream krem pembersih(an)/pencucian.
cleanser	kb. obat/ bahan pembersih.soap is a c. sabun adalah obat pembersih.
cleaptomaniac	=cleaptomaniac.
clear	kb. to be in the c. 1 tak berdosa. 2 dalam perkataan biasa saja. (of the massage). -ks. 1 terang, cerah, gamblang. 2 jelas. 3 encer. 4 bersih. 5 kosong. 6 bebas. -clearing kb. tanah terbuka atau yang baru dibuka, pembukaan hutan.
clearance	kb. 1 jarak ruangan. 2 izin. c. sale (penjualan) obral.
cleat	kb. paku pada sepatu supaya tidak licin.
cleavage	kb. 1 perpecahan. 2 pembelahan. 3 inf.: potongan leher baju yang dalam/rendah (of a dress).
cleave	kkt. (clove, cleft atau cleaved atau cloven) 1 membelah, memotong. 2 memecah. -kki. (cleaved) menggantungkan diri, memegang erat-erat.
cleaver	kb. pisau daging besar, golok.
clef	kb. kunci musik.
cleft	lih cleave.
clematis	ks. semacam tumbuh-tumbuhan menjalar.
clemency	kb. (j. -ties) grasi, perampokan, pengampunan, klemensi.
clench	kb. pegangan, genggaman, cengkeraman, kepalan. -kkt. mengepalkan (o's fists).
cleptomania	= kleptomania
clergy	kb. (j. -gies) kependetaan.
clergyman	kb. (j. -men) pendeta, pastor.
cleric	kb. anggota golongan pendeta.
clerical	kb. 1 yang berhubungan dengan pekerjaan juru tulis. c. work pekerjaan juru tulis, pekerjaan di bagian administrasi. 2 kependetaan. c. dress pakaian kependetaan.
clerk	kb. 1 pegawai toko, pramuniaga. 2 juru tulis. -kki. menjadi pelayan. she clerks in store ia menjadi di toko.
clever	ks. 1 pandai. c. girl gadis yang pandai. 2 cakap, cekatan. 3 cerdik. 4 pandai, pintar.
cleverness	kb. 1 kepandaian. 2 kepintaran. 3 kecerdikan. 4 kecekatan. 5 ketrampilan.
cliche	kb. kata klise. "time-worn" is ac. "time-worn" adalah kata klise. 2 phot.: klise percetakan.
click	kb. 1 bunyi ceklekan. 2 ling.: bunyi kenyutan. -kkt. membunyikan. -kki. 1 berbunyi klik. 2 sl.: berhasil.
clickety-clack	kb. keletak-keletuk. his shoes went c. on the floor sepatunya berkeletak-keletuk ketika berjalan di lantai papan.
client	kb. 1 langganan, nasabah, klien. 2 orang yang dibela oleh (pengacara).
clientele	kb. para pelanggan.
cliff	kb. jurang, karang yang terjal. 2 orang yang tinggal di pencakar langit atau di gedung flat yang besar.
cliffhanger	kb. sl.: pilem, cerpen, situasi atau sandiwara yang menegangkan.
climacteric	kb. 1 masa penting/bersejarah. 2 med.: haid.
climate	kb. 1 iklim. tropical c. iklim tropis. 2 suasana. an unhealthy c. for anti-government statements suasananya yang tidak sehat buat pernyataan-pernyataan anti-pemerintah.
climatic	ks. yang berhubungan dengan iklim. c. conditions keadaan iklim.
climatology	kb. ilmu iklim.
