jentik	jentik-jentik mosquito larva.
jingkat	ber-(2), bersi-, men-jingkat stand or walk on tiptoes. ter-jingkat be startled.
jingkek	1 tiptoe. 2 high-heeled shoes.
jingkik	ber-jingkik-jingkik hop on o. leg.
jingklak	/jingkrak/ 1. jump up and down (for joy). 2. straddle (horse, fence, etc.).
jinjang	1. slender and tapering (neck). 2. 1) leader. 2) necromancer. 3. se jenjang 1.
jinjing	1. men-jinjing carry s.t. light in o.'s hand. 2. k.o. fast-growing tree that yields cheap lumber. 3. ber-jinjing stand on tiptoes.
jinjit	1. stand on tiptoes. 2. men-jinjit carry in the hand. 3. men-jinjit 1) pull s.t. that is not stiff. 2) tweak (an ear).
jinsom	ginseng.
jintan,jinten	caraway seed. jintan-hitam cumin. jintan-manis anise seed. jintan-putih white cumin.
jip	jeep. ber-jip go by jeep.
jipang	1. branch, twig. 2. melon, gourd. 3. see bipang.
jiplak	men-jiplak 1 copy. 2 cheat on an exam, crib. 3 plagiarize, fake s.t. by copying it.
jiplakan	1 a copy. 2 plagiatism, imitation that pretends to be the real thing.
jiprat	men-jiprat splash, splatter.
jirak	k.o. tree with edible fruit.
jiran	1 neighbor. 2 kin, relative.
jirangkong	see jerangkong.
jirat	1. tomb, mousoleum. 2. jirat, jiret see jerat.
jirian	(med.) leucorrhea.
jirigen	see jeriken.
jirus	1. men-jirus sprinkle water on, pour a small amount of water over. 2. see tirus.
jisim	(anat.) body.
jit	(china) seven, in commercial transactions.
jitah	see akar.
jitak	men-jitak slap s.o.
jitpek	(china) 700 (used in commercial transactions).
jitu	accurate, precise, exact.
jiwa	1 soul, spirit. 2 spirit, the principle behind s.t. 3 inhabitant.
jiwani	psychic, psychological.
jiwasraya	name of gvt.-owned life insurance company.
jka	[jawatan kereta api] see pjka.
jkt.	[jakarta] jakarta.
jkta.	[jawatan kereta api] indonesia railways.
jl., jln.	[jalan] street, road.
jlimet	see jelimet.
jml.	[jumlah] amount.
jng.	[jatinegara] a district in jakarta.
jo.	[juncto] (leg.) connected with.
joang	see juang.
joanglo,joanlo	(china) chafing dish, food warmer.
joblos	see jeblos.
jobong	(jakarta) prostitute.
jodo,jodoh	1 marriage partner, mate. 2 match, be a match, be a mate (to). 3 be in agreement over.
jogar	game of checkers.
joget	1 k.o. classical java dance accompanied by the gamelan. 2 k.o. dance to lively music, us. for couples. 3 o. who performs a dance of this type.
joglo	(java) steep upper section of roof of traditional java mansion.
jogo	see kacang.
jogo-tirto	(java) officer in village in charge of distribution of water for irrigation.
jogrog	(jakarta) nge-, n-jogrog be in a place without moving. jogrok-kan thrust s.t. in front of o.
johan	1 world, universe. 2 champion.
johar	1. k.o. fast-growing shade tree the crown of which yields firewood. 2. see bintang, zohrah. 3. see jauhar.
johari	see jauhari.
joja,jojo	k.o simian.
jojol	piling, palisades.
jok	1 seat (of car, pedicab, etc.). 2 car upholstery.
joki	(sport) jockey.
jolak	ber-, men- jolak blaze.
jolek	men-jolek wrap s.t. in leaves.
joli	1 palanquin. 2 team of horses. se-joli a couple, twosome.
joli-joli	yawl, k.o. small boat.
jolok	men-jolok 1 prod at s.t. with a pole, etc., to knock it down. 2 probe, ferret out. 3 pole finger down throat, into nose, etc.
jolong	1. men-jolong project, protrude. 2. (m) see julung 2.
jolong-jolong	see ikan.
