jentik	jentik-jentik mosquito larva.
kamerad	comrade.
kameraman	camera man.
kamerjas	/kameryas/ man's dressing gown.
kamfer	see kamper.
kamhar	camel hair wool.
kami	1 we, us, our (excluding the person addressed). 2 i (deferential).
kamil	perfect.
kamis	thursday.
kamisolen	/kamisosolen/ unable to speak properly from overexcitement.
kamit	see komat-kamit.
kamitua	deputy village chief in central java.
kamli	sewe kambeli.
kamling	[keamanan lingkungan] law and order of the neigborhood.
kamp	/kem/ see kam.
kampagne	see kampanye.
kampai	1. ber-kampai(an) lie supine, stretched out. 2. (japanese) cheers ! (on raising a toast).
kampak	adze. meng-kampak cut with an adze.
kampanye	campaign.
kampas	see kanvas.
kampemen	military encampment.
kamper	camphor, mothballs.
kampil	/kampit/ small sack.
kampiun	champion, very clever or skilled.
kampleng	meng-kampleng slap (s.o. in the face).
kampong	see kampung.
kampret	1. k.o. small bat. 2. shucks !
kampuh	1 shawl, wrap. 2 two thin strips of paper or cloth sewn together, seam. ber-kampuh see kain.
kampung	1 village. 2 quarter. 3 residential area for lower classes in town or city.
kampus	campus.
kamrat	camshaft.
kamsia	(china) thank you.
kamso	(java) rustic, provincial.
kamtibmas	[keamanan dan ketertiban masyarakat] peace and order in society.
kamu	you, your (familiar, singular and plural). kamu-sekalian all of you.
kamuflase	camouflage.
kamuflasering	camouflaging.
kamuflir	meng-kamuflir camouflage.
kamuplase	see kamuflase.
kamus	dictionary, lexicon.
kan	1. 1) it is the case, isn't it ? 2) because as you well know... 2. short form for akan 1. 3. container for boiling tea. 4. see kans.
kana	preserved olives.
kanak	child. kanak-kanak (lit.) small child.
kanal	1 canal. 2 channel.
kanan	1 right. 2 (pol.) rightist. kanan-luar (sport) outside right.
kanape	canape.
kanari	1. the canari tree or its nuts. 2. see kenari 2.
kancah	1 large pot for cooking rice. 2 s.t. figuratively comparable to a deep pot : depths (of despair), abyss (of misery).
kancana	see kencana.
kancap	filled to the brim.
kancil	1 mouse deer. 2 a clever individual.
kancing	button. kancing-jepret 1 snap. 2 push button. kancing-manset cufflinks. kancing-ritsleting/sorok zipper.
kancut	loin cloth, jockstrap.
kanda	see kakanda.
kandang	1 stable, stall, pen. 2 place to keep vehicles, boats, etc.
kandar	meng-kandar(kan) operate a vehicle. peng-kandar driver, operator.
kandas	1 run aground, founder (of a shiop etc.). 2 fail.
kandel	1 thick, heavy. 2 rich, well-to-do.
kandi	1. pouch, small bag. 2. see asam.
kandidat	candidate.
kandil	1 lamp. 2 chandelier, candelabra. 3 candlestick.
kandis	tree with small sour fruit.
kandung	1 womb, uterus. 2 pouch like part of the body.
kandungan	1.uterus,womb 2.contens 3.unborn child,fetus 4.pouch.
kang	1. large earthenware container. 2. see kakang. 3. see kekang.
kangen	(java) long for, miss s.t.
kangka	(china) gambier plantation.
kangkang	1. meng-kangkang 1) wide apart (of legs). 2) straddle, sit astride. 2. meng-kangkang strangle. meng-kangkang-i take by force or illegally.
kangker	see kanker.
kangkung	1. k.o. leafy vegetable, us growing in water. 2. large frog or toad.
kangmas	(java) 1 older brother. 2 term of address for o.'s husband.
kangsa	see gangsa 1.
kangsar	k.o. tall tree.
kangsen	appointment, have an appointment.
kangtau	(china) chance, opportunity (in business).
kanguru	kangaroo.
kanibal	cannibal.
kanigara	sunflower.
kanin	canine.
kanisah	see kenisah.
kanjang	ber-kanjang persevering, persistent.
kanjar	k.o. large dagger.
kanjeng	(java) form of address or reference for a high-ranking noble.
kanji	1. starch. 2. china characters used in japanese.
kanker	cancer. kanker-ganas malignant tumor.
kano	canoe.
kanon	1. cannon 2. rent for a plot of ground.
kanonisasi	canonization.
kanopi	canopy.
kanpas	see kanvas.
kans	chance, opportunity.
kanselir	chancellor.
kanta	lens.
kantang	mud flats.
kantih	thread, yard.
kantil	1. (java) the champac, k.o. magnolia. 2. see kontal-kantil.
kantin	canteen, us. attached to a workplace.
kantong	see kantung.
kantor	1 office. 2 office, agency.
kantuk	sleepiness, drowsiness. meng-kantuk feel sleepy.
kantung	1 pocket. 2 bag, pouch. 3 pouchlike part of body. kantung-buah zakar scrotum. kantung-empedu gall bladder. kantung-kemih/kencing bladder.
kanun	(rell.) canon law.
kanvas	1 canvas. 2 floor of boxing ring. 3 piece of tire or tube used in patching. 4 brake lining.
kanwil	[kantor wilayah] regional office.
kanya	(zod.) virgo.
kaok	1 cackle (of chickens). 2 yell, shout (of children).
kaoliang	sorghum.
kaolin	kaolin.
kaos	1 sock, stocking. 2 singlet, undershirt. ber-kaos wear an undershirt.
kap	1 (auto.) roof of a car. 2 shade (of lamp, etc.).
kapa-kapa	a sunshade on a boat, us. of palm thatch or a temporary sunshade, esp. in the yard for a wedding (or other) feast.
kapabel	capabel, able.
kapabilitas	capability.
kapah	ter-kapah-kapah 1 starled, trembling from fright. 2 gasping (for breath).
kapai	move as if wanting to clutch at s.t. ter-kapai-kapai flutter, fail around.
kapak	1. ax. 2. see kepak 1.
kapal	1. ship, boat, vessel. 2. 1) callous. 2) stubborn, insentive.
kapan	1. when ? kapan-saja 1) any time whatsoever. 2) exactly when. 2. shroud of unbleached cotton. 3. (jakarta) because, as you well know...
kapanewon	subdistrict of a kabupaten (county).
kapang	1 ship worm or worm that gets into rice. 2 mold, mildew.
kapar	flotsam, driftwood.
kaparat	see keparat 1.
kapas	1 cotton. 2 cotton plant. 3 fleece. 4 (med.) cotton, gauze.
kapasitas	/kapasitet/ capacity.
kapatihan	see patih 1.
kapbir	see kabir.
kape	1 spatula. 2 putty knife.
kapel	chapel.
kapelan	chaplain.
kaper	(java) moth.
kapi	1. (naut.) pulley block. 2. see kape.
kapilah	see kafilah.
kapin	(geol.) limestone.
kapir	see kafir.
kapiran	(java) 1 be neglected. 2 let down. 3 beyond help.
kapita	see per.
kapital	(fin.) capital.
kapitalis	capitalist.
kapitalisme	capitalism.
kapitan	1. leader for the china, arabs or certain other local ethnic leaders under the dutch. 2. /kapiten/ see kapten.
kapitulasi	capitulation.
kapling	see kaveling.
kaplok	kaplok-dadabeat o.'s breast.
kapoces	/kapocis/ condom.
kapok	1. learn o.'s lesson, be curred. 2. see kapuk 1.
kapol	see kapul.
kapolda	[kepala polisi daerah] head of the provincial police.
kapolres	[kepala polisi resort] head of the county police.
kapolri	[kepala polisi republik indonesia] head of the indonesian police.
kapolsek	[kepala polisi sektor] head of the district police.
kapolwil	[kepala polisi wilayah] head of the regional police.
kaporal	see kopral.
kaporit	chlorine.
kaprah	usual, ordinary.
kapri	snow peas.
kapsalon	beauty parlor.
kapstok	clothes hook, hatrack.
kapsul	1. capsule. 2. hair piece.
kapt.	[kapten] captain.
kapten	1 (mil.) captain, lieutenant (in navy). 2 see kapitan 1.
kapu-kapu	k.o. plant, the leaves of which resemble lettuce, formerly found in aboundance floating on slow-moving or stagnant water.
kapuk	1. 1) kapok. 2) kapok tree. 2. rice granary or barn.
kapul	/kapulaga/kapulogo/ cardamom.
kapung	see apung.
kapur	1. lime. kapur-barus 1) camphor. 2) mothballs. 2. calcium.
kapurancang	(java) stand with the hand cupped covering the genitals as a sign of deference (of men).
kar	map, chart.
kar.	1. [karangan] article. 2. [karesidenan] residency.
kara	1. see kacang. 2. see batang.
karaba	k.o. fish trap.
karaben	/karabin/ carbine.
karaeng	title of nobility in south sulawesi.
karaf	decanter.
karah	1 stain. 2 tartar (on teeth).
karak	see kerak.
karakter	character.
karakterdes	[kader penggerak teritorial desa] cadre of the golkar party assigned to rural areas.
karakterisasi	characterization.
karakterisir	meng-karakterisir characterize.
karakteristik	characteristic.
karam	1 be shipwrecked, founder, go under. 2 fail, founder.
karamba	basket put in a stream for raising fish.
karambol	/karambola/ billiards game.
karang	1. coral, coral reef, atoll. karang-gigi tartar (on teeth). karang-endapan encrustation. 2. karang-taruna neighborhood youth association. 3. stay, sojourn.
karangkitri	fruit-producing trees in a yard.
karantina	quarantine.
karap	shuttlecomb on a weaving loom.
karapan-sapi	bull race.
karar	1 calm, peaceful. 2 stable, steadfast, unchanging.
karas	aloes wood, camphor tree.
karas-karas	k.o. fried cookie made of wheat flour.
karat	1. stain, rust. 2. 1) carat. 2) quality, value.
karate	karate.
karateka	o. who engages in karate.
karau	ber-karau mixed. meng-karau mix, stir s.t.
karavan	(auto.) camper.
karawitan	(java, sunda) gamelan music and singing accompanied by a gamelan.
karbit	carbide.
karbohidrat	carbohydrate.
karbol	1. carbolic acid. 2. indonesian airforce cadet.
karbon	carbon.
karbonaci	/karbonacis/ baking powder.
karburator	carburetor.
karcis	1 ticket. 2 calling card.
kardamunggu	cardamom.
kardan	(auto.) differential (of gearing, transmision).
kardinal	cardinal.
kardiograf	cardiographs.
kardiografi	cardiography.
kardiogram	cardiogram.
kardiolog	cardiologist.
kardiologi	cardiology.
kardus	1 cardboard. 2 cardboard box.
kare	see kari.
karedok	(sunda) cooked vegetable salad.
karena	1 because, because of. 2 reason, cause.
kareseh-peseh	babble in dutch.
karesidenan	residency (administrative unit of the colonial period).
karet	1 rubber. 2 elastic. 2 condom.
kargo	freight.
kari	a dish of meat cooked in a spicy sauce. kari-ayam chicken curry.
karib	close, intimate friend.
karier	career.
karieris	o. who is ambitions for a career.
karierisme	out to promote o.'s career.
karih	mix, stir s.t.
karikatur	caricature.
karikatural	caricatural.
karikaturis	caricaturist.
karil	1. [karya ilmiah] scholarly paper. 2. rabbit.
karim	generous, magnanimous (of god).
karir	see karier.
karisma	charisma.
karismatik	/karismatis/ charismatic.
karitatif	charitable (institution).
karkas	carcass (of a slaughtered animal).
karma	s.t. (us. bad) that happens to o. because of deeds in a previous life.
karna	see karena.
karnaval	carnival.
karnivor	carnivore.
karo	[kepala biro] head of a department or division.
karosel	carousel.
karoseri	1 body of a car. 2 body shop.
karper	carp.
karpet	carpet.
karpus	see kerpus 2.
karsa	(lit.) wish, intention. karsa-dan karya will and work.
karsinom	/karsinoma/ carcinoma.
kartel	cartel.
kartika	(lit.) star. kartika-yudha/yudo (mil.) star wars.
kartini	raden ajeng kartini, a 19th-century java woman, who distinguished herself in fields where women were traditionally excluded.
kartografi	cartography.
karton	1 carton. 2 cardboard, hardboard.
kartotek	/kartotik/ card file.
kartu	1 card. 2 playing card.
kartun	cartoon. 2. see karton.
kartunis	cartoonist.
karu	1. meng-karu 1) interrupt s.o. 2) stir s.t. 2) karu-an see keruan.
karuhun	ancestor.
karun	see harta.
karung	bag, sack.
karunia	gift, grant from above. meng-karunia-i favor, reward s.o.
karusel	see karosel.
karut	1 confused, muddled. 2 chaotic.
karya	1 work, opus. 2 work, labor, activity. 3 creation (of a designer, etc.).
karyawan	white collar worker, official employee, functionary.
karyawati	female white collar worker, official employee, functionary.
kas	1. 1) cash, money supply.2) cashier's window. 3) treasury. 2. 1) (wooden) case, (watch) case. 2) wardrobe, armoire.
kasa	1. gauze. 2. see kassa.
kasab	[kepala staf angkatan bersenjata] chief of staff of the armed forces.
kasad	intention, purpose.
kasah-kosoh	sound of s.t. cracking against s.t. and breaking.
kasai	1 fragrant shampoo. 2 ointment for the skin. 3 lotion.
kasak	1. meng-kasak rub s.t. 2. meng-kasak persuade s.o.
kasak-kisik	/kasak-kusuk/ 1 whispering, whispers. 2 intrigue.
kasal	[kepala staf angkatan laut] navy chief of staff.
kasam	grudge, spite.
kasanah	see khazanah.
kasap	coarse, rough to the touch.
kasar	1 coarse, rough, rugged (of facial features). 2 crude. 3 coarse, uncouth.
kasasi	1 (leg.) the jurisdiction of the highest court beyond which there is no appeal. 2 appeal to the supreme court.
kasatmata	in plain view.
kasau	rafter.
kasava	cassava.
kasbi	see kaspe.
kasbon	cash receipt.
kasbuk	ledger.
kasemak	see kasemek.
kasemat	see kesumat.
kasemek	k.o. smooth-skinned sweet fruit the size of an apple and eaten fresh.
kasep	see kasip.
kaset	cassette.
kasi	1. (coll.) 1) give. 2) cause (allow) s.o. to. 3) put. 2. [kepala seksi] administrative section head.
kasian	see kasih 1.
kasiat	see khasiat.
kasidah	religious chant in arabic sung to the rhythm of a gambus.
kasih	1. love, affection. 2. see kasi 1.
kasim	castrated.
kasima	upset, discioncerted.
kasino	casino.
kasip	too late.
kasir	cashier.
kasmaran	(java) smitten with love.
kasno	[bekas cino] (derog.) china who adopts an indonesian name.
kaso	/kasok/ see kasau.
kaspe	cassava.
kassa	1 cashier, cashier's desk. 2 ticket or box office.
kasta	caste in society.
kastengel	cheese stick.
kasti	k.o. children's game similar to baseball.
kastil	castle.
kastroli	castor oil.
kasturi	see kesturi.
kasuari	cassowary.
kasumat	see kesumat.
kasur	mattress.
kasus	case (legal, medical, grammatical), example.
kasut	sandal, slipper.
kat	(coll.) playing card.
kata	1 word. 2 says, said.
katabelece	see katebelece.
katah	thrown.
katai	1 midget, dwarf, pygmy. 2 bantam chicken.
katak	frog, toad. 2 short, stocky, thick set.
katakombe	catacomb.
katalis	catalyst, catalystic (factor).
katalisasi	catalysis.
katalisator	catalyst.
katalog	catalog.
katalogisasi	cataloging of books.
katalogus	see katalog.
katam	see khatam.
katan	see khitan.
katang-katang	1. a climbing plant. 2. plaited basket carried on the back.
katapel	/katapuil/ see ketapel.
katarak	/katarakta/ (med.) cataract.
kate	see katai.
katebelece	informal note from o. powerful figure to another asking for action (to by pass bureaucracy or the like).
katedral	cathedral.
kategis	see katekis.
kategori	category.
kategoris	categorical.
katek	1. armpit. meng-katek-i tickle. 2. see katai.
katekese	catechism.
kateketik	catechetical.
katekis	catechist.
katekisasi	(rel.) confirmation class.
katekismus	catechism.
katekumen	catechumen.
katel	(java) k.o. large black spider.
katepel	see ketapel.
katering	catering.
kates	(java) papaya.
kateterisasi	cathetrization.
kati	catty (1/3 pounds or 617 grams).
katib	see khatib.
katifah	chenille.
katig	k.o. knapsack of plaited materials.
katik	see katai.
katil	1 sleeping platform of solid materials. 2 bier.
katimaha	k.o. beautifully grained wood used for making kris sheats and walking sticks.
katimumul	corn on o.'s foot.
katir	outrigger.
katistiwa	see khatulistiwa.
katoda	/katode/ cathode.
katok	(java) shorts, undershorts.
