penendang	s.t. to kick with.
peneng	peneng
penengah	1 mediator, arbiter. 2 o. with neutral attitude. 3 s.t. used to separate two sections.
penenggala	plowman.
penenggelaman	sinking, torpedoing..
penengok	1 visitor. 2 observer.
penentang	the opposition, opponent.
penentangan	1 resistance. 2 opposition, conflicting.
penenteram	s.t. that soothes.
penentu	1 o. who determines s.t. 2 s.t. determining.
penentuan	act of determining s.t.
penenun	weaver.
penenung	fortune-teller.
penepatan	adjustment, correction.
penepisan	(act of) warding off.
penera	inspector of weights and measures.
peneraan	calibration.
penerang	o. who explains.
penerangan	1 providing information. 2 explanation, clarification. 3 illumination, lighting.
penerap	o. who applies s.t.
penerapan	1 assembling. 2 application.
penerbang	flyer, aviator.
penerbangan	(av.) flight.
penerbit	publisher.
penerbitan	1 publication. 2 publishing house. 3 edition, issue.
penerima	1 receiver. 2 (coll.) resigned, acquiescent.
penerimaan	1 acceptance. 2 revenue. 3 reception. 4 receipt.
penerjangan	act of lunging.
penerjun	jumper.
penerjunan	jumping
penerka	o. who guesses.
penerkaan	guess, conjecture, supposition.
penerobos	1 piercer. 2 burglar. 3 o. who cuts into a line or breaks a regulation.
penerobosan	1 a break-in, burglary. 2 breakthrough, act of penetration.
peneror	terrorist.
penertib	s.o. who keeps order.
penertiban	control, curb.
penerus	s.o. or s.t. that continues s.t.
penerusan	1 continuation, sequel, resumption. 2 continuity.
penetak	o. who chops or hacks.
penetakan	hacking.
penetalan	making s.t. compact.
penetapan	1 determining, decision, decree. 2 fulfillment.
penetasan	hatching.
penetes	dropper.
penetesan	sprinkling, dispensing drop by drop.
penetrasi	penetration.
peng-	see also entries with k-, ng-, or beginning with a vowel.
pengabadian	perpetuation.
pengabai	1 careless or neglectful person. 2 nonchalant or indifferent person.
pengabaian	1 carelessness, indifference. 2 neglect. 3 disobedience.
pengabaran	1 spreading the news. 2 evangelism.
pengabdi	official.
pengabdian	1 service. 2 subservience, submission. 3 servitude. 4 devotion, dedication.
pengabenan	cremation.
pengabjadan	alphabetization.
pengabsahan	1 endorsement, approval. 2 legalization.
pengacakan	1 randomization. 2 messing up, beating.
pengacara	1 lawyer, attorney. 2 master of ceremonies.
pengacau	agitator, disturber of the peace.
pengacauan	commotion, disturbance, stir.
pengadaan	1 stock. 2 supplying, provisioning. 3 provisions. 4 procurement.
pengadilan	1 the court. 2 trial, session. 3 courthouse. 4 jurisdiction.
pengadu	informer.
pengaduan	1 accusation, complaint. 2 denunciation, information (against). 3 indictment.
pengaduk	stirring spoon or rod.
pengadukan	mixing, stirring (of).
pengagungan	1 exalting (of). 2 glorification.
pengairan	irrigation, watering.
pengajak	inducement.
pengajar	instructor, teacher.
pengajaran	1 instruction. 2 doctrine. 3 teaching (of). 4 warning, reminder, admonition.
pengajuan	submission, offer, tender.
pengaktifan	activation.
pengakuan	1 confession (of faith). 2 acknowledgment. 3 avowal. 4 admission (of guilt).
pengakuran	harmonization.
pengalaman	experience.
pengalap	abductor.
pengalapan	abduction.
pengalas	base.
pengalihan	transfer of s.t.
pengaliran	1 flow (of money). 2 trend, drift.
pengamalan	1 doing of good deeds. 2 sincerity in doing s.t. 3 implementing of.
pengaman	1 safeguard. 2 pacifier, peacemaker, conciliator.
pengamanan	1 (mil.) pacification. 2 efforts to achieve security.
pengamat	observer.
pengamatan	1 supervision. 2 monitoring, tracking. 3 observation.
pengambil	taker.
pengambilan	1 removal, withdrawal. 2 interpretation, understanding.
pengamen	singing beggar.
pengampun	forgiver.
pengampunan	1 amnesty. 2 mercy.
pengamuk	o. who runs amuck.
penganalisa	analyst.
penganalisaan	analyzing, examining.
penganan	snacks.
pengancaman	posing a threat.
pengandaian	supposition, assumption.
penganggaran	budgeting.
penganggrekan	orchid growing.
penganggur	unemployed person.
pengangguran	unemployment, joblessness.
pengangkat	1 support. 2 instrument for lifting. 3 lifter, o. who lifts.
pengangkatan	1 appointment. 2 adoption (of child). 3 elevation.
pengangkut	1 transport, carrier. 2 transporter, truck, van.
pengangkutan	transportation, transport.
pengangonan	pasture.
pengangsuran	1 process of paying installments. 2 process of moving gradually.
pengangut	indolent person.
penganiaya	tyrant, maltreater.
penganiayaan	1 mistreatment, cruel treatment. 2 oppression, tyrannical treatment. 3 battering.
pengantar	1 companion, escort. 2 o. who delivers. 3 porter. 4 bellboy. 5 (elec.) conductor. 6 introduction.
pengantara	1 intermediary, mediator, go-between. 2 agent. 3 agency, expediter.
pengantaraan	intercession, mediation.
penganten	/pengantin/ bride (and) bridegroom.
penganugerahan	bestowal, conferral, presentation.
penganut	1 follower, adherent. 2 o. who goes along with others without sticking up for o.'s own ideas.
penganutan	taking up (a religion, political philosophy, etc.).
penganyaman	plaiting.
pengap	close, stuffy, stale, musty.
pengapa	see mengapa.
pengapit	1 clamp. 2 paperclip. 3 flanker. 4 maid of honor or best man at wedding.
pengapkiran	condemnation (of house, building etc.).
pengapung	1 buoy. 2 float, raft.
pengapungan	floating (of a boat, etc.).
pengar	have a hangover.
pengarah	1 (thea.) manager, director. 2 o. who sets the direction.
pengarahan	1 briefing. 2 direction, instruction, guidelines.
pengarak	o. who participates in a procession, parader.
pengarakan	1. arrack distillery. 2. procession.
pengarang	1 author, writer, composer. 2 arranger.
pengaron	(java) large earthenware pot for cooking rice, etc.
pengarsipan	filing, system for keeping archives.
pengartian	1 understanding. 2 meaning, sense.
pengaruh	influence. pengaruh-sampingan side-effect.
pengasah	1 sharpener. 2 grinder. 3 whetstone.
pengasahan	1 honing. 2 sharpening, grinding, scraping.
pengasuh	1 nurse,nursemaid 2 guardian , caretaker .
pengat	1 fish or meat stewed in spicy sauce. 2 a porridge of tuber, squash, or bananas in coconut milk.
pengeboman	see bom 1.
pengecap	1 sense of taste. 2 taster, user.
pengecatan	see cat1.
pengecoran	see cor.
pengecut	coward.
pengedokan	see dok 1.
pengejaran	pursuing of.
pengelola	1 manager, organizer. 2 executive (power). 3 organizer.
pengeluaran	1 disimissal, expulsion. 2 release (of a new movie), edition. 3 expending of. 4 export. 5 excretion.
pengembalian	1 return (of s.t.). 2 restitusion. 3 reversion .
pengembungan	inflation (of tire, balloon, etc.).
pengemudi	1 helmsman, driver, pilot. 2 director.
pengemukaan	presentation, putting forward of s.t.
pengen	(coll., jakarta) want s.t.
pengendali	1leader, o. who holds the reins. 2 manage
pengendalian	1.restraint , curb 2.control.
pengendara	1 driver, rider. 2 horseman.
pengeng	migraine headache.
pengenyahan	1 fleeing. 2 expulsion. 3 abolition.
pengepakan	1. packaging up. 2. leasing.
pengepung	besieger.
pengerah	o. who mobilizes, recruits, or drafts.
pengerahan	conscription.
pengeretan	1 puller, dragger. 2 (jakarta) o. who is clever at winning another's favor for personal gain.
pengerjaan	1 execution, working on s.t. 2 processing, working.
pengertian	1 understanding, way s.o. understands s.t. 2 explanation, interpretation.
pengestu	see pangestu.
pengesyahan	1 ratification, confirmation. 2 legalization, authorization.
pengetahuan	1 knowledge. 2 skill, ability.
pengetrapan	see terap 2.
penggal	1 piece, lump. 2 fragment.
penggalang	1 o. who provides leadership. 2 a boy or girl scout on the 2d level (age 12-15).
penggandaan	1) multiple, double. 2) reduplication. 3) (tel.) multiplexing.
penggarapan	the process of making.
penggaris	ruler.
penggawa	see punggawa.
penggedoran	1 looting, plundering. 2 burglary.
penggelapan	1 blackout (as a precaution). 2 darkening. 3 embezzling. 4 tampering with legal papers, coverup.
penggemar	devotee, lover, fan.
penggertak	1 s.o. who snarls 2 intimidator,threat eaning person.
penggiliran	rotating s.t.
penggodog,godokan	1 cook by boiling (e.g.poach egg, boil stew, etc.0. 2 train intensively. 3 discuss, debate, thing over deeply.
penggorengan	1 wok. 2 process of preparing food in a wok or skillet.
penggubah	1) arranger. 2) composer. 3) author.
penggugat	plaintiff, litigant.
pengguguran	1 abortion. 2 discharging (of athletes, students, etc.).
penggulingan	overthrow, deposer.
penggumpalan	1 clotting. 2 (ling.) agglutination. 3 (phys.) agglomeration.
penggunaan	employing, using, utilizing.
penggundulan	1 shaving s,o, bald. 2 denudation (of land, etc.).
pengguratan	inscribing, relief-making.
penggurdian	drilling, boring.
penghabisan	run out of, no more left.
penghalauan	1 driving, chase, expelling. 2 herding.
penghancur	destroying force or agent.
penghancuran	1 smashing. crushing of. 2 annihilation, total destruction.. 3 dissolving of, disintegration.
penghapusan	1 wiping out, erasing. 2 abolition.
penghargaan	appreciation, respect. 2 valuation.
penghasut	agitator, provocateur.
penghayatan	full and total comprehension.
penghentian	bring to a halt, ceasing.
penghianat	traitor.
penghianatan	comming of treason.
penghijauan	1 greening of s.t. 2 planting, us. on implanted land. 3 reforesting, reforestation.
penghilng	1 removal. 2 eradication, elimination.
penghinaan	degradation, causing humiliation.
penghindaran	1 avoidance, prevention. 2 evasion (of taxes, etc.).
penghubung	s.o. or s.t. which connects.
penghulu	1 village chief. 2 muslim leader.
penghuni	1 occupant, inhabitant, dweller. 2 denizen, inmate. 3 guardian spirit.
penghutang	debtor.
pengimaman	leading prayer service .
pengin	see kepingin.
penginapan	1 lodging for the night. 2 inn.
penginderiaan	sensation.
penginjakan	treading , trampling.
pengintai	look out, observer, scout.
pengintaian	1 observation, reconnaissance. 2 espionage.
pengirim	1.sender 2.transmitter.
pengiriman	shipping , dispatch.
pengisap	1 s.t. that sucks. 2 extortionist. 3 o. who smokes.
pengisapan	1 exploitation, gouging. 2 smoking.
pengistirahatan	1 giving s.o a rest 2 putting s.o intro retirement.
pengkabutan	1) sprayer. 2) atomizer. 3) carburetor.
pengkar	crooked (of legs).
pengkedikan	retroflex ion ( of tongue ) .
pengkerukan	1 dredging. 2 exploition
pengkhotbah	1 preacher. 2 s.t. to preach with.
pengki	open basket for carrying dirt, garbage, etc.
pengkikisan	1 erosion. 2 erasure. 3 loss, disappearance.
pengkokoan	ulat sutera raising of silk worm.
pengkol	bent.
pengkolan	curve.
pengkor	crippled, having a shriveled leg.
penglaris	1 the first item sold in a work day, throught to stimulate later sales. 2 s.t. that sells well, best seller.
penglihatan	1 sight, vision, eyesight. 2 sight, scene.
pengobatan	medicinal treatment, therapy.
pengocok	shaker.
pengocokan	1 shaking. 2 rubbing. 3 mixing, suffling.
pengolahan	1 preparation, manufacture. 2 processing. 3 tabulation (of data).
pengompreng	s.o. who uses an official car for public transportation.
pengoperan	1 taking over. 2 tranferal. 3 delegation (of powers).
pengrajin	craftsman, artisan.
pengser	pincers.
penguangan	cashing of checks, money orders, etc.
penguapan	1 evaporation. 2 distillation process.
pengubah	1 o. who changes. 2 corrector.
pengubahan	process of altering, modification.
penguberan	pursuit.
penguburan	burial, interment.
pengucapan	pronouncing.
pengudaraan	1 airing. 2 releasing s.t. into the air.
penguji	examiner.
pengujian	trial, testing.
pengujung	extreme end.
pengukir	engraver, carver.
pengukiran	act of carving.
pengukur	1 meter, gauge. 2 o. who measures.
pengukuran	measuring, gauging.
pengulang	1 s.o. who repeats. 2 coach, tutor.
pengulangan	repeating s.t.
pengulas	reviewer.
pengulikan	investigation.
pengulit	lullaby singer.
pengulu	see penghulu.
pengumban	missile, sling.
pengumbuk	swindler.
pengumpan	o. who uses a bait.
pengumpat	s.o. who curses.
pengumpil	lever, crowbar.
pengumpul	collector, gatherer.
pengumuman	announcement, notification.
pengundang-undang	legislator.
pengundangan	enactment (of a law).
pengundi	o. who draws (a lot, ticket, etc.).
pengundian	lottery, raffle.
pengunduran	retreat, withdrawal, putting or setting back, postponement.
pengungkapan	act of expressing.
pengungkil	lever.
pengungkilan	leverage.
pengungkit	lever.
pengungkitan	leverage.
pengungsi	refugee, evacuee.
pengungsian	1 evacuation. 2 asylum, refuge.
pengunjuk	o. who presents or points out.
pengunjukan	1 offer, presentation. 2 indication.
pengurai	1 o. who analyzes or disentangles. 2 chemicals used for decomposing.
penguraian	the action of disentangling or analyzing.
pengurup	money-changer.
pengurus	1 board, management. 2 manager.
pengurusan	1 management handling, treatment. 2 arrangement.
pengusaha	industrialist, entrepreneur.
pengusahaan	effort, exertion.
pengusik	1 disturber. 2 meddler.
pengusir	s.o. or s.t. that chases away.
pengusiran	eviction, expulsion.
pengusul	proposer.
pengusulan	inquiry, examination.
pengusung	o. who carries s.t. on his shoulders.
pengusungan	act of carrying s.t. on the shoulders.
pengusut	investigator.
pengusutan	examination, investigation.
pengutak-atik	/pengutak-utik/ o. who tinkers.
pengutamaan	act of giving priority to s.t.
pengutaraan	1 explanation. 2 communication.
pengutuhan	process of unifying.
pengutusan	mission.
peniadaan	1 negation. 2 abolition, discontinuance.
penidur	o. who sleeps a great deal.
penikam	1 o. who stabs. 2 s.t. o. stabs with.
penikaman	a stab, stabbing.
penikmat	lover, devotee.
penilai	1 appraiser, assessor. 2 grader, judge (in competition).
penilik	1 fortuneteller. 2 supervisor, inspector.
penilikan	1 supervision, control. 2 observation.
penimba	1 a container for scooping liquids. 2 o. who scoops out water, etc.
penimbaan	scooping, dipping.
penimbang	1 pair of scales. 2 counselor.
penimbangan	1 (act of) weighing, balancing. 2 considering.
penimbun	a hoarder.
penimbunan	1 accumulation, piling up. 2 hoarding. 3 process of reclaiming land from the sea by piling up earth.
penindakan	taking measures.
penindas	oppressor, tyrant.
penindasan	1 oppression. 2 suppression.
penindih	oppressor.
penindihan	1 applying pressure or weigh on s.t. 2 suppressing.
pening	1 dizzy. 2 upset, rattled. /pe`ning/ badge, license (for bicycles, dogs, and pedicabs).
peninggalan	1 estate, inheritance. 2 relic, archaeological remains. 3 remainder, rest.
peninggian	heightening, raising, enhancement.
peningkatan	1 raising (a level), upgrading. 2 rise, increase, excalation.
peningset	(java) bride price (paid upon engagement or upon marriage).
peninjau	observer.
peninjauan	1 observation, survey. 2 consideration, contemplation. reconnoitering.
penipu	deceiver, impostor.
penipuan	deception.
penirisan	place for draining.
peniru	imitator, simulator.
peniruan	imitation.
penisilin	penicillin.
peniti	1 safety pin. 2 brooch to pin. a kebaya together.
penitip	[uang] depositor.
penitipan	1 depositing. 2 stroge place. penitipan-pakaian cloakroom.
penitisan	(java) reincarnation.
peniup	o. who blows.
penj-	see also entries with j-.
penjadan	misprint.
penjagaan	1 guarding, security. 2 surveillance. 3 guardpost.
penjahat	criminal, crook, felon.
penjahit	tailor, seamstress.
penjajak	s.t. which probes, sounds out.
penjajakan	sounding out, plumbing.
penjak	1. starled. 2. glow.
penjangak	libertine, rake.
penjangat	skinner, flayer.
penjara	jail, prison.
penjasmanian	1 materialization. 2 embodiment.
penjata	heraldry.
penjatur	1 sorcerer. 2 (snake) charmer.
penjebrolan	ejection.
penjegal	o. who interferes with.
penjelajah	1 exploration. 2 examination.
penjenisan	grouping, classification.
penjernihan	purification.
penjiplak	1 plagiarist. 2 duplicator, duplicating machine.
penjiplakan	plagiarism.
penjiwaan	1 animism. 2 inspiration .
penjol	swollen.
penjumlahan	penjumlahan
penjunan	o. who makes pots.
penjurit	see prajurit.
penjuru	1 corner, angle. 2 direction from which s.t. comes.
penobatan	coronation, installation.
penodong	hold-up man.
penodongan	hold-up.
penojos	perforation.
penokoh	cheater, deceiver.
penolak	1 rejecter. 2 repellent.
penolakan	1 refusal, rejection. 2 warding off.
penolok	1 an equal. 2 standard.
penolong	1 helper, auxiliary. 2 rescuer.
penongkat	assistant.
penonjolan	1 making s.t. stand out. 2 conspicuousness.
penonton	1 spectator. 2 onlooker.
penopang	support, prop, abutment.
penoreh	1 scoring or slitting tool. 2 o. who taps rubber.
penorehan	process of rubber tapping.
penpres	[penetapan presiden] presidential decision or directive.
penset	see pinset.
pensil	1 pencil. 2 small brush for drawing.
pensip	[pegawai negeri sipil] civil servants.
pensiun	pension, retired.
penskoran	suspension.
penstrep	penicillin tablets.
pentafsir	1 commentator, exegete. 2 evaluator.
pentafsiran	1 explanation, interpretation. commentary, exegesis.
pentahapan	arranging in phases.
pentahbisan	consecration or ordination ceremony.
pentakik	o. who makes such incisions.
pentaklikan	collation.
pentaklukan	subjection, submission.
pental	ke-, ter-pental flung away.
pentan	definite.
pentanaman	1 planting. 2 (fin.) investment.
pentang	open, extend, spread out.
pentarafan	ranking, grading in ranks.
pentas	raised platform, stage. pentas-an stage performance.
pentasbehan	praising god.
pententeraman	reassurance.
penterjemah	translator.
